ccaa,metrica,tipo_vivienda,anyo,valor
Nacional,Media anual,General,2025,179.905
Nacional,Media anual,General,2024,159.656
Nacional,Media anual,General,2023,147.282
Nacional,Media anual,General,2022,141.675
Nacional,Media anual,General,2021,131.928
Nacional,Media anual,General,2020,127.232
Nacional,Media anual,General,2019,124.597
Nacional,Media anual,General,2018,118.595
Nacional,Media anual,General,2017,111.137
Nacional,Media anual,General,2016,104.664
Nacional,Media anual,General,2015,100.0
Nacional,Media anual,General,2014,96.553
Nacional,Media anual,General,2013,96.266
Nacional,Media anual,General,2012,107.678
Nacional,Media anual,General,2011,124.829
Nacional,Media anual,General,2010,134.745
Nacional,Media anual,General,2009,137.483
Nacional,Media anual,General,2008,147.336
Nacional,Media anual,General,2007,149.599
Nacional,Media anual,Vivienda nueva,2025,206.448
Nacional,Media anual,Vivienda nueva,2024,185.503
Nacional,Media anual,Vivienda nueva,2023,167.333
Nacional,Media anual,Vivienda nueva,2022,154.902
Nacional,Media anual,Vivienda nueva,2021,143.531
Nacional,Media anual,Vivienda nueva,2020,137.198
Nacional,Media anual,Vivienda nueva,2019,128.829
Nacional,Media anual,Vivienda nueva,2018,120.043
Nacional,Media anual,Vivienda nueva,2017,112.843
Nacional,Media anual,Vivienda nueva,2016,106.523
Nacional,Media anual,Vivienda nueva,2015,100.0
Nacional,Media anual,Vivienda nueva,2014,95.477
Nacional,Media anual,Vivienda nueva,2013,94.657
Nacional,Media anual,Vivienda nueva,2012,105.662
Nacional,Media anual,Vivienda nueva,2011,120.465
Nacional,Media anual,Vivienda nueva,2010,127.03
Nacional,Media anual,Vivienda nueva,2009,130.501
Nacional,Media anual,Vivienda nueva,2008,136.132
Nacional,Media anual,Vivienda nueva,2007,130.657
Nacional,Media anual,Vivienda segunda mano,2025,175.818
Nacional,Media anual,Vivienda segunda mano,2024,155.715
Nacional,Media anual,Vivienda segunda mano,2023,144.191
Nacional,Media anual,Vivienda segunda mano,2022,139.727
Nacional,Media anual,Vivienda segunda mano,2021,130.244
Nacional,Media anual,Vivienda segunda mano,2020,125.739
Nacional,Media anual,Vivienda segunda mano,2019,123.993
Nacional,Media anual,Vivienda segunda mano,2018,118.385
Nacional,Media anual,Vivienda segunda mano,2017,110.891
Nacional,Media anual,Vivienda segunda mano,2016,104.367
Nacional,Media anual,Vivienda segunda mano,2015,100.0
Nacional,Media anual,Vivienda segunda mano,2014,96.737
Nacional,Media anual,Vivienda segunda mano,2013,96.648
Nacional,Media anual,Vivienda segunda mano,2012,108.477
Nacional,Media anual,Vivienda segunda mano,2011,127.383
Nacional,Media anual,Vivienda segunda mano,2010,140.677
Nacional,Media anual,Vivienda segunda mano,2009,142.379
Nacional,Media anual,Vivienda segunda mano,2008,156.457
Nacional,Media anual,Vivienda segunda mano,2007,166.859
Nacional,Variación anual,General,2025,12.7
Nacional,Variación anual,General,2024,8.4
Nacional,Variación anual,General,2023,4.0
Nacional,Variación anual,General,2022,7.4
Nacional,Variación anual,General,2021,3.7
Nacional,Variación anual,General,2020,2.1
Nacional,Variación anual,General,2019,5.1
Nacional,Variación anual,General,2018,6.7
Nacional,Variación anual,General,2017,6.2
Nacional,Variación anual,General,2016,4.7
Nacional,Variación anual,General,2015,3.6
Nacional,Variación anual,General,2014,0.3
Nacional,Variación anual,General,2013,-10.6
Nacional,Variación anual,General,2012,-13.7
Nacional,Variación anual,General,2011,-7.4
Nacional,Variación anual,General,2010,-2.0
Nacional,Variación anual,General,2009,-6.7
Nacional,Variación anual,General,2008,-1.5
Nacional,Variación anual,General,2007,9.8
Nacional,Variación anual,Vivienda nueva,2025,11.3
Nacional,Variación anual,Vivienda nueva,2024,10.9
Nacional,Variación anual,Vivienda nueva,2023,8.0
Nacional,Variación anual,Vivienda nueva,2022,7.9
Nacional,Variación anual,Vivienda nueva,2021,4.6
Nacional,Variación anual,Vivienda nueva,2020,6.5
Nacional,Variación anual,Vivienda nueva,2019,7.3
Nacional,Variación anual,Vivienda nueva,2018,6.4
Nacional,Variación anual,Vivienda nueva,2017,5.9
Nacional,Variación anual,Vivienda nueva,2016,6.5
Nacional,Variación anual,Vivienda nueva,2015,4.7
Nacional,Variación anual,Vivienda nueva,2014,0.9
Nacional,Variación anual,Vivienda nueva,2013,-10.4
Nacional,Variación anual,Vivienda nueva,2012,-12.3
Nacional,Variación anual,Vivienda nueva,2011,-5.2
Nacional,Variación anual,Vivienda nueva,2010,-2.7
Nacional,Variación anual,Vivienda nueva,2009,-4.1
Nacional,Variación anual,Vivienda nueva,2008,4.2
Nacional,Variación anual,Vivienda nueva,2007,11.9
Nacional,Variación anual,Vivienda segunda mano,2025,12.9
Nacional,Variación anual,Vivienda segunda mano,2024,8.0
Nacional,Variación anual,Vivienda segunda mano,2023,3.2
Nacional,Variación anual,Vivienda segunda mano,2022,7.3
Nacional,Variación anual,Vivienda segunda mano,2021,3.6
Nacional,Variación anual,Vivienda segunda mano,2020,1.4
Nacional,Variación anual,Vivienda segunda mano,2019,4.7
Nacional,Variación anual,Vivienda segunda mano,2018,6.8
Nacional,Variación anual,Vivienda segunda mano,2017,6.3
Nacional,Variación anual,Vivienda segunda mano,2016,4.4
Nacional,Variación anual,Vivienda segunda mano,2015,3.4
Nacional,Variación anual,Vivienda segunda mano,2014,0.1
Nacional,Variación anual,Vivienda segunda mano,2013,-10.9
Nacional,Variación anual,Vivienda segunda mano,2012,-14.8
Nacional,Variación anual,Vivienda segunda mano,2011,-9.4
Nacional,Variación anual,Vivienda segunda mano,2010,-1.2
Nacional,Variación anual,Vivienda segunda mano,2009,-9.0
Nacional,Variación anual,Vivienda segunda mano,2008,-6.2
Nacional,Variación anual,Vivienda segunda mano,2007,8.2
Andalucía,Media anual,General,2025,179.163
Andalucía,Media anual,General,2024,158.471
Andalucía,Media anual,General,2023,143.568
Andalucía,Media anual,General,2022,136.786
Andalucía,Media anual,General,2021,125.598
Andalucía,Media anual,General,2020,120.098
Andalucía,Media anual,General,2019,117.358
Andalucía,Media anual,General,2018,111.371
Andalucía,Media anual,General,2017,106.101
Andalucía,Media anual,General,2016,102.841
Andalucía,Media anual,General,2015,100.0
Andalucía,Media anual,General,2014,97.077
Andalucía,Media anual,General,2013,96.923
Andalucía,Media anual,General,2012,106.267
Andalucía,Media anual,General,2011,120.476
Andalucía,Media anual,General,2010,128.108
Andalucía,Media anual,General,2009,130.163
Andalucía,Media anual,General,2008,134.534
Andalucía,Media anual,General,2007,131.927
Andalucía,Media anual,Vivienda nueva,2025,219.706
Andalucía,Media anual,Vivienda nueva,2024,194.525
Andalucía,Media anual,Vivienda nueva,2023,170.568
Andalucía,Media anual,Vivienda nueva,2022,159.054
Andalucía,Media anual,Vivienda nueva,2021,145.031
Andalucía,Media anual,Vivienda nueva,2020,136.025
Andalucía,Media anual,Vivienda nueva,2019,126.701
Andalucía,Media anual,Vivienda nueva,2018,117.698
Andalucía,Media anual,Vivienda nueva,2017,111.437
Andalucía,Media anual,Vivienda nueva,2016,107.085
Andalucía,Media anual,Vivienda nueva,2015,100.0
Andalucía,Media anual,Vivienda nueva,2014,94.84
Andalucía,Media anual,Vivienda nueva,2013,93.426
Andalucía,Media anual,Vivienda nueva,2012,102.465
Andalucía,Media anual,Vivienda nueva,2011,113.785
Andalucía,Media anual,Vivienda nueva,2010,118.436
Andalucía,Media anual,Vivienda nueva,2009,120.657
Andalucía,Media anual,Vivienda nueva,2008,121.104
Andalucía,Media anual,Vivienda nueva,2007,113.469
Andalucía,Media anual,Vivienda segunda mano,2025,173.879
Andalucía,Media anual,Vivienda segunda mano,2024,153.771
Andalucía,Media anual,Vivienda segunda mano,2023,140.039
Andalucía,Media anual,Vivienda segunda mano,2022,134.1
Andalucía,Media anual,Vivienda segunda mano,2021,123.31
Andalucía,Media anual,Vivienda segunda mano,2020,118.184
Andalucía,Media anual,Vivienda segunda mano,2019,116.275
Andalucía,Media anual,Vivienda segunda mano,2018,110.605
Andalucía,Media anual,Vivienda segunda mano,2017,105.431
Andalucía,Media anual,Vivienda segunda mano,2016,102.266
Andalucía,Media anual,Vivienda segunda mano,2015,100.0
Andalucía,Media anual,Vivienda segunda mano,2014,97.401
Andalucía,Media anual,Vivienda segunda mano,2013,97.546
Andalucía,Media anual,Vivienda segunda mano,2012,106.874
Andalucía,Media anual,Vivienda segunda mano,2011,123.379
Andalucía,Media anual,Vivienda segunda mano,2010,134.273
Andalucía,Media anual,Vivienda segunda mano,2009,135.948
Andalucía,Media anual,Vivienda segunda mano,2008,145.055
Andalucía,Media anual,Vivienda segunda mano,2007,148.618
Andalucía,Variación anual,General,2025,13.1
Andalucía,Variación anual,General,2024,10.4
Andalucía,Variación anual,General,2023,5.0
Andalucía,Variación anual,General,2022,8.9
Andalucía,Variación anual,General,2021,4.6
Andalucía,Variación anual,General,2020,2.3
Andalucía,Variación anual,General,2019,5.4
Andalucía,Variación anual,General,2018,5.0
Andalucía,Variación anual,General,2017,3.2
Andalucía,Variación anual,General,2016,2.8
Andalucía,Variación anual,General,2015,3.0
Andalucía,Variación anual,General,2014,0.2
Andalucía,Variación anual,General,2013,-8.8
Andalucía,Variación anual,General,2012,-11.8
Andalucía,Variación anual,General,2011,-6.0
Andalucía,Variación anual,General,2010,-1.6
Andalucía,Variación anual,General,2009,-3.2
Andalucía,Variación anual,General,2008,2.0
Andalucía,Variación anual,General,2007,12.7
Andalucía,Variación anual,Vivienda nueva,2025,12.9
Andalucía,Variación anual,Vivienda nueva,2024,14.0
Andalucía,Variación anual,Vivienda nueva,2023,7.2
Andalucía,Variación anual,Vivienda nueva,2022,9.7
Andalucía,Variación anual,Vivienda nueva,2021,6.6
Andalucía,Variación anual,Vivienda nueva,2020,7.4
Andalucía,Variación anual,Vivienda nueva,2019,7.6
Andalucía,Variación anual,Vivienda nueva,2018,5.6
Andalucía,Variación anual,Vivienda nueva,2017,4.1
Andalucía,Variación anual,Vivienda nueva,2016,7.1
Andalucía,Variación anual,Vivienda nueva,2015,5.4
Andalucía,Variación anual,Vivienda nueva,2014,1.5
Andalucía,Variación anual,Vivienda nueva,2013,-8.8
Andalucía,Variación anual,Vivienda nueva,2012,-9.9
Andalucía,Variación anual,Vivienda nueva,2011,-3.9
Andalucía,Variación anual,Vivienda nueva,2010,-1.8
Andalucía,Variación anual,Vivienda nueva,2009,-0.4
Andalucía,Variación anual,Vivienda nueva,2008,6.7
Andalucía,Variación anual,Vivienda nueva,2007,14.5
Andalucía,Variación anual,Vivienda segunda mano,2025,13.1
Andalucía,Variación anual,Vivienda segunda mano,2024,9.8
Andalucía,Variación anual,Vivienda segunda mano,2023,4.4
Andalucía,Variación anual,Vivienda segunda mano,2022,8.8
Andalucía,Variación anual,Vivienda segunda mano,2021,4.3
Andalucía,Variación anual,Vivienda segunda mano,2020,1.6
Andalucía,Variación anual,Vivienda segunda mano,2019,5.1
Andalucía,Variación anual,Vivienda segunda mano,2018,4.9
Andalucía,Variación anual,Vivienda segunda mano,2017,3.1
Andalucía,Variación anual,Vivienda segunda mano,2016,2.3
Andalucía,Variación anual,Vivienda segunda mano,2015,2.7
Andalucía,Variación anual,Vivienda segunda mano,2014,-0.1
Andalucía,Variación anual,Vivienda segunda mano,2013,-8.7
Andalucía,Variación anual,Vivienda segunda mano,2012,-13.4
Andalucía,Variación anual,Vivienda segunda mano,2011,-8.1
Andalucía,Variación anual,Vivienda segunda mano,2010,-1.2
Andalucía,Variación anual,Vivienda segunda mano,2009,-6.3
