country,iso3,mapping_basis
Afghanistan,AFG,exact_normalized_ISO_name
Albania,ALB,exact_normalized_ISO_name
Algeria,DZA,exact_normalized_ISO_name
Angola,AGO,exact_normalized_ISO_name
Anguilla,AIA,existing_reviewed_alias
Antigua and Barbuda,ATG,exact_normalized_ISO_name
Argentina,ARG,exact_normalized_ISO_name
Armenia,ARM,exact_normalized_ISO_name
Aruba,ABW,exact_normalized_ISO_name
Azerbaijan,AZE,exact_normalized_ISO_name
Bahamas,BHS,exact_normalized_ISO_name
Bangladesh,BGD,exact_normalized_ISO_name
Barbados,BRB,exact_normalized_ISO_name
Belarus,BLR,exact_normalized_ISO_name
Belize,BLZ,exact_normalized_ISO_name
Benin,BEN,exact_normalized_ISO_name
Bhutan,BTN,exact_normalized_ISO_name
Bolivia,BOL,exact_normalized_ISO_name
Bosnia & Herzegovina,BIH,exact_normalized_ISO_name
Botswana,BWA,exact_normalized_ISO_name
Brazil,BRA,exact_normalized_ISO_name
Bulgaria,BGR,exact_normalized_ISO_name
Burkina Faso,BFA,exact_normalized_ISO_name
Burundi,BDI,exact_normalized_ISO_name
Cabo Verde,CPV,exact_normalized_ISO_name
Cambodia,KHM,exact_normalized_ISO_name
Cameroon,CMR,exact_normalized_ISO_name
Central African Republic,CAF,exact_normalized_ISO_name
Chad,TCD,exact_normalized_ISO_name
Chile,CHL,exact_normalized_ISO_name
China,CHN,exact_normalized_ISO_name
Colombia,COL,exact_normalized_ISO_name
Comoros,COM,exact_normalized_ISO_name
Cook Islands,COK,existing_reviewed_alias
Costa Rica,CRI,exact_normalized_ISO_name
Croatia,HRV,exact_normalized_ISO_name
Cuba,CUB,exact_normalized_ISO_name
Curaçao,CUW,exact_normalized_ISO_name
Cyprus,CYP,exact_normalized_ISO_name
Czechoslovakia,,excluded_dissolved_state
Côte d’Ivoire,CIV,exact_normalized_ISO_name
Dem. Rep. of Congo (Kinshasa),COD,existing_reviewed_alias
Djibouti,DJI,exact_normalized_ISO_name
Dominica,DMA,exact_normalized_ISO_name
Dominican Republic,DOM,exact_normalized_ISO_name
Ecuador,ECU,exact_normalized_ISO_name
Egypt,EGY,existing_reviewed_alias
El Salvador,SLV,exact_normalized_ISO_name
Equatorial Guinea,GNQ,exact_normalized_ISO_name
Eritrea,ERI,exact_normalized_ISO_name
Ethiopia,ETH,exact_normalized_ISO_name
Fiji,FJI,exact_normalized_ISO_name
Gabon,GAB,exact_normalized_ISO_name
Georgia,GEO,exact_normalized_ISO_name
Ghana,GHA,exact_normalized_ISO_name
Greece,GRC,exact_normalized_ISO_name
Grenada,GRD,exact_normalized_ISO_name
Guatemala,GTM,exact_normalized_ISO_name
Guinea,GIN,exact_normalized_ISO_name
Guinea-Bissau,GNB,exact_normalized_ISO_name
Guyana,GUY,exact_normalized_ISO_name
Haiti,HTI,exact_normalized_ISO_name
Honduras,HND,exact_normalized_ISO_name
Hungary,HUN,exact_normalized_ISO_name
India,IND,exact_normalized_ISO_name
Indonesia,IDN,exact_normalized_ISO_name
Iran,IRN,exact_normalized_ISO_name
Iraq,IRQ,exact_normalized_ISO_name
Ireland,IRL,exact_normalized_ISO_name
Jamaica,JAM,exact_normalized_ISO_name
Jordan,JOR,exact_normalized_ISO_name
Kazakhstan,KAZ,exact_normalized_ISO_name
Kenya,KEN,exact_normalized_ISO_name
"Korea, Democratic People's Republic of (North)",PRK,existing_reviewed_alias
Kosovo,XKX,reviewed_WDI_code_alias
Kyrgyz Republic,KGZ,exact_normalized_ISO_name
Laos,LAO,existing_reviewed_alias
Latvia,LVA,exact_normalized_ISO_name
Lebanon,LBN,exact_normalized_ISO_name
Lesotho,LSO,exact_normalized_ISO_name
Liberia,LBR,exact_normalized_ISO_name
Libya,LBY,exact_normalized_ISO_name
Lithuania,LTU,exact_normalized_ISO_name
Madagascar,MDG,exact_normalized_ISO_name
Malawi,MWI,exact_normalized_ISO_name
Malaysia,MYS,exact_normalized_ISO_name
Maldives,MDV,exact_normalized_ISO_name
Mali,MLI,exact_normalized_ISO_name
Marshall Islands,MHL,exact_normalized_ISO_name
Mauritania,MRT,exact_normalized_ISO_name
Mauritius,MUS,exact_normalized_ISO_name
Mexico,MEX,exact_normalized_ISO_name
Micronesia,FSM,existing_reviewed_alias
Moldova,MDA,exact_normalized_ISO_name
Mongolia,MNG,exact_normalized_ISO_name
Montenegro,MNE,exact_normalized_ISO_name
Morocco,MAR,exact_normalized_ISO_name
Mozambique,MOZ,exact_normalized_ISO_name
Myanmar,MMR,exact_normalized_ISO_name
Namibia,NAM,exact_normalized_ISO_name
Nauru,NRU,existing_reviewed_alias
Nepal,NPL,exact_normalized_ISO_name
