iso3,year,debt_gdp,primary_balance_gdp,interest_rate_10y,gdp_growth,unemployment,inflation,emu_member,fx_regime,ext_debt_share,democracy,trade_openness,tfp_growth_5y,labor_prod_growth_5y,r_minus_g
ABW,1995,55.1,-0.8,,2.54714368704694,,3.36139107320898,0,float,,5.0,171.362098138748,,,
ABW,1996,54.8,-2.3,,1.18578851134656,,3.22528797213979,0,float,,5.0,175.344129554656,,,
ABW,1997,51.1,-2.1,,7.04687499241221,,2.99994809778412,0,float,,5.0,168.781911013858,,,
ABW,1998,41.0,0.1,,1.99198444906199,,1.8694885361554,0,float,,5.0,163.267359946327,,,
ABW,1999,39.3,0.1,,1.2380418420716,,2.28037198258753,0,float,,5.0,164.559014267185,,,
ABW,2000,38.6,0.6,,7.62292064930222,,4.04402131190512,0,float,,5.0,145.072879516204,,,
ABW,2001,44.3,-0.8,,4.1820016304779,,2.88360430316263,0,float,,5.0,140.391108618306,,,
ABW,2002,47.1,-3.2,,-0.944953481157384,,3.31524678585423,0,float,,5.0,133.230771421249,,,
ABW,2003,40.8,1.9,,1.11050459944282,,3.65636507938418,0,float,,5.0,132.794291274023,,,
ABW,2004,42.5,-8.5,,7.29372807096192,,2.52912946932762,0,float,,5.0,132.430929795173,,,
ABW,2005,45.1,-3.0,,-0.383137672063768,,3.39778677828805,0,float,,5.0,145.050280144237,,,
ABW,2006,45.5,-2.5,,1.12741146411624,,3.60802438784541,0,float,,5.0,141.042626734626,,,
ABW,2007,44.6,-1.0,,3.0895443848509,,5.39256784475516,0,float,,5.0,139.972309491093,,,
ABW,2008,40.3,1.5,,1.83575517191368,,8.95598705177784,0,float,,5.0,139.110149824701,,,
ABW,2009,48.8,-2.6,,-11.6777413693852,,-2.13542872046937,0,float,,5.0,137.556575933708,,,
ABW,2010,54.7,-3.5,,-2.73345679250639,,2.07814071860786,0,float,,5.0,135.464654677581,,,
ABW,2011,59.3,-6.4,,3.36923718421511,,4.31629742195203,0,float,,5.0,154.437786862887,,,
ABW,2012,65.5,-9.0,,-1.04079988436683,,0.627471992893372,0,float,,5.0,156.645197205944,,,
ABW,2013,70.0,-6.0,,6.43146080719245,,-2.37206524252261,0,float,,5.0,155.731904522973,,,
ABW,2014,77.7,-7.5,,1.42609951155575,,0.421440918881214,0,float,,5.0,156.491052864098,,,
ABW,2015,74.2,-1.5,,3.61147906591042,,0.474763597342641,0,float,,5.0,140.493001133496,,,
ABW,2016,75.4,-1.5,,1.23433537363427,,-0.93119598707956,0,float,,5.0,136.887263320827,,,
ABW,2017,75.8,-2.6,,3.49342985290626,,-1.02828178762012,0,float,,5.0,138.716620095236,,,
ABW,2018,73.3,-2.6,,3.21247111920076,,3.6260414135296,0,float,,5.0,138.824972245657,,,
ABW,2019,72.1,-0.2,,1.22914408896015,,4.25746204335427,0,float,,5.0,137.923249273411,,,
ABW,2020,116.3,-16.8,,-23.9400592677491,,,0,float,,5.0,123.24050373078,,,
ABW,2021,109.7,-9.9,,14.833691976226,,,0,float,,5.0,139.510902584073,,,
ABW,2022,96.1,-0.5,,10.6079607621246,,,0,float,,5.0,160.558140997897,,,
ABW,2023,80.3,3.0,,9.51636022347185,,,0,float,,5.0,153.719158343959,,,
ADVEC,2001,67.4,-1.7,,,,,0,float,,5.0,,,,
ADVEC,2002,68.5,-3.5,,,,,0,float,,5.0,,,,
ADVEC,2003,70.6,-4.0,,,,,0,float,,5.0,,,,
ADVEC,2004,73.9,-3.2,,,,,0,float,,5.0,,,,
ADVEC,2005,73.5,-2.4,,,,,0,float,,5.0,,,,
ADVEC,2006,70.9,-1.4,,,,,0,float,,5.0,,,,
ADVEC,2007,68.8,-1.2,,,,,0,float,,5.0,,,,
ADVEC,2008,74.8,-3.5,,,,,0,float,,5.0,,,,
ADVEC,2009,87.8,-8.6,,,,,0,float,,5.0,,,,
ADVEC,2010,93.8,-7.6,,,,,0,float,,5.0,,,,
ADVEC,2011,97.6,-6.2,,,,,0,float,,5.0,,,,
ADVEC,2012,101.8,-5.5,,,,,0,float,,5.0,,,,
ADVEC,2013,101.0,-3.7,,,,,0,float,,5.0,,,,
ADVEC,2014,100.7,-3.1,,,,,0,float,,5.0,,,,
ADVEC,2015,100.6,-2.6,,,,,0,float,,5.0,,,,
ADVEC,2016,102.5,-2.6,,,,,0,float,,5.0,,,,
ADVEC,2017,100.4,-2.4,,,,,0,float,,5.0,,,,
ADVEC,2018,100.0,-2.4,,,,,0,float,,5.0,,,,
ADVEC,2019,100.9,-3.0,,,,,0,float,,5.0,,,,
ADVEC,2020,119.3,-10.2,,,,,0,float,,5.0,,,,
ADVEC,2021,112.9,-7.3,,,,,0,float,,5.0,,,,
ADVEC,2022,107.9,-2.9,,,,,0,float,,5.0,,,,
ADVEC,2023,107.0,-4.9,,,,,0,float,,5.0,,,,
AFG,2002,346.0,-0.1,,28.6000011706788,7.867,,0,float,,5.0,,,,
AFG,2003,270.6,-2.1,,8.83227780288267,7.844,,0,float,,5.0,,,,
AFG,2004,245.0,-2.4,,1.41411799339429,7.794,,0,float,,5.0,,,,
AFG,2005,206.4,-0.9,,11.2297148272859,7.878,12.6862687216715,0,float,,5.0,,,,
AFG,2006,23.0,0.7,,5.35740324748592,7.897,6.78459655001655,0,float,,5.0,,,,
AFG,2007,20.1,-2.5,,13.8263195471281,7.841,8.68057078513406,0,float,,5.0,,,,
AFG,2008,19.1,-3.9,,3.92498381999467,7.879,26.4186641547444,0,float,,5.0,,,,
AFG,2009,16.2,-1.8,,21.3905283926492,7.808,-6.81116108898996,0,float,,5.0,,,,
AFG,2010,7.7,0.9,,14.3624414710737,7.809,2.17853752389419,0,float,,5.0,,,,
AFG,2011,7.5,-0.7,,0.426354776777345,7.83,11.8041858089129,0,float,,5.0,,,,
AFG,2012,6.8,0.2,,12.7522870926697,7.875,6.44121280934117,0,float,,5.0,,,,
AFG,2013,6.9,-0.6,,5.60074465863221,7.921,7.38577178397855,0,float,,5.0,,,,
AFG,2014,8.7,-1.7,,2.72454336219565,7.915,4.67399603536345,0,float,,5.0,,,,
AFG,2015,9.2,-1.4,,1.45131466066431,9.032,-0.661709164713742,0,float,,5.0,,,,
AFG,2016,8.4,0.1,,2.26031420279821,10.116,4.38389195513915,0,float,,5.0,,,,
AFG,2017,8.0,-0.7,,2.6470032027451,11.184,4.97595150553833,0,float,,5.0,,,,
AFG,2018,7.4,1.6,,1.18922812944517,11.192,0.626149149168847,0,float,,5.0,,,,
