ccaa,anyo,quarter,ipv,ipv_nueva,ipv_segunda,ipc,salario_anual,salario_flag,ipv_b,sal_b,ipv_idx15,salario_idx15,ratio_asequibilidad
Andalucía,2007,1,70.93,49.302,83.012,68.94566666666667,,faltante,55.81525,19741.364999999998,127.07996470498655,,
Andalucía,2007,2,73.062,50.706,85.626,70.50166666666667,,faltante,55.81525,19741.364999999998,130.89970930883587,,
Andalucía,2007,3,74.761,52.373,86.872,70.164,,faltante,55.81525,19741.364999999998,133.9436802665938,,
Andalucía,2007,4,75.789,54.203,86.377,71.79233333333333,,faltante,55.81525,19741.364999999998,135.7854708166675,,
Andalucía,2008,1,75.77,54.323,86.152,71.958,18755.255,observado,55.81525,19741.364999999998,135.751429940742,95.0048540209859,1.4288894113847643
Andalucía,2008,2,75.45,54.756,84.779,73.76533333333333,18755.255,observado,55.81525,19741.364999999998,135.17810992515487,95.0048540209859,1.4228547721919027
Andalucía,2008,3,75.552,56.042,83.049,73.527,18755.255,observado,55.81525,19741.364999999998,135.36085568012328,95.0048540209859,1.4247783134346275
Andalucía,2008,4,73.59,55.361,79.714,73.43466666666667,18755.255,observado,55.81525,19741.364999999998,131.84568733455464,95.0048540209859,1.3877784318833948
Andalucía,2009,1,72.839,55.42,77.69,72.15266666666668,19386.205,observado,55.81525,19741.364999999998,130.50017692297357,98.20093494041573,1.328909719669733
Andalucía,2009,2,72.939,55.077,78.609,73.08033333333333,19386.205,observado,55.81525,19741.364999999998,130.67933942784452,98.20093494041573,1.3307341677259523
Andalucía,2009,3,72.52,54.786,78.109,72.66566666666667,19386.205,observado,55.81525,19741.364999999998,129.92864853243512,98.20093494041573,1.3230897303703926
Andalucía,2009,4,72.304,54.387,78.332,73.42933333333333,19386.205,observado,55.81525,19741.364999999998,129.54165752191383,98.20093494041573,1.3191489225689588
Andalucía,2010,1,71.644,53.956,77.488,72.82866666666668,19265.085,observado,55.81525,19741.364999999998,128.35918498976534,97.58740087121636,1.3153253785205092
Andalucía,2010,2,72.612,55.002,77.898,74.196,19265.085,observado,55.81525,19741.364999999998,130.09347803691642,97.58740087121636,1.3330970686328403
Andalucía,2010,3,70.951,53.503,76.6,74.08533333333334,19265.085,observado,55.81525,19741.364999999998,127.11758883100943,97.58740087121636,1.302602464008272
Andalucía,2010,4,70.808,53.166,76.904,75.43533333333333,19265.085,observado,55.81525,19741.364999999998,126.86138644904396,97.58740087121636,1.2999771006962235
Andalucía,2011,1,68.585,52.669,72.617,75.48566666666666,19772.27,observado,55.81525,19741.364999999998,122.87860396576204,100.15654945845944,1.2268653885358412
Andalucía,2011,2,68.561,52.533,72.78,76.891,19772.27,observado,55.81525,19741.364999999998,122.83560496459303,100.15654945845944,1.226436070619025
Andalucía,2011,3,66.94,51.583,70.593,76.34133333333334,19772.27,observado,55.81525,19741.364999999998,119.93138076063441,100.15654945845944,1.1974392229873765
Andalucía,2011,4,64.889,50.374,67.837,77.38,19772.27,observado,55.81525,19741.364999999998,116.25675778573058,100.15654945845944,1.1607504293460988
Andalucía,2012,1,61.879,48.545,64.225,76.743,19400.870000000003,observado,55.81525,19741.364999999998,110.86396638911408,98.27522058378437,1.1280968460874345
Andalucía,2012,2,59.565,46.756,61.798,78.18033333333334,19400.870000000003,observado,55.81525,19741.364999999998,106.7181460263996,98.27522058378437,1.0859110301911479
Andalucía,2012,3,58.396,46.185,60.267,78.27,19400.870000000003,observado,55.81525,19741.364999999998,104.62373634445782,98.27522058378437,1.064599353966965
Andalucía,2012,4,57.412,45.062,59.568,79.518,19400.870000000003,observado,55.81525,19741.364999999998,102.86077729652739,98.27522058378437,1.0466603553317249
Andalucía,2013,1,54.312,42.987,56.184,78.60833333333333,19252.225,observado,55.81525,19741.364999999998,97.30673964552699,97.52225846591662,0.9977900550727611
Andalucía,2013,2,53.897,42.029,56.05,79.37633333333333,19252.225,observado,55.81525,19741.364999999998,96.56321525031242,97.52225846591662,0.9901659043720836
Andalucía,2013,3,54.382,42.598,56.465,79.10533333333333,19252.225,observado,55.81525,19741.364999999998,97.43215339893668,97.52225846591662,0.999076056395767
Andalucía,2013,4,53.8,42.479,55.702,79.60199999999999,19252.225,observado,55.81525,19741.364999999998,96.38942762058757,97.52225846591662,0.988383873967347
Andalucía,2014,1,53.316,42.622,55.088,78.56866666666666,19437.165,observado,55.81525,19741.364999999998,95.52228109701201,98.45907311880411,0.9701724591877027
Andalucía,2014,2,54.26,43.04,56.136,79.46666666666665,19437.165,observado,55.81525,19741.364999999998,97.21357514299407,98.45907311880411,0.9873500944467842
Andalucía,2014,3,54.407,43.406,56.234,78.675,19437.165,observado,55.81525,19741.364999999998,97.47694402515441,98.45907311880411,0.9900250016322555
Andalucía,2014,4,54.751,43.599,56.608,79.10533333333332,19437.165,observado,55.81525,19741.364999999998,98.09326304191059,98.45907311880411,0.996284648379209
Andalucía,2015,1,53.938,44.319,55.516,77.71166666666666,19741.364999999998,observado,55.81525,19741.364999999998,96.63667187730952,100.0,0.9663667187730952
Andalucía,2015,2,56.15,45.729,57.867,79.22133333333333,19741.364999999998,observado,55.81525,19741.364999999998,100.5997464850556,100.0,1.005997464850556
Andalucía,2015,3,56.783,45.586,58.64,78.33966666666667,19741.364999999998,observado,55.81525,19741.364999999998,101.73384514088892,100.0,1.0173384514088892
Andalucía,2015,4,56.39,46.428,58.022,78.813,19741.364999999998,observado,55.81525,19741.364999999998,101.02973649674595,100.0,1.0102973649674596
Andalucía,2016,1,56.881,47.715,58.38,77.15933333333334,19660.16,observado,55.81525,19741.364999999998,101.90942439566248,99.58865559701673,1.023303545817876
Andalucía,2016,2,57.602,49.659,58.894,78.48833333333333,19660.16,observado,55.81525,19741.364999999998,103.20118605578223,99.58865559701673,1.036274517786278
Andalucía,2016,3,57.552,48.998,58.948,78.22866666666667,19660.16,observado,55.81525,19741.364999999998,103.11160480334675,99.58865559701673,1.0353750051671102
Andalucía,2016,4,57.569,48.587,59.036,79.63266666666668,19660.16,observado,55.81525,19741.364999999998,103.14206242917483,99.58865559701673,1.0356808394576273
Andalucía,2017,1,58.076,49.665,59.473,79.30900000000001,19828.11,observado,55.81525,19741.364999999998,104.05041632887068,100.43940730542191,1.0359521140190344
Andalucía,2017,2,58.983,50.628,60.377,80.01366666666667,19828.11,observado,55.81525,19741.364999999998,105.67542024805047,100.43940730542191,1.0521310617326385
Andalucía,2017,3,59.674,51.24,61.082,79.47433333333333,19828.11,observado,55.81525,19741.364999999998,106.91343315670896,100.43940730542191,1.0644570296158804
Andalucía,2017,4,60.148,51.35,61.606,80.812,19828.11,observado,55.81525,19741.364999999998,107.76266342979741,100.43940730542191,1.0729121797991752
Andalucía,2018,1,60.438,51.825,61.877,80.02,20061.555,observado,55.81525,19741.364999999998,108.28223469392326,101.62192431982288,1.0655400930328691
Andalucía,2018,2,61.785,52.863,63.269,81.42766666666667,20061.555,observado,55.81525,19741.364999999998,110.69555363453536,101.62192431982288,1.0892881076150074
Andalucía,2018,3,62.889,54.647,64.303,81.18566666666668,20061.555,observado,55.81525,19741.364999999998,112.67350768831099,101.62192431982288,1.1087519592101676
Andalucía,2018,4,63.535,54.948,64.994,82.00866666666667,20061.555,observado,55.81525,19741.364999999998,113.83089746977753,101.62192431982288,1.1201411332413935
Andalucía,2019,1,64.023,55.471,65.479,80.77,20366.410000000003,observado,55.81525,19741.364999999998,114.70521049354791,103.16616910735405,1.1118490827568328
Andalucía,2019,2,65.216,56.903,66.646,81.979,20366.410000000003,observado,55.81525,19741.364999999998,116.8426191766587,103.16616910735405,1.132567198992075
Andalucía,2019,3,66.605,59.77,67.845,81.25866666666667,20366.410000000003,observado,55.81525,19741.364999999998,119.33118636931664,103.16616910735405,1.1566891297973987
Andalucía,2019,4,66.17,58.53,67.516,82.232,20366.410000000003,observado,55.81525,19741.364999999998,118.55182947312788,103.16616910735405,1.1491347454199217
Andalucía,2020,1,66.665,59.57,67.923,81.23,20545.254999999997,observado,55.81525,19741.364999999998,119.43868387223924,104.07210950205317,1.1476531459168984
Andalucía,2020,2,66.762,60.812,67.833,81.53166666666667,20545.254999999997,observado,55.81525,19741.364999999998,119.61247150196408,104.07210950205317,1.1493230229911342
Andalucía,2020,3,67.435,63.24,68.222,80.97966666666666,20545.254999999997,observado,55.81525,19741.364999999998,120.81823515974577,104.07210950205317,1.160908871145369
Andalucía,2020,4,67.267,64.027,67.898,81.82366666666667,20545.254999999997,observado,55.81525,19741.364999999998,120.51724215156253,104.07210950205317,1.1580167129137027
Andalucía,2021,1,67.099,63.258,67.862,81.79333333333334,21338.6,observado,55.81525,19741.364999999998,120.21624914337927,108.09080324486176,1.112178330945042
Andalucía,2021,2,69.143,64.235,70.137,83.651,21338.6,observado,55.81525,19741.364999999998,123.87833074294213,108.09080324486176,1.146058008860535
Andalucía,2021,3,71.51,67.68,72.265,83.757,21338.6,observado,55.81525,19741.364999999998,128.11910723323825,108.09080324486176,1.1852914714955507
Andalucía,2021,4,72.659,68.872,73.403,86.585,21338.6,observado,55.81525,19741.364999999998,130.1776844142058,108.09080324486176,1.2043363589343479
Andalucía,2022,1,74.402,71.169,75.003,88.30266666666667,21988.96,observado,55.81525,19741.364999999998,133.30048687410698,111.38520563294382,1.1967521729356254
Andalucía,2022,2,76.202,71.454,77.176,91.42333333333333,21988.96,observado,55.81525,19741.364999999998,136.5254119617846,111.38520563294382,1.2257050762350543
Andalucía,2022,3,77.432,72.089,78.552,92.493,21988.96,observado,55.81525,19741.364999999998,138.7291107716977,111.38520563294382,1.2454895601563312
Andalucía,2022,4,77.353,74.862,77.76,92.697,21988.96,observado,55.81525,19741.364999999998,138.5875723928496,111.38520563294382,1.2442188494004116
Andalucía,2023,1,77.521,75.35,77.864,93.24766666666666,22957.64,observado,55.81525,19741.364999999998,138.88856540103288,116.29205984489927,1.1943082407025118
Andalucía,2023,2,79.633,75.647,80.338,94.63100000000001,22957.64,observado,55.81525,19741.364999999998,142.67247750390797,116.29205984489927,1.226846249814413
Andalucía,2023,3,81.928,80.683,82.079,95.346,22957.64,observado,55.81525,19741.364999999998,146.784256990697,116.29205984489927,1.2622036034658402
Andalucía,2023,4,81.449,78.857,81.872,95.98599999999999,22957.64,observado,55.81525,19741.364999999998,145.926068592365,116.29205984489927,1.2548240076492678
Andalucía,2024,1,83.656,83.992,83.6,96.283,23823.550000000003,observado,55.81525,19741.364999999998,149.88018507486757,120.67833202010097,1.2419809137725117
Andalucía,2024,2,87.224,85.747,87.464,97.83333333333333,23823.550000000003,observado,55.81525,19741.364999999998,156.27270324866413,120.67833202010097,1.2949524627389972
Andalucía,2024,3,90.574,91.782,90.375,97.32966666666665,23823.550000000003,observado,55.81525,19741.364999999998,162.27464716184195,120.67833202010097,1.3446875213258038
Andalucía,2024,4,92.35,92.633,92.303,98.03433333333334,23823.550000000003,observado,55.81525,19741.364999999998,165.45657324835057,120.67833202010097,1.371054525519884
Andalucía,2025,1,95.365,96.855,95.115,98.91166666666668,23823.550000000003,provisional_ffill,55.81525,19741.364999999998,170.85832277021063,120.67833202010097,1.4158160782480103
Andalucía,2025,2,99.074,99.336,99.03,100.01866666666666,23823.550000000003,provisional_ffill,55.81525,19741.364999999998,177.50346007587532,120.67833202010097,1.4708809535609855
Andalucía,2025,3,101.791,100.656,101.981,100.10266666666666,23823.550000000003,provisional_ffill,55.81525,19741.364999999998,182.37130533321985,120.67833202010097,1.5112183130178076
Andalucía,2025,4,103.77,103.153,103.873,100.967,23823.550000000003,provisional_ffill,55.81525,19741.364999999998,185.91693130461658,120.67833202010097,1.540599113299387
Andalucía,2026,1,108.061,107.827,108.09,101.46300000000001,23823.550000000003,provisional_ffill,55.81525,19741.364999999998,193.60479438863035,120.67833202010097,1.6043045271489358
Aragón,2007,1,101.975,82.703,118.292,68.83433333333333,,faltante,58.0785,20958.235,175.58132527527397,,
Aragón,2007,2,102.553,84.243,117.551,70.39233333333334,,faltante,58.0785,20958.235,176.5765300412373,,
Aragón,2007,3,103.589,84.76,119.179,70.11533333333334,,faltante,58.0785,20958.235,178.36032266673553,,
Aragón,2007,4,102.484,86.09,114.966,71.83966666666667,,faltante,58.0785,20958.235,176.457725320041,,
Aragón,2008,1,102.104,86.065,114.154,72.00733333333334,20339.690000000002,observado,58.0785,20958.235,175.80343844968448,97.04867800174968,1.8114975089770409
Aragón,2008,2,102.375,88.082,112.104,73.84666666666666,20339.690000000002,observado,58.0785,20958.235,176.27004829670187,97.04867800174968,1.8163055069490377
Aragón,2008,3,98.434,86.155,105.863,74.02333333333333,20339.690000000002,observado,58.0785,20958.235,169.48440472808355,97.04867800174968,1.7463855069208458
Aragón,2008,4,95.619,86.686,98.893,73.767,20339.690000000002,observado,58.0785,20958.235,164.63751646478474,97.04867800174968,1.6964426497578515
Aragón,2009,1,92.186,83.353,95.698,72.44500000000001,20773.495000000003,observado,58.0785,20958.235,158.72655113337984,99.11853264361241,1.6013811635417587
Aragón,2009,2,92.127,83.488,95.334,73.26966666666668,20773.495000000003,observado,58.0785,20958.235,158.6249644877192,99.11853264361241,1.6003562629207428
Aragón,2009,3,90.062,81.387,93.569,72.89833333333333,20773.495000000003,observado,58.0785,20958.235,155.0694318895977,99.11853264361241,1.5644847411851892
Aragón,2009,4,89.117,79.846,93.695,73.859,20773.495000000003,observado,58.0785,20958.235,153.4423237514743,99.11853264361241,1.54806896005197
Aragón,2010,1,86.447,76.67,92.151,73.271,20934.55,observado,58.0785,20958.235,148.8450975834431,99.88698952941408,1.4901349843926586
Aragón,2010,2,87.291,77.59,92.774,74.482,20934.55,observado,58.0785,20958.235,150.29830315865595,99.88698952941408,1.5046834814697971
Aragón,2010,3,84.739,75.489,89.792,74.33866666666667,20934.55,observado,58.0785,20958.235,145.904250281946,99.88698952941408,1.4606932391228094
Aragón,2010,4,85.263,75.779,90.63,75.63033333333334,20934.55,observado,58.0785,20958.235,146.80647744001652,99.88698952941408,1.4697257183507957
Aragón,2011,1,81.077,73.981,83.854,75.68666666666667,20990.14,observado,58.0785,20958.235,139.5989910207736,100.15223133054857,1.3938680063955093
Aragón,2011,2,80.757,72.97,84.394,77.065,20990.14,observado,58.0785,20958.235,139.04801260363132,100.15223133054857,1.388366597092667
Aragón,2011,3,79.101,72.851,80.993,76.65333333333334,20990.14,observado,58.0785,20958.235,136.1966992949198,100.15223133054857,1.3598968039504566
Aragón,2011,4,74.605,68.026,77.22,77.74566666666668,20990.14,observado,58.0785,20958.235,128.45545253407028,100.15223133054857,1.2826020032455194
