ccaa,eur_m2_2014,ipv14,ipv24,salario,eur_m2_2024,precio_vivienda,cuota_mensual,esfuerzo_pct,ratio_aseq_2024,supuestos
Andalucía,1204.92,97.08,158.47,23823.55,1966.96,177026.47,769.14,38.74,1.31,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Aragón,1154.18,99.16,151.04,26499.07,1758.06,158225.7,687.46,31.13,1.19,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Asturias, Principado de",1297.03,98.51,141.1,26379.48,1857.72,167195.03,726.43,33.05,1.14,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Balears, Illes",1883.32,93.99,174.24,27018.54,3491.51,314236.26,1365.29,60.64,1.29,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Canarias,1269.22,96.71,156.09,22876.11,2048.58,184371.82,801.06,42.02,1.26,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Cantabria,1486.92,97.21,156.31,25171.98,2390.94,215184.2,934.93,44.57,1.26,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Castilla - La Mancha,884.05,97.85,128.03,24053.78,1156.78,104110.49,452.34,22.57,1.02,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Castilla y León,1054.1,98.77,139.71,24372.12,1490.92,134182.48,583.0,28.7,1.14,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Cataluña,1654.45,95.4,168.59,29431.49,2923.89,263150.3,1143.34,46.62,1.3,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Extremadura,841.52,98.13,124.86,22942.04,1070.77,96369.2,418.7,21.9,0.99,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Galicia,1166.72,98.65,142.15,24575.2,1681.17,151305.31,657.39,32.1,1.11,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Madrid, Comunidad de",2003.78,94.57,175.95,31223.88,3728.01,335521.3,1457.77,56.03,1.35,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Murcia, Región de",988.92,98.37,143.77,24010.9,1445.38,130084.02,565.19,28.25,1.16,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
Nacional,1449.72,96.55,159.66,27018.72,2397.34,215760.6,937.44,41.63,1.26,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Navarra, Comunidad Foral de",1293.67,99.39,146.36,30995.15,1904.94,171444.46,744.89,28.84,1.12,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
País Vasco,2422.07,99.04,147.9,33541.2,3616.89,325520.23,1414.32,50.6,1.16,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
"Rioja, La",1069.85,99.48,145.98,26178.34,1569.9,141291.36,613.88,28.14,1.14,90m2 LTV80% 25a Euribor24(3.27)+1.0pp; ancla MITMA 2014 x IPV propio
