geo,variant,year,population,net_migration,olddep,PC_Y0_14,PC_Y15_64,share65
AT,BSL,2023,9073118.0,35148.0,29.8,14.6,65.8,19.60000000000001
AT,BSL,2024,9101003.0,17990.0,30.4,14.6,65.5,19.900000000000006
AT,BSL,2025,9111243.0,23515.0,31.1,14.6,65.2,20.200000000000003
AT,BSL,2026,9125881.0,29371.0,31.9,14.5,64.8,20.700000000000003
AT,BSL,2027,9145233.0,34795.0,32.9,14.5,64.4,21.099999999999994
AT,BSL,2028,9168872.0,35646.0,33.8,14.4,64.0,21.599999999999994
AT,BSL,2029,9192199.0,35935.0,34.8,14.3,63.5,22.200000000000003
AT,BSL,2030,9214690.0,36149.0,35.9,14.2,63.1,22.699999999999996
AT,BSL,2031,9236319.0,36120.0,36.9,14.1,62.7,23.200000000000003
AT,BSL,2032,9256949.0,36446.0,37.8,14.0,62.4,23.6
AT,BSL,2033,9276987.0,36867.0,38.8,13.9,62.0,24.099999999999994
AT,BSL,2034,9296664.0,40317.0,39.8,13.8,61.7,24.5
AT,BSL,2035,9319086.0,39489.0,40.7,13.7,61.3,25.0
AT,BSL,2036,9340056.0,38925.0,41.4,13.7,61.1,25.199999999999996
AT,BSL,2037,9359874.0,38421.0,42.0,13.6,60.9,25.500000000000007
AT,BSL,2038,9378624.0,37829.0,42.5,13.5,60.7,25.799999999999997
AT,BSL,2039,9396223.0,37645.0,42.9,13.4,60.6,25.999999999999993
AT,BSL,2040,9413009.0,37343.0,43.3,13.4,60.5,26.099999999999994
AT,BSL,2041,9428870.0,37026.0,43.6,13.3,60.4,26.300000000000004
AT,BSL,2042,9443688.0,36857.0,43.8,13.3,60.3,26.400000000000006
AT,BSL,2043,9457548.0,36737.0,44.0,13.2,60.3,26.5
AT,BSL,2044,9470356.0,36680.0,44.2,13.2,60.2,26.599999999999994
AT,BSL,2045,9482146.0,37196.0,44.4,13.2,60.1,26.699999999999996
AT,BSL,2046,9493401.0,37449.0,44.8,13.2,60.0,26.799999999999997
AT,BSL,2047,9503774.0,37456.0,45.2,13.2,59.8,27.0
AT,BSL,2048,9512982.0,37105.0,45.7,13.2,59.6,27.199999999999996
AT,BSL,2049,9520666.0,37096.0,46.1,13.2,59.4,27.4
AT,BSL,2050,9527146.0,36991.0,46.4,13.2,59.3,27.5
AT,BSL,2051,9532325.0,36922.0,46.8,13.2,59.1,27.699999999999996
AT,BSL,2052,9536299.0,36877.0,47.1,13.2,59.0,27.799999999999997
AT,BSL,2053,9539157.0,37040.0,47.5,13.2,58.8,28.0
AT,BSL,2054,9541221.0,36934.0,47.9,13.3,58.6,28.1
AT,BSL,2055,9542363.0,36949.0,48.3,13.3,58.5,28.200000000000003
AT,BSL,2056,9542859.0,36980.0,48.7,13.3,58.3,28.400000000000006
AT,BSL,2057,9542910.0,36766.0,49.1,13.3,58.1,28.6
AT,BSL,2058,9542460.0,36528.0,49.6,13.3,58.0,28.700000000000003
AT,BSL,2059,9541677.0,36262.0,49.9,13.3,57.8,28.900000000000006
AT,BSL,2060,9540690.0,35901.0,50.3,13.3,57.7,29.0
AT,BSL,2061,9539576.0,35942.0,50.5,13.3,57.6,29.1
AT,BSL,2062,9538863.0,35541.0,50.8,13.3,57.5,29.200000000000003
AT,BSL,2063,9538233.0,35234.0,51.1,13.3,57.4,29.300000000000004
AT,BSL,2064,9537844.0,34884.0,51.3,13.2,57.4,29.4
AT,BSL,2065,9537703.0,34904.0,51.4,13.2,57.3,29.5
AT,BSL,2066,9538176.0,34523.0,51.6,13.2,57.3,29.5
AT,BSL,2067,9538823.0,34736.0,51.7,13.2,57.3,29.5
AT,BSL,2068,9540164.0,34590.0,51.8,13.2,57.2,29.599999999999994
AT,BSL,2069,9541780.0,34747.0,52.0,13.1,57.2,29.700000000000003
AT,BSL,2070,9543884.0,34709.0,52.2,13.1,57.1,29.800000000000004
AT,HMIGR,2023,9073118.0,59646.0,29.8,14.6,65.8,19.60000000000001
AT,HMIGR,2024,9125698.0,35230.0,30.3,14.6,65.6,19.80000000000001
AT,HMIGR,2025,9153663.0,38868.0,31.0,14.6,65.2,20.200000000000003
AT,HMIGR,2026,9184447.0,42845.0,31.7,14.5,64.9,20.599999999999994
AT,HMIGR,2027,9218306.0,46404.0,32.6,14.5,64.5,21.0
AT,HMIGR,2028,9254787.0,47150.0,33.5,14.4,64.1,21.5
AT,HMIGR,2029,9291096.0,47366.0,34.4,14.4,63.7,21.89999999999999
AT,HMIGR,2030,9326681.0,47502.0,35.4,14.3,63.3,22.400000000000006
AT,HMIGR,2031,9361540.0,47381.0,36.3,14.2,62.9,22.9
AT,HMIGR,2032,9395483.0,47624.0,37.2,14.1,62.6,23.300000000000004
AT,HMIGR,2033,9428944.0,47953.0,38.1,14.0,62.3,23.700000000000003
AT,HMIGR,2034,9462115.0,51446.0,39.0,13.9,61.9,24.199999999999996
AT,HMIGR,2035,9498226.0,50625.0,39.8,13.9,61.6,24.499999999999993
AT,HMIGR,2036,9533043.0,50127.0,40.5,13.8,61.4,24.800000000000004
AT,HMIGR,2037,9566910.0,49690.0,41.0,13.7,61.2,25.099999999999994
AT,HMIGR,2038,9599868.0,49345.0,41.5,13.7,61.0,25.299999999999997
AT,HMIGR,2039,9632015.0,49036.0,41.8,13.6,60.9,25.500000000000007
AT,HMIGR,2040,9663335.0,48725.0,42.1,13.6,60.8,25.60000000000001
AT,HMIGR,2041,9693763.0,48423.0,42.3,13.5,60.8,25.700000000000003
AT,HMIGR,2042,9723254.0,48134.0,42.4,13.5,60.7,25.799999999999997
AT,HMIGR,2043,9751723.0,47843.0,42.6,13.5,60.7,25.799999999999997
AT,HMIGR,2044,9779045.0,47555.0,42.7,13.4,60.7,25.89999999999999
AT,HMIGR,2045,9805160.0,47280.0,42.9,13.4,60.6,25.999999999999993
AT,HMIGR,2046,9830008.0,47249.0,43.2,13.4,60.5,26.099999999999994
AT,HMIGR,2047,9853732.0,47084.0,43.6,13.4,60.3,26.299999999999997
AT,HMIGR,2048,9876159.0,46689.0,44.0,13.4,60.2,26.39999999999999
AT,HMIGR,2049,9897050.0,46516.0,44.3,13.4,60.0,26.599999999999994
AT,HMIGR,2050,9916632.0,46293.0,44.6,13.4,59.9,26.699999999999996
AT,HMIGR,2051,9934841.0,46139.0,44.9,13.4,59.8,26.799999999999997
AT,HMIGR,2052,9951783.0,46007.0,45.2,13.4,59.6,26.999999999999993
AT,HMIGR,2053,9967587.0,46079.0,45.5,13.4,59.5,27.099999999999994
AT,HMIGR,2054,9982554.0,45903.0,45.8,13.5,59.3,27.200000000000003
AT,HMIGR,2055,9996589.0,45831.0,46.2,13.5,59.2,27.299999999999997
AT,HMIGR,2056,10009958.0,45780.0,46.5,13.5,59.1,27.4
AT,HMIGR,2057,10022842.0,45501.0,46.9,13.5,58.9,27.6
AT,HMIGR,2058,10035220.0,45200.0,47.3,13.5,58.7,27.799999999999997
AT,HMIGR,2059,10047258.0,44855.0,47.6,13.5,58.6,27.9
AT,HMIGR,2060,10059064.0,44433.0,47.9,13.5,58.5,28.0
AT,HMIGR,2061,10070721.0,44408.0,48.2,13.5,58.4,28.1
AT,HMIGR,2062,10082774.0,43949.0,48.5,13.5,58.3,28.200000000000003
AT,HMIGR,2063,10094871.0,43654.0,48.7,13.4,58.2,28.39999999999999
AT,HMIGR,2064,10107258.0,43458.0,48.9,13.4,58.1,28.499999999999993
AT,HMIGR,2065,10120054.0,43287.0,49.1,13.4,58.1,28.499999999999993
AT,HMIGR,2066,10133290.0,43117.0,49.3,13.4,58.0,28.599999999999994
AT,HMIGR,2067,10146919.0,42939.0,49.4,13.4,58.0,28.599999999999994
AT,HMIGR,2068,10160858.0,42750.0,49.6,13.3,57.9,28.800000000000004
AT,HMIGR,2069,10175018.0,42692.0,49.9,13.3,57.8,28.900000000000006
AT,HMIGR,2070,10189414.0,42587.0,50.1,13.3,57.8,28.900000000000006
AT,LFRT,2023,9073118.0,35148.0,29.8,14.6,65.8,19.60000000000001
AT,LFRT,2024,9084234.0,17990.0,30.4,14.4,65.6,20.0
AT,LFRT,2025,9077804.0,23515.0,31.1,14.2,65.4,20.39999999999999
AT,LFRT,2026,9075902.0,29371.0,31.9,14.0,65.2,20.799999999999997
AT,LFRT,2027,9078829.0,34795.0,32.9,13.8,64.9,21.299999999999997
AT,LFRT,2028,9086150.0,35746.0,33.8,13.6,64.6,21.80000000000001
AT,LFRT,2029,9093344.0,36143.0,34.8,13.4,64.2,22.39999999999999
AT,LFRT,2030,9099929.0,36457.0,35.9,13.2,63.9,22.9
AT,LFRT,2031,9105829.0,36527.0,36.9,12.9,63.6,23.499999999999993
