ccaa,anyo,salario_medio_anual
Total Nacional,2024,29540.26
Total Nacional,2023,28049.94
Total Nacional,2022,26948.87
Total Nacional,2021,25896.82
Total Nacional,2020,25165.51
Total Nacional,2019,24395.98
Total Nacional,2018,24009.12
Total Nacional,2017,23646.5
Total Nacional,2016,23156.34
Total Nacional,2015,23106.3
Total Nacional,2014,22858.17
Total Nacional,2013,22697.86
Total Nacional,2012,22726.44
Total Nacional,2011,22899.35
Total Nacional,2010,22790.2
Total Nacional,2009,22511.47
Total Nacional,2008,21883.42
Andalucía,2024,26089.7
Andalucía,2023,25051.51
Andalucía,2022,24094.32
Andalucía,2021,23154.99
Andalucía,2020,22323.85
Andalucía,2019,22060.99
Andalucía,2018,21805.92
Andalucía,2017,21404.28
Andalucía,2016,21268.41
Andalucía,2015,21381.03
Andalucía,2014,20840.3
Andalucía,2013,20782.03
Andalucía,2012,20891.63
Andalucía,2011,21350.98
Andalucía,2010,20964.36
Andalucía,2009,20906.33
Andalucía,2008,20138.56
Aragón,2024,28061.94
Aragón,2023,26822.32
Aragón,2022,26012.71
Aragón,2021,25011.55
Aragón,2020,24113.57
Aragón,2019,23565.09
Aragón,2018,23531.83
Aragón,2017,23039.94
Aragón,2016,22248.76
Aragón,2015,22327.18
Aragón,2014,22095.79
Aragón,2013,22054.85
Aragón,2012,22103.79
Aragón,2011,22333.53
Aragón,2010,22316.69
Aragón,2009,22133.77
Aragón,2008,21594.47
"Asturias, Principado de",2024,28562.31
"Asturias, Principado de",2023,27916.6
"Asturias, Principado de",2022,26745.93
"Asturias, Principado de",2021,25046.6
"Asturias, Principado de",2020,24527.96
"Asturias, Principado de",2019,24865.89
"Asturias, Principado de",2018,23914.61
"Asturias, Principado de",2017,23609.67
"Asturias, Principado de",2016,23095.83
"Asturias, Principado de",2015,22826.06
"Asturias, Principado de",2014,22045.29
"Asturias, Principado de",2013,21994.99
"Asturias, Principado de",2012,21750.66
"Asturias, Principado de",2011,22286.48
"Asturias, Principado de",2010,22241.39
"Asturias, Principado de",2009,22597.97
"Asturias, Principado de",2008,21805.67
"Balears, Illes",2024,29075.06
"Balears, Illes",2023,27537.0
"Balears, Illes",2022,27145.79
"Balears, Illes",2021,24134.73
"Balears, Illes",2020,23881.42
"Balears, Illes",2019,23325.33
"Balears, Illes",2018,22800.87
"Balears, Illes",2017,22036.46
"Balears, Illes",2016,21478.34
"Balears, Illes",2015,21395.42
"Balears, Illes",2014,21322.08
"Balears, Illes",2013,20776.29
"Balears, Illes",2012,20960.53
"Balears, Illes",2011,21351.0
"Balears, Illes",2010,21613.6
"Balears, Illes",2009,21070.14
"Balears, Illes",2008,20388.09
Canarias,2024,25120.38
Canarias,2023,24033.57
Canarias,2022,23096.92
Canarias,2021,22466.23
Canarias,2020,21631.17
Canarias,2019,20861.14
Canarias,2018,20763.48
Canarias,2017,20185.33
Canarias,2016,19749.03
Canarias,2015,19856.61
Canarias,2014,19436.48
Canarias,2013,19167.93
Canarias,2012,19277.62
Canarias,2011,19516.96
Canarias,2010,19315.56
Canarias,2009,18926.36
Canarias,2008,18466.99
Cantabria,2024,27097.17
