ccaa,origen,h,metodo,y,yhat,scale,ae,e
Andalucía,2019Q4,1,snaive,119.43868387223924,114.70521049354792,5.358017583171105,4.733473378691315,4.733473378691315
Andalucía,2019Q4,2,snaive,119.61247150196408,116.8426191766587,5.358017583171105,2.7698523253053793,2.7698523253053793
Andalucía,2019Q4,3,snaive,120.81823515974575,119.33118636931664,5.358017583171105,1.4870487904291139,1.4870487904291139
Andalucía,2019Q4,4,snaive,120.51724215156251,118.55182947312788,5.358017583171105,1.9654126784346317,1.9654126784346317
Andalucía,2019Q4,5,snaive,120.21624914337929,114.70521049354792,5.358017583171105,5.511038649831363,5.511038649831363
Andalucía,2019Q4,6,snaive,123.87833074294213,116.8426191766587,5.358017583171105,7.035711566283425,7.035711566283425
Andalucía,2019Q4,7,snaive,128.11910723323825,119.33118636931664,5.358017583171105,8.787920863921613,8.787920863921613
Andalucía,2019Q4,8,snaive,130.1776844142058,118.55182947312788,5.358017583171105,11.625854941077918,11.625854941077918
Andalucía,2019Q4,1,drift,119.43868387223924,119.9004752285442,5.358017583171105,0.46179135630495693,-0.46179135630495693
Andalucía,2019Q4,2,drift,119.61247150196408,121.2491209839605,5.358017583171105,1.6366494819964146,-1.6366494819964146
Andalucía,2019Q4,3,drift,120.81823515974575,122.59776673937681,5.358017583171105,1.7795315796310547,-1.7795315796310547
Andalucía,2019Q4,4,drift,120.51724215156251,123.94641249479312,5.358017583171105,3.4291703432306093,-3.4291703432306093
Andalucía,2019Q4,5,drift,120.21624914337929,125.29505825020944,5.358017583171105,5.07880910683015,-5.07880910683015
Andalucía,2019Q4,6,drift,123.87833074294213,126.64370400562575,5.358017583171105,2.7653732626836245,-2.7653732626836245
Andalucía,2019Q4,7,drift,128.11910723323825,127.99234976104205,5.358017583171105,0.12675747219620348,0.12675747219620348
Andalucía,2019Q4,8,drift,130.1776844142058,129.34099551645835,5.358017583171105,0.8366888977474503,0.8366888977474503
Andalucía,2019Q4,1,naive,119.43868387223924,118.55182947312788,5.358017583171105,0.8868543991113569,0.8868543991113569
Andalucía,2019Q4,2,naive,119.61247150196408,118.55182947312788,5.358017583171105,1.0606420288361988,1.0606420288361988
Andalucía,2019Q4,3,naive,120.81823515974575,118.55182947312788,5.358017583171105,2.2664056866178726,2.2664056866178726
Andalucía,2019Q4,4,naive,120.51724215156251,118.55182947312788,5.358017583171105,1.9654126784346317,1.9654126784346317
Andalucía,2019Q4,5,naive,120.21624914337929,118.55182947312788,5.358017583171105,1.6644196702514051,1.6644196702514051
Andalucía,2019Q4,6,naive,123.87833074294213,118.55182947312788,5.358017583171105,5.326501269814244,5.326501269814244
Andalucía,2019Q4,7,naive,128.11910723323825,118.55182947312788,5.358017583171105,9.567277760110372,9.567277760110372
Andalucía,2019Q4,8,naive,130.1776844142058,118.55182947312788,5.358017583171105,11.625854941077918,11.625854941077918
Andalucía,2020Q1,1,snaive,119.61247150196408,116.8426191766587,5.344138823071554,2.7698523253053793,2.7698523253053793
Andalucía,2020Q1,2,snaive,120.81823515974575,119.33118636931664,5.344138823071554,1.4870487904291139,1.4870487904291139
Andalucía,2020Q1,3,snaive,120.51724215156251,118.55182947312788,5.344138823071554,1.9654126784346317,1.9654126784346317
Andalucía,2020Q1,4,snaive,120.21624914337929,119.43868387223924,5.344138823071554,0.7775652711400483,0.7775652711400483
Andalucía,2020Q1,5,snaive,123.87833074294213,116.8426191766587,5.344138823071554,7.035711566283425,7.035711566283425
Andalucía,2020Q1,6,snaive,128.11910723323825,119.33118636931664,5.344138823071554,8.787920863921613,8.787920863921613
Andalucía,2020Q1,7,snaive,130.1776844142058,118.55182947312788,5.344138823071554,11.625854941077918,11.625854941077918
Andalucía,2020Q1,8,snaive,133.30048687410698,119.43868387223924,5.344138823071554,13.861803001867742,13.861803001867742
Andalucía,2020Q1,1,drift,119.61247150196408,120.83324001952873,5.344138823071554,1.2207685175646503,-1.2207685175646503
Andalucía,2020Q1,2,drift,120.81823515974575,122.22779616681824,5.344138823071554,1.409561007072483,-1.409561007072483
Andalucía,2020Q1,3,drift,120.51724215156251,123.62235231410773,5.344138823071554,3.105110162545216,-3.105110162545216
Andalucía,2020Q1,4,drift,120.21624914337929,125.01690846139724,5.344138823071554,4.800659318017949,-4.800659318017949
Andalucía,2020Q1,5,drift,123.87833074294213,126.41146460868673,5.344138823071554,2.5331338657446025,-2.5331338657446025
Andalucía,2020Q1,6,drift,128.11910723323825,127.80602075597622,5.344138823071554,0.31308647726203276,0.31308647726203276
Andalucía,2020Q1,7,drift,130.1776844142058,129.20057690326573,5.344138823071554,0.9771075109400726,0.9771075109400726
Andalucía,2020Q1,8,drift,133.30048687410698,130.5951330505552,5.344138823071554,2.705353823551775,2.705353823551775
Andalucía,2020Q1,1,naive,119.61247150196408,119.43868387223924,5.344138823071554,0.17378762972484196,0.17378762972484196
Andalucía,2020Q1,2,naive,120.81823515974575,119.43868387223924,5.344138823071554,1.3795512875065157,1.3795512875065157
Andalucía,2020Q1,3,naive,120.51724215156251,119.43868387223924,5.344138823071554,1.0785582793232749,1.0785582793232749
Andalucía,2020Q1,4,naive,120.21624914337929,119.43868387223924,5.344138823071554,0.7775652711400483,0.7775652711400483
Andalucía,2020Q1,5,naive,123.87833074294213,119.43868387223924,5.344138823071554,4.439646870702887,4.439646870702887
Andalucía,2020Q1,6,naive,128.11910723323825,119.43868387223924,5.344138823071554,8.680423360999015,8.680423360999015
Andalucía,2020Q1,7,naive,130.1776844142058,119.43868387223924,5.344138823071554,10.739000541966561,10.739000541966561
Andalucía,2020Q1,8,naive,133.30048687410698,119.43868387223924,5.344138823071554,13.861803001867742,13.861803001867742
Andalucía,2020Q2,1,snaive,120.81823515974575,119.33118636931664,5.288176073120115,1.4870487904291139,1.4870487904291139
Andalucía,2020Q2,2,snaive,120.51724215156251,118.55182947312788,5.288176073120115,1.9654126784346317,1.9654126784346317
Andalucía,2020Q2,3,snaive,120.21624914337929,119.43868387223924,5.288176073120115,0.7775652711400483,0.7775652711400483
Andalucía,2020Q2,4,snaive,123.87833074294213,119.61247150196408,5.288176073120115,4.265859240978045,4.265859240978045
Andalucía,2020Q2,5,snaive,128.11910723323825,119.33118636931664,5.288176073120115,8.787920863921613,8.787920863921613
Andalucía,2020Q2,6,snaive,130.1776844142058,118.55182947312788,5.288176073120115,11.625854941077918,11.625854941077918
Andalucía,2020Q2,7,snaive,133.30048687410698,119.43868387223924,5.288176073120115,13.861803001867742,13.861803001867742
Andalucía,2020Q2,8,snaive,136.5254119617846,119.61247150196408,5.288176073120115,16.912940459820533,16.912940459820533
Andalucía,2020Q2,1,drift,120.81823515974575,120.72708623539268,5.288176073120115,0.09114892435307809,0.09114892435307809
Andalucía,2020Q2,2,drift,120.51724215156251,121.84170096882126,5.288176073120115,1.3244588172587441,-1.3244588172587441
Andalucía,2020Q2,3,drift,120.21624914337929,122.95631570224985,5.288176073120115,2.7400665588705664,-2.7400665588705664
Andalucía,2020Q2,4,drift,123.87833074294213,124.07093043567843,5.288176073120115,0.19259969273630873,-0.19259969273630873
Andalucía,2020Q2,5,drift,128.11910723323825,125.18554516910703,5.288176073120115,2.9335620641312232,2.9335620641312232
Andalucía,2020Q2,6,drift,130.1776844142058,126.30015990253563,5.288176073120115,3.877524511670174,3.877524511670174
Andalucía,2020Q2,7,drift,133.30048687410698,127.4147746359642,5.288176073120115,5.885712238142773,5.885712238142773
Andalucía,2020Q2,8,drift,136.5254119617846,128.5293893693928,5.288176073120115,7.9960225923918244,7.9960225923918244
Andalucía,2020Q2,1,naive,120.81823515974575,119.61247150196408,5.288176073120115,1.2057636577816737,1.2057636577816737
Andalucía,2020Q2,2,naive,120.51724215156251,119.61247150196408,5.288176073120115,0.9047706495984329,0.9047706495984329
Andalucía,2020Q2,3,naive,120.21624914337929,119.61247150196408,5.288176073120115,0.6037776414152063,0.6037776414152063
Andalucía,2020Q2,4,naive,123.87833074294213,119.61247150196408,5.288176073120115,4.265859240978045,4.265859240978045
Andalucía,2020Q2,5,naive,128.11910723323825,119.61247150196408,5.288176073120115,8.506635731274173,8.506635731274173
Andalucía,2020Q2,6,naive,130.1776844142058,119.61247150196408,5.288176073120115,10.56521291224172,10.56521291224172
Andalucía,2020Q2,7,naive,133.30048687410698,119.61247150196408,5.288176073120115,13.6880153721429,13.6880153721429
Andalucía,2020Q2,8,naive,136.5254119617846,119.61247150196408,5.288176073120115,16.912940459820533,16.912940459820533
Andalucía,2020Q3,1,snaive,120.51724215156251,118.55182947312788,5.207301024552223,1.9654126784346317,1.9654126784346317
Andalucía,2020Q3,2,snaive,120.21624914337929,119.43868387223924,5.207301024552223,0.7775652711400483,0.7775652711400483
Andalucía,2020Q3,3,snaive,123.87833074294213,119.61247150196408,5.207301024552223,4.265859240978045,4.265859240978045
Andalucía,2020Q3,4,snaive,128.11910723323825,120.81823515974575,5.207301024552223,7.300872073492499,7.300872073492499
Andalucía,2020Q3,5,snaive,130.1776844142058,118.55182947312788,5.207301024552223,11.625854941077918,11.625854941077918
Andalucía,2020Q3,6,snaive,133.30048687410698,119.43868387223924,5.207301024552223,13.861803001867742,13.861803001867742
Andalucía,2020Q3,7,snaive,136.5254119617846,119.61247150196408,5.207301024552223,16.912940459820533,16.912940459820533
Andalucía,2020Q3,8,snaive,138.7291107716977,120.81823515974575,5.207301024552223,17.910875611951937,17.910875611951937
Andalucía,2020Q3,1,drift,120.51724215156251,121.8363260936751,5.207301024552223,1.3190839421125844,-1.3190839421125844
Andalucía,2020Q3,2,drift,120.21624914337929,122.85441702760444,5.207301024552223,2.6381678842251546,-2.6381678842251546
Andalucía,2020Q3,3,drift,123.87833074294213,123.87250796153378,5.207301024552223,0.005822781408340916,0.005822781408340916
Andalucía,2020Q3,4,drift,128.11910723323825,124.89059889546313,5.207301024552223,3.228508337775125,3.228508337775125
Andalucía,2020Q3,5,drift,130.1776844142058,125.90868982939247,5.207301024552223,4.268994584813328,4.268994584813328
Andalucía,2020Q3,6,drift,133.30048687410698,126.92678076332182,5.207301024552223,6.3737061107851645,6.3737061107851645
Andalucía,2020Q3,7,drift,136.5254119617846,127.94487169725116,5.207301024552223,8.580540264533454,8.580540264533454
Andalucía,2020Q3,8,drift,138.7291107716977,128.96296263118052,5.207301024552223,9.766148140517174,9.766148140517174
Andalucía,2020Q3,1,naive,120.51724215156251,120.81823515974575,5.207301024552223,0.3009930081832408,-0.3009930081832408
Andalucía,2020Q3,2,naive,120.21624914337929,120.81823515974575,5.207301024552223,0.6019860163664674,-0.6019860163664674
Andalucía,2020Q3,3,naive,123.87833074294213,120.81823515974575,5.207301024552223,3.0600955831963716,3.0600955831963716
Andalucía,2020Q3,4,naive,128.11910723323825,120.81823515974575,5.207301024552223,7.300872073492499,7.300872073492499
Andalucía,2020Q3,5,naive,130.1776844142058,120.81823515974575,5.207301024552223,9.359449254460046,9.359449254460046
Andalucía,2020Q3,6,naive,133.30048687410698,120.81823515974575,5.207301024552223,12.482251714361226,12.482251714361226
Andalucía,2020Q3,7,naive,136.5254119617846,120.81823515974575,5.207301024552223,15.707176802038859,15.707176802038859
Andalucía,2020Q3,8,naive,138.7291107716977,120.81823515974575,5.207301024552223,17.910875611951937,17.910875611951937
Andalucía,2020Q4,1,snaive,120.21624914337929,119.43868387223924,5.139761684008106,0.7775652711400483,0.7775652711400483
Andalucía,2020Q4,2,snaive,123.87833074294213,119.61247150196408,5.139761684008106,4.265859240978045,4.265859240978045
Andalucía,2020Q4,3,snaive,128.11910723323825,120.81823515974575,5.139761684008106,7.300872073492499,7.300872073492499
Andalucía,2020Q4,4,snaive,130.1776844142058,120.51724215156251,5.139761684008106,9.660442262643286,9.660442262643286
Andalucía,2020Q4,5,snaive,133.30048687410698,119.43868387223924,5.139761684008106,13.861803001867742,13.861803001867742
Andalucía,2020Q4,6,snaive,136.5254119617846,119.61247150196408,5.139761684008106,16.912940459820533,16.912940459820533
Andalucía,2020Q4,7,snaive,138.7291107716977,120.81823515974575,5.139761684008106,17.910875611951937,17.910875611951937
Andalucía,2020Q4,8,snaive,138.5875723928496,120.51724215156251,5.139761684008106,18.070330241287095,18.070330241287095
Andalucía,2020Q4,1,drift,120.21624914337929,121.35303523678564,5.139761684008106,1.1367860934063572,-1.1367860934063572
Andalucía,2020Q4,2,drift,123.87833074294213,122.18882832200876,5.139761684008106,1.6895024209333656,1.6895024209333656
Andalucía,2020Q4,3,drift,128.11910723323825,123.02462140723188,5.139761684008106,5.094485826006377,5.094485826006377
Andalucía,2020Q4,4,drift,130.1776844142058,123.860414492455,5.139761684008106,6.317269921750793,6.317269921750793
Andalucía,2020Q4,5,drift,133.30048687410698,124.69620757767814,5.139761684008106,8.604279296428842,8.604279296428842
Andalucía,2020Q4,6,drift,136.5254119617846,125.53200066290125,5.139761684008106,10.993411298883359,10.993411298883359
Andalucía,2020Q4,7,drift,138.7291107716977,126.36779374812437,5.139761684008106,12.36131702357332,12.36131702357332
Andalucía,2020Q4,8,drift,138.5875723928496,127.2035868333475,5.139761684008106,11.383985559502108,11.383985559502108
Andalucía,2020Q4,1,naive,120.21624914337929,120.51724215156251,5.139761684008106,0.3009930081832266,-0.3009930081832266
Andalucía,2020Q4,2,naive,123.87833074294213,120.51724215156251,5.139761684008106,3.3610885913796125,3.3610885913796125
Andalucía,2020Q4,3,naive,128.11910723323825,120.51724215156251,5.139761684008106,7.60186508167574,7.60186508167574
Andalucía,2020Q4,4,naive,130.1776844142058,120.51724215156251,5.139761684008106,9.660442262643286,9.660442262643286
Andalucía,2020Q4,5,naive,133.30048687410698,120.51724215156251,5.139761684008106,12.783244722544467,12.783244722544467
Andalucía,2020Q4,6,naive,136.5254119617846,120.51724215156251,5.139761684008106,16.0081698102221,16.0081698102221
Andalucía,2020Q4,7,naive,138.7291107716977,120.51724215156251,5.139761684008106,18.211868620135178,18.211868620135178
Andalucía,2020Q4,8,naive,138.5875723928496,120.51724215156251,5.139761684008106,18.070330241287095,18.070330241287095
Andalucía,2021Q1,1,snaive,123.87833074294213,119.61247150196408,5.0507372674189615,4.265859240978045,4.265859240978045
Andalucía,2021Q1,2,snaive,128.11910723323825,120.81823515974575,5.0507372674189615,7.300872073492499,7.300872073492499
Andalucía,2021Q1,3,snaive,130.1776844142058,120.51724215156251,5.0507372674189615,9.660442262643286,9.660442262643286
Andalucía,2021Q1,4,snaive,133.30048687410698,120.21624914337929,5.0507372674189615,13.084237730727693,13.084237730727693
Andalucía,2021Q1,5,snaive,136.5254119617846,119.61247150196408,5.0507372674189615,16.912940459820533,16.912940459820533
Andalucía,2021Q1,6,snaive,138.7291107716977,120.81823515974575,5.0507372674189615,17.910875611951937,17.910875611951937
Andalucía,2021Q1,7,snaive,138.5875723928496,120.51724215156251,5.0507372674189615,18.070330241287095,18.070330241287095
Andalucía,2021Q1,8,snaive,138.88856540103288,120.21624914337929,5.0507372674189615,18.67231625765359,18.67231625765359
Andalucía,2021Q1,1,drift,123.87833074294213,120.9051289746082,5.0507372674189615,2.9732017683339222,2.9732017683339222
Andalucía,2021Q1,2,drift,128.11910723323825,121.59400880583712,5.0507372674189615,6.525098427401133,6.525098427401133
