metodo,h,MASE,MAE,RMSE,sesgo,n
gbm,1,0.27546772476774434,1.7482680489878397,2.3252516531407896,0.842963430158411,288.0
gbm,2,0.5601631471475346,3.5459775102914417,4.790139016408639,2.619965073626244,270.0
gbm,3,0.8992947235930521,5.700122590793734,8.234106722243917,4.432561307155513,252.0
gbm,4,1.0161098797836932,6.425532692876716,8.862428197285773,4.844838288397035,234.0
gbm,5,1.0082258632475625,6.341198401076251,8.583893068111168,4.735137802024867,216.0
gbm,6,0.6815146099707913,4.276433812706428,5.122428702771429,3.0947175121235313,198.0
gbm,7,0.6770967286740657,4.199039816739666,5.115803330044838,3.2548832848195226,180.0
gbm,8,0.776636161624305,4.797812410906259,5.892911609208576,4.136401209820102,162.0
sarimax,1,0.2549966990402981,1.6112291880814498,2.0511018636847576,0.47882912696945223,288.0
sarimax,2,0.4138288308452347,2.5925193349016986,3.1696243596881786,1.3962565834753389,270.0
sarimax,3,0.5752133179992229,3.5928483938256144,4.284677869957331,2.43722574486262,252.0
sarimax,4,0.6797740963344047,4.22360814550869,5.231232606512631,3.3755712007201275,234.0
sarimax,5,0.8772700158354035,5.451223873578903,6.887723414159016,4.628146693949367,216.0
sarimax,6,1.1791391100376813,7.325583132680361,8.724905424146247,6.755992858141255,198.0
sarimax,7,1.5053803180585426,9.388435079208433,10.611441238375939,9.185326661823321,180.0
sarimax,8,1.8695929482553357,11.704730751366306,12.518473334965545,11.704730751366306,162.0
sarimax_eur,1,0.2649816747946971,1.675953378716756,2.115884310917408,0.5370733726372046,288.0
sarimax_eur,2,0.42883165466612777,2.677075951282422,3.3044698145317613,1.5508081940975815,270.0
sarimax_eur,3,0.5934819248008086,3.7000082445764284,4.495043201427572,2.7086351687714,252.0
sarimax_eur,4,0.6991715394074275,4.324786814105397,5.302899553067344,3.553592931241917,234.0
sarimax_eur,5,0.8650418467616341,5.324594257865964,6.766495198963326,4.655466248553023,216.0
sarimax_eur,6,1.1676400978140755,7.19464947516462,8.57277928647174,6.686912628649161,198.0
sarimax_eur,7,1.491717573971352,9.226805477650935,10.448059679355904,9.025549456280016,180.0
sarimax_eur,8,1.8484531717521837,11.482787739572856,12.312826809878537,11.482787739572856,162.0
