ccaa,n,adf_p_nivel,adf_p_dlog
Andalucía,77,0.972,0.863
Aragón,77,0.791,0.791
"Asturias, Principado de",77,0.844,0.553
"Balears, Illes",77,0.992,0.392
Canarias,77,0.935,0.476
Cantabria,77,0.961,0.754
Castilla - La Mancha,77,0.671,0.65
Castilla y León,77,0.637,0.697
Cataluña,77,0.955,0.535
Ceuta,77,0.984,0.766
Comunitat Valenciana,77,0.976,0.375
Extremadura,77,0.421,0.507
Galicia,77,0.891,0.646
"Madrid, Comunidad de",77,0.97,0.381
Melilla,77,0.982,0.498
"Murcia, Región de",77,0.923,0.569
Nacional,77,0.949,0.747
"Navarra, Comunidad Foral de",77,0.185,0.797
País Vasco,77,0.77,0.847
"Rioja, La",77,0.731,0.861
