exogena,retardo_trimestres,corr
euribor,0,-0.085
euribor,1,-0.135
euribor,2,-0.179
euribor,3,-0.187
euribor,4,-0.179
euribor,5,-0.187
euribor,6,-0.173
euribor,7,-0.175
euribor,8,-0.182
d_euribor,0,0.21
d_euribor,1,0.071
d_euribor,2,0.001
d_euribor,3,0.01
d_euribor,4,0.057
d_euribor,5,-0.031
d_euribor,6,0.09
d_euribor,7,0.165
d_euribor,8,0.277
dlog_ipc,0,0.254
dlog_ipc,1,-0.032
dlog_ipc,2,-0.034
dlog_ipc,3,-0.074
dlog_ipc,4,0.05
dlog_ipc,5,-0.134
dlog_ipc,6,-0.062
dlog_ipc,7,-0.023
dlog_ipc,8,0.087
d_salario,0,0.12
d_salario,1,0.285
d_salario,2,0.205
d_salario,3,-0.075
d_salario,4,0.168
d_salario,5,0.33
d_salario,6,0.165
d_salario,7,-0.054
d_salario,8,0.13
