year,crecimiento,ingresos,delta_mortalidad_pct,ic95_lo_pct,ic95_hi_pct
2050,estancamiento,recorte_2_5pp,-5.6,-7.1,-4.0
2050,estancamiento,constante,-6.4,-7.8,-5.0
2050,estancamiento,refuerzo_2_5pp,-7.2,-8.8,-5.7
2050,central,recorte_2_5pp,-11.6,-14.2,-8.8
2050,central,constante,-12.3,-14.9,-9.7
2050,central,refuerzo_2_5pp,-13.1,-15.7,-10.4
2050,dinamico,recorte_2_5pp,-17.2,-20.8,-13.3
2050,dinamico,constante,-17.9,-21.5,-14.2
2050,dinamico,refuerzo_2_5pp,-18.6,-22.2,-14.9
2070,estancamiento,recorte_2_5pp,-10.2,-12.7,-7.7
2070,estancamiento,constante,-11.0,-13.3,-8.6
2070,estancamiento,refuerzo_2_5pp,-11.8,-14.2,-9.4
2070,central,recorte_2_5pp,-20.1,-24.2,-15.7
2070,central,constante,-20.8,-24.9,-16.5
2070,central,refuerzo_2_5pp,-21.5,-25.6,-17.2
2070,dinamico,recorte_2_5pp,-28.8,-34.2,-23.0
2070,dinamico,constante,-29.4,-34.8,-23.7
2070,dinamico,refuerzo_2_5pp,-30.1,-35.4,-24.3
