iso3,y,rev,gdp_pc,urban,log_gdp,grupo,residual,semiancho_90,destacado,outcome,fecha_ejecucion
AFG,3.97,25.176,2937.483,23.931,7.985,Q1,0.173,0.683,False,mortalidad_u5_log,2026-07-19
AGO,3.892,27.458,11115.628,62.902,9.316,Q2,1.103,0.899,True,mortalidad_u5_log,2026-07-19
ALB,2.219,26.137,13637.337,54.573,9.521,Q2,-0.432,0.899,False,mortalidad_u5_log,2026-07-19
AND,0.916,34.329,60776.142,88.581,11.015,Q4,-0.54,0.929,False,mortalidad_u5_log,2026-07-19
ARE,1.569,26.859,73582.25,84.132,11.206,Q4,0.188,0.929,False,mortalidad_u5_log,2026-07-19
ARG,2.251,33.01,28434.421,91.392,10.255,Q3,0.212,1.163,False,mortalidad_u5_log,2026-07-19
ARM,2.262,21.659,12630.343,64.489,9.444,Q2,-0.511,0.899,False,mortalidad_u5_log,2026-07-19
ATG,2.208,19.493,26183.052,25.229,10.173,Q3,0.007,1.163,False,mortalidad_u5_log,2026-07-19
AUS,1.281,32.69,55302.658,86.726,10.921,Q4,-0.259,0.929,False,mortalidad_u5_log,2026-07-19
AUT,1.194,49.291,61436.199,67.496,11.026,Q4,-0.052,0.929,False,mortalidad_u5_log,2026-07-19
AZE,2.885,38.914,19984.079,54.883,9.903,Q3,0.683,1.163,False,mortalidad_u5_log,2026-07-19
BDI,3.852,26.286,1008.067,14.013,6.916,Q1,-0.768,0.683,True,mortalidad_u5_log,2026-07-19
BEL,1.308,50.759,57305.106,85.962,10.956,Q4,0.011,0.929,False,mortalidad_u5_log,2026-07-19
BEN,4.313,13.158,2915.293,45.353,7.978,Q1,0.354,0.683,False,mortalidad_u5_log,2026-07-19
BFA,4.316,19.191,2085.653,25.264,7.643,Q1,0.188,0.683,False,mortalidad_u5_log,2026-07-19
BGD,3.418,8.671,5154.984,29.165,8.548,Q2,-0.155,0.899,False,mortalidad_u5_log,2026-07-19
