iso3,year,variable,value,era
ABW,1995,exp_gdp,26.332,1974-95 crisis+bienestar
ABW,1996,exp_gdp,27.458,1996-2007 pre-crisis
ABW,1997,exp_gdp,24.989,1996-2007 pre-crisis
ABW,1998,exp_gdp,21.574,1996-2007 pre-crisis
ABW,1999,exp_gdp,22.798,1996-2007 pre-crisis
ABW,2000,exp_gdp,21.606,1996-2007 pre-crisis
ABW,2001,exp_gdp,22.508,1996-2007 pre-crisis
ABW,2002,exp_gdp,24.66,1996-2007 pre-crisis
ABW,2003,exp_gdp,25.136,1996-2007 pre-crisis
ABW,2004,exp_gdp,29.245,1996-2007 pre-crisis
ABW,2005,exp_gdp,24.477,1996-2007 pre-crisis
ABW,2006,exp_gdp,24.827,1996-2007 pre-crisis
ABW,2007,exp_gdp,22.62,1996-2007 pre-crisis
ABW,2008,exp_gdp,25.359,2008-23 s.XXI crisis
ABW,2009,exp_gdp,26.888,2008-23 s.XXI crisis
ABW,2010,exp_gdp,30.443,2008-23 s.XXI crisis
ABW,2011,exp_gdp,27.199,2008-23 s.XXI crisis
ABW,2012,exp_gdp,30.761,2008-23 s.XXI crisis
ABW,2013,exp_gdp,29.454,2008-23 s.XXI crisis
ABW,2014,exp_gdp,29.834,2008-23 s.XXI crisis
ABW,2015,exp_gdp,25.373,2008-23 s.XXI crisis
ABW,2016,exp_gdp,25.119,2008-23 s.XXI crisis
ABW,2017,exp_gdp,24.558,2008-23 s.XXI crisis
ABW,2018,exp_gdp,24.863,2008-23 s.XXI crisis
ABW,2019,exp_gdp,24.032,2008-23 s.XXI crisis
ABW,2020,exp_gdp,41.916,2008-23 s.XXI crisis
ABW,2021,exp_gdp,31.365,2008-23 s.XXI crisis
ABW,2022,exp_gdp,23.525,2008-23 s.XXI crisis
ABW,2023,exp_gdp,22.411,2008-23 s.XXI crisis
AFG,2002,exp_gdp,6.943,1996-2007 pre-crisis
AFG,2003,exp_gdp,11.927,1996-2007 pre-crisis
AFG,2004,exp_gdp,15.069,1996-2007 pre-crisis
AFG,2005,exp_gdp,15.651,1996-2007 pre-crisis
AFG,2006,exp_gdp,18.262,1996-2007 pre-crisis
AFG,2007,exp_gdp,21.448,1996-2007 pre-crisis
AFG,2008,exp_gdp,20.899,2008-23 s.XXI crisis
AFG,2009,exp_gdp,21.151,2008-23 s.XXI crisis
AFG,2010,exp_gdp,20.789,2008-23 s.XXI crisis
AFG,2011,exp_gdp,21.937,2008-23 s.XXI crisis
AFG,2012,exp_gdp,25.028,2008-23 s.XXI crisis
AFG,2013,exp_gdp,24.977,2008-23 s.XXI crisis
AFG,2014,exp_gdp,25.402,2008-23 s.XXI crisis
AFG,2015,exp_gdp,25.947,2008-23 s.XXI crisis
