escenario,year,p5,p25,p50,p75,p95
central,2024,104.4,104.9,105.2,105.6,106.1
central,2025,104.0,104.9,105.6,106.3,107.4
central,2026,103.9,105.4,106.4,107.4,109.0
central,2027,104.2,106.2,107.5,109.0,111.2
central,2028,104.7,107.3,109.1,110.9,113.7
central,2029,105.7,108.7,111.0,113.2,116.7
central,2030,106.9,110.5,113.3,116.0,120.2
central,2031,108.4,112.7,115.9,119.2,124.3
central,2032,110.1,115.1,118.9,122.8,128.8
central,2033,112.2,117.9,122.3,126.9,133.7
central,2034,114.4,121.0,126.0,131.4,139.3
central,2035,116.9,124.4,130.1,136.3,145.5
central,2036,119.6,128.0,134.6,141.7,152.1
central,2037,122.6,132.0,139.4,147.4,159.3
central,2038,125.8,136.3,144.5,153.5,167.0
central,2039,129.2,141.0,150.0,160.1,175.1
central,2040,132.9,145.8,156.0,167.1,184.1
central,2041,136.8,150.9,162.2,174.6,193.6
central,2042,140.7,156.3,168.8,182.5,203.9
central,2043,145.0,162.0,175.8,190.7,214.8
central,2044,149.2,168.0,183.1,199.5,226.1
central,2045,153.7,174.2,190.6,208.5,237.9
central,2046,158.1,180.6,198.4,217.9,250.1
central,2047,163.0,187.1,206.5,227.6,262.8
central,2048,167.6,193.7,214.7,237.4,275.5
central,2049,172.6,200.4,222.8,247.7,288.8
central,2050,177.7,207.1,231.3,258.0,302.5
central,2051,182.6,214.0,239.8,268.6,316.7
central,2052,187.5,220.9,248.4,279.1,330.6
central,2053,192.4,228.0,257.0,290.0,344.5
central,2054,197.2,234.9,265.7,300.7,359.2
central,2055,202.1,241.8,274.5,311.8,373.8
central,2056,206.9,248.8,283.1,322.9,389.0
central,2057,211.7,255.9,292.0,333.9,404.3
central,2058,216.4,262.9,300.8,345.0,419.9
central,2059,221.1,269.9,309.6,356.5,435.6
central,2060,225.8,276.8,318.5,367.6,451.5
central,2061,230.6,283.8,327.4,379.1,467.1
central,2062,235.3,290.9,336.3,390.5,482.8
central,2063,239.9,297.8,345.4,401.7,498.9
central,2064,244.6,304.8,354.4,413.2,515.5
central,2065,249.2,311.7,363.3,424.9,532.3
central,2066,253.7,318.6,372.4,436.6,549.3
central,2067,258.1,325.6,381.3,448.2,566.3
central,2068,262.5,332.6,390.7,460.4,583.5
central,2069,267.2,339.8,400.0,472.3,601.2
central,2070,271.8,347.0,408.9,484.5,618.5
consolidacion_2_5pp,2024,104.4,104.9,105.2,105.6,106.0
consolidacion_2_5pp,2025,103.4,104.4,105.1,105.8,106.8
consolidacion_2_5pp,2026,102.4,103.8,104.9,106.0,107.5
consolidacion_2_5pp,2027,101.2,103.1,104.5,106.0,108.1
