iso3,year,exp_gdp,rev_gdp,fuente
AUS,1824,,1.7644218,gmd
AUS,1825,,2.4789283,gmd
AUS,1826,,2.301847,gmd
AUS,1827,,2.3572457,gmd
AUS,1828,,2.5538106,gmd
AUS,1829,,2.4263089,gmd
AUS,1830,,2.136119,gmd
AUS,1831,,2.3545742,gmd
AUS,1832,,2.517519,gmd
AUS,1833,,2.6373348,gmd
AUS,1834,,2.414379,gmd
AUS,1835,,2.4043276,gmd
AUS,1836,,2.794523,gmd
AUS,1837,,2.8354797,gmd
AUS,1839,4.112929,4.078208,gmd
AUS,1850,4.8448286,4.8790073,gmd
AUS,1851,7.6695733,9.698253,gmd
AUS,1852,5.8148193,8.826479,gmd
AUS,1853,10.014944,11.2068205,gmd
AUS,1854,12.750417,9.969142,gmd
AUS,1855,10.4028425,8.950096,gmd
AUS,1856,12.010743,9.818903,gmd
AUS,1857,11.588145,10.273217,gmd
AUS,1858,11.455691,10.163736,gmd
AUS,1859,12.998564,9.517976,gmd
AUS,1860,13.7865,9.153268,gmd
AUS,1901,1.3180318,2.6731246,gmd
AUS,1902,2.6963053,2.751987,gmd
AUS,1903,2.979113,2.8549268,gmd
AUS,1904,2.7411356,2.5002396,gmd
AUS,1905,2.7422078,2.7521615,gmd
AUS,1906,2.6365533,2.763723,gmd
AUS,1907,2.5270865,2.833996,gmd
AUS,1908,2.914515,2.6599376,gmd
AUS,1909,2.578885,2.84371,gmd
AUS,1910,2.818364,3.1059773,gmd
AUS,1911,2.8296618,3.126858,gmd
AUS,1912,3.0296288,3.0527196,gmd
AUS,1913,2.89828,2.7939727,gmd
AUS,1914,2.991387,2.593577,gmd
AUS,1915,4.9688334,3.7681038,gmd
AUS,1916,7.1404366,3.5741897,gmd
AUS,1917,8.77823,3.6880019,gmd
AUS,1918,8.765172,4.3166575,gmd
AUS,1919,9.6025915,4.715737,gmd
AUS,1920,7.861243,5.366525,gmd
AUS,1921,6.8017197,4.718393,gmd
AUS,1922,5.7529607,4.732339,gmd
AUS,1923,4.7998533,4.386382,gmd
AUS,1924,5.0026717,4.41653,gmd
AUS,1925,4.4855614,4.1427345,gmd
AUS,1926,5.055347,4.668932,gmd
AUS,1927,4.9506197,4.3623166,gmd
AUS,1928,5.1716814,4.3961577,gmd
AUS,1929,5.19316,4.584919,gmd
AUS,1930,5.644163,4.557076,gmd
AUS,1931,6.5691237,5.7038813,gmd
AUS,1932,6.2658463,6.2359195,gmd
AUS,1933,5.7526555,5.9700603,gmd
AUS,1934,5.5742345,5.791173,gmd
AUS,1935,5.66629,5.840475,gmd
AUS,1936,5.279718,5.3788834,gmd
AUS,1937,5.0830054,5.2886734,gmd
AUS,1938,5.0539875,5.2214704,gmd
AUS,1939,5.5706882,6.2859354,gmd
AUS,1940,7.2587686,7.73538,gmd
AUS,1941,12.1340885,9.997276,gmd
AUS,1942,17.1515,12.02435,gmd
AUS,1943,24.615788,12.223497,gmd
AUS,1944,25.015953,13.25861,gmd
AUS,1945,22.854095,14.05838,gmd
AUS,1946,18.99727,15.008116,gmd
