ccaa,periodo_origen,periodo_pred,h,ipv_pred,pi_80_low,pi_80_high,pi_95_low,pi_95_high,escenario,ratio_aseq_pred,modelo,fecha_ejecucion,explicacion
Andalucía,2025Q4,2026Q1,1,190.92,187.17,194.42,185.61,196.7,salarios_0pct,1.582,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q1,1,190.92,187.17,194.42,185.61,196.7,central_salarios_2pct,1.5206,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q1,1,190.92,187.17,194.42,185.61,196.7,salarios_4pct,1.4627,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q2,2,195.91,191.9,202.97,189.2,205.16,salarios_0pct,1.6234,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q2,2,195.91,191.9,202.97,189.2,205.16,central_salarios_2pct,1.5527,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q2,2,195.91,191.9,202.97,189.2,205.16,salarios_4pct,1.4863,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q3,3,200.91,195.76,210.83,193.64,213.89,salarios_0pct,1.6649,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q3,3,200.91,195.76,210.83,193.64,213.89,central_salarios_2pct,1.5845,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q3,3,200.91,195.76,210.83,193.64,213.89,salarios_4pct,1.5094,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
Andalucía,2025Q4,2026Q4,4,205.91,200.48,218.24,197.83,221.49,salarios_0pct,1.7063,drift,2026-07-18,"drift: tendencia de los últimos 8 trimestres (+5.00 pts/trimestre); banda = cuantiles empíricos de los errores de backtesting (validación + test, declarado)"
