geo,year,variable,value,flag
AT,1995,te_total,56.0,
AT,1996,te_total,56.0,
AT,1997,te_total,52.7,
AT,1998,te_total,52.6,
AT,1999,te_total,52.4,
AT,2000,te_total,51.4,
AT,2001,te_total,51.8,
AT,2002,te_total,51.6,
AT,2003,te_total,51.8,
AT,2004,te_total,54.3,
AT,2005,te_total,51.7,
AT,2006,te_total,50.9,
AT,2007,te_total,49.7,
AT,2008,te_total,50.4,
AT,2009,te_total,54.6,
AT,2010,te_total,53.4,
AT,2011,te_total,51.3,
AT,2012,te_total,51.8,
AT,2013,te_total,52.4,
AT,2014,te_total,52.4,
AT,2015,te_total,51.2,
AT,2016,te_total,50.6,
AT,2017,te_total,49.8,
AT,2018,te_total,49.2,
AT,2019,te_total,49.1,
AT,2020,te_total,57.3,covid
AT,2021,te_total,56.0,covid
AT,2022,te_total,53.0,covid
AT,2023,te_total,52.2,
BE,1995,te_total,52.6,
BE,1996,te_total,53.1,
BE,1997,te_total,51.6,
BE,1998,te_total,51.0,
BE,1999,te_total,50.5,
BE,2000,te_total,49.4,
BE,2001,te_total,49.4,
BE,2002,te_total,49.9,
BE,2003,te_total,51.0,
BE,2004,te_total,49.3,
BE,2005,te_total,51.9,
BE,2006,te_total,48.8,
BE,2007,te_total,48.6,
BE,2008,te_total,50.8,
BE,2009,te_total,54.5,
BE,2010,te_total,53.9,
BE,2011,te_total,55.0,
BE,2012,te_total,56.2,
BE,2013,te_total,55.9,
BE,2014,te_total,55.4,
BE,2015,te_total,53.9,
BE,2016,te_total,53.4,
BE,2017,te_total,52.3,
BE,2018,te_total,52.5,
BE,2019,te_total,51.8,
BE,2020,te_total,58.5,covid
BE,2021,te_total,54.9,covid
BE,2022,te_total,52.5,covid
BE,2023,te_total,52.8,
BG,1995,te_total,31.8,
BG,1996,te_total,36.8,
BG,1997,te_total,31.8,
BG,1998,te_total,33.9,
BG,1999,te_total,41.5,
BG,2000,te_total,43.0,
BG,2001,te_total,40.6,
BG,2002,te_total,39.1,
BG,2003,te_total,38.6,
BG,2004,te_total,37.8,
BG,2005,te_total,36.7,
BG,2006,te_total,33.7,
BG,2007,te_total,37.7,
BG,2008,te_total,37.1,
BG,2009,te_total,39.3,
BG,2010,te_total,36.1,
BG,2011,te_total,33.7,
BG,2012,te_total,34.3,
BG,2013,te_total,37.8,
BG,2014,te_total,43.2,
BG,2015,te_total,40.4,
BG,2016,te_total,34.8,
BG,2017,te_total,34.8,
BG,2018,te_total,37.1,
BG,2019,te_total,36.5,
BG,2020,te_total,41.4,covid
BG,2021,te_total,41.5,covid
BG,2022,te_total,41.3,covid
BG,2023,te_total,38.9,
CH,1995,te_total,32.9,
CH,1996,te_total,33.5,
CH,1997,te_total,33.5,
CH,1998,te_total,33.3,
CH,1999,te_total,33.9,
CH,2000,te_total,32.9,
CH,2001,te_total,32.2,
CH,2002,te_total,34.5,
CH,2003,te_total,33.8,
CH,2004,te_total,33.5,
CH,2005,te_total,32.7,
CH,2006,te_total,30.9,
CH,2007,te_total,29.7,
CH,2008,te_total,30.4,
CH,2009,te_total,32.2,
CH,2010,te_total,31.8,
CH,2011,te_total,31.9,
CH,2012,te_total,32.1,
CH,2013,te_total,32.9,
CH,2014,te_total,32.5,
CH,2015,te_total,33.0,
CH,2016,te_total,33.1,
CH,2017,te_total,33.1,
CH,2018,te_total,32.2,
CH,2019,te_total,32.5,
CH,2020,te_total,37.4,covid
CH,2021,te_total,34.7,covid
CH,2022,te_total,31.5,covid
CH,2023,te_total,32.2,
CY,1995,te_total,32.5,
CY,1996,te_total,34.4,
CY,1997,te_total,35.9,
CY,1998,te_total,35.9,
CY,1999,te_total,35.9,
CY,2000,te_total,36.4,
CY,2001,te_total,37.1,
CY,2002,te_total,38.9,
CY,2003,te_total,42.9,
CY,2004,te_total,40.9,
CY,2005,te_total,41.5,
CY,2006,te_total,41.0,
CY,2007,te_total,40.1,
CY,2008,te_total,40.8,
CY,2009,te_total,44.9,
CY,2010,te_total,44.5,
CY,2011,te_total,44.9,
CY,2012,te_total,54.6,
CY,2013,te_total,46.3,
CY,2014,te_total,52.1,
CY,2015,te_total,43.1,
CY,2016,te_total,39.6,
CY,2017,te_total,38.5,
CY,2018,te_total,44.3,
CY,2019,te_total,40.3,
CY,2020,te_total,45.9,covid
CY,2021,te_total,42.7,covid
CY,2022,te_total,37.7,covid
CY,2023,te_total,40.6,
CZ,1995,te_total,52.8,
CZ,1996,te_total,41.4,
CZ,1997,te_total,41.3,
CZ,1998,te_total,41.6,
CZ,1999,te_total,40.9,
CZ,2000,te_total,40.6,
CZ,2001,te_total,43.1,
CZ,2002,te_total,44.4,
CZ,2003,te_total,49.0,
CZ,2004,te_total,42.2,
CZ,2005,te_total,42.3,
CZ,2006,te_total,41.5,
CZ,2007,te_total,40.5,
CZ,2008,te_total,40.9,
CZ,2009,te_total,44.5,
CZ,2010,te_total,43.2,
CZ,2011,te_total,42.8,
CZ,2012,te_total,44.4,
CZ,2013,te_total,42.4,
CZ,2014,te_total,42.3,
CZ,2015,te_total,41.7,
CZ,2016,te_total,39.4,
CZ,2017,te_total,38.5,
CZ,2018,te_total,40.1,
CZ,2019,te_total,40.4,
CZ,2020,te_total,46.3,covid
CZ,2021,te_total,45.0,covid
CZ,2022,te_total,43.0,covid
CZ,2023,te_total,43.7,
DE,1995,te_total,55.2,
DE,1996,te_total,49.6,
DE,1997,te_total,48.8,
DE,1998,te_total,48.3,
DE,1999,te_total,48.5,
DE,2000,te_total,48.1,
DE,2001,te_total,47.7,
DE,2002,te_total,48.2,
DE,2003,te_total,48.5,
DE,2004,te_total,47.0,
DE,2005,te_total,46.9,
DE,2006,te_total,45.3,
DE,2007,te_total,43.5,
DE,2008,te_total,44.4,
DE,2009,te_total,48.3,
DE,2010,te_total,48.1,
DE,2011,te_total,45.3,
DE,2012,te_total,45.1,
DE,2013,te_total,45.2,
DE,2014,te_total,44.5,
DE,2015,te_total,44.5,
DE,2016,te_total,44.7,
DE,2017,te_total,44.5,
DE,2018,te_total,44.7,
DE,2019,te_total,45.5,
DE,2020,te_total,51.1,covid
DE,2021,te_total,50.7,covid
DE,2022,te_total,48.6,covid
DE,2023,te_total,48.1,
DK,1995,te_total,58.7,
DK,1996,te_total,58.2,
DK,1997,te_total,56.2,
DK,1998,te_total,55.6,
DK,1999,te_total,54.7,
DK,2000,te_total,52.9,
DK,2001,te_total,53.0,
DK,2002,te_total,53.1,
DK,2003,te_total,53.5,
DK,2004,te_total,52.8,
DK,2005,te_total,51.1,
DK,2006,te_total,49.7,
DK,2007,te_total,49.5,
DK,2008,te_total,50.3,
DK,2009,te_total,56.3,
DK,2010,te_total,56.5,
DK,2011,te_total,56.3,
DK,2012,te_total,57.9,
DK,2013,te_total,55.6,
DK,2014,te_total,55.1,
DK,2015,te_total,54.4,
DK,2016,te_total,52.4,
DK,2017,te_total,50.6,
DK,2018,te_total,50.8,
DK,2019,te_total,49.8,
DK,2020,te_total,53.3,covid
DK,2021,te_total,49.7,covid
DK,2022,te_total,45.1,covid
DK,2023,te_total,47.4,
EA21,2010,te_total,51.0,
EA21,2011,te_total,49.5,
EA21,2012,te_total,50.3,
EA21,2013,te_total,50.3,
EA21,2014,te_total,49.6,
EA21,2015,te_total,48.6,
EA21,2016,te_total,47.9,
EA21,2017,te_total,47.3,
EA21,2018,te_total,47.0,
EA21,2019,te_total,47.0,
EA21,2020,te_total,53.5,covid
EA21,2021,te_total,52.0,covid
EA21,2022,te_total,49.8,covid
EA21,2023,te_total,49.3,
EE,1995,te_total,39.7,
EE,1996,te_total,38.9,
EE,1997,te_total,36.7,
EE,1998,te_total,39.1,
EE,1999,te_total,40.1,
EE,2000,te_total,36.4,
EE,2001,te_total,35.3,
EE,2002,te_total,35.9,
EE,2003,te_total,35.0,
EE,2004,te_total,34.1,
EE,2005,te_total,33.7,
EE,2006,te_total,33.5,
EE,2007,te_total,33.8,
EE,2008,te_total,39.5,
EE,2009,te_total,46.1,
EE,2010,te_total,40.7,
EE,2011,te_total,37.6,
EE,2012,te_total,39.4,
EE,2013,te_total,38.3,
EE,2014,te_total,37.6,
EE,2015,te_total,39.3,
EE,2016,te_total,38.9,
EE,2017,te_total,38.9,
EE,2018,te_total,38.8,
EE,2019,te_total,39.1,
EE,2020,te_total,44.7,covid
EE,2021,te_total,42.1,covid
EE,2022,te_total,40.0,covid
EE,2023,te_total,43.1,
EL,1995,te_total,46.6,
EL,1996,te_total,46.1,
EL,1997,te_total,45.1,
EL,1998,te_total,46.7,
EL,1999,te_total,48.0,
EL,2000,te_total,48.2,
EL,2001,te_total,47.5,
EL,2002,te_total,47.1,
EL,2003,te_total,47.9,
EL,2004,te_total,48.8,
EL,2005,te_total,46.6,
EL,2006,te_total,45.9,
EL,2007,te_total,47.8,
EL,2008,te_total,51.5,
EL,2009,te_total,54.8,
EL,2010,te_total,53.1,
EL,2011,te_total,55.1,
EL,2012,te_total,57.9,
EL,2013,te_total,63.9,
EL,2014,te_total,51.5,
EL,2015,te_total,54.8,
EL,2016,te_total,50.3,
EL,2017,te_total,48.6,
EL,2018,te_total,48.6,
EL,2019,te_total,47.7,
EL,2020,te_total,59.3,covid
EL,2021,te_total,56.7,covid
EL,2022,te_total,53.1,covid
EL,2023,te_total,49.6,
ES,1995,te_total,44.1,
ES,1996,te_total,42.9,
ES,1997,te_total,41.5,
ES,1998,te_total,41.0,
ES,1999,te_total,39.9,
ES,2000,te_total,39.1,
ES,2001,te_total,38.4,
ES,2002,te_total,38.6,
ES,2003,te_total,38.3,
ES,2004,te_total,38.8,
ES,2005,te_total,38.4,
ES,2006,te_total,38.4,
ES,2007,te_total,39.2,
ES,2008,te_total,41.3,
ES,2009,te_total,46.1,
ES,2010,te_total,45.8,
ES,2011,te_total,45.9,
ES,2012,te_total,49.2,
ES,2013,te_total,46.2,
ES,2014,te_total,45.0,
ES,2015,te_total,43.7,
ES,2016,te_total,42.1,
ES,2017,te_total,41.0,
ES,2018,te_total,41.5,
ES,2019,te_total,42.0,
ES,2020,te_total,51.4,covid
ES,2021,te_total,49.5,covid
ES,2022,te_total,46.3,covid
ES,2023,te_total,45.4,
FI,1995,te_total,61.0,
FI,1996,te_total,59.5,
FI,1997,te_total,56.1,
FI,1998,te_total,52.3,
FI,1999,te_total,51.0,
FI,2000,te_total,47.9,
FI,2001,te_total,47.3,
FI,2002,te_total,48.5,
FI,2003,te_total,49.3,
FI,2004,te_total,49.1,
FI,2005,te_total,49.0,
FI,2006,te_total,48.1,
FI,2007,te_total,46.6,
FI,2008,te_total,47.9,
FI,2009,te_total,54.1,
FI,2010,te_total,54.0,
FI,2011,te_total,53.8,
FI,2012,te_total,55.7,
FI,2013,te_total,57.1,
FI,2014,te_total,57.6,
FI,2015,te_total,55.7,
FI,2016,te_total,55.1,
FI,2017,te_total,52.8,
FI,2018,te_total,52.7,
FI,2019,te_total,52.6,
FI,2020,te_total,56.5,covid
FI,2021,te_total,55.1,covid
FI,2022,te_total,52.6,covid
FI,2023,te_total,55.9,
FR,1995,te_total,56.1,
FR,1996,te_total,56.0,
FR,1997,te_total,55.6,
FR,1998,te_total,54.0,
FR,1999,te_total,53.7,
FR,2000,te_total,52.6,
FR,2001,te_total,52.8,
FR,2002,te_total,53.9,
FR,2003,te_total,54.4,
FR,2004,te_total,54.0,
FR,2005,te_total,54.3,
FR,2006,te_total,53.8,
