geo,year,arop_post,arop_pre_nopens,benefits,captransf,debt,deficit,e0,emigration,gdp_pc_pps,gfcf,gini,goods,immigration,interest,mort_preventable,mort_treatable,obesity,overburden,overcrowding,pensions_oldage,pop65_share,population,pub_emp_share,recycling,revenue,smoking,social_contrib,socprot_exp,subsidies,tax_income,tax_production,te_gf01,te_gf02,te_gf03,te_gf04,te_gf05,te_gf06,te_gf0601,te_gf07,te_gf08,te_gf09,te_gf10,te_gf1006,te_total,unemployment,unemployment_global,urban_share,wage_premium,wagebill_exp,wagebill_gdp,wages,capital,current,capital_share,net_migration_rate
AD,1995,,,,,,,,,,,,,,,,,,,,,10.34348711728942,64311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,1996,,,,,,,,,,,,,,,,,,,,,10.822280336366056,63859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,1997,,,,,,,,,,,,,,,,,,,,,11.189689666403014,64479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,1998,,,,,,,,,,,,,,,,,,,,,11.507365326309987,65306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,1999,,,,,,,,,,,,,,,,,,,,,11.764348710475584,65877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2000,,,,,,,,,,,,,,,,,,,,,12.09167664579891,65971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2001,,,,,,,,,,,,,,,,,,,,,12.505315594435332,65844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2002,,,,,,,,,,,,,,,,,,,,,12.96318629963518,66334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2003,,,,,,,,,,,,,,,,,,,,,13.25808901264164,67159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2004,,,,,,,,,,,,,,,,,,,,,12.621681415929203,72320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2005,,,,,,,,,,,,,,,,,,,,,11.951869918699188,76875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2006,,,,,,,,,,,,,,,,,,,,,11.809189168544476,78549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2007,,,,,,,,,,,,,,,,,,,,,11.770210041614341,81222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2008,,,,,,,,,,,,,,,,,,,,,11.953763065782985,83137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2009,,,,,,,,,,,,,,,,,,,,,12.275697173429288,84484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2010,,,,,,,,,,,,,,,,,,,,,12.856497228895602,84082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2011,,,,,,,,,,,,,,,,,,,,,12.618575177622734,78115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2012,,,,,,,,,,,,,,,,,,,,,12.618575177622734,78115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2013,,,,,,,,,,,,,,,,,,,,,12.596070613540384,76246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AD,2019,,,,,,,,,,,,,,,,,,,,,13.58152723262927,76177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,1995,,,,,,,,,,,,,,,,,,,,,,3248836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,1996,,,,,,,,,,,,,,,,,,,,,,3283000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,1997,,,,,,,,,2316.5,,,,,,,,,,,,,3324317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,1998,,,,,,,,,2575.6,,,,,,,,,,,,,3354341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,1999,,,,,,,,,2975.6,,,,,,,,,,,,,3373445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2000,,,,,,,,,3315.3,,,,,,,,,,,,,3058497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2001,,,,,,,,,3684.4,,,,,,,,,,,,,3063318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2002,,,,,,,,,3968.4,,,,,,,,,,,,7.754026963531127,3057018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2003,,,,,,,,,4245.1,,,,,,,,,,,,8.065962713214777,3044993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2004,,,,,,,,,4572.0,,,,,,,,,,,,8.37029217617248,3034231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2005,,,,,,,,,4926.5,,,,,,,,,,,,8.707843400888981,3019634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2006,,,,,,,,,5370.1,,,,,,,,,,,,9.158237409221567,3003329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2007,,,,,,,,,5988.6,,,,,,,,,,,,9.503295877763264,2981755.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2008,,,,,,,,,6572.5,,,,,,,,,,,,9.995652858803096,2958266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2009,,,,,,,,,6817.5,,,,,,,,,,,,10.416145186804728,2936355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2010,,,,,,,,,7385.1,,,,,,,,,,,,10.746626721586583,2918674.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2011,,,,,,,,,7655.8,,,,,,,,,,,,11.028730178330107,2907361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2012,,,,,,,,,7727.0,,,,,,,,,,,,11.2902892448109,2903008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2013,,,,,,,77.9,,7642.6,,,,,,,,,,,,11.619107106499134,2897770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2014,,,,,,,78.2,,8111.7,,,,,,,,,,,,12.002341313112943,2892394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2015,,,,,,,77.9,,8444.4,,,,,,,,,,,,12.449320742006712,2885796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2016,,,,,,,78.5,,8480.7,,,,,,,,,,,,12.794130738992179,2875592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2017,23.7,27.1,,,,,78.5,,8932.8,,36.8,,,,,,,9.2,63.8,,13.138850813341207,2876591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2018,23.4,26.3,,,,,78.9,,9288.3,,35.4,,,,,,,6.0,62.9,,13.558295161103764,2870324.0,,,,,,13.47,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2019,23.0,26.1,,,,,79.1,,9620.6,,34.3,,,,,,,5.5,60.7,,14.086507708318848,2862427.0,,,,,,13.62,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2020,21.8,24.8,,,,,77.4,,9270.6,,33.2,,,,,,,3.8,58.1,,14.759052760848293,2845955.0,,18.1,,,,15.65,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2021,22.0,25.2,,,,,75.5,,10287.5,,33.0,,,,,,,3.3,58.0,,15.249840886498092,2829741.0,,18.7,,,,14.74,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2022,20.6,24.5,,,,,79.1,,12062.3,,31.0,,,,,,,2.8,57.4,,15.722589411768077,2793592.0,,18.9,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2023,19.7,23.3,,,,,,,,,30.2,,,,,,,2.1,57.1,,16.456603247537373,2761785.0,,18.8,,,,12.85,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2024,19.2,22.7,,,,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AL,2025,,,,,,,,,,,,,,,,,,,,,21.173487737981496,2363314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AM,2000,,,,,,,,,,,,,,,,,,,,,,3226900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AM,2001,,,,,,,,,,,,,,,,,,,,,,3215300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
AM,2002,,,,,,,,,,,,,,,,,,,,,,3212900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
