iso3,hlo,gasto_edu,gdp_pc,urban,log_gdp,grupo,residual,semiancho_90,destacado,modelo,fecha_ejecucion
AFG,354.76,3.33,2937.48,23.93,7.99,Q1,-7.67,54.23,False,ols,2026-07-19
AGO,325.97,3.14,11115.63,62.9,9.32,Q2,-86.08,75.69,True,ols,2026-07-19
ALB,434.13,3.26,13637.34,54.57,9.52,Q2,13.75,75.69,False,ols,2026-07-19
ARG,408.17,5.01,28434.42,91.39,10.26,Q3,-48.87,69.31,False,ols,2026-07-19
ARM,442.97,2.94,12630.34,64.49,9.44,Q2,28.3,75.69,False,ols,2026-07-19
ATG,407.0,2.2,26183.05,25.23,10.17,Q3,-39.01,69.31,False,ols,2026-07-19
AUT,507.64,5.48,61436.2,67.5,11.03,Q4,17.23,78.08,False,ols,2026-07-19
AZE,415.95,2.64,19984.08,54.88,9.9,Q3,-16.78,69.31,False,ols,2026-07-19
BDI,422.75,5.93,1008.07,14.01,6.92,Q1,93.1,54.23,True,ols,2026-07-19
BEL,516.81,6.4,57305.11,85.96,10.96,Q4,26.07,78.08,False,ols,2026-07-19
BEN,383.92,3.04,2915.29,45.35,7.98,Q1,25.73,54.23,False,ols,2026-07-19
BFA,403.65,3.88,2085.65,25.26,7.64,Q1,53.43,54.23,False,ols,2026-07-19
BGD,368.32,2.06,5154.98,29.16,8.55,Q2,-9.57,75.69,False,ols,2026-07-19
BGR,441.09,3.93,24184.01,72.91,10.09,Q3,-4.24,69.31,False,ols,2026-07-19
BHR,451.71,2.5,53978.45,100.0,10.9,Q4,-16.56,78.08,False,ols,2026-07-19
BIH,416.13,3.17,13872.16,47.23,9.54,Q2,-5.22,75.69,False,ols,2026-07-19
BLR,488.14,5.09,25581.78,76.13,10.15,Q3,35.24,69.31,False,ols,2026-07-19
BRA,413.24,5.48,18396.34,85.42,9.82,Q3,-28.96,69.31,False,ols,2026-07-19
BRN,437.52,2.85,84039.85,75.06,11.34,Q4,-53.33,78.08,False,ols,2026-07-19
BTN,386.74,5.18,11984.38,36.16,9.39,Q2,-40.84,75.69,False,ols,2026-07-19
BWA,391.32,9.1,16248.83,65.0,9.7,Q3,-68.98,69.31,False,ols,2026-07-19
CAF,368.73,1.63,1213.41,39.76,7.1,Q1,54.45,54.23,True,ols,2026-07-19
CAN,534.0,4.87,55102.96,81.24,10.92,Q4,52.67,78.08,False,ols,2026-07-19
CHE,515.14,4.87,78062.8,75.48,11.27,Q4,19.04,78.08,False,ols,2026-07-19
CHL,452.22,4.01,27018.14,87.38,10.2,Q3,3.35,69.31,False,ols,2026-07-19
CIV,373.23,3.17,4861.48,49.03,8.49,Q1,-6.33,54.23,False,ols,2026-07-19
CMR,378.87,2.68,4572.65,52.28,8.43,Q1,4.7,54.23,False,ols,2026-07-19
COD,310.2,1.93,1317.65,40.95,7.18,Q1,-12.17,54.23,False,ols,2026-07-19
COG,370.61,3.44,8388.35,62.97,9.03,Q2,-31.26,75.69,False,ols,2026-07-19
COL,419.03,4.4,16052.92,77.06,9.68,Q3,-12.26,69.31,False,ols,2026-07-19
COM,392.23,2.95,3382.7,30.08,8.13,Q1,27.29,54.23,False,ols,2026-07-19
CRI,428.56,5.99,20865.36,74.37,9.95,Q3,-21.78,69.31,False,ols,2026-07-19
CYP,502.16,6.51,39660.89,67.14,10.59,Q4,23.86,78.08,False,ols,2026-07-19
CZE,512.22,4.17,41582.54,73.1,10.64,Q4,44.76,78.08,False,ols,2026-07-19
DEU,517.28,4.8,59210.34,80.64,10.99,Q4,33.07,78.08,False,ols,2026-07-19
DMA,403.78,4.08,17189.2,69.51,9.75,Q3,-29.25,69.31,False,ols,2026-07-19
DNK,517.88,7.96,62083.88,87.56,11.04,Q4,15.98,78.08,False,ols,2026-07-19
DOM,345.22,2.78,17319.51,74.1,9.76,Q3,-82.13,69.31,True,ols,2026-07-19
DZA,374.09,6.91,15023.35,69.53,9.62,Q3,-69.49,69.31,True,ols,2026-07-19
ECU,420.15,4.82,13395.61,62.91,9.5,Q2,-7.15,75.69,False,ols,2026-07-19
EGY,355.99,4.06,13460.27,42.67,9.51,Q2,-70.0,75.69,False,ols,2026-07-19
ESP,506.62,4.44,43003.96,79.09,10.67,Q4,36.81,78.08,False,ols,2026-07-19
EST,543.21,5.02,35631.84,68.39,10.48,Q4,77.42,78.08,False,ols,2026-07-19
ETH,348.2,5.02,1838.33,19.07,7.52,Q1,-4.74,54.23,False,ols,2026-07-19
FIN,533.71,6.49,54172.65,71.01,10.9,Q4,43.95,78.08,False,ols,2026-07-19
FJI,383.34,4.66,11228.51,54.11,9.33,Q2,-36.98,75.69,False,ols,2026-07-19
FSM,379.9,12.17,3780.5,22.31,8.24,Q1,-45.09,54.23,False,ols,2026-07-19
GAB,456.13,2.93,19544.08,87.72,9.88,Q3,26.44,69.31,False,ols,2026-07-19
GBR,520.36,5.28,49878.18,81.67,10.82,Q4,40.67,78.08,False,ols,2026-07-19
GEO,399.77,2.76,14334.6,56.9,9.57,Q3,-20.17,69.31,False,ols,2026-07-19
GHA,307.28,5.83,5506.13,53.03,8.61,Q2,-92.31,75.69,True,ols,2026-07-19
GIN,408.25,2.14,2936.3,34.82,7.98,Q1,54.21,54.23,False,ols,2026-07-19
GMB,352.9,1.84,2568.4,58.58,7.85,Q1,6.74,54.23,False,ols,2026-07-19
GRC,468.64,3.87,32470.4,77.27,10.39,Q4,12.45,78.08,False,ols,2026-07-19
GRD,394.75,4.87,14624.7,35.93,9.59,Q3,-39.24,69.31,False,ols,2026-07-19
GTM,405.26,3.01,10521.3,52.91,9.26,Q2,-3.81,75.69,False,ols,2026-07-19
GUY,346.37,3.47,11893.09,26.41,9.38,Q2,-74.4,75.69,False,ols,2026-07-19
HND,399.75,6.42,5765.81,53.75,8.66,Q2,-3.07,75.69,False,ols,2026-07-19
HRV,487.58,4.24,29883.31,55.55,10.31,Q3,31.38,69.31,False,ols,2026-07-19
HTI,337.82,1.8,3360.12,48.75,8.12,Q1,-20.5,54.23,False,ols,2026-07-19
HUN,495.48,4.77,30782.65,70.08,10.33,Q3,36.4,69.31,False,ols,2026-07-19
IDN,394.92,3.2,10522.9,52.48,9.26,Q2,-15.28,75.69,False,ols,2026-07-19
IND,399.0,3.61,6048.9,32.22,8.71,Q2,7.29,75.69,False,ols,2026-07-19
IRL,521.33,5.14,71819.92,62.5,11.18,Q4,26.53,78.08,False,ols,2026-07-19
IRN,432.11,3.54,15458.85,72.79,9.65,Q3,6.71,69.31,False,ols,2026-07-19
ISL,497.68,7.23,61326.72,93.64,11.02,Q4,-0.09,78.08,False,ols,2026-07-19
ISR,480.75,5.53,40704.6,91.7,10.61,Q4,8.12,78.08,False,ols,2026-07-19
ITA,492.99,4.21,48192.72,69.16,10.78,Q4,18.83,78.08,False,ols,2026-07-19
JAM,387.13,5.9,10046.43,54.93,9.21,Q2,-35.3,75.69,False,ols,2026-07-19
JOR,429.95,3.61,11110.74,87.53,9.32,Q2,19.15,75.69,False,ols,2026-07-19
JPN,537.72,3.39,43787.06,91.21,10.69,Q4,74.92,78.08,False,ols,2026-07-19
KAZ,416.15,3.1,29985.88,55.83,10.31,Q3,-35.44,69.31,False,ols,2026-07-19
KEN,454.96,5.39,4580.33,31.73,8.43,Q1,66.07,54.23,True,ols,2026-07-19
KGZ,420.09,6.12,5447.03,35.13,8.6,Q2,20.05,75.69,False,ols,2026-07-19
KHM,451.89,1.35,4761.08,28.47,8.47,Q1,83.47,54.23,True,ols,2026-07-19
KIR,411.48,11.72,2483.68,50.86,7.82,Q1,16.94,54.23,False,ols,2026-07-19
KNA,409.07,3.14,27741.76,31.26,10.23,Q3,-43.16,69.31,False,ols,2026-07-19
KOR,537.21,4.24,43961.83,81.72,10.69,Q4,68.29,78.08,False,ols,2026-07-19
KWT,383.4,4.25,59315.89,100.0,10.99,Q4,-100.07,78.08,True,ols,2026-07-19
LAO,368.14,2.41,6345.8,32.8,8.76,Q2,-19.68,75.69,False,ols,2026-07-19
LBN,389.89,2.18,16293.4,88.43,9.7,Q3,-30.61,69.31,False,ols,2026-07-19
LBR,331.75,1.9,1667.8,50.23,7.42,Q1,1.56,54.23,False,ols,2026-07-19
LCA,417.76,3.85,21411.18,19.94,9.97,Q3,-28.35,69.31,False,ols,2026-07-19
LKA,400.0,1.78,12618.42,18.51,9.44,Q2,-13.41,75.69,False,ols,2026-07-19
LSO,392.91,10.83,2883.92,32.61,7.97,Q1,-7.7,54.23,False,ols,2026-07-19
LTU,495.89,4.85,33919.8,67.02,10.43,Q4,32.26,78.08,False,ols,2026-07-19
LUX,492.85,3.83,130897.67,90.51,11.78,Q4,-18.31,78.08,False,ols,2026-07-19
LVA,503.87,5.66,29397.57,67.89,10.29,Q3,41.96,69.31,False,ols,2026-07-19
MAR,380.41,5.17,7948.49,60.15,8.98,Q2,-28.48,75.69,False,ols,2026-07-19
MDA,438.62,7.31,11536.62,39.64,9.35,Q2,2.62,75.69,False,ols,2026-07-19
MDG,350.77,2.53,1635.95,28.91,7.4,Q1,16.8,54.23,False,ols,2026-07-19
MEX,430.07,4.77,21116.95,77.1,9.96,Q3,-14.06,69.31,False,ols,2026-07-19
MLI,307.36,2.94,2670.9,25.33,7.89,Q1,-50.07,54.23,False,ols,2026-07-19
MLT,474.43,6.19,44053.08,94.44,10.69,Q4,-4.83,78.08,False,ols,2026-07-19
MMR,424.63,0.79,4995.65,29.6,8.52,Q2,56.86,75.69,False,ols,2026-07-19
MNG,434.62,4.77,13022.69,67.94,9.47,Q2,9.26,75.69,False,ols,2026-07-19
MOZ,368.24,5.28,1421.71,31.92,7.26,Q1,26.23,54.23,False,ols,2026-07-19
MRT,342.09,2.35,5846.99,50.57,8.67,Q2,-41.04,75.69,False,ols,2026-07-19
MUS,472.77,3.67,21883.34,39.8,9.99,Q3,30.95,69.31,False,ols,2026-07-19
MWI,359.48,3.12,1572.45,15.76,7.36,Q1,23.17,54.23,False,ols,2026-07-19
MYS,445.68,5.08,26791.27,72.87,10.2,Q3,-9.79,69.31,False,ols,2026-07-19
NAM,406.66,7.51,11451.03,44.74,9.35,Q2,-30.61,75.69,False,ols,2026-07-19
NER,304.92,3.39,1448.24,16.33,7.28,Q1,-31.14,54.23,False,ols,2026-07-19
NGA,309.02,0.5,8448.25,54.92,9.04,Q2,-80.84,75.69,True,ols,2026-07-19
NIC,391.99,4.22,6633.06,57.62,8.8,Q2,-4.64,75.69,False,ols,2026-07-19
NLD,519.63,5.25,63157.57,89.72,11.05,Q4,31.35,78.08,False,ols,2026-07-19
NOR,513.59,6.92,87047.17,80.64,11.37,Q4,2.59,78.08,False,ols,2026-07-19
NPL,368.56,3.59,3617.65,64.35,8.19,Q1,-0.14,54.23,False,ols,2026-07-19
NZL,519.75,5.8,44219.73,85.17,10.7,Q4,42.56,78.08,False,ols,2026-07-19
OMN,423.51,3.62,41347.77,76.96,10.63,Q4,-41.79,78.08,False,ols,2026-07-19
PAK,338.66,2.11,4612.53,35.71,8.44,Q1,-34.97,54.23,False,ols,2026-07-19
PAN,376.86,3.21,28565.82,65.43,10.26,Q3,-72.88,69.31,True,ols,2026-07-19
PER,415.03,3.05,14041.86,80.04,9.55,Q2,-3.61,75.69,False,ols,2026-07-19
PHL,361.65,2.55,7459.98,49.82,8.92,Q2,-32.0,75.69,False,ols,2026-07-19
PNG,363.32,1.63,3917.06,13.23,8.27,Q1,-2.54,54.23,False,ols,2026-07-19
POL,530.09,4.99,31035.66,60.44,10.34,Q3,69.26,69.31,False,ols,2026-07-19
PRT,508.51,5.08,36321.18,61.13,10.5,Q4,40.77,78.08,False,ols,2026-07-19
PRY,385.54,3.07,14083.83,61.15,9.55,Q3,-35.08,69.31,False,ols,2026-07-19
PSE,412.32,5.17,6076.2,84.89,8.71,Q2,17.45,75.69,False,ols,2026-07-19
QAT,427.48,3.92,129751.73,98.85,11.77,Q4,-85.54,78.08,True,ols,2026-07-19
ROU,442.16,3.5,28885.75,53.7,10.27,Q3,-9.68,69.31,False,ols,2026-07-19
RUS,497.55,3.88,35279.14,74.16,10.47,Q4,38.06,78.08,False,ols,2026-07-19
RWA,358.08,4.19,2206.73,18.28,7.7,Q1,2.31,54.23,False,ols,2026-07-19
SAU,398.97,5.49,58334.27,82.78,10.97,Q4,-90.31,78.08,True,ols,2026-07-19
SDN,379.63,1.65,4153.65,33.66,8.33,Q1,13.37,54.23,False,ols,2026-07-19
SEN,412.45,4.39,3579.4,45.89,8.18,Q1,39.18,54.23,False,ols,2026-07-19
SGP,575.27,2.98,108057.92,100.0,11.59,Q4,80.71,78.08,True,ols,2026-07-19
SLB,350.52,7.09,2719.57,23.01,7.91,Q1,-29.49,54.23,False,ols,2026-07-19
SLE,315.88,1.8,2740.19,40.36,7.92,Q1,-35.38,54.23,False,ols,2026-07-19
SLV,435.92,3.87,9490.06,68.77,9.16,Q2,28.21,75.69,False,ols,2026-07-19
SRB,457.45,4.15,18548.65,59.96,9.83,Q3,20.7,69.31,False,ols,2026-07-19
SVK,485.35,3.93,32573.21,54.01,10.39,Q4,27.25,78.08,False,ols,2026-07-19
SVN,520.81,5.43,38996.08,52.07,10.57,Q4,48.34,78.08,False,ols,2026-07-19
SWE,519.36,6.87,57811.13,86.29,10.96,Q4,25.95,78.08,False,ols,2026-07-19
SWZ,440.3,6.24,9011.75,23.1,9.11,Q2,18.98,75.69,False,ols,2026-07-19
SYC,463.38,3.86,26951.07,43.05,10.2,Q3,12.1,69.31,False,ols,2026-07-19
TCD,333.11,1.81,2724.82,22.66,7.91,Q1,-18.95,54.23,False,ols,2026-07-19
TGO,383.72,2.91,2490.28,39.28,7.82,Q1,32.1,54.23,False,ols,2026-07-19
THA,426.6,3.97,18567.64,47.22,9.83,Q3,-10.62,69.31,False,ols,2026-07-19
TJK,390.57,4.15,2944.13,26.43,7.99,Q1,24.55,54.23,False,ols,2026-07-19
TLS,371.44,8.96,4309.19,29.51,8.37,Q1,-37.13,54.23,False,ols,2026-07-19
TTO,458.29,3.9,36305.14,53.95,10.5,Q4,-4.62,78.08,False,ols,2026-07-19
TUN,384.08,6.29,12677.85,67.64,9.45,Q2,-49.03,75.69,False,ols,2026-07-19
TUR,477.96,4.33,24736.8,80.86,10.12,Q3,30.75,69.31,False,ols,2026-07-19
TZA,388.48,4.03,3027.34,30.6,8.02,Q1,22.27,54.23,False,ols,2026-07-19
UGA,397.16,1.99,2461.95,23.49,7.81,Q1,50.19,54.23,False,ols,2026-07-19
UKR,478.17,6.09,16873.58,69.01,9.73,Q3,36.15,69.31,False,ols,2026-07-19
URY,437.7,3.79,28086.83,94.93,10.24,Q3,-11.41,69.31,False,ols,2026-07-19
USA,511.8,4.93,63274.71,80.57,11.06,Q4,24.14,78.08,False,ols,2026-07-19
UZB,474.08,5.65,7321.08,50.96,8.9,Q2,66.4,75.69,False,ols,2026-07-19
VCT,391.39,5.32,14329.55,46.56,9.57,Q3,-42.95,69.31,False,ols,2026-07-19
VNM,519.1,4.18,8911.33,32.01,9.1,Q2,110.86,75.69,True,ols,2026-07-19
VUT,347.69,5.42,3848.06,24.76,8.26,Q1,-36.95,54.23,False,ols,2026-07-19
WSM,369.91,4.87,6546.39,19.3,8.79,Q2,-33.65,75.69,False,ols,2026-07-19
ZAF,342.76,4.99,14517.51,63.09,9.58,Q3,-89.23,69.31,True,ols,2026-07-19
ZMB,358.14,3.12,3514.67,41.55,8.16,Q1,-8.91,54.23,False,ols,2026-07-19
ZWE,396.14,4.94,4909.31,33.57,8.5,Q2,5.94,75.69,False,ols,2026-07-19
