iso3,e0,e0_esperado,residual,semiancho_90,destacado,grupo_renta,gasto,gdp_pc,modelo,fecha_ejecucion,explicacion
AFG,62.541,63.062,-0.521,5.899,False,Q1 (baja),0.442,2941.823,ols,2026-07-18,"factores dominantes: log_gdp, gasto, urban_share"
ALB,78.921,72.593,6.328,5.509,True,Q3,2.451,15362.327,ols,2026-07-18,"factores dominantes: log_gdp, gasto, smoking"
AND,84.344,82.444,1.9,3.45,False,Q4 (alta),5.11,63202.424,ols,2026-07-18,"factores dominantes: log_gdp, smoking, gasto"
ARE,82.341,79.701,2.64,3.45,False,Q4 (alta),2.537,73786.532,ols,2026-07-18,"factores dominantes: log_gdp, smoking, obesity"
ARG,76.573,77.328,-0.755,5.509,False,Q3,6.027,27760.577,ols,2026-07-18,"factores dominantes: log_gdp, gasto, urban_share"
ARM,75.36,72.217,3.143,7.158,False,Q2,1.564,14360.407,ols,2026-07-18,"factores dominantes: gasto, smoking, log_gdp"
AUS,82.6,80.348,2.251,3.45,False,Q4 (alta),6.267,56997.654,ols,2026-07-18,"factores dominantes: log_gdp, gasto, smoking"
AUT,81.613,82.847,-1.234,3.45,False,Q4 (alta),7.475,62689.452,ols,2026-07-18,"factores dominantes: log_gdp, gasto, smoking"
AZE,72.783,73.137,-0.354,5.509,False,Q3,1.055,20008.702,ols,2026-07-18,"factores dominantes: log_gdp, gasto, obesity"
BDI,61.245,57.545,3.701,5.899,False,Q1 (baja),2.491,1023.565,ols,2026-07-18,"factores dominantes: log_gdp, obesity, urban_share"
BEL,81.503,82.396,-0.893,3.45,False,Q4 (alta),7.927,58755.504,ols,2026-07-18,"factores dominantes: log_gdp, gasto, urban_share"
BEN,59.506,62.856,-3.35,5.899,False,Q1 (baja),0.698,3078.6,ols,2026-07-18,"factores dominantes: log_gdp, gasto, smoking"
BFA,59.537,61.784,-2.247,5.899,False,Q1 (baja),1.391,2240.929,ols,2026-07-18,"factores dominantes: log_gdp, obesity, gasto"
BGD,71.594,68.162,3.432,7.158,False,Q2,0.456,6054.375,ols,2026-07-18,"factores dominantes: log_gdp, smoking, gasto"
BGR,74.863,77.677,-2.814,5.509,False,Q3,4.022,26746.393,ols,2026-07-18,"factores dominantes: log_gdp, smoking, gasto"
BHR,80.407,78.835,1.572,3.45,False,Q4 (alta),2.605,54751.96,ols,2026-07-18,"factores dominantes: log_gdp, urban_share, obesity"
