ccaa,pct_urbanizable_2021,pct_urbanizable_2025,km2_urbanizable_2025,km2_estudiado_2025,cobertura_2021_pct,cobertura_2025_pct,delta_pct_puntos
Andalucía,1.692,1.293,980.653,75826.0,49.0,71.0,-0.399
Aragón,0.705,0.62,178.061,28732.0,33.0,46.0,-0.086
"Asturias, Principado de",0.587,0.584,60.442,10353.0,99.0,99.0,-0.003
"Balears, Illes",2.243,2.03,95.436,4702.0,73.0,91.0,-0.213
Canarias,2.948,2.778,214.858,7733.0,92.0,100.0,-0.17
Cantabria,1.128,1.128,58.784,5211.0,98.0,98.0,-0.0
Castilla - La Mancha,1.132,0.886,507.344,57280.0,33.0,58.0,-0.246
Castilla y León,0.829,0.642,452.744,70554.0,63.0,66.0,-0.187
Cataluña,1.642,1.627,523.916,32206.0,100.0,100.0,-0.016
Ceuta,6.959,6.959,1.392,20.0,100.0,100.0,0.0
Comunitat Valenciana,5.443,4.326,698.561,16148.0,39.0,60.0,-1.117
Extremadura,0.393,0.358,145.23,40554.0,82.0,95.0,-0.035
Galicia,2.492,1.914,491.531,25683.0,68.0,88.0,-0.578
"Madrid, Comunidad de",9.421,8.911,714.613,8019.0,100.0,100.0,-0.51
Melilla,6.74,6.74,0.876,13.0,100.0,100.0,0.0
"Murcia, Región de",20.339,21.199,2378.102,11218.0,93.0,96.0,0.86
"Navarra, Comunidad Foral de",2.222,1.659,69.468,4188.0,21.0,30.0,-0.563
País Vasco,0.756,0.725,52.406,7229.0,100.0,100.0,-0.031
"Rioja, La",7.248,9.018,134.634,1493.0,11.0,17.0,1.769
