geo,te_gf01,te_gf02,te_gf03,te_gf04,te_gf05,te_gf06,te_gf07,te_gf08,te_gf09,te_gf10,pc1,pc2,cluster,silhouette_k
AT,10.71,1.12,2.51,15.22,0.86,0.6,17.24,2.25,9.14,40.24,1.864,0.2,1,2
BE,12.83,1.67,3.18,12.63,2.4,0.74,14.82,2.3,11.58,37.92,0.67,0.458,1,2
BG,9.61,3.6,6.73,18.0,1.75,2.53,13.56,1.85,10.04,32.29,-2.424,-2.19,0,2
CH,13.1,2.44,4.83,12.01,1.54,0.6,6.95,3.03,15.54,39.89,-0.061,0.277,1,2
CY,15.63,4.11,3.91,9.89,1.6,4.09,13.39,1.78,12.36,33.29,-0.661,-0.643,0,2
CZ,10.45,2.34,4.31,15.36,2.06,1.51,19.98,3.08,10.55,30.32,-0.825,0.474,0,2
DE,12.1,2.34,3.36,11.61,1.11,0.9,16.26,2.09,9.11,41.16,1.773,-0.444,1,2
DK,11.88,2.67,1.96,7.44,0.82,0.37,17.95,3.26,11.94,41.74,3.114,1.158,1,2
EE,9.19,5.64,4.41,12.71,1.53,1.01,14.64,4.79,14.46,31.87,-1.058,0.512,0,2
EL,14.66,4.5,3.99,15.48,1.91,0.57,11.66,1.99,7.72,37.48,-0.398,-1.329,1,2
ES,12.06,1.97,4.1,11.46,2.05,1.02,14.62,2.57,9.22,40.94,0.874,-0.484,1,2
FI,12.32,2.31,2.2,8.68,0.37,0.7,13.87,2.79,10.93,45.73,3.217,0.259,1,2
FR,10.6,3.05,2.95,11.12,1.68,2.03,15.22,2.51,8.68,42.14,1.334,-1.04,1,2
HR,10.79,2.3,4.71,16.82,1.84,3.18,16.66,3.84,11.11,28.82,-2.134,0.38,0,2
HU,17.63,2.58,4.03,19.42,1.4,2.05,10.87,6.24,9.42,26.48,-3.133,2.306,0,2
IE,10.07,0.86,3.42,10.77,1.38,2.4,21.96,1.88,11.82,35.44,1.401,0.486,1,2
IS,17.2,0.43,3.13,11.45,1.54,1.29,17.79,6.64,15.37,25.03,-0.91,5.207,0,2
IT,14.3,2.42,3.38,10.74,1.74,4.08,13.1,1.56,7.58,41.18,0.535,-1.642,1,2
LT,8.87,4.93,4.11,10.7,1.39,1.6,14.43,3.3,13.02,37.7,0.287,-0.687,1,2
LU,11.33,1.11,2.78,12.59,2.19,1.12,12.19,2.83,10.76,43.0,1.202,0.074,1,2
LV,9.02,5.5,5.33,16.52,1.29,2.35,12.15,3.27,13.61,30.92,-2.213,-1.067,0,2
MT,13.05,1.32,3.53,20.36,3.15,1.7,14.81,3.48,11.88,26.71,-2.687,1.447,0,2
NL,8.56,2.92,4.21,12.36,3.18,1.21,16.98,2.65,11.22,36.69,-0.227,-0.616,1,2
NO,9.25,3.63,2.24,12.92,1.81,1.64,15.42,3.44,10.15,39.32,0.841,-0.261,1,2
PL,9.83,3.94,4.95,14.74,1.34,1.21,11.99,2.84,11.02,38.22,-0.429,-1.232,1,2
PT,13.93,1.79,3.83,10.87,1.56,1.12,15.71,2.0,10.07,39.13,1.214,-0.009,1,2
RO,12.24,3.54,7.01,15.79,1.71,3.05,12.92,2.46,8.63,32.6,-2.487,-1.97,0,2
SE,10.53,2.93,2.73,10.51,1.15,1.43,14.57,2.93,14.8,38.55,1.344,0.662,1,2
SI,10.49,2.42,3.47,13.64,1.47,1.04,15.84,3.09,11.66,36.79,0.526,0.363,1,2
SK,11.82,2.63,5.58,13.71,1.81,1.04,14.58,2.45,10.59,35.79,-0.55,-0.65,1,2
