iso3,precio_renta_2015_100,artificial_2022_km2,artificial_2000_2022_pct,real_desde_2000_pct,real_desde_2015_pct,lucas_artificial_pct
ABW,,44.0,1924.05,,,
ACP,,46006.37,172.93,,,
AFG,,1056.08,156.82,,,
AGO,,1658.42,307.79,,,
AIA,,1.05,62.5,,,
ALB,,317.78,53.64,,,
AND,,4.28,53.65,,,
ARE,,2978.15,16.67,,,
ARG,,7839.43,65.02,,,
ARM,,711.57,63.27,,,
ASM,,0.76,0.0,,,
ATF,,0.0,,43.51,14.4,4.6
ATG,,13.65,61.22,43.51,14.4,4.6
AUS,125.14,12884.19,40.77,153.87,28.53,
AUT,118.89,2387.35,75.58,153.87,28.53,
AZE,,1715.11,248.74,,,
BDI,,182.63,501.83,,,
BEL,94.92,3552.3,68.56,64.08,9.16,12.0
BEN,,769.73,234.9,64.08,9.16,12.0
BFA,,746.47,283.2,,,
BGD,,1253.53,454.36,151.92,66.11,2.4
BGR,91.65,2331.52,34.99,151.92,66.11,2.4
BHR,,231.77,79.16,,,
BHS,,120.86,26.84,,,
BIH,,482.15,72.36,,,
BLR,,2089.49,132.14,,,
BLZ,,47.19,406.57,,,
BMU,,1.65,20.0,,,
BOL,,1499.95,81.39,,,
BRA,,29434.98,79.04,,-19.32,
BRB,,78.96,62.17,,-19.32,
BRN,,111.84,500.97,,-19.32,
BTN,,4.49,784.5,,,
BVT,,0.0,,,,
BWA,,780.13,249.74,,,
CAF,,281.06,119.78,133.02,18.9,
CAN,126.08,13078.26,49.1,133.02,18.9,
CHE,127.69,1800.57,62.37,112.3,29.11,
CHL,118.54,3048.92,83.09,112.3,29.11,
CHN,,157509.79,267.63,112.3,29.11,
CIS,,84599.75,96.64,,,
CIV,,2373.52,145.29,,,
CMR,,1196.33,182.79,,,
COD,,3358.68,210.24,89.55,9.57,
COG,,440.65,173.28,89.55,9.57,
COK,,0.16,0.0,89.55,9.57,
COL,87.63,2884.41,48.19,89.55,9.57,
COM,,28.2,87.43,89.55,9.57,
CPV,,32.7,11.4,,,
CRI,,458.17,79.32,,,
CUB,,883.07,38.34,,,
CXR,,0.0,,,,
CYM,,14.5,225.44,,19.39,8.2
CYP,,397.54,164.27,,19.39,8.2
CZE,132.42,3507.49,65.71,,63.3,4.7
DAE,,33503.07,94.19,,,
DEA,,4726.14,30.95,9.23,18.35,7.8
DEB,,1331.74,39.37,9.23,18.35,7.8
DEC,,350.19,45.55,9.23,18.35,7.8
DED,,1587.52,58.48,9.23,18.35,7.8
DEE,,1160.96,48.46,9.23,18.35,7.8
DEF,,869.01,49.32,9.23,18.35,7.8
DEG,,799.88,67.32,9.23,18.35,7.8
DEU,107.0,24834.11,49.98,9.23,18.35,7.8
DJI,,25.01,67.08,,,
DMA,,3.95,37.49,,,
DNK,106.45,1780.44,48.35,,,
DOM,,816.43,72.76,,,
DZA,,3266.61,130.3,,,
EA,109.43,,,,,
EA17,107.88,,,,,
ECU,,1683.86,106.37,,,
EEA,,113468.43,65.8,,47.1,1.9
EGY,,4034.91,215.46,,,
ERI,,200.55,46.3,,,
ESH,,33.59,162.73,70.14,46.43,3.9
ESP,132.45,8455.26,119.82,70.14,46.43,3.9
EST,109.24,314.85,66.42,70.14,46.43,3.9
ETH,,1452.4,255.27,,,
FIN,77.88,858.69,55.87,7.18,-20.55,2.1
FJI,,42.92,87.86,,,
FRA,93.63,18960.32,74.2,68.39,4.38,5.6
FRB,,867.84,91.35,68.39,4.38,5.6
FRC,,1024.14,72.18,68.39,4.38,5.6
FRD,,987.76,77.75,68.39,4.38,5.6
FRE,,2173.59,62.85,68.39,4.38,5.6
FRF,,2060.27,58.33,68.39,4.38,5.6
FRG,,1307.46,108.72,68.39,4.38,5.6
FRH,,1020.62,78.68,68.39,4.38,5.6
FRI,,1697.95,99.92,68.39,4.38,5.6
FRJ,,1580.9,111.09,68.39,4.38,5.6
FRK,,2171.74,77.69,68.39,4.38,5.6
FRL,,1573.53,106.36,68.39,4.38,5.6
FRM,,71.54,139.92,68.39,4.38,5.6
FRO,,0.0,,68.39,4.38,5.6
FSM,,38.46,0.46,,,
GAB,,269.31,127.38,,,
GBR,104.0,13739.46,33.05,65.72,4.99,
GEO,,1080.67,63.28,,,
GGY,,17.65,47.2,,,
GHA,,3622.97,179.02,,,
GIN,,638.18,125.65,,,
GMB,,155.98,98.74,,,
GNB,,67.73,220.03,,,
GNQ,,100.43,444.7,,,
GRC,118.06,2195.31,61.93,21.9,49.32,
GRD,,4.68,18.18,21.9,49.32,
GRL,,1.09,0.0,21.9,49.32,
GTM,,933.39,84.61,,,
GUM,,0.62,0.0,,,
GUY,,229.05,58.89,,,
HKG,,213.41,35.38,121.22,-14.36,
HMD,,0.0,,,,
HND,,566.33,100.42,,,
HRV,107.84,982.41,69.62,113.43,74.64,3.1
HTI,,449.61,127.81,,,
HUN,123.1,3818.67,78.91,144.29,125.77,4.0
IDN,,18603.06,58.27,,-10.94,
IMN,,15.85,52.06,,,
IND,,34505.17,262.38,,0.63,
IOT,,0.0,,,,
IRL,123.97,918.31,78.67,51.09,62.36,4.6
IRN,,7835.48,166.5,,,
IRQ,,3117.03,250.21,,,
ISL,118.52,42.36,0.0,129.22,69.16,
ISR,105.75,1183.33,157.01,129.22,69.16,
ITA,89.08,13702.9,62.33,-1.16,-3.67,6.5
JAM,,310.8,43.42,,,
JEY,,13.23,52.73,,,
JOR,,661.49,119.91,,,
JPA,,1245.15,58.73,-12.85,19.91,
JPB,,1904.18,155.36,-12.85,19.91,
JPC,,2842.72,163.72,-12.85,19.91,
JPD,,4780.7,33.02,-12.85,19.91,
JPE,,1343.39,198.26,-12.85,19.91,
JPF,,4226.63,59.16,-12.85,19.91,
JPG,,3270.39,40.73,-12.85,19.91,
JPH,,1572.82,117.76,-12.85,19.91,
JPI,,1121.19,144.54,-12.85,19.91,
JPJ,,2817.63,97.89,-12.85,19.91,
JPN,114.13,25124.79,76.48,-12.85,19.91,
KAZ,,5173.88,158.69,,,
KEN,,747.4,707.34,,,
KGZ,,837.06,1380.97,,,
KHM,,416.9,425.78,,,
KIR,,0.0,,,,
KNA,,7.72,111.63,,,
KOR,74.92,4192.2,140.52,,,
KWT,,527.99,243.15,,,
LAO,,194.14,304.64,,,
LBN,,350.61,122.39,,,
LBR,,346.23,95.68,,,
LBY,,1430.98,137.09,,,
LCA,,11.14,47.62,,,
LIE,,11.28,416.54,,,
LKA,,1177.45,63.69,,,
LSO,,138.08,218.13,,,
LTU,115.56,808.77,69.92,371.78,67.61,2.2
LUX,120.47,160.67,66.4,,30.31,9.2
LVA,112.06,376.98,50.91,,47.56,1.9
MAC,,5.75,16.92,,-16.59,
MAR,,2322.02,83.34,,-16.59,
MCO,,1.48,2.86,,,
MDA,,2138.08,72.67,,,
MDG,,514.62,48.94,,,
MDV,,0.0,,,,
MEX,,17763.89,93.24,,,
MHL,,0.0,,,,
MKD,,353.59,54.04,61.09,45.12,
MLI,,690.75,258.32,,,
MLT,,78.48,33.9,,,
MMR,,1472.0,121.9,,,
MNG,,840.74,65.85,,,
MNP,,0.17,0.0,,,
MOZ,,1163.99,205.28,,,
MRT,,409.0,50.95,,,
MSR,,0.09,inf,,,
MUS,,139.83,68.56,,,
MWI,,533.51,205.51,,,
MYS,,4481.87,131.61,94.14,18.59,
NAM,,1068.11,59.4,,,
NCL,,49.37,178.94,,,
NER,,292.82,188.69,,,
NFK,,0.0,,,,
