freq,statinfo,unit,rskpovth,sex,age,geo,time,value
A,MED_EI,PC,B_60,T,TOTAL,AL,2017,23.7
A,MED_EI,PC,B_60,T,TOTAL,AL,2018,23.4
A,MED_EI,PC,B_60,T,TOTAL,AL,2019,23.0
A,MED_EI,PC,B_60,T,TOTAL,AL,2020,21.8
A,MED_EI,PC,B_60,T,TOTAL,AL,2021,22.0
A,MED_EI,PC,B_60,T,TOTAL,AL,2022,20.6
A,MED_EI,PC,B_60,T,TOTAL,AL,2023,19.7
A,MED_EI,PC,B_60,T,TOTAL,AL,2024,19.2
A,MED_EI,PC,B_60,T,TOTAL,AT,1995,13.0
A,MED_EI,PC,B_60,T,TOTAL,AT,1996,14.0
A,MED_EI,PC,B_60,T,TOTAL,AT,1997,13.0
A,MED_EI,PC,B_60,T,TOTAL,AT,1998,13.0
A,MED_EI,PC,B_60,T,TOTAL,AT,1999,12.0
A,MED_EI,PC,B_60,T,TOTAL,AT,2000,12.0
A,MED_EI,PC,B_60,T,TOTAL,AT,2001,12.0
A,MED_EI,PC,B_60,T,TOTAL,AT,2003,13.2
A,MED_EI,PC,B_60,T,TOTAL,AT,2004,13.0
A,MED_EI,PC,B_60,T,TOTAL,AT,2005,12.6
A,MED_EI,PC,B_60,T,TOTAL,AT,2006,12.6
A,MED_EI,PC,B_60,T,TOTAL,AT,2007,12.0
A,MED_EI,PC,B_60,T,TOTAL,AT,2008,15.2
A,MED_EI,PC,B_60,T,TOTAL,AT,2009,14.5
A,MED_EI,PC,B_60,T,TOTAL,AT,2010,14.7
A,MED_EI,PC,B_60,T,TOTAL,AT,2011,14.5
A,MED_EI,PC,B_60,T,TOTAL,AT,2012,14.4
A,MED_EI,PC,B_60,T,TOTAL,AT,2013,14.4
A,MED_EI,PC,B_60,T,TOTAL,AT,2014,14.1
A,MED_EI,PC,B_60,T,TOTAL,AT,2015,13.9
A,MED_EI,PC,B_60,T,TOTAL,AT,2016,14.1
A,MED_EI,PC,B_60,T,TOTAL,AT,2017,14.4
A,MED_EI,PC,B_60,T,TOTAL,AT,2018,14.3
A,MED_EI,PC,B_60,T,TOTAL,AT,2019,13.3
A,MED_EI,PC,B_60,T,TOTAL,AT,2020,13.9
A,MED_EI,PC,B_60,T,TOTAL,AT,2021,14.7
A,MED_EI,PC,B_60,T,TOTAL,AT,2022,14.8
A,MED_EI,PC,B_60,T,TOTAL,AT,2023,14.9
A,MED_EI,PC,B_60,T,TOTAL,AT,2024,14.3
A,MED_EI,PC,B_60,T,TOTAL,AT,2025,15.9
A,MED_EI,PC,B_60,T,TOTAL,BE,1995,16.0
A,MED_EI,PC,B_60,T,TOTAL,BE,1996,15.0
A,MED_EI,PC,B_60,T,TOTAL,BE,1997,14.0
A,MED_EI,PC,B_60,T,TOTAL,BE,1998,14.0
A,MED_EI,PC,B_60,T,TOTAL,BE,1999,13.0
A,MED_EI,PC,B_60,T,TOTAL,BE,2000,13.0
A,MED_EI,PC,B_60,T,TOTAL,BE,2001,13.0
A,MED_EI,PC,B_60,T,TOTAL,BE,2003,15.4
A,MED_EI,PC,B_60,T,TOTAL,BE,2004,14.3
A,MED_EI,PC,B_60,T,TOTAL,BE,2005,14.8
A,MED_EI,PC,B_60,T,TOTAL,BE,2006,14.7
A,MED_EI,PC,B_60,T,TOTAL,BE,2007,15.2
A,MED_EI,PC,B_60,T,TOTAL,BE,2008,14.7
A,MED_EI,PC,B_60,T,TOTAL,BE,2009,14.6
A,MED_EI,PC,B_60,T,TOTAL,BE,2010,14.6
A,MED_EI,PC,B_60,T,TOTAL,BE,2011,15.3
A,MED_EI,PC,B_60,T,TOTAL,BE,2012,15.3
A,MED_EI,PC,B_60,T,TOTAL,BE,2013,15.1
A,MED_EI,PC,B_60,T,TOTAL,BE,2014,15.5
A,MED_EI,PC,B_60,T,TOTAL,BE,2015,14.9
A,MED_EI,PC,B_60,T,TOTAL,BE,2016,15.5
A,MED_EI,PC,B_60,T,TOTAL,BE,2017,15.9
A,MED_EI,PC,B_60,T,TOTAL,BE,2018,16.4
A,MED_EI,PC,B_60,T,TOTAL,BE,2019,14.8
A,MED_EI,PC,B_60,T,TOTAL,BE,2020,14.1
A,MED_EI,PC,B_60,T,TOTAL,BE,2021,12.8
A,MED_EI,PC,B_60,T,TOTAL,BE,2022,13.1
A,MED_EI,PC,B_60,T,TOTAL,BE,2023,12.4
A,MED_EI,PC,B_60,T,TOTAL,BE,2024,11.4
A,MED_EI,PC,B_60,T,TOTAL,BE,2025,10.9
A,MED_EI,PC,B_60,T,TOTAL,BG,2006,18.4
A,MED_EI,PC,B_60,T,TOTAL,BG,2007,22.0
A,MED_EI,PC,B_60,T,TOTAL,BG,2008,21.4
A,MED_EI,PC,B_60,T,TOTAL,BG,2009,21.8
A,MED_EI,PC,B_60,T,TOTAL,BG,2010,20.7
A,MED_EI,PC,B_60,T,TOTAL,BG,2011,22.2
A,MED_EI,PC,B_60,T,TOTAL,BG,2012,21.2
A,MED_EI,PC,B_60,T,TOTAL,BG,2013,21.0
A,MED_EI,PC,B_60,T,TOTAL,BG,2014,21.8
A,MED_EI,PC,B_60,T,TOTAL,BG,2015,22.0
A,MED_EI,PC,B_60,T,TOTAL,BG,2016,22.9
A,MED_EI,PC,B_60,T,TOTAL,BG,2017,23.4
A,MED_EI,PC,B_60,T,TOTAL,BG,2018,22.0
A,MED_EI,PC,B_60,T,TOTAL,BG,2019,22.6
A,MED_EI,PC,B_60,T,TOTAL,BG,2020,23.8
A,MED_EI,PC,B_60,T,TOTAL,BG,2021,22.1
A,MED_EI,PC,B_60,T,TOTAL,BG,2022,22.9
A,MED_EI,PC,B_60,T,TOTAL,BG,2023,20.6
A,MED_EI,PC,B_60,T,TOTAL,BG,2024,21.7
A,MED_EI,PC,B_60,T,TOTAL,BG,2025,21.2
A,MED_EI,PC,B_60,T,TOTAL,CH,2007,15.0
A,MED_EI,PC,B_60,T,TOTAL,CH,2008,15.7
A,MED_EI,PC,B_60,T,TOTAL,CH,2009,15.6
A,MED_EI,PC,B_60,T,TOTAL,CH,2010,15.0
A,MED_EI,PC,B_60,T,TOTAL,CH,2011,15.0
A,MED_EI,PC,B_60,T,TOTAL,CH,2012,15.9
A,MED_EI,PC,B_60,T,TOTAL,CH,2013,14.5
A,MED_EI,PC,B_60,T,TOTAL,CH,2014,13.8
A,MED_EI,PC,B_60,T,TOTAL,CH,2015,15.6
A,MED_EI,PC,B_60,T,TOTAL,CH,2016,14.7
A,MED_EI,PC,B_60,T,TOTAL,CH,2017,15.5
A,MED_EI,PC,B_60,T,TOTAL,CH,2018,14.6
A,MED_EI,PC,B_60,T,TOTAL,CH,2019,16.0
A,MED_EI,PC,B_60,T,TOTAL,CH,2020,15.5
A,MED_EI,PC,B_60,T,TOTAL,CH,2021,14.7
A,MED_EI,PC,B_60,T,TOTAL,CH,2022,15.8
A,MED_EI,PC,B_60,T,TOTAL,CH,2023,16.4
A,MED_EI,PC,B_60,T,TOTAL,CH,2024,16.2
