freq,statinfo,rskpovth,sex,age,unit,geo,time,value
A,MED_EI,B_60,T,TOTAL,PC,AL,2017,27.1
A,MED_EI,B_60,T,TOTAL,PC,AL,2018,26.3
A,MED_EI,B_60,T,TOTAL,PC,AL,2019,26.1
A,MED_EI,B_60,T,TOTAL,PC,AL,2020,24.8
A,MED_EI,B_60,T,TOTAL,PC,AL,2021,25.2
A,MED_EI,B_60,T,TOTAL,PC,AL,2022,24.5
A,MED_EI,B_60,T,TOTAL,PC,AL,2023,23.3
A,MED_EI,B_60,T,TOTAL,PC,AL,2024,22.7
A,MED_EI,B_60,T,TOTAL,PC,AT,1995,24.0
A,MED_EI,B_60,T,TOTAL,PC,AT,1996,25.0
A,MED_EI,B_60,T,TOTAL,PC,AT,1997,24.0
A,MED_EI,B_60,T,TOTAL,PC,AT,1998,24.0
A,MED_EI,B_60,T,TOTAL,PC,AT,1999,23.0
A,MED_EI,B_60,T,TOTAL,PC,AT,2000,22.0
A,MED_EI,B_60,T,TOTAL,PC,AT,2001,22.0
A,MED_EI,B_60,T,TOTAL,PC,AT,2003,24.6
A,MED_EI,B_60,T,TOTAL,PC,AT,2004,25.8
A,MED_EI,B_60,T,TOTAL,PC,AT,2005,25.5
A,MED_EI,B_60,T,TOTAL,PC,AT,2006,25.1
A,MED_EI,B_60,T,TOTAL,PC,AT,2007,24.7
A,MED_EI,B_60,T,TOTAL,PC,AT,2008,25.9
A,MED_EI,B_60,T,TOTAL,PC,AT,2009,25.3
A,MED_EI,B_60,T,TOTAL,PC,AT,2010,26.0
A,MED_EI,B_60,T,TOTAL,PC,AT,2011,27.1
A,MED_EI,B_60,T,TOTAL,PC,AT,2012,25.8
A,MED_EI,B_60,T,TOTAL,PC,AT,2013,25.9
A,MED_EI,B_60,T,TOTAL,PC,AT,2014,25.4
A,MED_EI,B_60,T,TOTAL,PC,AT,2015,25.6
A,MED_EI,B_60,T,TOTAL,PC,AT,2016,26.3
A,MED_EI,B_60,T,TOTAL,PC,AT,2017,24.9
A,MED_EI,B_60,T,TOTAL,PC,AT,2018,25.2
A,MED_EI,B_60,T,TOTAL,PC,AT,2019,26.2
A,MED_EI,B_60,T,TOTAL,PC,AT,2020,23.6
A,MED_EI,B_60,T,TOTAL,PC,AT,2021,26.3
A,MED_EI,B_60,T,TOTAL,PC,AT,2022,25.5
A,MED_EI,B_60,T,TOTAL,PC,AT,2023,24.5
A,MED_EI,B_60,T,TOTAL,PC,AT,2024,24.1
A,MED_EI,B_60,T,TOTAL,PC,AT,2025,24.4
A,MED_EI,B_60,T,TOTAL,PC,BE,1995,27.0
A,MED_EI,B_60,T,TOTAL,PC,BE,1996,27.0
A,MED_EI,B_60,T,TOTAL,PC,BE,1997,26.0
A,MED_EI,B_60,T,TOTAL,PC,BE,1998,25.0
A,MED_EI,B_60,T,TOTAL,PC,BE,1999,24.0
A,MED_EI,B_60,T,TOTAL,PC,BE,2000,23.0
A,MED_EI,B_60,T,TOTAL,PC,BE,2001,23.0
A,MED_EI,B_60,T,TOTAL,PC,BE,2003,29.1
A,MED_EI,B_60,T,TOTAL,PC,BE,2004,27.8
A,MED_EI,B_60,T,TOTAL,PC,BE,2005,28.3
A,MED_EI,B_60,T,TOTAL,PC,BE,2006,26.8
A,MED_EI,B_60,T,TOTAL,PC,BE,2007,27.5
A,MED_EI,B_60,T,TOTAL,PC,BE,2008,27.0
A,MED_EI,B_60,T,TOTAL,PC,BE,2009,26.7
A,MED_EI,B_60,T,TOTAL,PC,BE,2010,26.7
A,MED_EI,B_60,T,TOTAL,PC,BE,2011,27.8
A,MED_EI,B_60,T,TOTAL,PC,BE,2012,27.7
A,MED_EI,B_60,T,TOTAL,PC,BE,2013,26.3
A,MED_EI,B_60,T,TOTAL,PC,BE,2014,27.5
A,MED_EI,B_60,T,TOTAL,PC,BE,2015,26.7
A,MED_EI,B_60,T,TOTAL,PC,BE,2016,26.5
A,MED_EI,B_60,T,TOTAL,PC,BE,2017,26.5
A,MED_EI,B_60,T,TOTAL,PC,BE,2018,25.3
A,MED_EI,B_60,T,TOTAL,PC,BE,2019,25.4
A,MED_EI,B_60,T,TOTAL,PC,BE,2020,25.6
A,MED_EI,B_60,T,TOTAL,PC,BE,2021,27.3
A,MED_EI,B_60,T,TOTAL,PC,BE,2022,25.7
A,MED_EI,B_60,T,TOTAL,PC,BE,2023,24.8
A,MED_EI,B_60,T,TOTAL,PC,BE,2024,24.3
A,MED_EI,B_60,T,TOTAL,PC,BE,2025,23.0
A,MED_EI,B_60,T,TOTAL,PC,BG,2006,24.7
A,MED_EI,B_60,T,TOTAL,PC,BG,2007,25.5
A,MED_EI,B_60,T,TOTAL,PC,BG,2008,27.1
A,MED_EI,B_60,T,TOTAL,PC,BG,2009,26.4
A,MED_EI,B_60,T,TOTAL,PC,BG,2010,27.1
A,MED_EI,B_60,T,TOTAL,PC,BG,2011,27.4
A,MED_EI,B_60,T,TOTAL,PC,BG,2012,25.9
A,MED_EI,B_60,T,TOTAL,PC,BG,2013,26.7
A,MED_EI,B_60,T,TOTAL,PC,BG,2014,27.3
A,MED_EI,B_60,T,TOTAL,PC,BG,2015,28.4
A,MED_EI,B_60,T,TOTAL,PC,BG,2016,27.9
A,MED_EI,B_60,T,TOTAL,PC,BG,2017,29.2
A,MED_EI,B_60,T,TOTAL,PC,BG,2018,29.5
A,MED_EI,B_60,T,TOTAL,PC,BG,2019,29.6
A,MED_EI,B_60,T,TOTAL,PC,BG,2020,29.9
A,MED_EI,B_60,T,TOTAL,PC,BG,2021,31.5
A,MED_EI,B_60,T,TOTAL,PC,BG,2022,30.3
A,MED_EI,B_60,T,TOTAL,PC,BG,2023,28.5
A,MED_EI,B_60,T,TOTAL,PC,BG,2024,30.0
A,MED_EI,B_60,T,TOTAL,PC,BG,2025,29.0
A,MED_EI,B_60,T,TOTAL,PC,CH,2007,22.7
A,MED_EI,B_60,T,TOTAL,PC,CH,2008,22.2
A,MED_EI,B_60,T,TOTAL,PC,CH,2009,22.6
A,MED_EI,B_60,T,TOTAL,PC,CH,2010,22.9
A,MED_EI,B_60,T,TOTAL,PC,CH,2011,23.4
A,MED_EI,B_60,T,TOTAL,PC,CH,2012,23.4
A,MED_EI,B_60,T,TOTAL,PC,CH,2013,22.8
A,MED_EI,B_60,T,TOTAL,PC,CH,2014,24.3
A,MED_EI,B_60,T,TOTAL,PC,CH,2015,24.9
A,MED_EI,B_60,T,TOTAL,PC,CH,2016,24.7
A,MED_EI,B_60,T,TOTAL,PC,CH,2017,24.5
A,MED_EI,B_60,T,TOTAL,PC,CH,2018,24.2
A,MED_EI,B_60,T,TOTAL,PC,CH,2019,24.1
A,MED_EI,B_60,T,TOTAL,PC,CH,2020,24.4
A,MED_EI,B_60,T,TOTAL,PC,CH,2021,24.5
A,MED_EI,B_60,T,TOTAL,PC,CH,2022,25.0
A,MED_EI,B_60,T,TOTAL,PC,CH,2023,25.0
A,MED_EI,B_60,T,TOTAL,PC,CH,2024,24.2
A,MED_EI,B_60,T,TOTAL,PC,CY,2005,21.7
A,MED_EI,B_60,T,TOTAL,PC,CY,2006,21.6
A,MED_EI,B_60,T,TOTAL,PC,CY,2007,21.0
A,MED_EI,B_60,T,TOTAL,PC,CY,2008,22.9
A,MED_EI,B_60,T,TOTAL,PC,CY,2009,23.6
A,MED_EI,B_60,T,TOTAL,PC,CY,2010,23.5
A,MED_EI,B_60,T,TOTAL,PC,CY,2011,23.5
A,MED_EI,B_60,T,TOTAL,PC,CY,2012,23.5
A,MED_EI,B_60,T,TOTAL,PC,CY,2013,24.3
A,MED_EI,B_60,T,TOTAL,PC,CY,2014,24.6
A,MED_EI,B_60,T,TOTAL,PC,CY,2015,25.4
A,MED_EI,B_60,T,TOTAL,PC,CY,2016,25.0
