freq,unit,age,sex,geo,time,value
A,PC,Y_LT18,T,AL,2017,62.0
A,PC,Y_LT18,T,AL,2018,57.7
A,PC,Y_LT18,T,AL,2019,53.7
A,PC,Y_LT18,T,AL,2020,51.0
A,PC,Y_LT18,T,AL,2021,50.1
A,PC,Y_LT18,T,AL,2022,48.4
A,PC,Y_LT18,T,AL,2023,46.6
A,PC,Y_LT18,T,AT,2015,22.2
A,PC,Y_LT18,T,AT,2016,20.5
A,PC,Y_LT18,T,AT,2017,22.7
A,PC,Y_LT18,T,AT,2018,21.6
A,PC,Y_LT18,T,AT,2019,20.1
A,PC,Y_LT18,T,AT,2020,21.9
A,PC,Y_LT18,T,AT,2021,22.8
A,PC,Y_LT18,T,AT,2022,21.6
A,PC,Y_LT18,T,AT,2023,22.7
A,PC,Y_LT18,T,AT,2024,20.9
A,PC,Y_LT18,T,AT,2025,24.4
A,PC,Y_LT18,T,BE,2015,24.1
A,PC,Y_LT18,T,BE,2016,23.5
A,PC,Y_LT18,T,BE,2017,24.2
A,PC,Y_LT18,T,BE,2018,23.5
A,PC,Y_LT18,T,BE,2019,23.0
A,PC,Y_LT18,T,BE,2020,21.9
A,PC,Y_LT18,T,BE,2021,20.9
A,PC,Y_LT18,T,BE,2022,19.5
A,PC,Y_LT18,T,BE,2023,19.6
A,PC,Y_LT18,T,BE,2024,20.2
A,PC,Y_LT18,T,BE,2025,18.9
A,PC,Y_LT18,T,BG,2015,47.5
A,PC,Y_LT18,T,BG,2016,47.3
A,PC,Y_LT18,T,BG,2017,42.4
A,PC,Y_LT18,T,BG,2018,33.5
A,PC,Y_LT18,T,BG,2019,35.8
A,PC,Y_LT18,T,BG,2020,35.5
A,PC,Y_LT18,T,BG,2021,33.0
A,PC,Y_LT18,T,BG,2022,33.9
A,PC,Y_LT18,T,BG,2023,33.9
A,PC,Y_LT18,T,BG,2024,35.1
A,PC,Y_LT18,T,BG,2025,33.1
A,PC,Y_LT18,T,CH,2015,20.6
A,PC,Y_LT18,T,CH,2016,20.7
A,PC,Y_LT18,T,CH,2017,21.7
A,PC,Y_LT18,T,CH,2018,22.0
A,PC,Y_LT18,T,CH,2019,22.2
A,PC,Y_LT18,T,CH,2020,22.8
A,PC,Y_LT18,T,CH,2021,19.4
A,PC,Y_LT18,T,CH,2022,19.4
A,PC,Y_LT18,T,CH,2023,22.4
A,PC,Y_LT18,T,CH,2024,21.7
A,PC,Y_LT18,T,CY,2015,22.9
A,PC,Y_LT18,T,CY,2016,23.2
A,PC,Y_LT18,T,CY,2017,21.7
A,PC,Y_LT18,T,CY,2018,20.5
A,PC,Y_LT18,T,CY,2019,22.1
A,PC,Y_LT18,T,CY,2020,19.9
A,PC,Y_LT18,T,CY,2021,19.7
A,PC,Y_LT18,T,CY,2022,19.4
A,PC,Y_LT18,T,CY,2023,17.1
A,PC,Y_LT18,T,CY,2024,14.8
A,PC,Y_LT18,T,CY,2025,14.0
A,PC,Y_LT18,T,CZ,2015,17.8
A,PC,Y_LT18,T,CZ,2016,16.4
A,PC,Y_LT18,T,CZ,2017,14.3
A,PC,Y_LT18,T,CZ,2018,13.0
A,PC,Y_LT18,T,CZ,2019,13.0
A,PC,Y_LT18,T,CZ,2020,12.9
A,PC,Y_LT18,T,CZ,2021,13.3
A,PC,Y_LT18,T,CZ,2022,13.4
A,PC,Y_LT18,T,CZ,2023,15.0
A,PC,Y_LT18,T,CZ,2024,15.4
A,PC,Y_LT18,T,CZ,2025,15.4
A,PC,Y_LT18,T,DE,2015,19.3
A,PC,Y_LT18,T,DE,2016,20.6
A,PC,Y_LT18,T,DE,2017,18.6
A,PC,Y_LT18,T,DE,2018,17.5
A,PC,Y_LT18,T,DE,2019,15.4
A,PC,Y_LT18,T,DE,2020,22.3
A,PC,Y_LT18,T,DE,2021,23.7
A,PC,Y_LT18,T,DE,2022,24.4
A,PC,Y_LT18,T,DE,2023,23.9
A,PC,Y_LT18,T,DE,2024,22.9
A,PC,Y_LT18,T,DE,2025,23.5
A,PC,Y_LT18,T,DK,2015,16.2
A,PC,Y_LT18,T,DK,2016,14.0
A,PC,Y_LT18,T,DK,2017,15.1
A,PC,Y_LT18,T,DK,2018,15.4
A,PC,Y_LT18,T,DK,2019,13.8
A,PC,Y_LT18,T,DK,2020,13.4
A,PC,Y_LT18,T,DK,2021,14.0
A,PC,Y_LT18,T,DK,2022,13.8
A,PC,Y_LT18,T,DK,2023,15.3
A,PC,Y_LT18,T,DK,2024,15.9
A,PC,Y_LT18,T,DK,2025,14.8
A,PC,Y_LT18,T,EA,2015,25.9
A,PC,Y_LT18,T,EA,2016,25.9
A,PC,Y_LT18,T,EA,2017,24.6
A,PC,Y_LT18,T,EA,2018,23.8
A,PC,Y_LT18,T,EA,2019,22.7
A,PC,Y_LT18,T,EA,2020,24.4
A,PC,Y_LT18,T,EA,2021,24.8
A,PC,Y_LT18,T,EA18,2015,25.8
A,PC,Y_LT18,T,EA18,2016,25.8
A,PC,Y_LT18,T,EA18,2017,24.6
A,PC,Y_LT18,T,EA18,2018,23.8
A,PC,Y_LT18,T,EA18,2019,22.7
A,PC,Y_LT18,T,EA18,2020,24.4
A,PC,Y_LT18,T,EA19,2015,25.9
A,PC,Y_LT18,T,EA19,2016,25.9
A,PC,Y_LT18,T,EA19,2017,24.6
A,PC,Y_LT18,T,EA19,2018,23.8
A,PC,Y_LT18,T,EA19,2019,22.7
A,PC,Y_LT18,T,EA19,2020,24.4
A,PC,Y_LT18,T,EA19,2021,24.9
A,PC,Y_LT18,T,EA20,2015,25.9
A,PC,Y_LT18,T,EA20,2016,25.8
A,PC,Y_LT18,T,EA20,2017,24.6
A,PC,Y_LT18,T,EA20,2018,23.8
A,PC,Y_LT18,T,EA20,2019,22.7
A,PC,Y_LT18,T,EA20,2020,24.4
A,PC,Y_LT18,T,EA20,2021,24.8
A,PC,Y_LT18,T,EA20,2022,25.4
A,PC,Y_LT18,T,EA20,2023,25.4
A,PC,Y_LT18,T,EA20,2024,25.0
A,PC,Y_LT18,T,EA20,2025,25.2
A,PC,Y_LT18,T,EA21,2025,25.3
A,PC,Y_LT18,T,EE,2015,22.2
A,PC,Y_LT18,T,EE,2016,19.7
A,PC,Y_LT18,T,EE,2017,18.8
A,PC,Y_LT18,T,EE,2018,17.0
A,PC,Y_LT18,T,EE,2019,19.7
A,PC,Y_LT18,T,EE,2020,17.4
A,PC,Y_LT18,T,EE,2021,17.4
A,PC,Y_LT18,T,EE,2022,16.6
A,PC,Y_LT18,T,EE,2023,18.3
A,PC,Y_LT18,T,EE,2024,16.5
A,PC,Y_LT18,T,EE,2025,19.4
A,PC,Y_LT18,T,EL,2015,37.7
A,PC,Y_LT18,T,EL,2016,37.2
A,PC,Y_LT18,T,EL,2017,36.5
A,PC,Y_LT18,T,EL,2018,34.1
A,PC,Y_LT18,T,EL,2019,31.2
A,PC,Y_LT18,T,EL,2020,30.8
A,PC,Y_LT18,T,EL,2021,32.0
A,PC,Y_LT18,T,EL,2022,28.1
A,PC,Y_LT18,T,EL,2023,28.1
A,PC,Y_LT18,T,EL,2024,27.9
A,PC,Y_LT18,T,EL,2025,29.6
A,PC,Y_LT18,T,ES,2015,34.0
A,PC,Y_LT18,T,ES,2016,33.7
A,PC,Y_LT18,T,ES,2017,31.9
A,PC,Y_LT18,T,ES,2018,30.5
A,PC,Y_LT18,T,ES,2019,31.0
A,PC,Y_LT18,T,ES,2020,31.6
A,PC,Y_LT18,T,ES,2021,33.4
A,PC,Y_LT18,T,ES,2022,32.2
A,PC,Y_LT18,T,ES,2023,34.5
A,PC,Y_LT18,T,ES,2024,34.6
A,PC,Y_LT18,T,ES,2025,33.8
A,PC,Y_LT18,T,EU,2015,27.9
A,PC,Y_LT18,T,EU,2016,27.3
A,PC,Y_LT18,T,EU,2017,25.6
A,PC,Y_LT18,T,EU,2018,24.7
A,PC,Y_LT18,T,EU,2019,22.8
A,PC,Y_LT18,T,EU27_2007,2019,23.7
A,PC,Y_LT18,T,EU27_2020,2015,27.4
A,PC,Y_LT18,T,EU27_2020,2016,27.1
A,PC,Y_LT18,T,EU27_2020,2017,25.1
A,PC,Y_LT18,T,EU27_2020,2018,23.9
A,PC,Y_LT18,T,EU27_2020,2019,22.8
A,PC,Y_LT18,T,EU27_2020,2020,24.1
A,PC,Y_LT18,T,EU27_2020,2021,24.5
A,PC,Y_LT18,T,EU27_2020,2022,24.8
A,PC,Y_LT18,T,EU27_2020,2023,24.9
A,PC,Y_LT18,T,EU27_2020,2024,24.2
A,PC,Y_LT18,T,EU27_2020,2025,24.3
A,PC,Y_LT18,T,EU28,2015,27.9
A,PC,Y_LT18,T,EU28,2016,27.3
A,PC,Y_LT18,T,EU28,2017,25.6
A,PC,Y_LT18,T,EU28,2018,24.7
A,PC,Y_LT18,T,EU28,2019,22.8
A,PC,Y_LT18,T,FI,2015,14.5
A,PC,Y_LT18,T,FI,2016,14.1
A,PC,Y_LT18,T,FI,2017,15.0
A,PC,Y_LT18,T,FI,2018,15.9
A,PC,Y_LT18,T,FI,2019,13.8
A,PC,Y_LT18,T,FI,2020,14.5
A,PC,Y_LT18,T,FI,2021,13.2
A,PC,Y_LT18,T,FI,2022,14.9
A,PC,Y_LT18,T,FI,2023,13.8
A,PC,Y_LT18,T,FI,2024,17.3
A,PC,Y_LT18,T,FI,2025,17.1
A,PC,Y_LT18,T,FR,2015,22.4
A,PC,Y_LT18,T,FR,2016,23.8
A,PC,Y_LT18,T,FR,2017,23.5
A,PC,Y_LT18,T,FR,2018,24.0
A,PC,Y_LT18,T,FR,2019,24.1
A,PC,Y_LT18,T,FR,2020,23.6
A,PC,Y_LT18,T,FR,2021,22.5
A,PC,Y_LT18,T,FR,2022,27.1
A,PC,Y_LT18,T,FR,2023,26.6
A,PC,Y_LT18,T,FR,2024,26.2
A,PC,Y_LT18,T,FR,2025,27.5
A,PC,Y_LT18,T,HR,2015,25.2
A,PC,Y_LT18,T,HR,2016,24.4
A,PC,Y_LT18,T,HR,2017,24.5
A,PC,Y_LT18,T,HR,2018,22.2
A,PC,Y_LT18,T,HR,2019,19.1
A,PC,Y_LT18,T,HR,2020,18.4
A,PC,Y_LT18,T,HR,2021,18.6
A,PC,Y_LT18,T,HR,2022,18.1
A,PC,Y_LT18,T,HR,2023,17.3
A,PC,Y_LT18,T,HR,2024,19.3
A,PC,Y_LT18,T,HR,2025,15.7
A,PC,Y_LT18,T,HU,2015,40.3
A,PC,Y_LT18,T,HU,2016,38.6
A,PC,Y_LT18,T,HU,2017,33.5
A,PC,Y_LT18,T,HU,2018,26.4
A,PC,Y_LT18,T,HU,2019,27.3
A,PC,Y_LT18,T,HU,2020,27.5
A,PC,Y_LT18,T,HU,2021,26.1
A,PC,Y_LT18,T,HU,2022,21.3
A,PC,Y_LT18,T,HU,2023,24.6
A,PC,Y_LT18,T,HU,2024,22.9
A,PC,Y_LT18,T,HU,2025,23.0
A,PC,Y_LT18,T,IE,2015,29.2
A,PC,Y_LT18,T,IE,2016,26.8
A,PC,Y_LT18,T,IE,2017,26.0
A,PC,Y_LT18,T,IE,2018,24.7
A,PC,Y_LT18,T,IE,2019,25.1
A,PC,Y_LT18,T,IE,2020,22.4
A,PC,Y_LT18,T,IE,2021,23.5
A,PC,Y_LT18,T,IE,2022,22.3
A,PC,Y_LT18,T,IE,2023,24.3
A,PC,Y_LT18,T,IE,2024,20.9
A,PC,Y_LT18,T,IE,2025,23.7
A,PC,Y_LT18,T,IS,2015,14.8
A,PC,Y_LT18,T,IS,2016,13.6
A,PC,Y_LT18,T,IS,2017,14.2
A,PC,Y_LT18,T,IS,2018,13.0
A,PC,Y_LT18,T,IS,2019,13.5
A,PC,Y_LT18,T,IS,2020,13.2
A,PC,Y_LT18,T,IT,2015,34.1
A,PC,Y_LT18,T,IT,2016,32.7
A,PC,Y_LT18,T,IT,2017,30.8
A,PC,Y_LT18,T,IT,2018,29.6
A,PC,Y_LT18,T,IT,2019,27.1
A,PC,Y_LT18,T,IT,2020,28.9
A,PC,Y_LT18,T,IT,2021,29.7
A,PC,Y_LT18,T,IT,2022,28.5
A,PC,Y_LT18,T,IT,2023,27.1
A,PC,Y_LT18,T,IT,2024,27.1
A,PC,Y_LT18,T,IT,2025,27.1
A,PC,Y_LT18,T,LT,2015,34.8
A,PC,Y_LT18,T,LT,2016,33.2
A,PC,Y_LT18,T,LT,2017,31.3
A,PC,Y_LT18,T,LT,2018,28.8
A,PC,Y_LT18,T,LT,2019,25.8
A,PC,Y_LT18,T,LT,2020,23.1
A,PC,Y_LT18,T,LT,2021,21.6
A,PC,Y_LT18,T,LT,2022,22.4
A,PC,Y_LT18,T,LT,2023,21.7
A,PC,Y_LT18,T,LT,2024,22.8
A,PC,Y_LT18,T,LT,2025,19.9
A,PC,Y_LT18,T,LU,2015,23.3
A,PC,Y_LT18,T,LU,2016,22.2
A,PC,Y_LT18,T,LU,2017,21.5
A,PC,Y_LT18,T,LU,2018,23.4
A,PC,Y_LT18,T,LU,2019,25.4
A,PC,Y_LT18,T,LU,2020,24.2
A,PC,Y_LT18,T,LU,2021,29.4
A,PC,Y_LT18,T,LU,2022,24.0
