freq,mortalit,sex,icd10,unit,geo,time,value
A,PRVT,T,TOTAL,RT,AT,2011,168.77
A,PRVT,T,TOTAL,RT,AT,2012,170.95
A,PRVT,T,TOTAL,RT,AT,2013,166.38
A,PRVT,T,TOTAL,RT,AT,2014,163.24
A,PRVT,T,TOTAL,RT,AT,2015,166.79
A,PRVT,T,TOTAL,RT,AT,2016,161.06
A,PRVT,T,TOTAL,RT,AT,2017,157.04
A,PRVT,T,TOTAL,RT,AT,2018,157.0
A,PRVT,T,TOTAL,RT,AT,2019,151.97
A,PRVT,T,TOTAL,RT,AT,2020,165.0
A,PRVT,T,TOTAL,RT,AT,2021,173.31
A,PRVT,T,TOTAL,RT,AT,2022,163.29
A,PRVT,T,TOTAL,RT,AT,2023,149.8
A,PRVT,T,TOTAL,RT,BE,2011,172.38
A,PRVT,T,TOTAL,RT,BE,2012,170.9
A,PRVT,T,TOTAL,RT,BE,2013,167.71
A,PRVT,T,TOTAL,RT,BE,2014,161.47
A,PRVT,T,TOTAL,RT,BE,2015,160.75
A,PRVT,T,TOTAL,RT,BE,2016,154.88
A,PRVT,T,TOTAL,RT,BE,2017,149.74
A,PRVT,T,TOTAL,RT,BE,2018,146.72
A,PRVT,T,TOTAL,RT,BE,2019,142.96
A,PRVT,T,TOTAL,RT,BE,2020,177.16
A,PRVT,T,TOTAL,RT,BE,2021,164.05
A,PRVT,T,TOTAL,RT,BE,2022,152.21
A,PRVT,T,TOTAL,RT,BE,2023,136.93
A,PRVT,T,TOTAL,RT,BG,2011,222.86
A,PRVT,T,TOTAL,RT,BG,2012,236.49
A,PRVT,T,TOTAL,RT,BG,2013,238.8
A,PRVT,T,TOTAL,RT,BG,2014,243.99
A,PRVT,T,TOTAL,RT,BG,2015,244.81
A,PRVT,T,TOTAL,RT,BG,2016,232.15
A,PRVT,T,TOTAL,RT,BG,2017,230.22
A,PRVT,T,TOTAL,RT,BG,2018,226.31
A,PRVT,T,TOTAL,RT,BG,2019,230.88
A,PRVT,T,TOTAL,RT,BG,2020,316.48
A,PRVT,T,TOTAL,RT,BG,2021,459.97
A,PRVT,T,TOTAL,RT,BG,2022,276.58
A,PRVT,T,TOTAL,RT,BG,2023,220.09
A,PRVT,T,TOTAL,RT,CH,2011,123.41
A,PRVT,T,TOTAL,RT,CH,2012,122.49
A,PRVT,T,TOTAL,RT,CH,2013,121.52
A,PRVT,T,TOTAL,RT,CH,2014,115.81
A,PRVT,T,TOTAL,RT,CH,2015,116.59
A,PRVT,T,TOTAL,RT,CH,2016,111.18
A,PRVT,T,TOTAL,RT,CH,2017,109.44
A,PRVT,T,TOTAL,RT,CH,2018,108.95
A,PRVT,T,TOTAL,RT,CH,2019,104.11
A,PRVT,T,TOTAL,RT,CH,2020,116.31
