area,serie,indice,anyo,quarter
HR,nominal,48.0071,1997,1
HR,nominal,47.9528,1997,2
HR,nominal,50.159,1997,3
HR,nominal,51.4212,1997,4
HR,nominal,53.1302,1998,1
HR,nominal,52.9364,1998,2
HR,nominal,53.0999,1998,3
HR,nominal,52.4422,1998,4
HR,nominal,52.0745,1999,1
HR,nominal,53.5075,1999,2
HR,nominal,53.716,1999,3
HR,nominal,54.0598,1999,4
HR,nominal,55.1148,2000,1
HR,nominal,53.9377,2000,2
HR,nominal,50.8439,2000,3
HR,nominal,49.1715,2000,4
HR,nominal,54.7893,2001,1
HR,nominal,55.4749,2001,2
HR,nominal,50.6864,2001,3
HR,nominal,51.9917,2001,4
HR,nominal,55.0351,2002,1
HR,nominal,54.4014,2002,2
HR,nominal,57.4791,2002,3
HR,nominal,57.8411,2002,4
HR,nominal,63.0007,2003,1
HR,nominal,64.811,2003,2
HR,nominal,65.4447,2003,3
HR,nominal,69.9706,2003,4
HR,nominal,71.3284,2004,1
HR,nominal,73.6818,2004,2
HR,nominal,76.3069,2004,3
HR,nominal,81.0138,2004,4
HR,nominal,81.0138,2005,1
HR,nominal,84.4535,2005,2
HR,nominal,85.8113,2005,3
HR,nominal,90.2467,2005,4
HR,nominal,93.7769,2006,1
HR,nominal,95.1346,2006,2
HR,nominal,97.3976,2006,3
HR,nominal,104.0054,2006,4
HR,nominal,107.0831,2007,1
HR,nominal,111.3374,2007,2
HR,nominal,113.2383,2007,3
HR,nominal,112.6952,2007,4
HR,nominal,111.5184,2008,1
HR,nominal,112.2426,2008,2
HR,nominal,114.3245,2008,3
HR,nominal,111.3374,2008,4
HR,nominal,110.9753,2009,1
HR,nominal,107.2641,2009,2
HR,nominal,105.3632,2009,3
HR,nominal,103.4623,2009,4
HR,nominal,101.4709,2010,1
HR,nominal,100.0226,2010,2
HR,nominal,99.1174,2010,3
HR,nominal,99.389,2010,4
HR,nominal,98.4838,2011,1
HR,nominal,100.0226,2011,2
HR,nominal,100.7468,2011,3
HR,nominal,101.3804,2011,4
HR,nominal,100.8373,2012,1
HR,nominal,99.4795,2012,2
HR,nominal,98.7554,2012,3
HR,nominal,95.4062,2012,4
HR,nominal,95.3157,2013,1
HR,nominal,94.6821,2013,2
HR,nominal,95.0441,2013,3
HR,nominal,93.7769,2013,4
HR,nominal,93.1432,2014,1
HR,nominal,93.9579,2014,2
HR,nominal,93.2338,2014,3
HR,nominal,92.4191,2014,4
HR,nominal,91.5139,2015,1
HR,nominal,89.7036,2015,2
HR,nominal,90.4277,2015,3
HR,nominal,90.5182,2015,4
HR,nominal,91.6044,2016,1
HR,nominal,90.7898,2016,2
HR,nominal,91.695,2016,3
HR,nominal,91.2424,2016,4
HR,nominal,91.3329,2017,1
HR,nominal,94.6821,2017,2
HR,nominal,95.1346,2017,3
HR,nominal,98.2123,2017,4
HR,nominal,99.0269,2018,1
HR,nominal,98.9364,2018,2
HR,nominal,101.652,2018,3
HR,nominal,102.7382,2018,4
HR,nominal,106.4494,2019,1
HR,nominal,109.165,2019,2
HR,nominal,109.8891,2019,3
HR,nominal,113.0573,2019,4
HR,nominal,116.1349,2020,1
HR,nominal,118.2168,2020,2
HR,nominal,117.4926,2020,3
HR,nominal,120.3892,2020,4
HR,nominal,121.4754,2021,1
HR,nominal,125.8203,2021,2
HR,nominal,127.9928,2021,3
HR,nominal,131.2514,2021,4
HR,nominal,137.8592,2022,1
HR,nominal,142.9283,2022,2
HR,nominal,147.0016,2022,3
HR,nominal,153.9715,2022,4
HR,nominal,157.1396,2023,1
HR,nominal,162.5707,2023,2
HR,nominal,163.0233,2023,3
HR,nominal,168.5449,2023,4
HR,nominal,171.4415,2024,1
HR,nominal,178.7735,2024,2
HR,nominal,183.0278,2024,3
HR,nominal,185.5623,2024,4
HR,nominal,193.89,2025,1
HR,nominal,202.4893,2025,2
HR,nominal,208.2824,2025,3
HR,nominal,215.3428,2025,4
PH,nominal,95.8009,2008,1
PH,nominal,100.8353,2008,2
PH,nominal,101.118,2008,3
PH,nominal,100.9196,2008,4
PH,nominal,100.1905,2009,1
