freq,indic_bt,cpa2_1,s_adj,unit,geo,time,value
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2015-Q1,0.8
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2015-Q2,8.1
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2015-Q3,0.8
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2015-Q4,8.9
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2016-Q1,14.7
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2016-Q2,23.6
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2016-Q3,38.0
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2016-Q4,38.0
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2017-Q1,29.1
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2017-Q2,46.9
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2017-Q3,80.2
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2017-Q4,45.3
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2018-Q1,48.8
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2018-Q2,69.4
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2018-Q3,81.4
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2018-Q4,95.0
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2019-Q1,59.7
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2019-Q2,83.7
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2019-Q3,81.8
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2019-Q4,53.9
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2020-Q1,49.2
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2020-Q2,51.6
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2020-Q3,63.6
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2020-Q4,86.8
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2021-Q1,66.3
Q,BPRM_DW,CPA_F41001_X_410014,NSA,I21,AL,2021-Q2,94.6
