freq,unit,na_item,geo,time,value
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,1997,2316.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,1998,2575.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,1999,2975.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2000,3315.3
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2001,3684.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2002,3968.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2003,4245.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2004,4572.0
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2005,4926.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2006,5370.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2007,5988.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2008,6572.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2009,6817.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2010,7385.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2011,7655.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2012,7727.0
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2013,7642.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2014,8111.7
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2015,8444.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2016,8480.7
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2017,8932.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2018,9288.3
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2019,9620.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2020,9270.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2021,10287.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AL,2022,12062.3
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,1995,19766.3
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,1996,20696.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,1997,21167.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,1998,22074.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,1999,22982.2
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2000,24270.2
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2001,24465.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2002,25375.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2003,26256.2
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2004,27399.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2005,28495.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2006,29734.7
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2007,30945.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2008,31853.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2009,30722.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2010,31605.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2011,32928.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2012,34099.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2013,34310.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2014,34668.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2015,35681.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2016,36385.1
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2017,37012.2
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2018,38419.4
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2019,39263.8
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2020,37385.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2021,40185.6
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2022,44569.5
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2023,46391.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2024,47527.9
A,CP_PPS_EU27_2020_HAB,B1GQ,AT,2025,49022.1
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2010,7404.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2011,7693.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2012,7760.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2013,7978.5
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2014,8092.3
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2015,8517.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2016,8862.6
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2017,9158.2
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2018,9761.6
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2019,10238.7
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2020,9927.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2021,10961.5
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2022,12473.7
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2023,13590.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BA,2024,14628.1
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1995,18796.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1996,19271.7
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1997,19857.5
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1998,20277.9
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,1999,21261.2
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2000,23085.2
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2001,23836.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2002,24827.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2003,25401.6
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2004,26199.1
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2005,27176.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2006,28033.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2007,29054.7
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2008,29399.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2009,28616.0
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2010,30161.8
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2011,30735.5
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2012,31372.6
A,CP_PPS_EU27_2020_HAB,B1GQ,BE,2013,31661.5
