freq,unit,asset10,geo,time,value
A,PC_GDP,N111G,AL,1995,7.0
A,PC_GDP,N111G,AL,1996,6.9
A,PC_GDP,N111G,AL,1997,6.3
A,PC_GDP,N111G,AL,1998,7.0
A,PC_GDP,N111G,AL,1999,7.2
A,PC_GDP,N111G,AL,2000,10.1
A,PC_GDP,N111G,AL,2001,12.1
A,PC_GDP,N111G,AL,2002,12.3
A,PC_GDP,N111G,AL,2003,13.2
A,PC_GDP,N111G,AL,2004,15.1
A,PC_GDP,N111G,AL,2005,17.1
A,PC_GDP,N111G,AL,2006,23.1
A,PC_GDP,N111G,AL,2007,19.3
A,PC_GDP,N111G,AL,2008,17.4
A,PC_GDP,N111G,AL,2009,15.6
A,PC_GDP,N111G,AL,2010,13.9
A,PC_GDP,N111G,AL,2011,15.4
A,PC_GDP,N111G,AL,2012,13.7
A,PC_GDP,N111G,AL,2013,11.9
A,PC_GDP,N111G,AL,2014,10.6
A,PC_GDP,N111G,AL,2015,10.5
A,PC_GDP,N111G,AL,2016,9.2
A,PC_GDP,N111G,AL,2017,9.4
A,PC_GDP,N111G,AL,2018,7.9
A,PC_GDP,N111G,AL,2019,7.1
A,PC_GDP,N111G,AL,2020,7.9
A,PC_GDP,N111G,AL,2021,8.6
A,PC_GDP,N111G,AL,2022,7.8
A,PC_GDP,N111G,AL,2023,7.5
A,PC_GDP,N111G,AL,2024,7.7
A,PC_GDP,N111G,AT,1995,5.7
A,PC_GDP,N111G,AT,1996,5.7
A,PC_GDP,N111G,AT,1997,5.6
A,PC_GDP,N111G,AT,1998,5.7
A,PC_GDP,N111G,AT,1999,5.6
A,PC_GDP,N111G,AT,2000,5.4
A,PC_GDP,N111G,AT,2001,5.0
A,PC_GDP,N111G,AT,2002,4.5
A,PC_GDP,N111G,AT,2003,4.3
A,PC_GDP,N111G,AT,2004,4.3
A,PC_GDP,N111G,AT,2005,4.2
A,PC_GDP,N111G,AT,2006,4.3
A,PC_GDP,N111G,AT,2007,4.6
A,PC_GDP,N111G,AT,2008,5.2
A,PC_GDP,N111G,AT,2009,5.5
A,PC_GDP,N111G,AT,2010,5.0
A,PC_GDP,N111G,AT,2011,4.6
