iso3,year,variable,value
BIH,2010,obesity,17.038363
BWA,1993,obesity,6.7468032
GAB,2012,obesity,15.67785
NOR,1998,obesity,11.059502
PRK,2013,obesity,6.9769964
BIH,2004,obesity,15.235941
BGR,2002,obesity,14.682929
ZAF,2013,obesity,28.837162
MRT,2015,obesity,18.708511
COM,2020,obesity,14.539607
IND,2000,obesity,1.7373441
CRI,2000,obesity,17.311935
BEL,2002,obesity,15.252741
PSE,2021,obesity,36.958131
TLS,1990,obesity,0.28811737
PSE,1992,obesity,21.710649
SWE,2014,obesity,15.302654
JPN,2004,obesity,2.978459
LTU,1991,obesity,20.064057
VNM,1994,obesity,0.23644608
AFG,2000,obesity,4.3979093
AFG,2018,obesity,15.067677
PHL,2009,obesity,5.1040087
DOM,2021,obesity,28.59093
BLZ,1999,obesity,24.717228
AUT,2002,obesity,12.482619
PYF,2019,obesity,46.606696
ASM,2006,obesity,70.449716
CPV,2011,obesity,10.820165
WSM,1998,obesity,45.063442
CAN,2022,obesity,25.79084
AND,2017,obesity,17.023493
CYP,2013,obesity,21.660776
MDA,1998,obesity,20.293403
ZMB,2007,obesity,5.5512846
ZWE,2016,obesity,11.488502
SSD,2006,obesity,4.059251
ATG,2005,obesity,22.141467
GMB,2010,obesity,6.9754064
COL,2020,obesity,22.677138
LUX,1996,obesity,14.303482
ERI,2006,obesity,1.7514769
LVA,2020,obesity,22.162116
KGZ,2017,obesity,17.341508
RUS,2011,obesity,20.020062
CZE,1992,obesity,19.309983
SRB,1995,obesity,13.432157
DEU,2003,obesity,19.035792
CMR,2016,obesity,12.890549
TTO,2005,obesity,22.290353
THA,1992,obesity,3.7516855
TLS,1996,obesity,0.40892488
NOR,2013,obesity,17.041831
TJK,1991,obesity,8.0904782
EGY,2007,obesity,33.707696
KAZ,2007,obesity,14.932673
FRA,2000,obesity,11.54414
CYP,1992,obesity,14.939369
FJI,2003,obesity,23.85316
IRL,1996,obesity,16.697374
SVK,1999,obesity,14.912033
AGO,1980,obesity,1.7267242
AGO,1981,obesity,1.8141821
AGO,1982,obesity,1.9085195
AGO,1983,obesity,2.0101542
AGO,1984,obesity,2.1190258
AGO,1985,obesity,2.2350814
AGO,1986,obesity,2.359098
AGO,1987,obesity,2.4921307
AGO,1988,obesity,2.6341924
AGO,1989,obesity,2.7851976
AGO,2023,obesity,12.264708
AGO,2024,obesity,12.688406
ALB,1980,obesity,10.364953
ALB,1981,obesity,10.429458
ALB,1982,obesity,10.49937
ALB,1983,obesity,10.571648
ALB,1984,obesity,10.646856
ALB,1985,obesity,10.723433
ALB,1986,obesity,10.804021
ALB,1987,obesity,10.888854
ALB,1988,obesity,10.974526
ALB,1989,obesity,11.060373
ALB,2023,obesity,23.535688
ALB,2024,obesity,24.125049
AND,1980,obesity,10.086311
AND,1981,obesity,10.145311
AND,1982,obesity,10.211958
AND,1983,obesity,10.282018
AND,1984,obesity,10.356744
AND,1985,obesity,10.435827
AND,1986,obesity,10.519014
AND,1987,obesity,10.607924
AND,1988,obesity,10.701126
COD,1992,obesity,1.38592
VNM,2020,obesity,1.7331127
RUS,2015,obesity,19.779965
TKM,2018,obesity,19.650495
BDI,1995,obesity,1.2074026
TUV,2021,obesity,63.634139
MWI,1997,obesity,1.7847003
MAR,2008,obesity,14.887016
LAO,2008,obesity,3.8086046
USA,2007,obesity,33.785254
NLD,1994,obesity,9.3224943
KAZ,2011,obesity,16.053893
KAZ,2010,obesity,15.737863
TZA,1997,obesity,2.9640432
BHS,2006,obesity,34.517074
BRN,2021,obesity,33.623478
TTO,1995,obesity,16.933437
COL,2002,obesity,12.668757
CUB,2012,obesity,16.297631
COD,2001,obesity,2.4268642
TCD,2003,obesity,2.7480369
TLS,2003,obesity,0.64572715
TLS,1997,obesity,0.4351241
NIU,2001,obesity,55.475414
PER,2002,obesity,12.841432
LAO,2005,obesity,3.2091364
TUR,2003,obesity,25.91452
AUS,2013,obesity,26.179689
MYS,2001,obesity,9.7812891
KEN,1998,obesity,3.6850654
COG,2018,obesity,9.9247351
LVA,1990,obesity,15.495604
AFG,2001,obesity,4.7510229
NGA,2005,obesity,6.6945188
KGZ,2016,obesity,16.686898
