freq,unit,sector,na_item,geo,time,value
A,PC_GDP,S13,GD,AT,1995,68.6
A,PC_GDP,S13,GD,AT,1996,68.6
A,PC_GDP,S13,GD,AT,1997,63.9
A,PC_GDP,S13,GD,AT,1998,64.3
A,PC_GDP,S13,GD,AT,1999,67.1
A,PC_GDP,S13,GD,AT,2000,66.6
A,PC_GDP,S13,GD,AT,2001,67.2
A,PC_GDP,S13,GD,AT,2002,67.4
A,PC_GDP,S13,GD,AT,2003,66.4
A,PC_GDP,S13,GD,AT,2004,65.9
A,PC_GDP,S13,GD,AT,2005,69.4
A,PC_GDP,S13,GD,AT,2006,68.2
A,PC_GDP,S13,GD,AT,2007,65.8
A,PC_GDP,S13,GD,AT,2008,69.5
A,PC_GDP,S13,GD,AT,2009,80.8
A,PC_GDP,S13,GD,AT,2010,83.7
A,PC_GDP,S13,GD,AT,2011,83.4
A,PC_GDP,S13,GD,AT,2012,82.9
A,PC_GDP,S13,GD,AT,2013,82.4
A,PC_GDP,S13,GD,AT,2014,85.2
A,PC_GDP,S13,GD,AT,2015,85.6
A,PC_GDP,S13,GD,AT,2016,83.4
A,PC_GDP,S13,GD,AT,2017,79.1
A,PC_GDP,S13,GD,AT,2018,74.6
A,PC_GDP,S13,GD,AT,2019,71.0
A,PC_GDP,S13,GD,AT,2020,83.2
A,PC_GDP,S13,GD,AT,2021,82.4
A,PC_GDP,S13,GD,AT,2022,78.1
A,PC_GDP,S13,GD,AT,2023,77.8
A,PC_GDP,S13,GD,AT,2024,80.0
A,PC_GDP,S13,GD,AT,2025,81.5
A,PC_GDP,S13,GD,BE,1995,131.5
A,PC_GDP,S13,GD,BE,1996,129.2
A,PC_GDP,S13,GD,BE,1997,124.3
A,PC_GDP,S13,GD,BE,1998,119.3
A,PC_GDP,S13,GD,BE,1999,115.4
A,PC_GDP,S13,GD,BE,2000,109.7
A,PC_GDP,S13,GD,BE,2001,108.5
A,PC_GDP,S13,GD,BE,2002,105.6
A,PC_GDP,S13,GD,BE,2003,101.8
A,PC_GDP,S13,GD,BE,2004,97.2
A,PC_GDP,S13,GD,BE,2005,95.2
A,PC_GDP,S13,GD,BE,2006,91.5
A,PC_GDP,S13,GD,BE,2007,87.5
A,PC_GDP,S13,GD,BE,2008,93.2
A,PC_GDP,S13,GD,BE,2009,99.9
A,PC_GDP,S13,GD,BE,2010,100.3
A,PC_GDP,S13,GD,BE,2011,102.8
A,PC_GDP,S13,GD,BE,2012,104.4
A,PC_GDP,S13,GD,BE,2013,105.1
A,PC_GDP,S13,GD,BE,2014,106.6
A,PC_GDP,S13,GD,BE,2015,105.7
A,PC_GDP,S13,GD,BE,2016,105.8
A,PC_GDP,S13,GD,BE,2017,102.6
A,PC_GDP,S13,GD,BE,2018,100.2
A,PC_GDP,S13,GD,BE,2019,97.7
A,PC_GDP,S13,GD,BE,2020,111.4
A,PC_GDP,S13,GD,BE,2021,108.7
A,PC_GDP,S13,GD,BE,2022,103.3
A,PC_GDP,S13,GD,BE,2023,102.5
A,PC_GDP,S13,GD,BE,2024,103.9
A,PC_GDP,S13,GD,BE,2025,107.9
A,PC_GDP,S13,GD,BG,1995,76.8
A,PC_GDP,S13,GD,BG,1996,244.5
A,PC_GDP,S13,GD,BG,1997,96.7
A,PC_GDP,S13,GD,BG,1998,66.7
A,PC_GDP,S13,GD,BG,1999,75.8
A,PC_GDP,S13,GD,BG,2000,70.7
A,PC_GDP,S13,GD,BG,2001,64.5
A,PC_GDP,S13,GD,BG,2002,51.0
A,PC_GDP,S13,GD,BG,2003,43.4
A,PC_GDP,S13,GD,BG,2004,35.7
A,PC_GDP,S13,GD,BG,2005,26.6
A,PC_GDP,S13,GD,BG,2006,20.9
A,PC_GDP,S13,GD,BG,2007,16.3
A,PC_GDP,S13,GD,BG,2008,13.0
A,PC_GDP,S13,GD,BG,2009,13.7
A,PC_GDP,S13,GD,BG,2010,15.3
A,PC_GDP,S13,GD,BG,2011,15.2
A,PC_GDP,S13,GD,BG,2012,16.6
A,PC_GDP,S13,GD,BG,2013,17.0
A,PC_GDP,S13,GD,BG,2014,27.0
A,PC_GDP,S13,GD,BG,2015,25.9
A,PC_GDP,S13,GD,BG,2016,29.1
A,PC_GDP,S13,GD,BG,2017,25.1
A,PC_GDP,S13,GD,BG,2018,22.2
A,PC_GDP,S13,GD,BG,2019,20.1
A,PC_GDP,S13,GD,BG,2020,24.5
A,PC_GDP,S13,GD,BG,2021,23.8
A,PC_GDP,S13,GD,BG,2022,22.5
A,PC_GDP,S13,GD,BG,2023,22.9
A,PC_GDP,S13,GD,BG,2024,23.8
A,PC_GDP,S13,GD,BG,2025,29.9
A,PC_GDP,S13,GD,CY,1995,49.7
A,PC_GDP,S13,GD,CY,1996,51.0
A,PC_GDP,S13,GD,CY,1997,54.9
A,PC_GDP,S13,GD,CY,1998,56.4
A,PC_GDP,S13,GD,CY,1999,56.5
A,PC_GDP,S13,GD,CY,2000,56.5
A,PC_GDP,S13,GD,CY,2001,58.1
A,PC_GDP,S13,GD,CY,2002,61.3
A,PC_GDP,S13,GD,CY,2003,64.6
A,PC_GDP,S13,GD,CY,2004,65.5
A,PC_GDP,S13,GD,CY,2005,64.1
A,PC_GDP,S13,GD,CY,2006,60.0
A,PC_GDP,S13,GD,CY,2007,55.7
A,PC_GDP,S13,GD,CY,2008,47.1
A,PC_GDP,S13,GD,CY,2009,57.6
A,PC_GDP,S13,GD,CY,2010,60.1
A,PC_GDP,S13,GD,CY,2011,69.9
A,PC_GDP,S13,GD,CY,2012,84.4
A,PC_GDP,S13,GD,CY,2013,108.3
A,PC_GDP,S13,GD,CY,2014,113.5
A,PC_GDP,S13,GD,CY,2015,111.6
A,PC_GDP,S13,GD,CY,2016,106.9
A,PC_GDP,S13,GD,CY,2017,96.5
A,PC_GDP,S13,GD,CY,2018,100.7
A,PC_GDP,S13,GD,CY,2019,92.3
A,PC_GDP,S13,GD,CY,2020,113.6
A,PC_GDP,S13,GD,CY,2021,96.5
A,PC_GDP,S13,GD,CY,2022,80.1
A,PC_GDP,S13,GD,CY,2023,71.1
A,PC_GDP,S13,GD,CY,2024,62.7
A,PC_GDP,S13,GD,CY,2025,55.0
A,PC_GDP,S13,GD,CZ,1995,13.5
A,PC_GDP,S13,GD,CZ,1996,11.5
A,PC_GDP,S13,GD,CZ,1997,12.1
A,PC_GDP,S13,GD,CZ,1998,13.9
A,PC_GDP,S13,GD,CZ,1999,15.1
A,PC_GDP,S13,GD,CZ,2000,16.9
A,PC_GDP,S13,GD,CZ,2001,22.6
A,PC_GDP,S13,GD,CZ,2002,25.7
A,PC_GDP,S13,GD,CZ,2003,28.1
A,PC_GDP,S13,GD,CZ,2004,28.3
A,PC_GDP,S13,GD,CZ,2005,27.7
A,PC_GDP,S13,GD,CZ,2006,27.6
A,PC_GDP,S13,GD,CZ,2007,27.3
A,PC_GDP,S13,GD,CZ,2008,28.2
A,PC_GDP,S13,GD,CZ,2009,33.4
A,PC_GDP,S13,GD,CZ,2010,36.7
A,PC_GDP,S13,GD,CZ,2011,39.4
A,PC_GDP,S13,GD,CZ,2012,43.8
A,PC_GDP,S13,GD,CZ,2013,44.1
A,PC_GDP,S13,GD,CZ,2014,41.5
A,PC_GDP,S13,GD,CZ,2015,39.5
