freq,unit,sector,na_item,geo,time,value
A,PC_GDP,S13,D91REC,AT,1995,0.0
A,PC_GDP,S13,D91REC,AT,1996,0.0
A,PC_GDP,S13,D91REC,AT,1997,0.0
A,PC_GDP,S13,D91REC,AT,1998,0.1
A,PC_GDP,S13,D91REC,AT,1999,0.1
A,PC_GDP,S13,D91REC,AT,2000,0.1
A,PC_GDP,S13,D91REC,AT,2001,0.1
A,PC_GDP,S13,D91REC,AT,2002,0.1
A,PC_GDP,S13,D91REC,AT,2003,0.1
A,PC_GDP,S13,D91REC,AT,2004,0.1
A,PC_GDP,S13,D91REC,AT,2005,0.1
A,PC_GDP,S13,D91REC,AT,2006,0.0
A,PC_GDP,S13,D91REC,AT,2007,0.1
A,PC_GDP,S13,D91REC,AT,2008,0.0
A,PC_GDP,S13,D91REC,AT,2009,0.0
A,PC_GDP,S13,D91REC,AT,2010,0.0
A,PC_GDP,S13,D91REC,AT,2011,0.0
A,PC_GDP,S13,D91REC,AT,2012,0.0
A,PC_GDP,S13,D91REC,AT,2013,0.2
A,PC_GDP,S13,D91REC,AT,2014,0.1
A,PC_GDP,S13,D91REC,AT,2015,0.0
A,PC_GDP,S13,D91REC,AT,2016,0.0
A,PC_GDP,S13,D91REC,AT,2017,0.0
A,PC_GDP,S13,D91REC,AT,2018,0.0
A,PC_GDP,S13,D91REC,AT,2019,0.0
A,PC_GDP,S13,D91REC,AT,2020,0.0
A,PC_GDP,S13,D91REC,AT,2021,0.0
A,PC_GDP,S13,D91REC,AT,2022,0.0
A,PC_GDP,S13,D91REC,AT,2023,0.0
A,PC_GDP,S13,D91REC,AT,2024,0.0
A,PC_GDP,S13,D91REC,AT,2025,0.0
A,PC_GDP,S13,D91REC,BE,1995,0.4
A,PC_GDP,S13,D91REC,BE,1996,0.4
A,PC_GDP,S13,D91REC,BE,1997,0.4
A,PC_GDP,S13,D91REC,BE,1998,0.4
A,PC_GDP,S13,D91REC,BE,1999,0.4
A,PC_GDP,S13,D91REC,BE,2000,0.5
A,PC_GDP,S13,D91REC,BE,2001,0.5
A,PC_GDP,S13,D91REC,BE,2002,0.5
A,PC_GDP,S13,D91REC,BE,2003,0.5
A,PC_GDP,S13,D91REC,BE,2004,0.7
A,PC_GDP,S13,D91REC,BE,2005,0.6
