mes,indice,keyword,fecha_descarga
2003-12-28,0.0,comprar piso,2026-07-19
2004-01-04,0.0,comprar piso,2026-07-19
2004-01-11,61.0,comprar piso,2026-07-19
2004-01-18,76.0,comprar piso,2026-07-19
2004-01-25,55.0,comprar piso,2026-07-19
2004-02-01,54.0,comprar piso,2026-07-19
2004-02-08,45.0,comprar piso,2026-07-19
2004-02-15,63.0,comprar piso,2026-07-19
2004-02-22,53.0,comprar piso,2026-07-19
2004-02-29,75.0,comprar piso,2026-07-19
2004-03-07,0.0,comprar piso,2026-07-19
2004-03-14,27.0,comprar piso,2026-07-19
2004-03-21,0.0,comprar piso,2026-07-19
2004-03-28,55.0,comprar piso,2026-07-19
2004-04-04,52.0,comprar piso,2026-07-19
2004-04-11,0.0,comprar piso,2026-07-19
2004-04-18,43.0,comprar piso,2026-07-19
2004-04-25,49.0,comprar piso,2026-07-19
2004-05-02,47.0,comprar piso,2026-07-19
2004-05-09,49.0,comprar piso,2026-07-19
2004-05-16,60.0,comprar piso,2026-07-19
2004-05-23,47.0,comprar piso,2026-07-19
2004-05-30,50.0,comprar piso,2026-07-19
2004-06-06,53.0,comprar piso,2026-07-19
2004-06-13,70.0,comprar piso,2026-07-19
2004-06-20,53.0,comprar piso,2026-07-19
2004-06-27,41.0,comprar piso,2026-07-19
2004-07-04,30.0,comprar piso,2026-07-19
2004-07-11,44.0,comprar piso,2026-07-19
2004-07-18,69.0,comprar piso,2026-07-19
2004-07-25,62.0,comprar piso,2026-07-19
2004-08-01,50.0,comprar piso,2026-07-19
2004-08-08,80.0,comprar piso,2026-07-19
2004-08-15,64.0,comprar piso,2026-07-19
2004-08-22,87.0,comprar piso,2026-07-19
2004-08-29,83.0,comprar piso,2026-07-19
2004-09-05,68.0,comprar piso,2026-07-19
2004-09-12,78.0,comprar piso,2026-07-19
2004-09-19,74.0,comprar piso,2026-07-19
2004-09-26,67.0,comprar piso,2026-07-19
2004-10-03,76.0,comprar piso,2026-07-19
2004-10-10,87.0,comprar piso,2026-07-19
2004-10-17,64.0,comprar piso,2026-07-19
2004-10-24,55.0,comprar piso,2026-07-19
2004-10-31,67.0,comprar piso,2026-07-19
2004-11-07,79.0,comprar piso,2026-07-19
2004-11-14,66.0,comprar piso,2026-07-19
2004-11-21,65.0,comprar piso,2026-07-19
2004-11-28,58.0,comprar piso,2026-07-19
2004-12-05,44.0,comprar piso,2026-07-19
2004-12-12,54.0,comprar piso,2026-07-19
2004-12-19,43.0,comprar piso,2026-07-19
2004-12-26,56.0,comprar piso,2026-07-19
2005-01-02,60.0,comprar piso,2026-07-19
2005-01-09,71.0,comprar piso,2026-07-19
2005-01-16,78.0,comprar piso,2026-07-19
2005-01-23,82.0,comprar piso,2026-07-19
2005-01-30,62.0,comprar piso,2026-07-19
2005-02-06,79.0,comprar piso,2026-07-19
2005-02-13,72.0,comprar piso,2026-07-19
2005-02-20,71.0,comprar piso,2026-07-19
2005-02-27,74.0,comprar piso,2026-07-19
2005-03-06,65.0,comprar piso,2026-07-19
2005-03-13,58.0,comprar piso,2026-07-19
2005-03-20,70.0,comprar piso,2026-07-19
2005-03-27,54.0,comprar piso,2026-07-19
2005-04-03,81.0,comprar piso,2026-07-19
2005-04-10,91.0,comprar piso,2026-07-19
2005-04-17,86.0,comprar piso,2026-07-19
2005-04-24,59.0,comprar piso,2026-07-19
2005-05-01,56.0,comprar piso,2026-07-19
2005-05-08,74.0,comprar piso,2026-07-19
2005-05-15,87.0,comprar piso,2026-07-19
2005-05-22,67.0,comprar piso,2026-07-19
2005-05-29,53.0,comprar piso,2026-07-19
