freq,purchase,unit,geo,time,value
Q,TOTAL,I15_Q,AT,2010-Q1,75.05
Q,TOTAL,I15_Q,AT,2010-Q2,77.21
Q,TOTAL,I15_Q,AT,2010-Q3,78.19
Q,TOTAL,I15_Q,AT,2010-Q4,78.84
Q,TOTAL,I15_Q,AT,2011-Q1,78.96
Q,TOTAL,I15_Q,AT,2011-Q2,81.28
Q,TOTAL,I15_Q,AT,2011-Q3,82.59
Q,TOTAL,I15_Q,AT,2011-Q4,83.06
Q,TOTAL,I15_Q,AT,2012-Q1,85.3
Q,TOTAL,I15_Q,AT,2012-Q2,85.44
Q,TOTAL,I15_Q,AT,2012-Q3,88.71
Q,TOTAL,I15_Q,AT,2012-Q4,88.0
Q,TOTAL,I15_Q,AT,2013-Q1,89.06
Q,TOTAL,I15_Q,AT,2013-Q2,92.25
Q,TOTAL,I15_Q,AT,2013-Q3,91.79
Q,TOTAL,I15_Q,AT,2013-Q4,91.68
Q,TOTAL,I15_Q,AT,2014-Q1,92.89
Q,TOTAL,I15_Q,AT,2014-Q2,94.35
Q,TOTAL,I15_Q,AT,2014-Q3,95.32
Q,TOTAL,I15_Q,AT,2014-Q4,96.14
Q,TOTAL,I15_Q,AT,2015-Q1,98.19
Q,TOTAL,I15_Q,AT,2015-Q2,99.97
Q,TOTAL,I15_Q,AT,2015-Q3,101.23
Q,TOTAL,I15_Q,AT,2015-Q4,100.61
Q,TOTAL,I15_Q,AT,2016-Q1,104.04
Q,TOTAL,I15_Q,AT,2016-Q2,106.7
Q,TOTAL,I15_Q,AT,2016-Q3,108.08
Q,TOTAL,I15_Q,AT,2016-Q4,108.0
Q,TOTAL,I15_Q,AT,2017-Q1,109.76
Q,TOTAL,I15_Q,AT,2017-Q2,112.46
Q,TOTAL,I15_Q,AT,2017-Q3,113.67
Q,TOTAL,I15_Q,AT,2017-Q4,112.65
Q,TOTAL,I15_Q,AT,2018-Q1,115.13
Q,TOTAL,I15_Q,AT,2018-Q2,118.94
Q,TOTAL,I15_Q,AT,2018-Q3,120.1
Q,TOTAL,I15_Q,AT,2018-Q4,121.15
Q,TOTAL,I15_Q,AT,2019-Q1,121.53
Q,TOTAL,I15_Q,AT,2019-Q2,125.79
Q,TOTAL,I15_Q,AT,2019-Q3,127.81
Q,TOTAL,I15_Q,AT,2019-Q4,128.74
Q,TOTAL,I15_Q,AT,2020-Q1,131.26
Q,TOTAL,I15_Q,AT,2020-Q2,134.09
Q,TOTAL,I15_Q,AT,2020-Q3,138.0
Q,TOTAL,I15_Q,AT,2020-Q4,138.71
Q,TOTAL,I15_Q,AT,2021-Q1,144.08
Q,TOTAL,I15_Q,AT,2021-Q2,149.12
Q,TOTAL,I15_Q,AT,2021-Q3,153.52
Q,TOTAL,I15_Q,AT,2021-Q4,157.34
Q,TOTAL,I15_Q,AT,2022-Q1,164.63
Q,TOTAL,I15_Q,AT,2022-Q2,169.43
Q,TOTAL,I15_Q,AT,2022-Q3,173.59
Q,TOTAL,I15_Q,AT,2022-Q4,166.32
Q,TOTAL,I15_Q,AT,2023-Q1,164.35
Q,TOTAL,I15_Q,AT,2023-Q2,164.68
Q,TOTAL,I15_Q,AT,2023-Q3,164.29
Q,TOTAL,I15_Q,AT,2023-Q4,161.4
Q,TOTAL,I15_Q,AT,2024-Q1,159.54
Q,TOTAL,I15_Q,AT,2024-Q2,164.34
Q,TOTAL,I15_Q,AT,2024-Q3,165.13
Q,TOTAL,I15_Q,AT,2024-Q4,163.23
Q,TOTAL,I15_Q,AT,2025-Q1,165.17
Q,TOTAL,I15_Q,AT,2025-Q2,166.95
Q,TOTAL,I15_Q,AT,2025-Q3,167.87
