freq,citizen,agedef,age,unit,sex,geo,time,value
A,TOTAL,COMPLET,TOTAL,NR,T,AT,1998,72723
A,TOTAL,COMPLET,TOTAL,NR,T,AT,1999,86710
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2000,81676
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2001,89928
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2002,108125
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2003,111869
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2004,122547
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2005,114465
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2006,98535
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2007,72862
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2008,73772
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2009,69295
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2010,70978
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2011,82230
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2012,91557
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2013,101866
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2014,116262
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2015,166323
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2016,129509
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2017,111801
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2018,105633
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2019,109167
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2020,103565
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2021,118511
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2022,201622
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2023,147591
A,TOTAL,COMPLET,TOTAL,NR,T,AT,2024,128805
A,TOTAL,COMPLET,TOTAL,NR,T,BE,1998,83812
A,TOTAL,COMPLET,TOTAL,NR,T,BE,1999,91624
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2000,89388
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2001,110410
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2002,113857
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2003,112060
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2004,117236
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2005,132810
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2006,137699
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2007,146409
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2010,135281
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2011,147377
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2012,129477
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2013,120078
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2014,123158
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2015,146626
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2016,123702
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2017,126703
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2018,137860
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2019,150006
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2020,118683
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2021,139743
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2022,208356
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2023,169609
A,TOTAL,COMPLET,TOTAL,NR,T,BE,2024,162926
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2007,1561
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2012,14103
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2013,18570
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2014,26615
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2015,25223
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2016,21241
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2017,25597
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2018,29559
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2019,37929
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2020,37364
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2021,39461
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2022,40619
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2023,56807
A,TOTAL,COMPLET,TOTAL,NR,T,BG,2024,52189
A,TOTAL,COMPLET,TOTAL,NR,T,CH,1998,95955
A,TOTAL,COMPLET,TOTAL,NR,T,CH,1999,107953
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2000,110302
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2001,124077
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2002,127340
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2003,119783
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2004,120188
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2005,118270
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2006,127586
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2007,165634
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2008,184297
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2009,160623
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2010,161778
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2011,148799
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2012,149051
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2013,160157
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2014,156282
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2015,153627
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2016,149305
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2017,143377
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2018,144857
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2019,145129
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2020,138778
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2021,144907
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2022,167079
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2023,263081
A,TOTAL,COMPLET,TOTAL,NR,T,CH,2024,212578
A,TOTAL,COMPLET,TOTAL,NR,T,CY,1998,8801
A,TOTAL,COMPLET,TOTAL,NR,T,CY,1999,8524
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2000,12764
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2001,17485
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2002,6940
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2003,7981
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2004,9003
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2005,10320
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2006,13077
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2007,19328
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2008,21060
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2009,22581
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2010,20206
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2011,23037
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2012,16138
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2013,13666
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2014,13003
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2015,15364
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2016,18590
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2017,22458
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2018,25740
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2019,27553
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2020,22850
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2021,25473
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2022,37558
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2023,40761
A,TOTAL,COMPLET,TOTAL,NR,T,CY,2024,40471
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2001,12918
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2002,44679
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2003,60015
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2004,53453
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2005,60294
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2006,68183
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2007,104445
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2008,108267
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2009,75620
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2010,48317
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2011,27114
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2012,34337
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2013,30124
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2014,29897
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2015,29602
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2016,64083
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2017,51847
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2018,65910
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2019,105888
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2020,63095
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2021,69360
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2022,347429
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2023,142149
A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2024,123910
A,TOTAL,COMPLET,TOTAL,NR,T,DE,1998,802456
A,TOTAL,COMPLET,TOTAL,NR,T,DE,1999,874023
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2000,841158
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2001,879217
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2002,842543
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2003,768975
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2004,780175
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2005,707352
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2006,661855
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2007,680766
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2008,682146
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2009,346216
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2010,404055
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2011,489422
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2012,592175
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2013,692713
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2014,898840
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2015,1595865
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2016,1042484
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2017,900291
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2018,855708
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2019,834338
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2020,666639
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2021,801361
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2022,1977121
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2023,1303251
A,TOTAL,COMPLET,TOTAL,NR,T,DE,2024,1078504
A,TOTAL,COMPLET,TOTAL,NR,T,DK,1998,51372
