ccaa,anyo,mes,valor
Andalucía,2007,1,16521.0
Andalucía,2007,2,14391.0
Andalucía,2007,3,15868.0
Andalucía,2007,4,12242.0
Andalucía,2007,5,16276.0
Andalucía,2007,6,14320.0
Andalucía,2007,7,14634.0
Andalucía,2007,8,12935.0
Andalucía,2007,9,13926.0
Andalucía,2007,10,13847.0
Andalucía,2007,11,13041.0
Andalucía,2007,12,9802.0
Andalucía,2008,1,13209.0
Andalucía,2008,2,12026.0
Andalucía,2008,3,9989.0
Andalucía,2008,4,11970.0
Andalucía,2008,5,11182.0
Andalucía,2008,6,10900.0
Andalucía,2008,7,9595.0
Andalucía,2008,8,8062.0
Andalucía,2008,9,9407.0
Andalucía,2008,10,9205.0
Andalucía,2008,11,7618.0
Andalucía,2008,12,7035.0
Andalucía,2009,1,8476.0
Andalucía,2009,2,7053.0
Andalucía,2009,3,7735.0
Andalucía,2009,4,6323.0
Andalucía,2009,5,7108.0
Andalucía,2009,6,7697.0
Andalucía,2009,7,7923.0
Andalucía,2009,8,7035.0
Andalucía,2009,9,7466.0
Andalucía,2009,10,6375.0
Andalucía,2009,11,6857.0
Andalucía,2009,12,6592.0
Andalucía,2010,1,7462.0
Andalucía,2010,2,7418.0
Andalucía,2010,3,7100.0
Andalucía,2010,4,6529.0
Andalucía,2010,5,7071.0
Andalucía,2010,6,7142.0
Andalucía,2010,7,7516.0
Andalucía,2010,8,8191.0
Andalucía,2010,9,7094.0
Andalucía,2010,10,5416.0
Andalucía,2010,11,6462.0
Andalucía,2010,12,5794.0
Andalucía,2011,1,9223.0
Andalucía,2011,2,7845.0
Andalucía,2011,3,6753.0
Andalucía,2011,4,4788.0
Andalucía,2011,5,6095.0
Andalucía,2011,6,6137.0
Andalucía,2011,7,6328.0
Andalucía,2011,8,5249.0
Andalucía,2011,9,4920.0
Andalucía,2011,10,4468.0
Andalucía,2011,11,6121.0
Andalucía,2011,12,4826.0
Andalucía,2012,1,6057.0
Andalucía,2012,2,5658.0
Andalucía,2012,3,5023.0
Andalucía,2012,4,4171.0
Andalucía,2012,5,6056.0
Andalucía,2012,6,5046.0
Andalucía,2012,7,5475.0
