ccaa,anyo,mes,valor
Andalucía,2003,1,18665.0
Andalucía,2003,2,17824.0
Andalucía,2003,3,17643.0
Andalucía,2003,4,14181.0
Andalucía,2003,5,15866.0
Andalucía,2003,6,13369.0
Andalucía,2003,7,13041.0
Andalucía,2003,8,11694.0
Andalucía,2003,9,13672.0
Andalucía,2003,10,16384.0
Andalucía,2003,11,13517.0
Andalucía,2003,12,10870.0
Andalucía,2004,1,15326.0
Andalucía,2004,2,14542.0
Andalucía,2004,3,17518.0
Andalucía,2004,4,14092.0
Andalucía,2004,5,17041.0
Andalucía,2004,6,17923.0
Andalucía,2004,7,16353.0
Andalucía,2004,8,14573.0
Andalucía,2004,9,18181.0
Andalucía,2004,10,16760.0
Andalucía,2004,11,18796.0
Andalucía,2004,12,16375.0
Andalucía,2005,1,21065.0
Andalucía,2005,2,18698.0
Andalucía,2005,3,16983.0
Andalucía,2005,4,21248.0
Andalucía,2005,5,19469.0
Andalucía,2005,6,21708.0
Andalucía,2005,7,19686.0
Andalucía,2005,8,17396.0
Andalucía,2005,9,25585.0
Andalucía,2005,10,19565.0
Andalucía,2005,11,20836.0
Andalucía,2005,12,19231.0
Andalucía,2006,1,23563.0
Andalucía,2006,2,21365.0
Andalucía,2006,3,26449.0
Andalucía,2006,4,19245.0
Andalucía,2006,5,25532.0
Andalucía,2006,6,25621.0
Andalucía,2006,7,20590.0
Andalucía,2006,8,19504.0
Andalucía,2006,9,21784.0
Andalucía,2006,10,23604.0
Andalucía,2006,11,23648.0
Andalucía,2006,12,18273.0
Andalucía,2007,1,26158.0
Andalucía,2007,2,21081.0
Andalucía,2007,3,24693.0
Andalucía,2007,4,19486.0
Andalucía,2007,5,23782.0
Andalucía,2007,6,21049.0
Andalucía,2007,7,22996.0
Andalucía,2007,8,19354.0
Andalucía,2007,9,20800.0
Andalucía,2007,10,21994.0
Andalucía,2007,11,19142.0
Andalucía,2007,12,14236.0
Andalucía,2008,1,17883.0
Andalucía,2008,2,16395.0
Andalucía,2008,3,14222.0
Andalucía,2008,4,15695.0
Andalucía,2008,5,13602.0
Andalucía,2008,6,13187.0
Andalucía,2008,7,13135.0
Andalucía,2008,8,9150.0
