cod,nombre,anyo,periodo,valor
IPC290751,Nacional. Índice general. Índice. ,2002,1,58.717
IPC290751,Nacional. Índice general. Índice. ,2002,2,58.768
IPC290751,Nacional. Índice general. Índice. ,2002,3,59.253
IPC290751,Nacional. Índice general. Índice. ,2002,4,60.058
IPC290751,Nacional. Índice general. Índice. ,2002,5,60.274
IPC290751,Nacional. Índice general. Índice. ,2002,6,60.277
IPC290751,Nacional. Índice general. Índice. ,2002,7,59.858
IPC290751,Nacional. Índice general. Índice. ,2002,8,60.03
IPC290751,Nacional. Índice general. Índice. ,2002,9,60.255
IPC290751,Nacional. Índice general. Índice. ,2002,10,60.851
IPC290751,Nacional. Índice general. Índice. ,2002,11,60.946
IPC290751,Nacional. Índice general. Índice. ,2002,12,61.148
IPC290751,Nacional. Índice general. Índice. ,2003,1,60.896
IPC290751,Nacional. Índice general. Índice. ,2003,2,61.026
IPC290751,Nacional. Índice general. Índice. ,2003,3,61.449
IPC290751,Nacional. Índice general. Índice. ,2003,4,61.949
IPC290751,Nacional. Índice general. Índice. ,2003,5,61.892
IPC290751,Nacional. Índice general. Índice. ,2003,6,61.933
IPC290751,Nacional. Índice general. Índice. ,2003,7,61.545
IPC290751,Nacional. Índice general. Índice. ,2003,8,61.827
IPC290751,Nacional. Índice general. Índice. ,2003,9,62.011
IPC290751,Nacional. Índice general. Índice. ,2003,10,62.429
IPC290751,Nacional. Índice general. Índice. ,2003,11,62.633
IPC290751,Nacional. Índice general. Índice. ,2003,12,62.74
IPC290751,Nacional. Índice general. Índice. ,2004,1,62.3
IPC290751,Nacional. Índice general. Índice. ,2004,2,62.329
IPC290751,Nacional. Índice general. Índice. ,2004,3,62.764
IPC290751,Nacional. Índice general. Índice. ,2004,4,63.623
IPC290751,Nacional. Índice general. Índice. ,2004,5,63.999
IPC290751,Nacional. Índice general. Índice. ,2004,6,64.1
IPC290751,Nacional. Índice general. Índice. ,2004,7,63.614
IPC290751,Nacional. Índice general. Índice. ,2004,8,63.895
IPC290751,Nacional. Índice general. Índice. ,2004,9,64.009
IPC290751,Nacional. Índice general. Índice. ,2004,10,64.667
IPC290751,Nacional. Índice general. Índice. ,2004,11,64.828
IPC290751,Nacional. Índice general. Índice. ,2004,12,64.765
IPC290751,Nacional. Índice general. Índice. ,2005,1,64.219
IPC290751,Nacional. Índice general. Índice. ,2005,2,64.386
IPC290751,Nacional. Índice general. Índice. ,2005,3,64.895
IPC290751,Nacional. Índice general. Índice. ,2005,4,65.83
IPC290751,Nacional. Índice general. Índice. ,2005,5,65.956
IPC290751,Nacional. Índice general. Índice. ,2005,6,66.11
IPC290751,Nacional. Índice general. Índice. ,2005,7,65.705
IPC290751,Nacional. Índice general. Índice. ,2005,8,65.994
IPC290751,Nacional. Índice general. Índice. ,2005,9,66.399
IPC290751,Nacional. Índice general. Índice. ,2005,10,66.939
IPC290751,Nacional. Índice general. Índice. ,2005,11,67.04
IPC290751,Nacional. Índice general. Índice. ,2005,12,67.184
IPC290751,Nacional. Índice general. Índice. ,2006,1,66.912
IPC290751,Nacional. Índice general. Índice. ,2006,2,66.944
IPC290751,Nacional. Índice general. Índice. ,2006,3,67.418
IPC290751,Nacional. Índice general. Índice. ,2006,4,68.369
IPC290751,Nacional. Índice general. Índice. ,2006,5,68.615
IPC290751,Nacional. Índice general. Índice. ,2006,6,68.719
IPC290751,Nacional. Índice general. Índice. ,2006,7,68.31
IPC290751,Nacional. Índice general. Índice. ,2006,8,68.45
IPC290751,Nacional. Índice general. Índice. ,2006,9,68.337
IPC290751,Nacional. Índice general. Índice. ,2006,10,68.618
IPC290751,Nacional. Índice general. Índice. ,2006,11,68.787
IPC290751,Nacional. Índice general. Índice. ,2006,12,68.976
IPC290751,Nacional. Índice general. Índice. ,2007,1,68.512
IPC290751,Nacional. Índice general. Índice. ,2007,2,68.559
IPC290751,Nacional. Índice general. Índice. ,2007,3,69.079
IPC290751,Nacional. Índice general. Índice. ,2007,4,70.033
IPC290751,Nacional. Índice general. Índice. ,2007,5,70.225
IPC290751,Nacional. Índice general. Índice. ,2007,6,70.354
IPC290751,Nacional. Índice general. Índice. ,2007,7,69.843
IPC290751,Nacional. Índice general. Índice. ,2007,8,69.938
IPC290751,Nacional. Índice general. Índice. ,2007,9,70.168
IPC290751,Nacional. Índice general. Índice. ,2007,10,71.077
IPC290751,Nacional. Índice general. Índice. ,2007,11,71.587
IPC290751,Nacional. Índice general. Índice. ,2007,12,71.887
IPC290751,Nacional. Índice general. Índice. ,2008,1,71.442
IPC290751,Nacional. Índice general. Índice. ,2008,2,71.553
IPC290751,Nacional. Índice general. Índice. ,2008,3,72.188
IPC290751,Nacional. Índice general. Índice. ,2008,4,72.965
IPC290751,Nacional. Índice general. Índice. ,2008,5,73.458
IPC290751,Nacional. Índice general. Índice. ,2008,6,73.881
IPC290751,Nacional. Índice general. Índice. ,2008,7,73.526
IPC290751,Nacional. Índice general. Índice. ,2008,8,73.368
IPC290751,Nacional. Índice general. Índice. ,2008,9,73.353
IPC290751,Nacional. Índice general. Índice. ,2008,10,73.605
IPC290751,Nacional. Índice general. Índice. ,2008,11,73.293
IPC290751,Nacional. Índice general. Índice. ,2008,12,72.917
IPC290751,Nacional. Índice general. Índice. ,2009,1,72.018
IPC290751,Nacional. Índice general. Índice. ,2009,2,72.026
IPC290751,Nacional. Índice general. Índice. ,2009,3,72.144
IPC290751,Nacional. Índice general. Índice. ,2009,4,72.849
IPC290751,Nacional. Índice general. Índice. ,2009,5,72.823
IPC290751,Nacional. Índice general. Índice. ,2009,6,73.144
IPC290751,Nacional. Índice general. Índice. ,2009,7,72.52
IPC290751,Nacional. Índice general. Índice. ,2009,8,72.773
IPC290751,Nacional. Índice general. Índice. ,2009,9,72.601
IPC290751,Nacional. Índice general. Índice. ,2009,10,73.119
IPC290751,Nacional. Índice general. Índice. ,2009,11,73.515
IPC290751,Nacional. Índice general. Índice. ,2009,12,73.496
IPC290751,Nacional. Índice general. Índice. ,2010,1,72.759
IPC290751,Nacional. Índice general. Índice. ,2010,2,72.627
IPC290751,Nacional. Índice general. Índice. ,2010,3,73.165
IPC290751,Nacional. Índice general. Índice. ,2010,4,73.944
IPC290751,Nacional. Índice general. Índice. ,2010,5,74.109
IPC290751,Nacional. Índice general. Índice. ,2010,6,74.241
IPC290751,Nacional. Índice general. Índice. ,2010,7,73.909
IPC290751,Nacional. Índice general. Índice. ,2010,8,74.095
IPC290751,Nacional. Índice general. Índice. ,2010,9,74.146
IPC290751,Nacional. Índice general. Índice. ,2010,10,74.824
IPC290751,Nacional. Índice general. Índice. ,2010,11,75.23
IPC290751,Nacional. Índice general. Índice. ,2010,12,75.692
IPC290751,Nacional. Índice general. Índice. ,2011,1,75.138
IPC290751,Nacional. Índice general. Índice. ,2011,2,75.234
IPC290751,Nacional. Índice general. Índice. ,2011,3,75.796
IPC290751,Nacional. Índice general. Índice. ,2011,4,76.739
IPC290751,Nacional. Índice general. Índice. ,2011,5,76.714
IPC290751,Nacional. Índice general. Índice. ,2011,6,76.606
IPC290751,Nacional. Índice general. Índice. ,2011,7,76.194
IPC290751,Nacional. Índice general. Índice. ,2011,8,76.289
IPC290751,Nacional. Índice general. Índice. ,2011,9,76.475
IPC290751,Nacional. Índice general. Índice. ,2011,10,77.078
IPC290751,Nacional. Índice general. Índice. ,2011,11,77.391
IPC290751,Nacional. Índice general. Índice. ,2011,12,77.492
IPC290751,Nacional. Índice general. Índice. ,2012,1,76.639
IPC290751,Nacional. Índice general. Índice. ,2012,2,76.719
IPC290751,Nacional. Índice general. Índice. ,2012,3,77.235
IPC290751,Nacional. Índice general. Índice. ,2012,4,78.32
IPC290751,Nacional. Índice general. Índice. ,2012,5,78.204
IPC290751,Nacional. Índice general. Índice. ,2012,6,78.058
IPC290751,Nacional. Índice general. Índice. ,2012,7,77.876
IPC290751,Nacional. Índice general. Índice. ,2012,8,78.314
IPC290751,Nacional. Índice general. Índice. ,2012,9,79.085
IPC290751,Nacional. Índice general. Índice. ,2012,10,79.757
IPC290751,Nacional. Índice general. Índice. ,2012,11,79.658
IPC290751,Nacional. Índice general. Índice. ,2012,12,79.714
IPC290751,Nacional. Índice general. Índice. ,2013,1,78.695
IPC290751,Nacional. Índice general. Índice. ,2013,2,78.832
IPC290751,Nacional. Índice general. Índice. ,2013,3,79.109
IPC290751,Nacional. Índice general. Índice. ,2013,4,79.405
IPC290751,Nacional. Índice general. Índice. ,2013,5,79.551
IPC290751,Nacional. Índice general. Índice. ,2013,6,79.669
IPC290751,Nacional. Índice general. Índice. ,2013,7,79.258
IPC290751,Nacional. Índice general. Índice. ,2013,8,79.504
IPC290751,Nacional. Índice general. Índice. ,2013,9,79.355
IPC290751,Nacional. Índice general. Índice. ,2013,10,79.678
IPC290751,Nacional. Índice general. Índice. ,2013,11,79.844
IPC290751,Nacional. Índice general. Índice. ,2013,12,79.915
IPC290751,Nacional. Índice general. Índice. ,2014,1,78.852
IPC290751,Nacional. Índice general. Índice. ,2014,2,78.818
IPC290751,Nacional. Índice general. Índice. ,2014,3,78.994
IPC290751,Nacional. Índice general. Índice. ,2014,4,79.697
IPC290751,Nacional. Índice general. Índice. ,2014,5,79.715
IPC290751,Nacional. Índice general. Índice. ,2014,6,79.737
IPC290751,Nacional. Índice general. Índice. ,2014,7,78.987
IPC290751,Nacional. Índice general. Índice. ,2014,8,79.112
IPC290751,Nacional. Índice general. Índice. ,2014,9,79.233
IPC290751,Nacional. Índice general. Índice. ,2014,10,79.602
IPC290751,Nacional. Índice general. Índice. ,2014,11,79.547
IPC290751,Nacional. Índice general. Índice. ,2014,12,79.083
IPC290751,Nacional. Índice general. Índice. ,2015,1,77.812
IPC290751,Nacional. Índice general. Índice. ,2015,2,77.972
IPC290751,Nacional. Índice general. Índice. ,2015,3,78.47
IPC290751,Nacional. Índice general. Índice. ,2015,4,79.191
IPC290751,Nacional. Índice general. Índice. ,2015,5,79.569
IPC290751,Nacional. Índice general. Índice. ,2015,6,79.782
IPC290751,Nacional. Índice general. Índice. ,2015,7,79.041
IPC290751,Nacional. Índice general. Índice. ,2015,8,78.779
IPC290751,Nacional. Índice general. Índice. ,2015,9,78.536
IPC290751,Nacional. Índice general. Índice. ,2015,10,79.039
IPC290751,Nacional. Índice general. Índice. ,2015,11,79.329
IPC290751,Nacional. Índice general. Índice. ,2015,12,79.097
IPC290751,Nacional. Índice general. Índice. ,2016,1,77.588
IPC290751,Nacional. Índice general. Índice. ,2016,2,77.314
IPC290751,Nacional. Índice general. Índice. ,2016,3,77.81
IPC290751,Nacional. Índice general. Índice. ,2016,4,78.355
IPC290751,Nacional. Índice general. Índice. ,2016,5,78.783
IPC290751,Nacional. Índice general. Índice. ,2016,6,79.148
IPC290751,Nacional. Índice general. Índice. ,2016,7,78.572
IPC290751,Nacional. Índice general. Índice. ,2016,8,78.673
IPC290751,Nacional. Índice general. Índice. ,2016,9,78.677
IPC290751,Nacional. Índice general. Índice. ,2016,10,79.576
IPC290751,Nacional. Índice general. Índice. ,2016,11,79.864
IPC290751,Nacional. Índice general. Índice. ,2016,12,80.338
IPC290751,Nacional. Índice general. Índice. ,2017,1,79.896
IPC290751,Nacional. Índice general. Índice. ,2017,2,79.608
IPC290751,Nacional. Índice general. Índice. ,2017,3,79.592
IPC290751,Nacional. Índice general. Índice. ,2017,4,80.356
IPC290751,Nacional. Índice general. Índice. ,2017,5,80.308
IPC290751,Nacional. Índice general. Índice. ,2017,6,80.343
IPC290751,Nacional. Índice general. Índice. ,2017,7,79.788
IPC290751,Nacional. Índice general. Índice. ,2017,8,79.947
IPC290751,Nacional. Índice general. Índice. ,2017,9,80.086
IPC290751,Nacional. Índice general. Índice. ,2017,10,80.825
