cod,nombre,anyo,periodo,valor
IPV1209,Nacional. General. Índice. ,2007,19,81.118
IPV1209,Nacional. General. Índice. ,2007,20,83.435
IPV1209,Nacional. General. Índice. ,2007,21,84.333
IPV1209,Nacional. General. Índice. ,2007,22,83.733
IPV1209,Nacional. General. Índice. ,2008,19,83.423
IPV1209,Nacional. General. Índice. ,2008,20,83.165
IPV1209,Nacional. General. Índice. ,2008,21,81.784
IPV1209,Nacional. General. Índice. ,2008,22,79.215
IPV1209,Nacional. General. Índice. ,2009,19,77.092
IPV1209,Nacional. General. Índice. ,2009,20,76.753
IPV1209,Nacional. General. Índice. ,2009,21,76.065
IPV1209,Nacional. General. Índice. ,2009,22,75.769
IPV1209,Nacional. General. Índice. ,2010,19,74.832
IPV1209,Nacional. General. Índice. ,2010,20,76.035
IPV1209,Nacional. General. Índice. ,2010,21,74.398
IPV1209,Nacional. General. Índice. ,2010,22,74.327
IPV1209,Nacional. General. Índice. ,2011,19,71.737
IPV1209,Nacional. General. Índice. ,2011,20,70.886
IPV1209,Nacional. General. Índice. ,2011,21,68.897
IPV1209,Nacional. General. Índice. ,2011,22,66.025
IPV1209,Nacional. General. Índice. ,2012,19,62.734
IPV1209,Nacional. General. Índice. ,2012,20,60.691
IPV1209,Nacional. General. Índice. ,2012,21,58.405
IPV1209,Nacional. General. Índice. ,2012,22,57.582
IPV1209,Nacional. General. Índice. ,2013,19,53.788
IPV1209,Nacional. General. Índice. ,2013,20,53.384
IPV1209,Nacional. General. Índice. ,2013,21,53.774
IPV1209,Nacional. General. Índice. ,2013,22,53.09
IPV1209,Nacional. General. Índice. ,2014,19,52.921
IPV1209,Nacional. General. Índice. ,2014,20,53.809
IPV1209,Nacional. General. Índice. ,2014,21,53.919
IPV1209,Nacional. General. Índice. ,2014,22,54.025
IPV1209,Nacional. General. Índice. ,2015,19,53.723
IPV1209,Nacional. General. Índice. ,2015,20,55.967
IPV1209,Nacional. General. Índice. ,2015,21,56.34
IPV1209,Nacional. General. Índice. ,2015,22,56.31
IPV1209,Nacional. General. Índice. ,2016,19,57.128
IPV1209,Nacional. General. Índice. ,2016,20,58.142
IPV1209,Nacional. General. Índice. ,2016,21,58.604
IPV1209,Nacional. General. Índice. ,2016,22,58.836
IPV1209,Nacional. General. Índice. ,2017,19,60.165
IPV1209,Nacional. General. Índice. ,2017,20,61.371
IPV1209,Nacional. General. Índice. ,2017,21,62.501
IPV1209,Nacional. General. Índice. ,2017,22,63.065
IPV1209,Nacional. General. Índice. ,2018,19,63.919
IPV1209,Nacional. General. Índice. ,2018,20,65.558
IPV1209,Nacional. General. Índice. ,2018,21,66.975
IPV1209,Nacional. General. Índice. ,2018,22,67.232
IPV1209,Nacional. General. Índice. ,2019,19,68.235
IPV1209,Nacional. General. Índice. ,2019,20,69.022
