ccaa,anyo,valor,quarter
Andalucía,1971,5990874.0,1
Andalucía,1971,6012377.0,3
Andalucía,1972,6038130.0,1
Andalucía,1972,6061747.0,3
Andalucía,1973,6088717.0,1
Andalucía,1973,6109354.0,3
Andalucía,1974,6135074.0,1
Andalucía,1974,6155361.0,3
Andalucía,1975,6182072.0,1
Andalucía,1975,6201672.0,3
Andalucía,1976,6226573.0,1
Andalucía,1976,6245842.0,3
Andalucía,1977,6271866.0,1
Andalucía,1977,6292330.0,3
Andalucía,1978,6317098.0,1
Andalucía,1978,6336988.0,3
Andalucía,1979,6358248.0,1
Andalucía,1979,6377524.0,3
Andalucía,1980,6396876.0,1
Andalucía,1980,6414287.0,3
Andalucía,1981,6434055.0,1
Andalucía,1981,6462979.0,3
Andalucía,1982,6497990.0,1
Andalucía,1982,6529044.0,3
Andalucía,1983,6562052.0,1
Andalucía,1983,6587683.0,3
Andalucía,1984,6620725.0,1
Andalucía,1984,6647444.0,3
Andalucía,1985,6676889.0,1
Andalucía,1985,6699927.0,3
Andalucía,1986,6726921.0,1
Andalucía,1986,6746829.0,3
Andalucía,1987,6773974.0,1
Andalucía,1987,6794686.0,3
Andalucía,1988,6818889.0,1
Andalucía,1988,6838377.0,3
Andalucía,1989,6860269.0,1
Andalucía,1989,6877703.0,3
Andalucía,1990,6898938.0,1
Andalucía,1990,6915480.0,3
Andalucía,1991,6937107.0,1
Andalucía,1991,6955715.0,3
Andalucía,1992,6981694.0,1
Andalucía,1992,7003430.0,3
Andalucía,1993,7030277.0,1
Andalucía,1993,7050508.0,3
Andalucía,1994,7074930.0,1
Andalucía,1994,7093817.0,3
Andalucía,1995,7115499.0,1
Andalucía,1995,7132309.0,3
Andalucía,1996,7152486.0,1
Andalucía,1996,7167506.0,3
Andalucía,1997,7186526.0,1
Andalucía,1997,7202054.0,3
Andalucía,1998,7221920.0,1
Andalucía,1998,7235143.0,3
Andalucía,1999,7253141.0,1
Andalucía,1999,7264827.0,3
Andalucía,2000,7285993.0,1
Andalucía,2000,7301781.0,3
Andalucía,2001,7323031.0,1
Andalucía,2001,7341497.0,3
Andalucía,2002,7391401.0,1
Andalucía,2002,7437168.0,3
Andalucía,2003,7490858.0,1
Andalucía,2003,7544160.0,3
Andalucía,2004,7596513.0,1
Andalucía,2004,7648984.0,3
Andalucía,2005,7730705.0,1
Andalucía,2005,7803425.0,3
Andalucía,2006,7865775.0,1
Andalucía,2006,7923886.0,3
Andalucía,2007,7986597.0,1
Andalucía,2007,8052762.0,3
Andalucía,2008,8118575.0,1
Andalucía,2008,8168647.0,3
Andalucía,2009,8212986.0,1
Andalucía,2009,8244507.0,3
Andalucía,2010,8276017.0,1
Andalucía,2010,8302917.0,3
Andalucía,2011,8332087.0,1
Andalucía,2011,8352752.0,3
Andalucía,2012,8377809.0,1
Andalucía,2012,8378277.0,3
Andalucía,2013,8387986.0,1
Andalucía,2013,8381323.0,3
Andalucía,2014,8381239.0,1
Andalucía,2014,8381448.0,3
Andalucía,2015,8388994.0,1
Andalucía,2015,8386083.0,3
Andalucía,2016,8392046.0,1
Andalucía,2016,8390669.0,3
Andalucía,2017,8394017.0,1
Andalucía,2017,8388352.0,3
Andalucía,2018,8396464.0,1
Andalucía,2018,8392082.0,3
Andalucía,2019,8412222.0,1
Andalucía,2019,8432071.0,3
Andalucía,2020,8461039.0,1
Andalucía,2020,8465909.0,3
Andalucía,2021,8484804.0,1
Andalucía,2021,8482645.0,2
Andalucía,2021,8488215.0,3
Andalucía,2021,8497126.0,4
Andalucía,2022,8511167.0,1
Andalucía,2022,8523896.0,2
Andalucía,2022,8543098.0,3
Andalucía,2022,8564311.0,4
Andalucía,2023,8584147.0,1
Andalucía,2023,8594652.0,2
Andalucía,2023,8605343.0,3
Andalucía,2023,8621027.0,4
Andalucía,2024,8631862.0,1
Andalucía,2024,8636779.0,2
Andalucía,2024,8648311.0,3
Andalucía,2024,8666148.0,4
Andalucía,2025,8676713.0,1
Andalucía,2025,8690805.0,2
Andalucía,2025,8708950.0,3
Andalucía,2025,8731020.0,4
Andalucía,2026,8748692.0,1
Andalucía,2026,8758481.0,2
Aragón,1971,1153053.0,1
Aragón,1971,1155135.0,3
Aragón,1972,1157487.0,1
Aragón,1972,1160276.0,3
Aragón,1973,1163195.0,1
Aragón,1973,1165060.0,3
Aragón,1974,1167683.0,1
Aragón,1974,1170251.0,3
Aragón,1975,1173017.0,1
Aragón,1975,1175140.0,3
Aragón,1976,1177605.0,1
Aragón,1976,1179681.0,3
Aragón,1977,1182640.0,1
Aragón,1977,1184844.0,3
Aragón,1978,1187206.0,1
Aragón,1978,1189233.0,3
Aragón,1979,1190997.0,1
Aragón,1979,1192590.0,3
Aragón,1980,1194172.0,1
Aragón,1980,1195742.0,3
Aragón,1981,1196788.0,1
Aragón,1981,1198189.0,3
Aragón,1982,1199716.0,1
Aragón,1982,1200955.0,3
