cod,nombre,anyo,periodo,valor
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2008,28,21883.42
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2009,28,22511.47
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2010,28,22790.2
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2011,28,22899.35
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2012,28,22726.44
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2013,28,22697.86
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2014,28,22858.17
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2015,28,23106.3
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2016,28,23156.34
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2017,28,23646.5
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2018,28,24009.12
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2019,28,24395.98
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2020,28,25165.51
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2021,28,25896.82
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2022,28,26948.87
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2023,28,28049.94
EAES741,Ambos sexos. Total Nacional. Dato base. Media. ,2024,28,29540.26
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2008,28,8903.52
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2009,28,8723.15
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2010,28,8643.66
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2011,28,8402.15
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2012,28,7979.4
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2013,28,7692.3
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2014,28,7626.2
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2015,28,7962.45
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2016,28,8095.44
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2017,28,8583.81
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2018,28,8457.36
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2019,28,8943.26
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2020,28,9586.51
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2021,28,10192.38
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2022,28,10657.37
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2023,28,11466.88
EAES740,Ambos sexos. Total Nacional. Dato base. Percentil 10. ,2024,28,12018.46
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2008,28,13342.53
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2009,28,13587.26
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2010,28,13602.53
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2011,28,13553.97
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2012,28,13369.45
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2013,28,13039.36
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2014,28,13217.84
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2015,28,13414.92
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2016,28,13369.74
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2017,28,13897.22
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2018,28,13998.29
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2019,28,14271.06
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2020,28,14641.96
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2021,28,15215.03
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2022,28,15913.52
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2023,28,16632.97
EAES739,Ambos sexos. Total Nacional. Dato base. Cuartil inferior. ,2024,28,17457.47
EAES738,Ambos sexos. Total Nacional. Dato base. Mediana. ,2008,28,18244.4
EAES738,Ambos sexos. Total Nacional. Dato base. Mediana. ,2009,28,18803.28
EAES738,Ambos sexos. Total Nacional. Dato base. Mediana. ,2010,28,19017.09
