freq,unit,sector,na_item,geo,time,value
A,PC_GDP,S13,D41PAY,AT,1995,4.0
A,PC_GDP,S13,D41PAY,AT,1996,4.0
A,PC_GDP,S13,D41PAY,AT,1997,3.6
A,PC_GDP,S13,D41PAY,AT,1998,3.6
A,PC_GDP,S13,D41PAY,AT,1999,3.5
A,PC_GDP,S13,D41PAY,AT,2000,3.6
A,PC_GDP,S13,D41PAY,AT,2001,3.6
A,PC_GDP,S13,D41PAY,AT,2002,3.5
A,PC_GDP,S13,D41PAY,AT,2003,3.2
A,PC_GDP,S13,D41PAY,AT,2004,3.1
A,PC_GDP,S13,D41PAY,AT,2005,3.3
A,PC_GDP,S13,D41PAY,AT,2006,3.2
A,PC_GDP,S13,D41PAY,AT,2007,3.2
A,PC_GDP,S13,D41PAY,AT,2008,3.0
A,PC_GDP,S13,D41PAY,AT,2009,3.2
A,PC_GDP,S13,D41PAY,AT,2010,3.0
A,PC_GDP,S13,D41PAY,AT,2011,2.8
A,PC_GDP,S13,D41PAY,AT,2012,2.8
A,PC_GDP,S13,D41PAY,AT,2013,2.7
A,PC_GDP,S13,D41PAY,AT,2014,2.5
A,PC_GDP,S13,D41PAY,AT,2015,2.4
A,PC_GDP,S13,D41PAY,AT,2016,2.1
A,PC_GDP,S13,D41PAY,AT,2017,1.8
A,PC_GDP,S13,D41PAY,AT,2018,1.6
A,PC_GDP,S13,D41PAY,AT,2019,1.4
A,PC_GDP,S13,D41PAY,AT,2020,1.4
A,PC_GDP,S13,D41PAY,AT,2021,1.1
A,PC_GDP,S13,D41PAY,AT,2022,0.9
A,PC_GDP,S13,D41PAY,AT,2023,1.2
A,PC_GDP,S13,D41PAY,AT,2024,1.5
A,PC_GDP,S13,D41PAY,AT,2025,1.6
A,PC_GDP,S13,D41PAY,BE,1995,9.0
A,PC_GDP,S13,D41PAY,BE,1996,8.6
A,PC_GDP,S13,D41PAY,BE,1997,7.8
A,PC_GDP,S13,D41PAY,BE,1998,7.5
A,PC_GDP,S13,D41PAY,BE,1999,6.9
A,PC_GDP,S13,D41PAY,BE,2000,6.7
A,PC_GDP,S13,D41PAY,BE,2001,6.6
A,PC_GDP,S13,D41PAY,BE,2002,5.8
A,PC_GDP,S13,D41PAY,BE,2003,5.4
A,PC_GDP,S13,D41PAY,BE,2004,4.9
A,PC_GDP,S13,D41PAY,BE,2005,4.4
A,PC_GDP,S13,D41PAY,BE,2006,4.1
A,PC_GDP,S13,D41PAY,BE,2007,4.0
A,PC_GDP,S13,D41PAY,BE,2008,4.0
A,PC_GDP,S13,D41PAY,BE,2009,4.0
A,PC_GDP,S13,D41PAY,BE,2010,3.6
A,PC_GDP,S13,D41PAY,BE,2011,3.6
A,PC_GDP,S13,D41PAY,BE,2012,3.6
A,PC_GDP,S13,D41PAY,BE,2013,3.4
A,PC_GDP,S13,D41PAY,BE,2014,3.3
A,PC_GDP,S13,D41PAY,BE,2015,3.0
A,PC_GDP,S13,D41PAY,BE,2016,2.8
A,PC_GDP,S13,D41PAY,BE,2017,2.4
A,PC_GDP,S13,D41PAY,BE,2018,2.2
A,PC_GDP,S13,D41PAY,BE,2019,2.0
A,PC_GDP,S13,D41PAY,BE,2020,2.0
A,PC_GDP,S13,D41PAY,BE,2021,1.7
A,PC_GDP,S13,D41PAY,BE,2022,1.6
A,PC_GDP,S13,D41PAY,BE,2023,1.9
A,PC_GDP,S13,D41PAY,BE,2024,2.2
A,PC_GDP,S13,D41PAY,BE,2025,2.2
A,PC_GDP,S13,D41PAY,BG,1995,9.7
A,PC_GDP,S13,D41PAY,BG,1996,15.7
A,PC_GDP,S13,D41PAY,BG,1997,6.5
A,PC_GDP,S13,D41PAY,BG,1998,3.6
A,PC_GDP,S13,D41PAY,BG,1999,3.6
A,PC_GDP,S13,D41PAY,BG,2000,4.1
A,PC_GDP,S13,D41PAY,BG,2001,4.2
A,PC_GDP,S13,D41PAY,BG,2002,2.2
A,PC_GDP,S13,D41PAY,BG,2003,2.2
A,PC_GDP,S13,D41PAY,BG,2004,1.8
A,PC_GDP,S13,D41PAY,BG,2005,1.6
A,PC_GDP,S13,D41PAY,BG,2006,1.3
A,PC_GDP,S13,D41PAY,BG,2007,1.1
A,PC_GDP,S13,D41PAY,BG,2008,0.8
A,PC_GDP,S13,D41PAY,BG,2009,0.7
A,PC_GDP,S13,D41PAY,BG,2010,0.7
A,PC_GDP,S13,D41PAY,BG,2011,0.7
A,PC_GDP,S13,D41PAY,BG,2012,0.8
A,PC_GDP,S13,D41PAY,BG,2013,0.8
A,PC_GDP,S13,D41PAY,BG,2014,0.9
A,PC_GDP,S13,D41PAY,BG,2015,0.9
A,PC_GDP,S13,D41PAY,BG,2016,0.9
A,PC_GDP,S13,D41PAY,BG,2017,0.8
A,PC_GDP,S13,D41PAY,BG,2018,0.7
A,PC_GDP,S13,D41PAY,BG,2019,0.6
A,PC_GDP,S13,D41PAY,BG,2020,0.5
A,PC_GDP,S13,D41PAY,BG,2021,0.5
A,PC_GDP,S13,D41PAY,BG,2022,0.4
A,PC_GDP,S13,D41PAY,BG,2023,0.5
A,PC_GDP,S13,D41PAY,BG,2024,0.5
A,PC_GDP,S13,D41PAY,BG,2025,0.8
A,PC_GDP,S13,D41PAY,CH,1995,1.9
A,PC_GDP,S13,D41PAY,CH,1996,1.8
A,PC_GDP,S13,D41PAY,CH,1997,1.8
A,PC_GDP,S13,D41PAY,CH,1998,1.8
A,PC_GDP,S13,D41PAY,CH,1999,1.8
A,PC_GDP,S13,D41PAY,CH,2000,1.7
A,PC_GDP,S13,D41PAY,CH,2001,1.5
A,PC_GDP,S13,D41PAY,CH,2002,1.5
A,PC_GDP,S13,D41PAY,CH,2003,1.3
A,PC_GDP,S13,D41PAY,CH,2004,1.3
A,PC_GDP,S13,D41PAY,CH,2005,1.3
A,PC_GDP,S13,D41PAY,CH,2006,1.2
A,PC_GDP,S13,D41PAY,CH,2007,1.1
A,PC_GDP,S13,D41PAY,CH,2008,1.0
A,PC_GDP,S13,D41PAY,CH,2009,0.9
A,PC_GDP,S13,D41PAY,CH,2010,0.8
A,PC_GDP,S13,D41PAY,CH,2011,0.7
A,PC_GDP,S13,D41PAY,CH,2012,0.7
A,PC_GDP,S13,D41PAY,CH,2013,0.6
A,PC_GDP,S13,D41PAY,CH,2014,0.6
A,PC_GDP,S13,D41PAY,CH,2015,0.5
A,PC_GDP,S13,D41PAY,CH,2016,0.5
A,PC_GDP,S13,D41PAY,CH,2017,0.4
A,PC_GDP,S13,D41PAY,CH,2018,0.3
A,PC_GDP,S13,D41PAY,CH,2019,0.3
A,PC_GDP,S13,D41PAY,CH,2020,0.3
A,PC_GDP,S13,D41PAY,CH,2021,0.2
A,PC_GDP,S13,D41PAY,CH,2022,0.2
A,PC_GDP,S13,D41PAY,CH,2023,0.3
A,PC_GDP,S13,D41PAY,CH,2024,0.3
A,PC_GDP,S13,D41PAY,CY,1995,1.9
A,PC_GDP,S13,D41PAY,CY,1996,2.3
A,PC_GDP,S13,D41PAY,CY,1997,2.3
A,PC_GDP,S13,D41PAY,CY,1998,2.9
A,PC_GDP,S13,D41PAY,CY,1999,2.9
A,PC_GDP,S13,D41PAY,CY,2000,3.2
A,PC_GDP,S13,D41PAY,CY,2001,3.2
A,PC_GDP,S13,D41PAY,CY,2002,3.0
A,PC_GDP,S13,D41PAY,CY,2003,3.2
A,PC_GDP,S13,D41PAY,CY,2004,3.0
A,PC_GDP,S13,D41PAY,CY,2005,3.2
A,PC_GDP,S13,D41PAY,CY,2006,3.0
A,PC_GDP,S13,D41PAY,CY,2007,2.8
A,PC_GDP,S13,D41PAY,CY,2008,2.6
A,PC_GDP,S13,D41PAY,CY,2009,2.3
A,PC_GDP,S13,D41PAY,CY,2010,2.0
A,PC_GDP,S13,D41PAY,CY,2011,2.1
A,PC_GDP,S13,D41PAY,CY,2012,3.3
A,PC_GDP,S13,D41PAY,CY,2013,3.2
A,PC_GDP,S13,D41PAY,CY,2014,3.3
A,PC_GDP,S13,D41PAY,CY,2015,3.1
A,PC_GDP,S13,D41PAY,CY,2016,2.6
A,PC_GDP,S13,D41PAY,CY,2017,2.5
A,PC_GDP,S13,D41PAY,CY,2018,2.3
A,PC_GDP,S13,D41PAY,CY,2019,2.2
A,PC_GDP,S13,D41PAY,CY,2020,2.0
A,PC_GDP,S13,D41PAY,CY,2021,1.7
A,PC_GDP,S13,D41PAY,CY,2022,1.3
A,PC_GDP,S13,D41PAY,CY,2023,1.2
A,PC_GDP,S13,D41PAY,CY,2024,1.2
A,PC_GDP,S13,D41PAY,CY,2025,1.1
A,PC_GDP,S13,D41PAY,CZ,1995,1.0
A,PC_GDP,S13,D41PAY,CZ,1996,1.1
A,PC_GDP,S13,D41PAY,CZ,1997,1.0
A,PC_GDP,S13,D41PAY,CZ,1998,1.1
A,PC_GDP,S13,D41PAY,CZ,1999,0.9
A,PC_GDP,S13,D41PAY,CZ,2000,0.8
A,PC_GDP,S13,D41PAY,CZ,2001,0.9
A,PC_GDP,S13,D41PAY,CZ,2002,1.1
A,PC_GDP,S13,D41PAY,CZ,2003,1.0
A,PC_GDP,S13,D41PAY,CZ,2004,1.1
A,PC_GDP,S13,D41PAY,CZ,2005,1.1
A,PC_GDP,S13,D41PAY,CZ,2006,1.0
A,PC_GDP,S13,D41PAY,CZ,2007,1.1
A,PC_GDP,S13,D41PAY,CZ,2008,1.0
A,PC_GDP,S13,D41PAY,CZ,2009,1.2
A,PC_GDP,S13,D41PAY,CZ,2010,1.3
A,PC_GDP,S13,D41PAY,CZ,2011,1.3
A,PC_GDP,S13,D41PAY,CZ,2012,1.4
A,PC_GDP,S13,D41PAY,CZ,2013,1.3
A,PC_GDP,S13,D41PAY,CZ,2014,1.3
A,PC_GDP,S13,D41PAY,CZ,2015,1.1
A,PC_GDP,S13,D41PAY,CZ,2016,0.9
A,PC_GDP,S13,D41PAY,CZ,2017,0.7
A,PC_GDP,S13,D41PAY,CZ,2018,0.7
A,PC_GDP,S13,D41PAY,CZ,2019,0.7
A,PC_GDP,S13,D41PAY,CZ,2020,0.7
A,PC_GDP,S13,D41PAY,CZ,2021,0.7
A,PC_GDP,S13,D41PAY,CZ,2022,1.1
A,PC_GDP,S13,D41PAY,CZ,2023,1.3
A,PC_GDP,S13,D41PAY,CZ,2024,1.3
A,PC_GDP,S13,D41PAY,CZ,2025,1.3
A,PC_GDP,S13,D41PAY,DE,1995,3.5
A,PC_GDP,S13,D41PAY,DE,1996,3.5
A,PC_GDP,S13,D41PAY,DE,1997,3.4
A,PC_GDP,S13,D41PAY,DE,1998,3.4
A,PC_GDP,S13,D41PAY,DE,1999,3.1
A,PC_GDP,S13,D41PAY,DE,2000,3.2
A,PC_GDP,S13,D41PAY,DE,2001,3.0
A,PC_GDP,S13,D41PAY,DE,2002,3.0
A,PC_GDP,S13,D41PAY,DE,2003,2.9
A,PC_GDP,S13,D41PAY,DE,2004,2.8
A,PC_GDP,S13,D41PAY,DE,2005,2.7
A,PC_GDP,S13,D41PAY,DE,2006,2.7
A,PC_GDP,S13,D41PAY,DE,2007,2.7
A,PC_GDP,S13,D41PAY,DE,2008,2.7
A,PC_GDP,S13,D41PAY,DE,2009,2.6
A,PC_GDP,S13,D41PAY,DE,2010,2.4
A,PC_GDP,S13,D41PAY,DE,2011,2.5
A,PC_GDP,S13,D41PAY,DE,2012,2.3
A,PC_GDP,S13,D41PAY,DE,2013,1.8
A,PC_GDP,S13,D41PAY,DE,2014,1.6
A,PC_GDP,S13,D41PAY,DE,2015,1.4
A,PC_GDP,S13,D41PAY,DE,2016,1.2
A,PC_GDP,S13,D41PAY,DE,2017,1.0
