iso,year,gdp,revenue,expenditure,debtgdp,exp_gdp,rev_gdp
AUS,1902,534.66,22.0,7.8,0.464439,1.4588710582426216,4.11476452324842
AUS,1903,515.4,24.0,8.6,0.49742800000000004,1.6686069072564997,4.656577415599535
AUS,1904,539.48,24.0,8.6,0.47877200000000003,1.594127678505227,4.448728405130867
AUS,1905,534.66,22.0,9.0,0.491269,1.6833127595107171,4.11476452324842
AUS,1906,576.82,24.0,10.0,0.47075,1.7336430775631912,4.160743386151658
AUS,1907,647.86,26.0,12.0,0.412483,1.8522520297595158,4.013212731145618
AUS,1908,645.46,30.0,13.0,0.42359600000000003,2.014067486753633,4.647848046354538
AUS,1909,690.0,28.0,15.0,0.406307,2.1739130434782608,4.057971014492753
AUS,1910,750.22,32.0,26.0,0.387713,3.465650075977713,4.265415478126417
AUS,1911,823.68,38.0,30.0,0.25887899999999997,3.6421911421911424,4.6134421134421135
AUS,1912,883.88,42.0,34.0,0.373647,3.8466760193691454,4.7517762592207085
AUS,1913,965.78,44.0,36.0,0.37071800000000005,3.727557000559133,4.555903000683386
AUS,1914,1040.44,44.0,64.0,0.38148200000000004,6.151243704586521,4.228980046903233
AUS,1915,1009.12,44.0,128.0,0.443556,12.684319010623115,4.360234659901697
AUS,1916,1166.88,62.0,162.0,0.460578,13.88317564788153,5.313314136843548
AUS,1917,1230.7,68.0,174.0,0.512035,14.13829527910945,5.525310798732429
AUS,1918,1278.86,74.0,214.0,0.61629,16.733653410068346,5.786403515631109
AUS,1919,1378.82,90.0,194.0,0.6062879999999999,14.070001885670354,6.527320462424393
AUS,1920,1508.86,106.0,186.0,0.612051,12.3271874130138,7.025171321394962
AUS,1921,1664.2,132.0,156.0,0.5908100000000001,9.373873332532147,7.931738973681048
AUS,1922,1659.4,128.0,142.0,0.633672,8.557309871037724,7.713631433048089
AUS,1923,1818.34,128.0,150.0,0.592318,8.249282312438819,7.039387573281125
AUS,1924,1889.4,130.0,150.0,0.588273,7.9390282629406155,6.8804911612152
AUS,1925,2073.6,136.0,164.0,0.55302,7.908950617283951,6.558641975308642
AUS,1926,1997.8,140.0,164.0,0.604521,8.209029932926219,7.00770847932726
AUS,1927,2082.0,152.0,178.0,0.597108,8.549471661863594,7.300672430355427
AUS,1928,2094.2,148.0,170.0,0.623232,8.11765829433674,7.06713780918728
AUS,1929,2061.6,150.0,168.0,0.638435,8.149010477299186,7.275902211874273
AUS,1930,1885.8,154.0,164.0,0.7026819999999999,8.696574398133418,8.166295471417966
AUS,1931,1549.8,140.0,148.0,0.898135,9.549619305716867,9.033423667570009
AUS,1932,1457.0,144.0,142.0,0.9815699999999999,9.74605353466026,9.883321894303362
