freq,unit,sex,age,geo,time,value
A,YR,T,Y_LT1,AL,2013,77.9
A,YR,T,Y_LT1,AL,2014,78.2
A,YR,T,Y_LT1,AL,2015,77.9
A,YR,T,Y_LT1,AL,2016,78.5
A,YR,T,Y_LT1,AL,2017,78.5
A,YR,T,Y_LT1,AL,2018,78.9
A,YR,T,Y_LT1,AL,2019,79.1
A,YR,T,Y_LT1,AL,2020,77.4
A,YR,T,Y_LT1,AL,2021,75.5
A,YR,T,Y_LT1,AL,2022,79.1
A,YR,T,Y_LT1,AL,2024,80.4
A,YR,T,Y_LT1,AM,2006,72.9
A,YR,T,Y_LT1,AM,2007,73.6
A,YR,T,Y_LT1,AM,2008,73.6
A,YR,T,Y_LT1,AM,2009,73.7
A,YR,T,Y_LT1,AM,2015,75.1
A,YR,T,Y_LT1,AM,2016,75.1
A,YR,T,Y_LT1,AM,2017,75.8
A,YR,T,Y_LT1,AM,2018,76.7
A,YR,T,Y_LT1,AM,2019,76.6
A,YR,T,Y_LT1,AT,1995,76.9
A,YR,T,Y_LT1,AT,1996,77.1
A,YR,T,Y_LT1,AT,1997,77.5
A,YR,T,Y_LT1,AT,1998,77.9
A,YR,T,Y_LT1,AT,1999,78.1
A,YR,T,Y_LT1,AT,2000,78.3
A,YR,T,Y_LT1,AT,2001,78.8
A,YR,T,Y_LT1,AT,2002,78.9
A,YR,T,Y_LT1,AT,2003,78.8
A,YR,T,Y_LT1,AT,2004,79.3
A,YR,T,Y_LT1,AT,2005,79.5
A,YR,T,Y_LT1,AT,2006,80.1
A,YR,T,Y_LT1,AT,2007,80.3
A,YR,T,Y_LT1,AT,2008,80.6
A,YR,T,Y_LT1,AT,2009,80.5
A,YR,T,Y_LT1,AT,2010,80.7
A,YR,T,Y_LT1,AT,2011,81.1
A,YR,T,Y_LT1,AT,2012,81.1
A,YR,T,Y_LT1,AT,2013,81.3
A,YR,T,Y_LT1,AT,2014,81.4
A,YR,T,Y_LT1,AT,2015,81.2
A,YR,T,Y_LT1,AT,2016,81.6
A,YR,T,Y_LT1,AT,2017,81.6
A,YR,T,Y_LT1,AT,2018,81.7
A,YR,T,Y_LT1,AT,2019,81.9
A,YR,T,Y_LT1,AT,2020,81.3
A,YR,T,Y_LT1,AT,2021,81.3
A,YR,T,Y_LT1,AT,2022,81.4
A,YR,T,Y_LT1,AT,2023,81.9
A,YR,T,Y_LT1,AT,2024,82.1
A,YR,T,Y_LT1,AZ,2006,72.8
A,YR,T,Y_LT1,AZ,2007,72.8
A,YR,T,Y_LT1,AZ,2008,73.6
A,YR,T,Y_LT1,AZ,2009,73.8
A,YR,T,Y_LT1,AZ,2010,73.6
A,YR,T,Y_LT1,AZ,2012,74.1
A,YR,T,Y_LT1,AZ,2013,74.7
A,YR,T,Y_LT1,AZ,2014,74.8
A,YR,T,Y_LT1,AZ,2015,75.3
A,YR,T,Y_LT1,AZ,2017,75.6
A,YR,T,Y_LT1,AZ,2018,76.0
A,YR,T,Y_LT1,AZ,2019,76.6
A,YR,T,Y_LT1,BE,1995,77.0
A,YR,T,Y_LT1,BE,1996,77.3
A,YR,T,Y_LT1,BE,1997,77.5
A,YR,T,Y_LT1,BE,1998,77.6
A,YR,T,Y_LT1,BE,1999,77.7
A,YR,T,Y_LT1,BE,2000,77.9
A,YR,T,Y_LT1,BE,2001,78.1
A,YR,T,Y_LT1,BE,2002,78.2
A,YR,T,Y_LT1,BE,2003,78.3
A,YR,T,Y_LT1,BE,2004,79.0
A,YR,T,Y_LT1,BE,2005,79.1
A,YR,T,Y_LT1,BE,2006,79.5
A,YR,T,Y_LT1,BE,2007,79.9
A,YR,T,Y_LT1,BE,2008,79.8
A,YR,T,Y_LT1,BE,2009,80.2
A,YR,T,Y_LT1,BE,2010,80.3
A,YR,T,Y_LT1,BE,2011,80.7
A,YR,T,Y_LT1,BE,2012,80.5
A,YR,T,Y_LT1,BE,2013,80.7
A,YR,T,Y_LT1,BE,2014,81.1
A,YR,T,Y_LT1,BE,2015,80.9
A,YR,T,Y_LT1,BE,2016,81.3
A,YR,T,Y_LT1,BE,2017,81.4
A,YR,T,Y_LT1,BE,2018,81.5
A,YR,T,Y_LT1,BE,2019,81.8
