ccaa,anyo,viv_nueva,viv_rehab,viv_demolicion,viv_total
Andalucía,2000,72293.0,2161.0,2657.0,71797.0
Andalucía,2001,74224.0,2462.0,2583.0,74103.0
Andalucía,2002,77311.0,2515.0,2961.0,76865.0
Andalucía,2003,92053.0,3099.0,3522.0,91630.0
Andalucía,2004,90665.0,3478.0,4620.0,89523.0
Andalucía,2005,103812.0,3355.0,4502.0,102665.0
Andalucía,2006,157386.0,4032.0,6200.0,155218.0
Andalucía,2007,111937.0,3148.0,6863.0,108222.0
Andalucía,2008,46303.0,4342.0,3222.0,47423.0
Andalucía,2009,30194.0,5473.0,2812.0,32855.0
Andalucía,2010,21630.0,4325.0,2151.0,23804.0
Andalucía,2011,13205.0,2748.0,2464.0,13489.0
Andalucía,2013,5041.0,1039.0,1695.0,4385.0
Andalucía,2014,4562.0,924.0,1023.0,4463.0
Andalucía,2015,6547.0,865.0,1238.0,6174.0
Andalucía,2016,11033.0,1425.0,1434.0,11024.0
Andalucía,2017,12363.0,2430.0,1218.0,13575.0
Andalucía,2018,19314.0,1826.0,1481.0,19659.0
Andalucía,2019,18186.0,1843.0,1475.0,18554.0
Andalucía,2020,16325.0,3163.0,2302.0,17186.0
Andalucía,2021,16678.0,1584.0,3221.0,15041.0
Andalucía,2022,12790.0,2761.0,4628.0,10923.0
Aragón,2000,10741.0,474.0,697.0,10518.0
Aragón,2001,11392.0,379.0,642.0,11129.0
Aragón,2002,12828.0,350.0,620.0,12558.0
Aragón,2003,11314.0,483.0,751.0,11046.0
Aragón,2004,13183.0,390.0,781.0,12792.0
Aragón,2005,14443.0,598.0,870.0,14171.0
Aragón,2006,20441.0,634.0,937.0,20138.0
Aragón,2007,18424.0,541.0,858.0,18107.0
Aragón,2008,8570.0,442.0,562.0,8450.0
Aragón,2009,5222.0,376.0,249.0,5349.0
Aragón,2010,3073.0,257.0,210.0,3120.0
Aragón,2011,2625.0,319.0,274.0,2670.0
Aragón,2013,1786.0,95.0,173.0,1708.0
Aragón,2014,1007.0,142.0,209.0,940.0
Aragón,2015,1263.0,136.0,224.0,1175.0
Aragón,2016,2090.0,143.0,204.0,2029.0
Aragón,2017,2369.0,221.0,277.0,2313.0
Aragón,2018,2335.0,239.0,315.0,2259.0
Aragón,2019,2638.0,127.0,262.0,2503.0
Aragón,2020,2304.0,122.0,238.0,2188.0
Aragón,2021,2314.0,155.0,245.0,2224.0
Aragón,2022,2182.0,186.0,206.0,2162.0
"Asturias, Principado de",2000,13393.0,527.0,722.0,13198.0
"Asturias, Principado de",2001,8582.0,580.0,495.0,8667.0
"Asturias, Principado de",2002,9014.0,429.0,495.0,8948.0
"Asturias, Principado de",2003,9569.0,638.0,506.0,9701.0
"Asturias, Principado de",2004,9353.0,805.0,591.0,9567.0
"Asturias, Principado de",2005,9636.0,740.0,449.0,9927.0
"Asturias, Principado de",2006,10739.0,708.0,482.0,10965.0
