ccaa,anyo,quarter,variable,valor
Nacional,2004,1,transacciones_n,22106.0
Nacional,2004,2,transacciones_n,23030.0
Nacional,2004,3,transacciones_n,18206.0
Nacional,2004,4,transacciones_n,23556.0
Nacional,2005,1,transacciones_n,19216.0
Nacional,2005,2,transacciones_n,23324.0
Nacional,2005,3,transacciones_n,18012.0
Nacional,2005,4,transacciones_n,14986.0
Nacional,2006,1,transacciones_n,14743.0
Nacional,2006,2,transacciones_n,15153.0
Nacional,2006,3,transacciones_n,12489.0
Nacional,2006,4,transacciones_n,16094.0
Nacional,2007,1,transacciones_n,12819.0
Nacional,2007,2,transacciones_n,12847.0
Nacional,2007,3,transacciones_n,10361.0
Nacional,2007,4,transacciones_n,10410.0
Nacional,2008,1,transacciones_n,8892.0
Nacional,2008,2,transacciones_n,7956.0
Nacional,2008,3,transacciones_n,6722.0
Nacional,2008,4,transacciones_n,7909.0
Nacional,2009,1,transacciones_n,5589.0
Nacional,2009,2,transacciones_n,5894.0
Nacional,2009,3,transacciones_n,5023.0
Nacional,2009,4,transacciones_n,6150.0
Nacional,2010,1,transacciones_n,5758.0
Nacional,2010,2,transacciones_n,5997.0
Nacional,2010,3,transacciones_n,4279.0
Nacional,2010,4,transacciones_n,5186.0
Nacional,2011,1,transacciones_n,4453.0
Nacional,2011,2,transacciones_n,4377.0
Nacional,2011,3,transacciones_n,3546.0
Nacional,2011,4,transacciones_n,4420.0
Nacional,2012,1,transacciones_n,3598.0
Nacional,2012,2,transacciones_n,3641.0
Nacional,2012,3,transacciones_n,3826.0
Nacional,2012,4,transacciones_n,3843.0
Nacional,2013,1,transacciones_n,2801.0
Nacional,2013,2,transacciones_n,3828.0
Nacional,2013,3,transacciones_n,3548.0
Nacional,2013,4,transacciones_n,4378.0
Nacional,2014,1,transacciones_n,3318.0
Nacional,2014,2,transacciones_n,3793.0
Nacional,2014,3,transacciones_n,4293.0
Nacional,2014,4,transacciones_n,4495.0
Nacional,2015,1,transacciones_n,3465.0
Nacional,2015,2,transacciones_n,3819.0
Nacional,2015,3,transacciones_n,4192.0
Nacional,2015,4,transacciones_n,4242.0
Nacional,2016,1,transacciones_n,3716.0
Nacional,2016,2,transacciones_n,4435.0
Nacional,2016,3,transacciones_n,4656.0
Nacional,2016,4,transacciones_n,4589.0
Nacional,2017,1,transacciones_n,4401.0
Nacional,2017,2,transacciones_n,5998.0
Nacional,2017,3,transacciones_n,4545.0
Nacional,2017,4,transacciones_n,5845.0
Nacional,2018,1,transacciones_n,4867.0
Nacional,2018,2,transacciones_n,5817.0
Nacional,2018,3,transacciones_n,5338.0
Nacional,2018,4,transacciones_n,5879.0
Nacional,2019,1,transacciones_n,4743.0
Nacional,2019,2,transacciones_n,3638.0
Nacional,2019,3,transacciones_n,4909.0
Nacional,2019,4,transacciones_n,5757.0
Nacional,2020,1,transacciones_n,2803.0
Nacional,2020,2,transacciones_n,2425.0
Nacional,2020,3,transacciones_n,4260.0
Nacional,2020,4,transacciones_n,6719.0
Nacional,2021,1,transacciones_n,6631.0
Nacional,2021,2,transacciones_n,8623.0
Nacional,2021,3,transacciones_n,6865.0
Nacional,2021,4,transacciones_n,7707.0
Nacional,2022,1,transacciones_n,8130.0
Nacional,2022,2,transacciones_n,6673.0
Nacional,2022,3,transacciones_n,5838.0
Nacional,2022,4,transacciones_n,5685.0
Nacional,2023,1,transacciones_n,5630.0
Nacional,2023,2,transacciones_n,6057.0
Nacional,2023,3,transacciones_n,4269.0
Nacional,2023,4,transacciones_n,6431.0
Nacional,2024,1,transacciones_n,5516.0
Nacional,2024,2,transacciones_n,5255.0
Nacional,2024,3,transacciones_n,5705.0
Nacional,2024,4,transacciones_n,4380.0
Nacional,2025,1,transacciones_n,6426.0
Nacional,2025,2,transacciones_n,7437.0
Nacional,2025,3,transacciones_n,7472.0
Nacional,2025,4,transacciones_n,8473.0
Nacional,2026,1,transacciones_n,7526.0
Nacional,2026,2,transacciones_n,-11.2
Nacional,2026,3,transacciones_n,17.1
Andalucía,2004,1,transacciones_n,3538.0
Andalucía,2004,2,transacciones_n,3322.0
Andalucía,2004,3,transacciones_n,2393.0
Andalucía,2004,4,transacciones_n,3377.0
Andalucía,2005,1,transacciones_n,2836.0
Andalucía,2005,2,transacciones_n,3404.0
Andalucía,2005,3,transacciones_n,2979.0
Andalucía,2005,4,transacciones_n,2411.0
Andalucía,2006,1,transacciones_n,2666.0
Andalucía,2006,2,transacciones_n,2749.0
Andalucía,2006,3,transacciones_n,2452.0
Andalucía,2006,4,transacciones_n,3449.0
Andalucía,2007,1,transacciones_n,2807.0
Andalucía,2007,2,transacciones_n,2795.0
Andalucía,2007,3,transacciones_n,2415.0
Andalucía,2007,4,transacciones_n,2721.0
Andalucía,2008,1,transacciones_n,2047.0
Andalucía,2008,2,transacciones_n,2093.0
Andalucía,2008,3,transacciones_n,1657.0
Andalucía,2008,4,transacciones_n,1968.0
Andalucía,2009,1,transacciones_n,1442.0
Andalucía,2009,2,transacciones_n,1487.0
Andalucía,2009,3,transacciones_n,1137.0
Andalucía,2009,4,transacciones_n,1795.0
Andalucía,2010,1,transacciones_n,1172.0
Andalucía,2010,2,transacciones_n,1476.0
Andalucía,2010,3,transacciones_n,1067.0
Andalucía,2010,4,transacciones_n,1193.0
Andalucía,2011,1,transacciones_n,1194.0
Andalucía,2011,2,transacciones_n,1079.0
Andalucía,2011,3,transacciones_n,852.0
Andalucía,2011,4,transacciones_n,1127.0
Andalucía,2012,1,transacciones_n,886.0
Andalucía,2012,2,transacciones_n,895.0
Andalucía,2012,3,transacciones_n,950.0
Andalucía,2012,4,transacciones_n,988.0
Andalucía,2013,1,transacciones_n,728.0
Andalucía,2013,2,transacciones_n,959.0
Andalucía,2013,3,transacciones_n,981.0
Andalucía,2013,4,transacciones_n,1044.0
Andalucía,2014,1,transacciones_n,819.0
Andalucía,2014,2,transacciones_n,791.0
Andalucía,2014,3,transacciones_n,912.0
Andalucía,2014,4,transacciones_n,976.0
Andalucía,2015,1,transacciones_n,733.0
Andalucía,2015,2,transacciones_n,784.0
Andalucía,2015,3,transacciones_n,1155.0
Andalucía,2015,4,transacciones_n,1054.0
Andalucía,2016,1,transacciones_n,918.0
Andalucía,2016,2,transacciones_n,948.0
Andalucía,2016,3,transacciones_n,957.0
Andalucía,2016,4,transacciones_n,918.0
Andalucía,2017,1,transacciones_n,972.0
Andalucía,2017,2,transacciones_n,1340.0
Andalucía,2017,3,transacciones_n,1043.0
Andalucía,2017,4,transacciones_n,1264.0
Andalucía,2018,1,transacciones_n,1227.0
Andalucía,2018,2,transacciones_n,1390.0
Andalucía,2018,3,transacciones_n,1084.0
Andalucía,2018,4,transacciones_n,1330.0
Andalucía,2019,1,transacciones_n,1213.0
Andalucía,2019,2,transacciones_n,900.0
Andalucía,2019,3,transacciones_n,1116.0
Andalucía,2019,4,transacciones_n,1507.0
Andalucía,2020,1,transacciones_n,641.0
Andalucía,2020,2,transacciones_n,596.0
Andalucía,2020,3,transacciones_n,900.0
Andalucía,2020,4,transacciones_n,1616.0
Andalucía,2021,1,transacciones_n,1661.0
Andalucía,2021,2,transacciones_n,2079.0
Andalucía,2021,3,transacciones_n,1429.0
Andalucía,2021,4,transacciones_n,1655.0
Andalucía,2022,1,transacciones_n,1695.0
Andalucía,2022,2,transacciones_n,1465.0
Andalucía,2022,3,transacciones_n,1178.0
Andalucía,2022,4,transacciones_n,1194.0
Andalucía,2023,1,transacciones_n,1119.0
Andalucía,2023,2,transacciones_n,1221.0
Andalucía,2023,3,transacciones_n,980.0
Andalucía,2023,4,transacciones_n,1391.0
Andalucía,2024,1,transacciones_n,1209.0
Andalucía,2024,2,transacciones_n,1192.0
Andalucía,2024,3,transacciones_n,1112.0
Andalucía,2024,4,transacciones_n,847.0
Andalucía,2025,1,transacciones_n,1346.0
Andalucía,2025,2,transacciones_n,1382.0
Andalucía,2025,3,transacciones_n,1448.0
Andalucía,2025,4,transacciones_n,1463.0
Andalucía,2026,1,transacciones_n,1573.0
Andalucía,2026,2,transacciones_n,7.5
Andalucía,2026,3,transacciones_n,16.9
Aragón,2004,1,transacciones_n,432.0
Aragón,2004,2,transacciones_n,522.0
Aragón,2004,3,transacciones_n,406.0
Aragón,2004,4,transacciones_n,597.0
Aragón,2005,1,transacciones_n,527.0
Aragón,2005,2,transacciones_n,685.0
Aragón,2005,3,transacciones_n,573.0
Aragón,2005,4,transacciones_n,523.0
Aragón,2006,1,transacciones_n,449.0
Aragón,2006,2,transacciones_n,346.0
Aragón,2006,3,transacciones_n,355.0
Aragón,2006,4,transacciones_n,418.0
Aragón,2007,1,transacciones_n,328.0
Aragón,2007,2,transacciones_n,378.0
Aragón,2007,3,transacciones_n,383.0
Aragón,2007,4,transacciones_n,293.0
Aragón,2008,1,transacciones_n,229.0
Aragón,2008,2,transacciones_n,207.0
Aragón,2008,3,transacciones_n,188.0
Aragón,2008,4,transacciones_n,241.0
Aragón,2009,1,transacciones_n,246.0
Aragón,2009,2,transacciones_n,121.0
Aragón,2009,3,transacciones_n,148.0
Aragón,2009,4,transacciones_n,129.0
Aragón,2010,1,transacciones_n,117.0
Aragón,2010,2,transacciones_n,190.0
Aragón,2010,3,transacciones_n,117.0
Aragón,2010,4,transacciones_n,120.0
Aragón,2011,1,transacciones_n,101.0
Aragón,2011,2,transacciones_n,119.0
Aragón,2011,3,transacciones_n,68.0
Aragón,2011,4,transacciones_n,89.0
Aragón,2012,1,transacciones_n,89.0
Aragón,2012,2,transacciones_n,73.0
Aragón,2012,3,transacciones_n,112.0
Aragón,2012,4,transacciones_n,90.0
Aragón,2013,1,transacciones_n,67.0
Aragón,2013,2,transacciones_n,77.0
Aragón,2013,3,transacciones_n,64.0
Aragón,2013,4,transacciones_n,77.0
Aragón,2014,1,transacciones_n,71.0
Aragón,2014,2,transacciones_n,93.0
Aragón,2014,3,transacciones_n,119.0
Aragón,2014,4,transacciones_n,93.0
Aragón,2015,1,transacciones_n,50.0
Aragón,2015,2,transacciones_n,72.0
Aragón,2015,3,transacciones_n,77.0
Aragón,2015,4,transacciones_n,94.0
Aragón,2016,1,transacciones_n,73.0
Aragón,2016,2,transacciones_n,105.0
Aragón,2016,3,transacciones_n,57.0
Aragón,2016,4,transacciones_n,105.0
Aragón,2017,1,transacciones_n,110.0
Aragón,2017,2,transacciones_n,73.0
Aragón,2017,3,transacciones_n,77.0
Aragón,2017,4,transacciones_n,127.0
Aragón,2018,1,transacciones_n,91.0
Aragón,2018,2,transacciones_n,102.0
Aragón,2018,3,transacciones_n,120.0
Aragón,2018,4,transacciones_n,103.0
Aragón,2019,1,transacciones_n,92.0
Aragón,2019,2,transacciones_n,87.0
Aragón,2019,3,transacciones_n,102.0
Aragón,2019,4,transacciones_n,95.0
Aragón,2020,1,transacciones_n,57.0
Aragón,2020,2,transacciones_n,53.0
Aragón,2020,3,transacciones_n,93.0
Aragón,2020,4,transacciones_n,151.0
Aragón,2021,1,transacciones_n,139.0
Aragón,2021,2,transacciones_n,157.0
Aragón,2021,3,transacciones_n,147.0
Aragón,2021,4,transacciones_n,201.0
Aragón,2022,1,transacciones_n,135.0
Aragón,2022,2,transacciones_n,139.0
Aragón,2022,3,transacciones_n,174.0
Aragón,2022,4,transacciones_n,135.0
Aragón,2023,1,transacciones_n,142.0
Aragón,2023,2,transacciones_n,161.0
Aragón,2023,3,transacciones_n,103.0
Aragón,2023,4,transacciones_n,165.0
Aragón,2024,1,transacciones_n,304.0
Aragón,2024,2,transacciones_n,133.0
Aragón,2024,3,transacciones_n,126.0
Aragón,2024,4,transacciones_n,300.0
Aragón,2025,1,transacciones_n,164.0
Aragón,2025,2,transacciones_n,175.0
Aragón,2025,3,transacciones_n,193.0
Aragón,2025,4,transacciones_n,261.0
Aragón,2026,1,transacciones_n,183.0
Aragón,2026,2,transacciones_n,-29.9
Aragón,2026,3,transacciones_n,11.6
"Asturias, Principado de",2004,1,transacciones_n,143.0
"Asturias, Principado de",2004,2,transacciones_n,194.0
"Asturias, Principado de",2004,3,transacciones_n,146.0
"Asturias, Principado de",2004,4,transacciones_n,254.0
"Asturias, Principado de",2005,1,transacciones_n,169.0
"Asturias, Principado de",2005,2,transacciones_n,195.0
"Asturias, Principado de",2005,3,transacciones_n,170.0
"Asturias, Principado de",2005,4,transacciones_n,174.0
"Asturias, Principado de",2006,1,transacciones_n,115.0
"Asturias, Principado de",2006,2,transacciones_n,112.0
"Asturias, Principado de",2006,3,transacciones_n,134.0
"Asturias, Principado de",2006,4,transacciones_n,138.0
"Asturias, Principado de",2007,1,transacciones_n,111.0
"Asturias, Principado de",2007,2,transacciones_n,129.0
"Asturias, Principado de",2007,3,transacciones_n,126.0
"Asturias, Principado de",2007,4,transacciones_n,90.0
"Asturias, Principado de",2008,1,transacciones_n,118.0
"Asturias, Principado de",2008,2,transacciones_n,125.0
"Asturias, Principado de",2008,3,transacciones_n,167.0
"Asturias, Principado de",2008,4,transacciones_n,132.0
"Asturias, Principado de",2009,1,transacciones_n,98.0
"Asturias, Principado de",2009,2,transacciones_n,89.0
"Asturias, Principado de",2009,3,transacciones_n,39.0
"Asturias, Principado de",2009,4,transacciones_n,48.0
"Asturias, Principado de",2010,1,transacciones_n,49.0
"Asturias, Principado de",2010,2,transacciones_n,87.0
"Asturias, Principado de",2010,3,transacciones_n,46.0
"Asturias, Principado de",2010,4,transacciones_n,61.0
"Asturias, Principado de",2011,1,transacciones_n,48.0
"Asturias, Principado de",2011,2,transacciones_n,35.0
"Asturias, Principado de",2011,3,transacciones_n,41.0
"Asturias, Principado de",2011,4,transacciones_n,49.0
"Asturias, Principado de",2012,1,transacciones_n,33.0
"Asturias, Principado de",2012,2,transacciones_n,46.0
"Asturias, Principado de",2012,3,transacciones_n,50.0
"Asturias, Principado de",2012,4,transacciones_n,55.0
"Asturias, Principado de",2013,1,transacciones_n,18.0
"Asturias, Principado de",2013,2,transacciones_n,24.0
"Asturias, Principado de",2013,3,transacciones_n,23.0
"Asturias, Principado de",2013,4,transacciones_n,58.0
"Asturias, Principado de",2014,1,transacciones_n,19.0
"Asturias, Principado de",2014,2,transacciones_n,42.0
"Asturias, Principado de",2014,3,transacciones_n,34.0
"Asturias, Principado de",2014,4,transacciones_n,41.0
"Asturias, Principado de",2015,1,transacciones_n,24.0
"Asturias, Principado de",2015,2,transacciones_n,31.0
"Asturias, Principado de",2015,3,transacciones_n,35.0
"Asturias, Principado de",2015,4,transacciones_n,30.0
"Asturias, Principado de",2016,1,transacciones_n,44.0
"Asturias, Principado de",2016,2,transacciones_n,37.0
"Asturias, Principado de",2016,3,transacciones_n,39.0
"Asturias, Principado de",2016,4,transacciones_n,48.0
"Asturias, Principado de",2017,1,transacciones_n,42.0
"Asturias, Principado de",2017,2,transacciones_n,46.0
"Asturias, Principado de",2017,3,transacciones_n,38.0
"Asturias, Principado de",2017,4,transacciones_n,50.0
"Asturias, Principado de",2018,1,transacciones_n,39.0
"Asturias, Principado de",2018,2,transacciones_n,30.0
"Asturias, Principado de",2018,3,transacciones_n,63.0
"Asturias, Principado de",2018,4,transacciones_n,57.0
"Asturias, Principado de",2019,1,transacciones_n,49.0
"Asturias, Principado de",2019,2,transacciones_n,38.0
"Asturias, Principado de",2019,3,transacciones_n,38.0
"Asturias, Principado de",2019,4,transacciones_n,58.0
"Asturias, Principado de",2020,1,transacciones_n,20.0
"Asturias, Principado de",2020,2,transacciones_n,21.0
"Asturias, Principado de",2020,3,transacciones_n,42.0
"Asturias, Principado de",2020,4,transacciones_n,110.0
"Asturias, Principado de",2021,1,transacciones_n,62.0
"Asturias, Principado de",2021,2,transacciones_n,86.0
"Asturias, Principado de",2021,3,transacciones_n,72.0
"Asturias, Principado de",2021,4,transacciones_n,98.0
"Asturias, Principado de",2022,1,transacciones_n,108.0
"Asturias, Principado de",2022,2,transacciones_n,139.0
"Asturias, Principado de",2022,3,transacciones_n,62.0
