ccaa,anyo,quarter,eur_m2
Nacional,2010,1,1835.5
Nacional,2010,2,1822.6
Nacional,2010,3,1805.7
Nacional,2010,4,1799.3
Nacional,2011,1,1758.5
Nacional,2011,2,1733.2
Nacional,2011,3,1709.2
Nacional,2011,4,1681.3
Nacional,2012,1,1630.9
Nacional,2012,2,1592.5
Nacional,2012,3,1551.8
Nacional,2012,4,1517.5
Nacional,2013,1,1506.3000000000002
Nacional,2013,2,1492.6000000000001
Nacional,2013,3,1485.0
Nacional,2013,4,1457.4
Nacional,2014,1,1450.7
Nacional,2014,2,1448.7
Nacional,2014,3,1445.1
Nacional,2014,4,1454.4
Andalucía,2010,1,1577.2
Andalucía,2010,2,1567.8
Andalucía,2010,3,1538.7
Andalucía,2010,4,1544.8
Andalucía,2011,1,1511.9
Andalucía,2011,2,1503.4
Andalucía,2011,3,1474.1
Andalucía,2011,4,1433.9
Andalucía,2012,1,1374.1
Andalucía,2012,2,1339.7
Andalucía,2012,3,1317.1000000000001
Andalucía,2012,4,1283.3
Andalucía,2013,1,1281.6000000000001
Andalucía,2013,2,1255.3
Andalucía,2013,3,1233.8
Andalucía,2013,4,1204.3
Andalucía,2014,1,1204.3
Andalucía,2014,2,1203.7
Andalucía,2014,3,1203.6
Andalucía,2014,4,1208.1
Aragón,2010,1,1623.1
Aragón,2010,2,1620.6
Aragón,2010,3,1622.0
Aragón,2010,4,1603.3
Aragón,2011,1,1584.5
Aragón,2011,2,1510.1
Aragón,2011,3,1491.1
Aragón,2011,4,1437.9
Aragón,2012,1,1427.9
Aragón,2012,2,1376.7
Aragón,2012,3,1325.7
Aragón,2012,4,1306.8
Aragón,2013,1,1261.9
Aragón,2013,2,1224.8
Aragón,2013,3,1198.1
Aragón,2013,4,1161.7
Aragón,2014,1,1155.1
Aragón,2014,2,1160.4
Aragón,2014,3,1144.4
Aragón,2014,4,1156.8
"Asturias, Principado de",2010,1,1607.7
"Asturias, Principado de",2010,2,1612.1
"Asturias, Principado de",2010,3,1591.2
"Asturias, Principado de",2010,4,1610.3
"Asturias, Principado de",2011,1,1537.3
"Asturias, Principado de",2011,2,1596.7
"Asturias, Principado de",2011,3,1574.2
"Asturias, Principado de",2011,4,1552.4
"Asturias, Principado de",2012,1,1500.8
"Asturias, Principado de",2012,2,1487.0
"Asturias, Principado de",2012,3,1488.3
"Asturias, Principado de",2012,4,1430.5
"Asturias, Principado de",2013,1,1414.3
"Asturias, Principado de",2013,2,1348.5
"Asturias, Principado de",2013,3,1349.1
"Asturias, Principado de",2013,4,1331.2
"Asturias, Principado de",2014,1,1342.2
"Asturias, Principado de",2014,2,1292.6
"Asturias, Principado de",2014,3,1291.2
"Asturias, Principado de",2014,4,1262.1
"Balears, Illes",2010,1,2096.9
"Balears, Illes",2010,2,2075.7
"Balears, Illes",2010,3,2038.0
"Balears, Illes",2010,4,2069.2
"Balears, Illes",2011,1,2014.8
"Balears, Illes",2011,2,1985.8
"Balears, Illes",2011,3,1953.1
"Balears, Illes",2011,4,1934.6
"Balears, Illes",2012,1,1869.8
"Balears, Illes",2012,2,1845.2
"Balears, Illes",2012,3,1793.6
"Balears, Illes",2012,4,1781.4
"Balears, Illes",2013,1,1816.1
"Balears, Illes",2013,2,1822.9
"Balears, Illes",2013,3,1889.1
"Balears, Illes",2013,4,1857.0
"Balears, Illes",2014,1,1863.8
"Balears, Illes",2014,2,1888.6
"Balears, Illes",2014,3,1881.8
"Balears, Illes",2014,4,1899.1
Canarias,2010,1,1574.6
Canarias,2010,2,1547.6
Canarias,2010,3,1542.5
Canarias,2010,4,1542.8
Canarias,2011,1,1526.0
Canarias,2011,2,1483.6
Canarias,2011,3,1492.5
Canarias,2011,4,1428.5
Canarias,2012,1,1436.9
Canarias,2012,2,1375.5
Canarias,2012,3,1316.4
Canarias,2012,4,1262.8
Canarias,2013,1,1266.9
Canarias,2013,2,1287.8000000000002
Canarias,2013,3,1279.8
Canarias,2013,4,1271.9
Canarias,2014,1,1254.8
Canarias,2014,2,1264.1
Canarias,2014,3,1277.4
Canarias,2014,4,1280.6
Cantabria,2010,1,1873.3
Cantabria,2010,2,1827.8
Cantabria,2010,3,1806.1
Cantabria,2010,4,1835.3
Cantabria,2011,1,1738.1
Cantabria,2011,2,1773.5
Cantabria,2011,3,1789.0
Cantabria,2011,4,1775.4
Cantabria,2012,1,1724.2
Cantabria,2012,2,1748.1
Cantabria,2012,3,1679.8
Cantabria,2012,4,1636.7
Cantabria,2013,1,1585.9
Cantabria,2013,2,1588.2
Cantabria,2013,3,1508.6
Cantabria,2013,4,1440.9
Cantabria,2014,1,1474.3
Cantabria,2014,2,1494.0
Cantabria,2014,3,1485.7
Cantabria,2014,4,1493.7
Castilla y León,2010,1,1365.4
Castilla y León,2010,2,1362.0
Castilla y León,2010,3,1341.5
Castilla y León,2010,4,1355.5
Castilla y León,2011,1,1315.5
Castilla y León,2011,2,1296.4
Castilla y León,2011,3,1269.4
Castilla y León,2011,4,1279.1000000000001
Castilla y León,2012,1,1220.8
Castilla y León,2012,2,1217.3
Castilla y León,2012,3,1195.3
Castilla y León,2012,4,1193.7
Castilla y León,2013,1,1151.8
Castilla y León,2013,2,1119.3
Castilla y León,2013,3,1092.0
Castilla y León,2013,4,1077.7
Castilla y León,2014,1,1074.9
Castilla y León,2014,2,1052.5
Castilla y León,2014,3,1050.4
Castilla y León,2014,4,1038.6
Castilla - La Mancha,2010,1,1198.6
Castilla - La Mancha,2010,2,1224.4
Castilla - La Mancha,2010,3,1213.9
Castilla - La Mancha,2010,4,1212.4
Castilla - La Mancha,2011,1,1171.3
Castilla - La Mancha,2011,2,1146.5
Castilla - La Mancha,2011,3,1138.7
Castilla - La Mancha,2011,4,1145.8
Castilla - La Mancha,2012,1,1091.0
Castilla - La Mancha,2012,2,1054.5
Castilla - La Mancha,2012,3,1024.4
Castilla - La Mancha,2012,4,1022.5
Castilla - La Mancha,2013,1,978.2
Castilla - La Mancha,2013,2,942.7
Castilla - La Mancha,2013,3,921.7
Castilla - La Mancha,2013,4,900.1
Castilla - La Mancha,2014,1,887.6
Castilla - La Mancha,2014,2,893.2
Castilla - La Mancha,2014,3,883.9
Castilla - La Mancha,2014,4,871.5
Cataluña,2010,1,2214.0
Cataluña,2010,2,2221.1
Cataluña,2010,3,2192.6
Cataluña,2010,4,2181.3
Cataluña,2011,1,2123.7
Cataluña,2011,2,2108.3
Cataluña,2011,3,2051.8
Cataluña,2011,4,2016.0
Cataluña,2012,1,1945.5
Cataluña,2012,2,1881.4
Cataluña,2012,3,1832.0
Cataluña,2012,4,1798.0
Cataluña,2013,1,1746.7
Cataluña,2013,2,1683.6
Cataluña,2013,3,1672.0
Cataluña,2013,4,1656.9
Cataluña,2014,1,1650.0
Cataluña,2014,2,1650.4
Cataluña,2014,3,1653.9
Cataluña,2014,4,1663.5
Extremadura,2010,1,981.8
Extremadura,2010,2,996.7
Extremadura,2010,3,969.3
Extremadura,2010,4,982.3
Extremadura,2011,1,967.6
Extremadura,2011,2,956.9
Extremadura,2011,3,975.3
Extremadura,2011,4,962.8
Extremadura,2012,1,920.4
Extremadura,2012,2,897.6
Extremadura,2012,3,863.0
Extremadura,2012,4,882.3
Extremadura,2013,1,884.8
Extremadura,2013,2,891.6999999999999
Extremadura,2013,3,892.6
Extremadura,2013,4,846.1
Extremadura,2014,1,844.3
Extremadura,2014,2,830.8
Extremadura,2014,3,843.6
Extremadura,2014,4,847.4
Galicia,2010,1,1416.6
Galicia,2010,2,1406.4
Galicia,2010,3,1403.1000000000001
Galicia,2010,4,1436.9
Galicia,2011,1,1373.1
Galicia,2011,2,1369.3
Galicia,2011,3,1363.1
Galicia,2011,4,1337.1
Galicia,2012,1,1277.7
Galicia,2012,2,1271.8
Galicia,2012,3,1237.5
Galicia,2012,4,1186.3000000000002
Galicia,2013,1,1194.0
Galicia,2013,2,1204.2
Galicia,2013,3,1192.1
Galicia,2013,4,1196.0
Galicia,2014,1,1181.4
Galicia,2014,2,1164.0
Galicia,2014,3,1158.8
Galicia,2014,4,1162.7
"Madrid, Comunidad de",2010,1,2572.6
"Madrid, Comunidad de",2010,2,2535.7
"Madrid, Comunidad de",2010,3,2493.9
"Madrid, Comunidad de",2010,4,2451.9
"Madrid, Comunidad de",2011,1,2350.8
"Madrid, Comunidad de",2011,2,2339.9
"Madrid, Comunidad de",2011,3,2272.5
"Madrid, Comunidad de",2011,4,2229.6
"Madrid, Comunidad de",2012,1,2161.0
"Madrid, Comunidad de",2012,2,2099.8
"Madrid, Comunidad de",2012,3,2020.7
"Madrid, Comunidad de",2012,4,1962.4
"Madrid, Comunidad de",2013,1,1984.7
"Madrid, Comunidad de",2013,2,2015.2
"Madrid, Comunidad de",2013,3,2032.2
"Madrid, Comunidad de",2013,4,2012.7
"Madrid, Comunidad de",2014,1,2001.5
"Madrid, Comunidad de",2014,2,1997.8
"Madrid, Comunidad de",2014,3,1994.1
"Madrid, Comunidad de",2014,4,2021.7
"Murcia, Región de",2010,1,1333.1
"Murcia, Región de",2010,2,1319.6
