iso3,medida,anyo,quarter,valor
BEL,RHP,1970,1,39.0946040122777
BEL,RHP,1970,2,38.3503649908869
BEL,RHP,1970,3,37.4845947511254
BEL,RHP,1970,4,36.655513706554
BEL,RHP,1971,1,36.0134076526877
BEL,RHP,1971,2,35.6265170240653
BEL,RHP,1971,3,35.5227045736715
BEL,RHP,1971,4,35.658364910102
BEL,RHP,1972,1,36.0858794476032
BEL,RHP,1972,2,36.5199269567753
BEL,RHP,1972,3,37.0018130957791
BEL,RHP,1972,4,37.4685705839839
BEL,RHP,1973,1,39.0610327491743
BEL,RHP,1973,2,39.6046785037699
BEL,RHP,1973,3,39.8812089326231
BEL,RHP,1973,4,39.8891993787022
BEL,RHP,1974,1,39.0405924727433
BEL,RHP,1974,2,40.8647110700686
BEL,RHP,1974,3,41.2930098275038
BEL,RHP,1974,4,40.3714333386126
BEL,RHP,1975,1,40.5140928386317
BEL,RHP,1975,2,41.0637073972912
BEL,RHP,1975,3,41.4036673708511
BEL,RHP,1975,4,42.9514572163133
BEL,RHP,1976,1,45.4664842377101
BEL,RHP,1976,2,45.8847899167794
BEL,RHP,1976,3,46.8869368156116
BEL,RHP,1976,4,48.2496290508124
BEL,RHP,1977,1,48.4025297218754
BEL,RHP,1977,2,49.6948985704254
BEL,RHP,1977,3,50.9040397353067
BEL,RHP,1977,4,53.6156181149897
BEL,RHP,1978,1,52.7122951163482
BEL,RHP,1978,2,53.6597229838747
BEL,RHP,1978,3,55.0422657918161
BEL,RHP,1978,4,55.675948274383
BEL,RHP,1979,1,57.4890004217525
BEL,RHP,1979,2,57.2132119945191
BEL,RHP,1979,3,56.588766355472
BEL,RHP,1979,4,55.3256187559985
BEL,RHP,1980,1,54.705367416917
BEL,RHP,1980,2,52.5875497313541
BEL,RHP,1980,3,50.5614151924915
BEL,RHP,1980,4,48.517887745731
BEL,RHP,1981,1,47.2900537525361
BEL,RHP,1981,2,46.1951817085739
BEL,RHP,1981,3,44.50179073289
BEL,RHP,1981,4,43.7028961818359
BEL,RHP,1982,1,41.6454332851762
BEL,RHP,1982,2,40.7847868403412
BEL,RHP,1982,3,40.8628454186181
BEL,RHP,1982,4,40.0121975825263
BEL,RHP,1983,1,38.5193694439811
BEL,RHP,1983,2,37.8744466212336
BEL,RHP,1983,3,36.9785034692631
BEL,RHP,1983,4,36.6796912046385
BEL,RHP,1984,1,36.7783196442004
BEL,RHP,1984,2,36.6123523408144
BEL,RHP,1984,3,35.9565753989336
BEL,RHP,1984,4,35.6407532279007
BEL,RHP,1985,1,34.8502840144812
BEL,RHP,1985,2,34.5754357049893
BEL,RHP,1985,3,35.1501639234735
BEL,RHP,1985,4,35.5595438327114
BEL,RHP,1986,1,35.6868203340387
BEL,RHP,1986,2,36.210658847274
BEL,RHP,1986,3,37.1555027363626
BEL,RHP,1986,4,37.0738783806577
BEL,RHP,1987,1,37.7325084529885
BEL,RHP,1987,2,37.8860483784438
BEL,RHP,1987,3,38.474233072431
BEL,RHP,1987,4,38.8454484091414
BEL,RHP,1988,1,39.5776857747794
BEL,RHP,1988,2,40.8355185025554
BEL,RHP,1988,3,41.2364296003602
BEL,RHP,1988,4,41.6829460418319
BEL,RHP,1989,1,43.0882566075412
BEL,RHP,1989,2,44.2359070921778
BEL,RHP,1989,3,45.019701285038
BEL,RHP,1989,4,46.778817965954
BEL,RHP,1990,1,47.9298846903693
BEL,RHP,1990,2,47.8471245992557
BEL,RHP,1990,3,48.3252772461445
BEL,RHP,1990,4,48.7404043507725
BEL,RHP,1991,1,48.576917804896
BEL,RHP,1991,2,47.902888773857
BEL,RHP,1991,3,49.2472329008569
BEL,RHP,1991,4,49.8138186596214
BEL,RHP,1992,1,50.5669156431082
BEL,RHP,1992,2,51.7267394264931
BEL,RHP,1992,3,51.3464969926992
BEL,RHP,1992,4,51.1697798027545
BEL,RHP,1993,1,51.5128929176583
BEL,RHP,1993,2,52.6647922039916
BEL,RHP,1993,3,52.2758342608537
BEL,RHP,1993,4,53.8826439324542
BEL,RHP,1994,1,54.113401562883
BEL,RHP,1994,2,54.5860340137346
BEL,RHP,1994,3,55.1269909298973
BEL,RHP,1994,4,55.0460175094032
BEL,RHP,1995,1,55.7616049416485
BEL,RHP,1995,2,55.8302689007118
BEL,RHP,1995,3,56.3712598167539
BEL,RHP,1995,4,57.3224008844333
BEL,RHP,1996,1,56.3976552350521
BEL,RHP,1996,2,57.202839909108
BEL,RHP,1996,3,57.1418134299487
BEL,RHP,1996,4,57.984229408047
BEL,RHP,1997,1,55.8362362649311
BEL,RHP,1997,2,57.9701117959839
BEL,RHP,1997,3,58.1384859695627
BEL,RHP,1997,4,58.9770617902602
BEL,RHP,1998,1,59.705694398176
BEL,RHP,1998,2,59.631168623461
BEL,RHP,1998,3,61.2636898298199
BEL,RHP,1998,4,62.2533163585408
BEL,RHP,1999,1,63.5424609010713
BEL,RHP,1999,2,64.6374982613255
BEL,RHP,1999,3,65.8337074401493
BEL,RHP,1999,4,65.1082543411102
BEL,RHP,2000,1,66.1790275788433
BEL,RHP,2000,2,65.9151566949748
BEL,RHP,2000,3,65.4511749421929
BEL,RHP,2000,4,66.6942218294638
BEL,RHP,2001,1,67.3921228190397
BEL,RHP,2001,2,67.312584527508
BEL,RHP,2001,3,67.7359920115613
BEL,RHP,2001,4,68.2804449731367
BEL,RHP,2002,1,69.192934604088
BEL,RHP,2002,2,70.6981136502674
BEL,RHP,2002,3,71.9107660811387
BEL,RHP,2002,4,73.2813284093241
BEL,RHP,2003,1,73.3355573957756
BEL,RHP,2003,2,74.3687622532701
BEL,RHP,2003,3,75.4766908539344
BEL,RHP,2003,4,77.0638336115402
BEL,RHP,2004,1,78.0265347234061
BEL,RHP,2004,2,78.1152712445596
BEL,RHP,2004,3,80.1342030304481
BEL,RHP,2004,4,82.0673452425404
BEL,RHP,2005,1,84.5955217266198
BEL,RHP,2005,2,85.4098166810688
BEL,RHP,2005,3,86.7140998608598
BEL,RHP,2005,4,88.9044495641184
