iso3,medida,anyo,valor
ISL,LCC_SUR_ART_GAIN,2022,0.0
BVT,LC_SUR_ART,2022,0.0
IOT,LC_SUR_ART,2022,0.0
CXR,LC_SUR_ART,2022,0.0
FRO,LC_SUR_ART,2022,0.0
ATF,LC_SUR_ART,2022,0.0
HMD,LC_SUR_ART,2022,0.0
KIR,LC_SUR_ART,2022,0.0
MDV,LC_SUR_ART,2022,0.0
MHL,LC_SUR_ART,2022,0.0
NRU,LC_SUR_ART,2022,0.0
NFK,LC_SUR_ART,2022,0.0
PCN,LC_SUR_ART,2022,0.0
SGS,LC_SUR_ART,2022,0.0
SJM,LC_SUR_ART,2022,0.0
TUV,LC_SUR_ART,2022,0.0
ISL,LCC_SUR_ART_GAIN,2020,0.0
BVT,LC_SUR_ART,2020,0.0
IOT,LC_SUR_ART,2020,0.0
CXR,LC_SUR_ART,2020,0.0
FRO,LC_SUR_ART,2020,0.0
ATF,LC_SUR_ART,2020,0.0
HMD,LC_SUR_ART,2020,0.0
KIR,LC_SUR_ART,2020,0.0
MDV,LC_SUR_ART,2020,0.0
MHL,LC_SUR_ART,2020,0.0
NRU,LC_SUR_ART,2020,0.0
NFK,LC_SUR_ART,2020,0.0
PCN,LC_SUR_ART,2020,0.0
SGS,LC_SUR_ART,2020,0.0
SJM,LC_SUR_ART,2020,0.0
TUV,LC_SUR_ART,2020,0.0
ISL,LCC_SUR_ART_GAIN,2015,0.0
BVT,LC_SUR_ART,2015,0.0
IOT,LC_SUR_ART,2015,0.0
CXR,LC_SUR_ART,2015,0.0
FRO,LC_SUR_ART,2015,0.0
ATF,LC_SUR_ART,2015,0.0
HMD,LC_SUR_ART,2015,0.0
KIR,LC_SUR_ART,2015,0.0
MDV,LC_SUR_ART,2015,0.0
MHL,LC_SUR_ART,2015,0.0
NRU,LC_SUR_ART,2015,0.0
NFK,LC_SUR_ART,2015,0.0
PCN,LC_SUR_ART,2015,0.0
SGS,LC_SUR_ART,2015,0.0
SJM,LC_SUR_ART,2015,0.0
TUV,LC_SUR_ART,2015,0.0
ISL,LCC_SUR_ART_GAIN,2010,0.0
BVT,LC_SUR_ART,2010,0.0
IOT,LC_SUR_ART,2010,0.0
CXR,LC_SUR_ART,2010,0.0
FRO,LC_SUR_ART,2010,0.0
ATF,LC_SUR_ART,2010,0.0
HMD,LC_SUR_ART,2010,0.0
KIR,LC_SUR_ART,2010,0.0
MDV,LC_SUR_ART,2010,0.0
MHL,LC_SUR_ART,2010,0.0
MSR,LC_SUR_ART,2010,0.0
NRU,LC_SUR_ART,2010,0.0
NFK,LC_SUR_ART,2010,0.0
PCN,LC_SUR_ART,2010,0.0
SGS,LC_SUR_ART,2010,0.0
SJM,LC_SUR_ART,2010,0.0
TUV,LC_SUR_ART,2010,0.0
ISL,LCC_SUR_ART_GAIN,2005,0.0
BVT,LC_SUR_ART,2005,0.0
IOT,LC_SUR_ART,2005,0.0
CXR,LC_SUR_ART,2005,0.0
FRO,LC_SUR_ART,2005,0.0
ATF,LC_SUR_ART,2005,0.0
HMD,LC_SUR_ART,2005,0.0
KIR,LC_SUR_ART,2005,0.0
MDV,LC_SUR_ART,2005,0.0
MHL,LC_SUR_ART,2005,0.0
MSR,LC_SUR_ART,2005,0.0
NRU,LC_SUR_ART,2005,0.0
NFK,LC_SUR_ART,2005,0.0
PCN,LC_SUR_ART,2005,0.0
SGS,LC_SUR_ART,2005,0.0
SJM,LC_SUR_ART,2005,0.0
TUV,LC_SUR_ART,2005,0.0
BVT,LC_SUR_ART,2000,0.0
IOT,LC_SUR_ART,2000,0.0
CXR,LC_SUR_ART,2000,0.0
FRO,LC_SUR_ART,2000,0.0
ATF,LC_SUR_ART,2000,0.0
HMD,LC_SUR_ART,2000,0.0
KIR,LC_SUR_ART,2000,0.0
MDV,LC_SUR_ART,2000,0.0
MHL,LC_SUR_ART,2000,0.0
MSR,LC_SUR_ART,2000,0.0
NRU,LC_SUR_ART,2000,0.0
NFK,LC_SUR_ART,2000,0.0
PCN,LC_SUR_ART,2000,0.0
SGS,LC_SUR_ART,2000,0.0
SJM,LC_SUR_ART,2000,0.0
TUV,LC_SUR_ART,2000,0.0
AUS,LC_SUR_ART,2000,9152.649829
AUT,LC_SUR_ART,2000,1359.696682
BEL,LC_SUR_ART,2000,2107.479016
CAN,LC_SUR_ART,2000,8771.426951
CHL,LC_SUR_ART,2000,1665.222142
COL,LC_SUR_ART,2000,1946.488921
CRI,LC_SUR_ART,2000,255.511506
CZE,LC_SUR_ART,2000,2116.618178
DNK,LC_SUR_ART,2000,1200.148124
EST,LC_SUR_ART,2000,189.1862846
FIN,LC_SUR_ART,2000,550.9123757
FRA,LC_SUR_ART,2000,10883.97243
FRB,LC_SUR_ART,2000,453.5331923
FRC,LC_SUR_ART,2000,594.7976067
FRD,LC_SUR_ART,2000,555.6993628
FRE,LC_SUR_ART,2000,1334.732733
FRF,LC_SUR_ART,2000,1301.208367
FRG,LC_SUR_ART,2000,626.4180265
FRH,LC_SUR_ART,2000,571.2005984
FRI,LC_SUR_ART,2000,849.3156268
FRJ,LC_SUR_ART,2000,748.9206352
FRK,LC_SUR_ART,2000,1222.209523
FRL,LC_SUR_ART,2000,762.5333969
FRM,LC_SUR_ART,2000,29.81630864
DEU,LC_SUR_ART,2000,16558.72441
DEA,LC_SUR_ART,2000,3609.204361
DEB,LC_SUR_ART,2000,955.5226552
DEC,LC_SUR_ART,2000,240.5916713
DED,LC_SUR_ART,2000,1001.689187
DEE,LC_SUR_ART,2000,781.9896488
DEF,LC_SUR_ART,2000,581.9708648
DEG,LC_SUR_ART,2000,478.0600582
GRC,LC_SUR_ART,2000,1355.713763
HUN,LC_SUR_ART,2000,2134.45131
ISL,LC_SUR_ART,2000,42.36414331
IRL,LC_SUR_ART,2000,513.9731347
ISR,LC_SUR_ART,2000,460.4155625
ITA,LC_SUR_ART,2000,8441.595535
JPN,LC_SUR_ART,2000,14236.36898
JPA,LC_SUR_ART,2000,784.4394933
JPB,LC_SUR_ART,2000,745.6780855
JPC,LC_SUR_ART,2000,1077.911695
JPD,LC_SUR_ART,2000,3593.938155
JPE,LC_SUR_ART,2000,450.401537
JPF,LC_SUR_ART,2000,2655.50149
JPG,LC_SUR_ART,2000,2323.925933
JPH,LC_SUR_ART,2000,722.2557658
JPI,LC_SUR_ART,2000,458.4972283
JPJ,LC_SUR_ART,2000,1423.819593
KOR,LC_SUR_ART,2000,1742.943592
LVA,LC_SUR_ART,2000,249.8069685
LTU,LC_SUR_ART,2000,475.9647633
LUX,LC_SUR_ART,2000,96.55621137
MEX,LC_SUR_ART,2000,9192.793086
NLD,LC_SUR_ART,2000,2479.894037
NZL,LC_SUR_ART,2000,2516.719409
NOR,LC_SUR_ART,2000,2441.918976
POL,LC_SUR_ART,2000,4468.73002
PRT,LC_SUR_ART,2000,1406.081732
SVK,LC_SUR_ART,2000,1361.001449
SVN,LC_SUR_ART,2000,251.9797337
ESP,LC_SUR_ART,2000,3846.517857
SWE,LC_SUR_ART,2000,1384.447061
CHE,LC_SUR_ART,2000,1108.946601
TUR,LC_SUR_ART,2000,4875.522786
GBR,LC_SUR_ART,2000,10326.20167
UKC,LC_SUR_ART,2000,436.724141
UKD,LC_SUR_ART,2000,1326.716373
UKE,LC_SUR_ART,2000,938.8001434
UKF,LC_SUR_ART,2000,768.0117043
UKG,LC_SUR_ART,2000,982.8044858
UKH,LC_SUR_ART,2000,947.670632
UKI,LC_SUR_ART,2000,1022.031304
UKJ,LC_SUR_ART,2000,1461.173247
UKK,LC_SUR_ART,2000,759.0681536
UKL,LC_SUR_ART,2000,479.9893739
UKM,LC_SUR_ART,2000,990.5513848
UKN,LC_SUR_ART,2000,212.6607246
USA,LC_SUR_ART,2000,98867.95068
AFG,LC_SUR_ART,2000,411.2146151
ALB,LC_SUR_ART,2000,206.8375285
DZA,LC_SUR_ART,2000,1418.384452
ASM,LC_SUR_ART,2000,0.756768704
AGO,LC_SUR_ART,2000,406.6838772
AND,LC_SUR_ART,2000,2.784414473
AIA,LC_SUR_ART,2000,0.646409765
ATG,LC_SUR_ART,2000,8.466099048
ARG,LC_SUR_ART,2000,4750.486316
ARM,LC_SUR_ART,2000,435.8329802
ABW,LC_SUR_ART,2000,2.173757161
AZE,LC_SUR_ART,2000,491.8023328
BHS,LC_SUR_ART,2000,95.29148302
BHR,LC_SUR_ART,2000,129.3674574
GGY,LC_SUR_ART,2000,11.99280946
BGD,LC_SUR_ART,2000,226.1206434
BRB,LC_SUR_ART,2000,48.686805
BLR,LC_SUR_ART,2000,900.0890605
BLZ,LC_SUR_ART,2000,9.315503699
BEN,LC_SUR_ART,2000,229.8404642
BMU,LC_SUR_ART,2000,1.376592884
BTN,LC_SUR_ART,2000,0.507883284
BOL,LC_SUR_ART,2000,826.9243788
BIH,LC_SUR_ART,2000,279.7413396
BWA,LC_SUR_ART,2000,223.0625346
BRA,LC_SUR_ART,2000,16440.73363
VGB,LC_SUR_ART,2000,6.764630742
BRN,LC_SUR_ART,2000,18.6094119
BGR,LC_SUR_ART,2000,1727.140966
BFA,LC_SUR_ART,2000,194.8020759
BDI,LC_SUR_ART,2000,30.34562657
CPV,LC_SUR_ART,2000,29.35411873
KHM,LC_SUR_ART,2000,79.29144996
CMR,LC_SUR_ART,2000,423.0380307
CYM,LC_SUR_ART,2000,4.454335591
CAF,LC_SUR_ART,2000,127.8797562
TCD,LC_SUR_ART,2000,217.6650819
CHN,LC_SUR_ART,2000,42844.14473
COM,LC_SUR_ART,2000,15.04484035
COG,LC_SUR_ART,2000,161.2447895
COK,LC_SUR_ART,2000,0.158468319
CIV,LC_SUR_ART,2000,967.6485053
HRV,LC_SUR_ART,2000,579.1958021
CUB,LC_SUR_ART,2000,638.3460464
CYP,LC_SUR_ART,2000,150.4335501
PRK,LC_SUR_ART,2000,721.2963682
COD,LC_SUR_ART,2000,1082.610168
DJI,LC_SUR_ART,2000,14.97062879
DMA,LC_SUR_ART,2000,2.872854147
DOM,LC_SUR_ART,2000,472.5843217
ECU,LC_SUR_ART,2000,815.9433163
EGY,LC_SUR_ART,2000,1279.051546
SLV,LC_SUR_ART,2000,239.25452
GNQ,LC_SUR_ART,2000,18.43773864
ERI,LC_SUR_ART,2000,137.0883706
SWZ,LC_SUR_ART,2000,26.40054421
ETH,LC_SUR_ART,2000,408.8109362
FJI,LC_SUR_ART,2000,22.84886646
PYF,LC_SUR_ART,2000,5.069064975
GAB,LC_SUR_ART,2000,118.4390217
GMB,LC_SUR_ART,2000,78.48370813
GEO,LC_SUR_ART,2000,661.8660409
GHA,LC_SUR_ART,2000,1298.448896
GRL,LC_SUR_ART,2000,1.087835259
GRD,LC_SUR_ART,2000,3.95662746
GUM,LC_SUR_ART,2000,0.621935216
GTM,LC_SUR_ART,2000,505.6083134
GIN,LC_SUR_ART,2000,282.8128097
GNB,LC_SUR_ART,2000,21.16515828
GUY,LC_SUR_ART,2000,144.1539806
HTI,LC_SUR_ART,2000,197.366697
VAT,LC_SUR_ART,2000,0.510055899
HND,LC_SUR_ART,2000,282.5714888
HKG,LC_SUR_ART,2000,157.6432526
IND,LC_SUR_ART,2000,9521.926988
IDN,LC_SUR_ART,2000,11753.88718
IRN,LC_SUR_ART,2000,2940.140311
IRQ,LC_SUR_ART,2000,890.0566015
IMN,LC_SUR_ART,2000,10.42108475
JAM,LC_SUR_ART,2000,216.7063348
JEY,LC_SUR_ART,2000,8.663938102
JOR,LC_SUR_ART,2000,300.806127
KAZ,LC_SUR_ART,2000,2000.019265
KEN,LC_SUR_ART,2000,92.57513914
KWT,LC_SUR_ART,2000,153.8644085
KGZ,LC_SUR_ART,2000,56.5212134
LAO,LC_SUR_ART,2000,47.9790544
LBN,LC_SUR_ART,2000,157.6593692
LSO,LC_SUR_ART,2000,43.40448957
LBR,LC_SUR_ART,2000,176.9373818
LBY,LC_SUR_ART,2000,603.5594106
LIE,LC_SUR_ART,2000,2.183528747
MAC,LC_SUR_ART,2000,4.917945521
MDG,LC_SUR_ART,2000,345.522453
MWI,LC_SUR_ART,2000,174.6303099
MYS,LC_SUR_ART,2000,1935.053794
MLI,LC_SUR_ART,2000,192.7728648
MLT,LC_SUR_ART,2000,58.6132046
MRT,LC_SUR_ART,2000,270.9569526
MUS,LC_SUR_ART,2000,82.95703731
FSM,LC_SUR_ART,2000,38.28212521
MDA,LC_SUR_ART,2000,1238.218306
MCO,LC_SUR_ART,2000,1.439234474
MNG,LC_SUR_ART,2000,506.9387838
MAR,LC_SUR_ART,2000,1266.542009
MOZ,LC_SUR_ART,2000,381.2807749
MMR,LC_SUR_ART,2000,663.3499761
NAM,LC_SUR_ART,2000,670.0704655
NPL,LC_SUR_ART,2000,159.3747789
NCL,LC_SUR_ART,2000,17.69957563
NIC,LC_SUR_ART,2000,200.7704748
NER,LC_SUR_ART,2000,101.4313323
NGA,LC_SUR_ART,2000,2847.687247
NIU,LC_SUR_ART,2000,0.605612695
MKD,LC_SUR_ART,2000,229.5404191
MNP,LC_SUR_ART,2000,0.166819052
OMN,LC_SUR_ART,2000,288.795616
PAK,LC_SUR_ART,2000,647.0267969
PLW,LC_SUR_ART,2000,0.534899407
PSE,LC_SUR_ART,2000,143.0894656
PAN,LC_SUR_ART,2000,200.3979678
PNG,LC_SUR_ART,2000,245.8433392
PRY,LC_SUR_ART,2000,418.8238525
PER,LC_SUR_ART,2000,1987.899259
PHL,LC_SUR_ART,2000,1171.792311
PRI,LC_SUR_ART,2000,880.8842155
QAT,LC_SUR_ART,2000,386.8119398
ROU,LC_SUR_ART,2000,4608.405997
RUS,LC_SUR_ART,2000,22096.32472
RWA,LC_SUR_ART,2000,28.57961292
SHN,LC_SUR_ART,2000,16.91488104
KNA,LC_SUR_ART,2000,3.649636592
