iso3,cabecera,year,pct_gdp
KHM,propiedad,2005,0.0
KHM,propiedad,2006,0.0
KHM,propiedad,2007,0.0
KHM,propiedad,2008,0.0
KHM,propiedad,2009,0.0
KHM,propiedad,2010,0.0
KHM,propiedad,2011,0.0
COK,propiedad,2005,0.0
COK,propiedad,2006,0.0
COK,propiedad,2007,0.0
COK,propiedad,2008,0.0
COK,propiedad,2009,0.0
COK,propiedad,2010,0.0
COK,propiedad,2011,0.0
COK,propiedad,2012,0.0
COK,propiedad,2013,0.0
COK,propiedad,2014,0.0
COK,propiedad,2015,0.0
COK,propiedad,2016,0.0
COK,propiedad,2017,0.0
COK,propiedad,2018,0.0
COK,propiedad,2019,0.0
COK,propiedad,2020,0.0
COK,propiedad,2021,0.0
COK,propiedad,2022,0.0
COK,propiedad,2023,0.0
COK,propiedad,2024,0.0
CUB,propiedad,1990,0.0
CUB,propiedad,1991,0.0
CUB,propiedad,1992,0.0
CUB,propiedad,1993,0.0
CUB,propiedad,1994,0.0
CUB,propiedad,1995,0.0
CUB,propiedad,1996,0.0
CUB,propiedad,1997,0.0
CUB,propiedad,1998,0.0
CUB,propiedad,1999,0.0
CUB,propiedad,2000,0.0
CUB,propiedad,2001,0.0
CUB,propiedad,2002,0.0
CUB,propiedad,2003,0.0
CUB,propiedad,2004,0.0
CUB,propiedad,2005,0.0
CUB,propiedad,2006,0.0
CUB,propiedad,2007,0.0
CUB,propiedad,2008,0.0
CUB,propiedad,2009,0.0
CUB,propiedad,2010,0.0
CUB,propiedad,2011,0.0
CUB,propiedad,2012,0.0
CUB,propiedad,2013,0.0
CUB,propiedad,2014,0.0
CUB,propiedad,2015,0.0
CUB,propiedad,2016,0.0
CUB,propiedad,2017,0.0
CUB,propiedad,2018,0.0
CUB,propiedad,2019,0.0
CUB,propiedad,2020,0.0
CUB,propiedad,2021,0.0
CUB,propiedad,2022,0.0
CUB,propiedad,2023,0.0
CUB,propiedad,2024,0.0
MYS,propiedad,2007,0.0
MYS,propiedad,2009,0.0
MYS,propiedad,2010,0.0
MYS,propiedad,2011,0.0
MYS,propiedad,2017,0.0
MYS,propiedad,2018,0.0
MYS,propiedad,2019,0.0
MYS,propiedad,2020,0.0
MYS,propiedad,2021,0.0
MYS,propiedad,2022,0.0
MYS,propiedad,2023,0.0
MYS,propiedad,2024,0.0
MRT,propiedad,2007,0.0
MRT,propiedad,2008,0.0
WSM,propiedad,2019,0.0
WSM,propiedad,2020,0.0
WSM,propiedad,2021,0.0
WSM,propiedad,2022,0.0
WSM,propiedad,2023,0.0
WSM,propiedad,2024,0.0
SOM,propiedad,2015,0.0
SOM,propiedad,2016,0.0
LKA,propiedad,2012,0.0
LKA,propiedad,2013,0.0
LKA,propiedad,2014,0.0
LKA,propiedad,2015,0.0
LKA,propiedad,2016,0.0
LKA,propiedad,2017,0.0
LKA,propiedad,2018,0.0
LKA,propiedad,2019,0.0
LKA,propiedad,2020,0.0
LKA,propiedad,2021,0.0
LKA,propiedad,2022,0.0
LKA,propiedad,2023,0.0
LKA,propiedad,2024,0.0
TLS,propiedad,2012,0.0
TLS,propiedad,2013,0.0
TLS,propiedad,2014,0.0
TLS,propiedad,2015,0.0
TLS,propiedad,2016,0.0
TLS,propiedad,2017,0.0
TLS,propiedad,2018,0.0
TLS,propiedad,2019,0.0
TLS,propiedad,2020,0.0
TLS,propiedad,2021,0.0
TLS,propiedad,2022,0.0
TLS,propiedad,2023,0.0
TLS,propiedad,2024,0.0
AUS,cotizaciones,2005,0.0
AUS,cotizaciones,2006,0.0
AUS,cotizaciones,2007,0.0
AUS,cotizaciones,2008,0.0
AUS,cotizaciones,2009,0.0
AUS,cotizaciones,2010,0.0
AUS,cotizaciones,2011,0.0
AUS,cotizaciones,2012,0.0
AUS,cotizaciones,2013,0.0
AUS,cotizaciones,2014,0.0
AUS,cotizaciones,2015,0.0
AUS,cotizaciones,2016,0.0
AUS,cotizaciones,2017,0.0
AUS,cotizaciones,2018,0.0
AUS,cotizaciones,2019,0.0
AUS,cotizaciones,2020,0.0
CPV,cotizaciones,1990,0.0
CPV,cotizaciones,1991,0.0
CPV,cotizaciones,1992,0.0
CPV,cotizaciones,1993,0.0
CPV,cotizaciones,1994,0.0
CPV,cotizaciones,1995,0.0
CPV,cotizaciones,1996,0.0
CPV,cotizaciones,1997,0.0
CPV,cotizaciones,1998,0.0
CPV,cotizaciones,1999,0.0
COK,cotizaciones,2005,0.0
COK,cotizaciones,2006,0.0
COK,cotizaciones,2007,0.0
COK,cotizaciones,2008,0.0
COK,cotizaciones,2009,0.0
COK,cotizaciones,2010,0.0
COK,cotizaciones,2011,0.0
COK,cotizaciones,2012,0.0
COK,cotizaciones,2013,0.0
COK,cotizaciones,2014,0.0
COK,cotizaciones,2015,0.0
COK,cotizaciones,2016,0.0
COK,cotizaciones,2017,0.0
COK,cotizaciones,2018,0.0
COK,cotizaciones,2019,0.0
COK,cotizaciones,2020,0.0
COK,cotizaciones,2021,0.0
COK,cotizaciones,2022,0.0
COK,cotizaciones,2023,0.0
COK,cotizaciones,2024,0.0
MWI,cotizaciones,2005,0.0
MWI,cotizaciones,2006,0.0
MWI,cotizaciones,2007,0.0
MWI,cotizaciones,2008,0.0
MWI,cotizaciones,2009,0.0
MWI,cotizaciones,2010,0.0
MWI,cotizaciones,2011,0.0
MWI,cotizaciones,2012,0.0
MWI,cotizaciones,2013,0.0
MWI,cotizaciones,2014,0.0
MWI,cotizaciones,2015,0.0
MWI,cotizaciones,2016,0.0
MWI,cotizaciones,2017,0.0
MWI,cotizaciones,2018,0.0
MWI,cotizaciones,2019,0.0
MWI,cotizaciones,2020,0.0
MWI,cotizaciones,2021,0.0
MWI,cotizaciones,2022,0.0
MWI,cotizaciones,2023,0.0
MYS,cotizaciones,1990,0.0
MYS,cotizaciones,1991,0.0
MYS,cotizaciones,1992,0.0
MYS,cotizaciones,1993,0.0
MYS,cotizaciones,1994,0.0
MYS,cotizaciones,1995,0.0
MYS,cotizaciones,1996,0.0
MYS,cotizaciones,1997,0.0
MYS,cotizaciones,1998,0.0
MYS,cotizaciones,1999,0.0
WSM,cotizaciones,2005,0.0
WSM,cotizaciones,2006,0.0
WSM,cotizaciones,2007,0.0
WSM,cotizaciones,2008,0.0
WSM,cotizaciones,2009,0.0
WSM,cotizaciones,2010,0.0
WSM,cotizaciones,2011,0.0
WSM,cotizaciones,2012,0.0
WSM,cotizaciones,2013,0.0
WSM,cotizaciones,2014,0.0
WSM,cotizaciones,2015,0.0
WSM,cotizaciones,2016,0.0
WSM,cotizaciones,2017,0.0
WSM,cotizaciones,2018,0.0
WSM,cotizaciones,2019,0.0
WSM,cotizaciones,2020,0.0
WSM,cotizaciones,2021,0.0
WSM,cotizaciones,2022,0.0
WSM,cotizaciones,2023,0.0
WSM,cotizaciones,2024,0.0
SGP,cotizaciones,2005,0.0
SGP,cotizaciones,2006,0.0
SGP,cotizaciones,2007,0.0
SGP,cotizaciones,2008,0.0
SGP,cotizaciones,2009,0.0
SGP,cotizaciones,2010,0.0
SGP,cotizaciones,2011,0.0
SGP,cotizaciones,2012,0.0
SGP,cotizaciones,2013,0.0
SGP,cotizaciones,2014,0.0
SGP,cotizaciones,2015,0.0
SGP,cotizaciones,2016,0.0
