freq,unit,sector,cofog99,na_item,geo,time,value
A,PC_GDP,S13,GF1002,TE,AT,1995,12.1
A,PC_GDP,S13,GF1002,TE,AT,1996,12.3
A,PC_GDP,S13,GF1002,TE,AT,1997,12.2
A,PC_GDP,S13,GF1002,TE,AT,1998,12.1
A,PC_GDP,S13,GF1002,TE,AT,1999,12.2
A,PC_GDP,S13,GF1002,TE,AT,2000,12.1
A,PC_GDP,S13,GF1002,TE,AT,2001,12.2
A,PC_GDP,S13,GF1002,TE,AT,2002,12.2
A,PC_GDP,S13,GF1002,TE,AT,2003,12.3
A,PC_GDP,S13,GF1002,TE,AT,2004,12.0
A,PC_GDP,S13,GF1002,TE,AT,2005,11.7
A,PC_GDP,S13,GF1002,TE,AT,2006,11.6
A,PC_GDP,S13,GF1002,TE,AT,2007,11.4
A,PC_GDP,S13,GF1002,TE,AT,2008,11.5
A,PC_GDP,S13,GF1002,TE,AT,2009,12.4
A,PC_GDP,S13,GF1002,TE,AT,2010,12.6
A,PC_GDP,S13,GF1002,TE,AT,2011,12.3
A,PC_GDP,S13,GF1002,TE,AT,2012,12.6
A,PC_GDP,S13,GF1002,TE,AT,2013,12.9
A,PC_GDP,S13,GF1002,TE,AT,2014,13.0
A,PC_GDP,S13,GF1002,TE,AT,2015,12.9
A,PC_GDP,S13,GF1002,TE,AT,2016,12.7
A,PC_GDP,S13,GF1002,TE,AT,2017,12.7
A,PC_GDP,S13,GF1002,TE,AT,2018,12.5
A,PC_GDP,S13,GF1002,TE,AT,2019,12.6
A,PC_GDP,S13,GF1002,TE,AT,2020,13.8
A,PC_GDP,S13,GF1002,TE,AT,2021,13.6
A,PC_GDP,S13,GF1002,TE,AT,2022,13.0
A,PC_GDP,S13,GF1002,TE,AT,2023,13.3
A,PC_GDP,S13,GF1002,TE,AT,2024,14.3
A,PC_GDP,S13,GF1002,TE,BE,2001,6.8
A,PC_GDP,S13,GF1002,TE,BE,2002,7.0
A,PC_GDP,S13,GF1002,TE,BE,2003,7.1
A,PC_GDP,S13,GF1002,TE,BE,2004,7.1
A,PC_GDP,S13,GF1002,TE,BE,2005,7.1
A,PC_GDP,S13,GF1002,TE,BE,2006,7.1
A,PC_GDP,S13,GF1002,TE,BE,2007,7.2
A,PC_GDP,S13,GF1002,TE,BE,2008,7.4
A,PC_GDP,S13,GF1002,TE,BE,2009,7.9
A,PC_GDP,S13,GF1002,TE,BE,2010,8.0
A,PC_GDP,S13,GF1002,TE,BE,2011,8.1
A,PC_GDP,S13,GF1002,TE,BE,2012,8.4
A,PC_GDP,S13,GF1002,TE,BE,2013,8.9
A,PC_GDP,S13,GF1002,TE,BE,2014,8.9
A,PC_GDP,S13,GF1002,TE,BE,2015,8.9
A,PC_GDP,S13,GF1002,TE,BE,2016,9.0
A,PC_GDP,S13,GF1002,TE,BE,2017,9.2
A,PC_GDP,S13,GF1002,TE,BE,2018,9.2
A,PC_GDP,S13,GF1002,TE,BE,2019,9.3
