freq,unit,age,sex,geo,time,value
A,NR,TOTAL,T,AD,1995,64311
A,NR,TOTAL,T,AD,1996,63859
A,NR,TOTAL,T,AD,1997,64479
A,NR,TOTAL,T,AD,1998,65306
A,NR,TOTAL,T,AD,1999,65877
A,NR,TOTAL,T,AD,2000,65971
A,NR,TOTAL,T,AD,2001,65844
A,NR,TOTAL,T,AD,2002,66334
A,NR,TOTAL,T,AD,2003,67159
A,NR,TOTAL,T,AD,2004,72320
A,NR,TOTAL,T,AD,2005,76875
A,NR,TOTAL,T,AD,2006,78549
A,NR,TOTAL,T,AD,2007,81222
A,NR,TOTAL,T,AD,2008,83137
A,NR,TOTAL,T,AD,2009,84484
A,NR,TOTAL,T,AD,2010,84082
A,NR,TOTAL,T,AD,2011,78115
A,NR,TOTAL,T,AD,2012,78115
A,NR,TOTAL,T,AD,2013,76246
A,NR,TOTAL,T,AD,2019,76177
A,NR,TOTAL,T,AL,1995,3248836
A,NR,TOTAL,T,AL,1996,3283000
A,NR,TOTAL,T,AL,1997,3324317
A,NR,TOTAL,T,AL,1998,3354341
A,NR,TOTAL,T,AL,1999,3373445
A,NR,TOTAL,T,AL,2000,3058497
A,NR,TOTAL,T,AL,2001,3063318
A,NR,TOTAL,T,AL,2002,3057018
A,NR,TOTAL,T,AL,2003,3044993
A,NR,TOTAL,T,AL,2004,3034231
A,NR,TOTAL,T,AL,2005,3019634
A,NR,TOTAL,T,AL,2006,3003329
A,NR,TOTAL,T,AL,2007,2981755
A,NR,TOTAL,T,AL,2008,2958266
A,NR,TOTAL,T,AL,2009,2936355
A,NR,TOTAL,T,AL,2010,2918674
A,NR,TOTAL,T,AL,2011,2907361
A,NR,TOTAL,T,AL,2012,2903008
A,NR,TOTAL,T,AL,2013,2897770
A,NR,TOTAL,T,AL,2014,2892394
A,NR,TOTAL,T,AL,2015,2885796
A,NR,TOTAL,T,AL,2016,2875592
A,NR,TOTAL,T,AL,2017,2876591
A,NR,TOTAL,T,AL,2018,2870324
A,NR,TOTAL,T,AL,2019,2862427
A,NR,TOTAL,T,AL,2020,2845955
A,NR,TOTAL,T,AL,2021,2829741
A,NR,TOTAL,T,AL,2022,2793592
A,NR,TOTAL,T,AL,2023,2761785
A,NR,TOTAL,T,AL,2025,2363314
A,NR,TOTAL,T,AM,2000,3226900
A,NR,TOTAL,T,AM,2001,3215300
A,NR,TOTAL,T,AM,2002,3212900
A,NR,TOTAL,T,AM,2003,3210300
A,NR,TOTAL,T,AM,2004,3212200
A,NR,TOTAL,T,AM,2005,3215800
A,NR,TOTAL,T,AM,2006,3219234
A,NR,TOTAL,T,AM,2007,3222953
A,NR,TOTAL,T,AM,2008,3230086
A,NR,TOTAL,T,AM,2009,3237976
A,NR,TOTAL,T,AM,2010,3249482
A,NR,TOTAL,T,AM,2011,3262650
A,NR,TOTAL,T,AM,2012,3274285
A,NR,TOTAL,T,AM,2015,3010598
A,NR,TOTAL,T,AM,2016,2998577
A,NR,TOTAL,T,AM,2017,2986151
A,NR,TOTAL,T,AM,2018,2972732
A,NR,TOTAL,T,AM,2019,2965269
A,NR,TOTAL,T,AM,2020,2959694
A,NR,TOTAL,T,AM,2021,2963251
A,NR,TOTAL,T,AM,2023,2977130
A,NR,TOTAL,T,AM,2024,2991201
A,NR,TOTAL,T,AT,1995,7943489
A,NR,TOTAL,T,AT,1996,7953067
A,NR,TOTAL,T,AT,1997,7964966
A,NR,TOTAL,T,AT,1998,7971116
A,NR,TOTAL,T,AT,1999,7982461
A,NR,TOTAL,T,AT,2000,8002186
A,NR,TOTAL,T,AT,2001,8020946
A,NR,TOTAL,T,AT,2002,8063640
A,NR,TOTAL,T,AT,2003,8100273
A,NR,TOTAL,T,AT,2004,8142573
A,NR,TOTAL,T,AT,2005,8201359
A,NR,TOTAL,T,AT,2006,8254298
A,NR,TOTAL,T,AT,2007,8282984
A,NR,TOTAL,T,AT,2008,8307989
A,NR,TOTAL,T,AT,2009,8335003
A,NR,TOTAL,T,AT,2010,8351643
A,NR,TOTAL,T,AT,2011,8375164
A,NR,TOTAL,T,AT,2012,8408121
A,NR,TOTAL,T,AT,2013,8451860
A,NR,TOTAL,T,AT,2014,8507786
A,NR,TOTAL,T,AT,2015,8584926
A,NR,TOTAL,T,AT,2016,8700471
A,NR,TOTAL,T,AT,2017,8772865
A,NR,TOTAL,T,AT,2018,8822267
A,NR,TOTAL,T,AT,2019,8858775
A,NR,TOTAL,T,AT,2020,8901064
A,NR,TOTAL,T,AT,2021,8932664
A,NR,TOTAL,T,AT,2022,8978929
A,NR,TOTAL,T,AT,2023,9104772
A,NR,TOTAL,T,AT,2024,9158750
A,NR,TOTAL,T,AT,2025,9197213
A,NR,TOTAL,T,AZ,2000,8016200
A,NR,TOTAL,T,AZ,2001,8081000
A,NR,TOTAL,T,AZ,2002,8141400
A,NR,TOTAL,T,AZ,2003,8202500
A,NR,TOTAL,T,AZ,2004,8265700
A,NR,TOTAL,T,AZ,2005,8347300
A,NR,TOTAL,T,AZ,2006,8436400
A,NR,TOTAL,T,AZ,2007,8532700
A,NR,TOTAL,T,AZ,2008,8629900
A,NR,TOTAL,T,AZ,2009,8896900
A,NR,TOTAL,T,AZ,2010,8997586
A,NR,TOTAL,T,AZ,2011,9111078
A,NR,TOTAL,T,AZ,2012,9235085
A,NR,TOTAL,T,AZ,2013,9356483
A,NR,TOTAL,T,AZ,2014,9477119
A,NR,TOTAL,T,AZ,2015,9593038
A,NR,TOTAL,T,AZ,2016,9705643
