freq,unit,age,sex,geo,time,value
A,NR,Y15-64,T,AD,1995,47589.0
A,NR,Y15-64,T,AD,1996,46967.0
A,NR,Y15-64,T,AD,1997,47283.0
A,NR,Y15-64,T,AD,1998,47789.0
A,NR,Y15-64,T,AD,1999,48114.0
A,NR,Y15-64,T,AD,2000,47862.0
A,NR,Y15-64,T,AD,2001,47507.0
A,NR,Y15-64,T,AD,2002,47642.0
A,NR,Y15-64,T,AD,2003,48089.0
A,NR,Y15-64,T,AD,2004,52415.0
A,NR,Y15-64,T,AD,2005,56289.0
A,NR,Y15-64,T,AD,2006,57441.0
A,NR,Y15-64,T,AD,2007,59595.0
A,NR,Y15-64,T,AD,2008,61044.0
A,NR,Y15-64,T,AD,2009,61902.0
A,NR,Y15-64,T,AD,2010,61122.0
A,NR,Y15-64,T,AD,2011,56163.0
A,NR,Y15-64,T,AD,2012,56163.0
A,NR,Y15-64,T,AD,2013,54801.0
A,NR,Y15-64,T,AD,2019,55262.0
A,NR,Y15-64,T,AL,2002,1930245.0
A,NR,Y15-64,T,AL,2003,1936273.0
A,NR,Y15-64,T,AL,2004,1939914.0
A,NR,Y15-64,T,AL,2005,1944314.0
A,NR,Y15-64,T,AL,2006,1948463.0
A,NR,Y15-64,T,AL,2007,1953471.0
A,NR,Y15-64,T,AL,2008,1949528.0
A,NR,Y15-64,T,AL,2009,1945520.0
A,NR,Y15-64,T,AL,2010,1948063.0
A,NR,Y15-64,T,AL,2011,1959846.0
A,NR,Y15-64,T,AL,2012,1973908.0
A,NR,Y15-64,T,AL,2013,1979358.0
A,NR,Y15-64,T,AL,2014,1979307.0
A,NR,Y15-64,T,AL,2015,1977828.0
A,NR,Y15-64,T,AL,2016,1976078.0
A,NR,Y15-64,T,AL,2017,1976530.0
A,NR,Y15-64,T,AL,2018,1974207.0
A,NR,Y15-64,T,AL,2019,1965787.0
A,NR,Y15-64,T,AL,2020,1947069.0
A,NR,Y15-64,T,AL,2021,1930844.0
A,NR,Y15-64,T,AL,2022,1898279.0
A,NR,Y15-64,T,AL,2023,1864062.0
A,NR,Y15-64,T,AL,2025,1504570.0
A,NR,Y15-64,T,AM,2006,2208276.0
A,NR,Y15-64,T,AM,2007,2238933.0
A,NR,Y15-64,T,AM,2008,2268288.0
A,NR,Y15-64,T,AM,2009,2298789.0
A,NR,Y15-64,T,AM,2010,2326779.0
A,NR,Y15-64,T,AM,2015,2104872.0
A,NR,Y15-64,T,AM,2016,2081399.0
A,NR,Y15-64,T,AM,2017,2054732.0
A,NR,Y15-64,T,AM,2018,2028482.0
A,NR,Y15-64,T,AM,2019,2012049.0
A,NR,Y15-64,T,AM,2020,1995082.0
A,NR,Y15-64,T,AM,2021,1991866.0
A,NR,Y15-64,T,AM,2023,1981374.0
A,NR,Y15-64,T,AM,2024,1921746.0
A,NR,Y15-64,T,AT,1995,5329559.0
