freq,wst_oper,unit,geo,time,value
A,RCY,PC,AL,2020,18.1
A,RCY,PC,AL,2021,18.7
A,RCY,PC,AL,2022,18.9
A,RCY,PC,AL,2023,18.8
A,RCY,PC,AT,2000,63.4
A,RCY,PC,AT,2001,64.3
A,RCY,PC,AT,2002,62.5
A,RCY,PC,AT,2003,64.2
A,RCY,PC,AT,2004,57.4
A,RCY,PC,AT,2005,58.3
A,RCY,PC,AT,2006,59.2
A,RCY,PC,AT,2007,60.2
A,RCY,PC,AT,2008,63.2
A,RCY,PC,AT,2009,61.9
A,RCY,PC,AT,2010,59.4
A,RCY,PC,AT,2011,56.7
A,RCY,PC,AT,2012,57.7
A,RCY,PC,AT,2013,57.7
A,RCY,PC,AT,2014,56.3
A,RCY,PC,AT,2015,56.9
A,RCY,PC,AT,2016,57.6
A,RCY,PC,AT,2017,57.8
A,RCY,PC,AT,2018,57.7
A,RCY,PC,AT,2019,58.2
A,RCY,PC,AT,2020,62.3
A,RCY,PC,AT,2021,62.5
A,RCY,PC,AT,2022,62.6
A,RCY,PC,AT,2023,62.8
A,RCY,PC,BA,2008,0.0
A,RCY,PC,BA,2009,0.0
A,RCY,PC,BA,2010,0.0
A,RCY,PC,BA,2011,0.0
A,RCY,PC,BA,2012,0.0
A,RCY,PC,BA,2013,0.0
A,RCY,PC,BA,2014,0.0
A,RCY,PC,BA,2015,0.0
A,RCY,PC,BA,2016,0.0
A,RCY,PC,BA,2017,0.0
A,RCY,PC,BA,2022,0.8
A,RCY,PC,BA,2023,1.0
A,RCY,PC,BA,2024,1.1
A,RCY,PC,BE,2000,49.7
A,RCY,PC,BE,2001,50.4
A,RCY,PC,BE,2002,51.5
A,RCY,PC,BE,2003,52.9
A,RCY,PC,BE,2004,53.5
A,RCY,PC,BE,2005,55.6
A,RCY,PC,BE,2006,56.1
A,RCY,PC,BE,2007,56.8
A,RCY,PC,BE,2008,52.7
A,RCY,PC,BE,2009,53.9
A,RCY,PC,BE,2010,54.8
A,RCY,PC,BE,2011,54.4
A,RCY,PC,BE,2012,53.4
A,RCY,PC,BE,2013,52.8
A,RCY,PC,BE,2014,53.8
A,RCY,PC,BE,2015,53.5
A,RCY,PC,BE,2016,53.5
A,RCY,PC,BE,2017,53.9
A,RCY,PC,BE,2018,54.4
A,RCY,PC,BE,2019,54.7
A,RCY,PC,BE,2020,51.4
A,RCY,PC,BE,2021,55.5
A,RCY,PC,BE,2022,54.7
A,RCY,PC,BE,2023,55.8
A,RCY,PC,BE,2024,56.2
A,RCY,PC,BG,2000,15.5
A,RCY,PC,BG,2001,16.1
A,RCY,PC,BG,2002,16.3
A,RCY,PC,BG,2003,16.5
A,RCY,PC,BG,2004,17.2
A,RCY,PC,BG,2005,18.3
A,RCY,PC,BG,2006,19.1
A,RCY,PC,BG,2007,20.6
A,RCY,PC,BG,2008,19.4
A,RCY,PC,BG,2009,19.9
