freq,unit,sector,na_item,geo,time,value
A,PC_GDP,S13,P11_P12_P131,AT,1995,4.5
A,PC_GDP,S13,P11_P12_P131,AT,1996,4.5
A,PC_GDP,S13,P11_P12_P131,AT,1997,3.0
A,PC_GDP,S13,P11_P12_P131,AT,1998,3.1
A,PC_GDP,S13,P11_P12_P131,AT,1999,3.1
A,PC_GDP,S13,P11_P12_P131,AT,2000,3.1
A,PC_GDP,S13,P11_P12_P131,AT,2001,3.3
A,PC_GDP,S13,P11_P12_P131,AT,2002,3.5
A,PC_GDP,S13,P11_P12_P131,AT,2003,3.5
A,PC_GDP,S13,P11_P12_P131,AT,2004,3.5
A,PC_GDP,S13,P11_P12_P131,AT,2005,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2006,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2007,4.1
A,PC_GDP,S13,P11_P12_P131,AT,2008,4.2
A,PC_GDP,S13,P11_P12_P131,AT,2009,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2010,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2011,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2012,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2013,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2014,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2015,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2016,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2017,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2018,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2019,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2020,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2021,4.4
A,PC_GDP,S13,P11_P12_P131,AT,2022,4.3
A,PC_GDP,S13,P11_P12_P131,AT,2023,4.5
A,PC_GDP,S13,P11_P12_P131,AT,2024,4.7
A,PC_GDP,S13,P11_P12_P131,AT,2025,4.8
A,PC_GDP,S13,P11_P12_P131,BE,1995,1.8
A,PC_GDP,S13,P11_P12_P131,BE,1996,1.8
A,PC_GDP,S13,P11_P12_P131,BE,1997,1.9
A,PC_GDP,S13,P11_P12_P131,BE,1998,1.9
A,PC_GDP,S13,P11_P12_P131,BE,1999,1.9
A,PC_GDP,S13,P11_P12_P131,BE,2000,1.9
A,PC_GDP,S13,P11_P12_P131,BE,2001,2.0
A,PC_GDP,S13,P11_P12_P131,BE,2002,2.2
A,PC_GDP,S13,P11_P12_P131,BE,2003,2.2
A,PC_GDP,S13,P11_P12_P131,BE,2004,2.2
A,PC_GDP,S13,P11_P12_P131,BE,2005,2.3
A,PC_GDP,S13,P11_P12_P131,BE,2006,2.3
A,PC_GDP,S13,P11_P12_P131,BE,2007,2.2
A,PC_GDP,S13,P11_P12_P131,BE,2008,2.3
A,PC_GDP,S13,P11_P12_P131,BE,2009,2.4
A,PC_GDP,S13,P11_P12_P131,BE,2010,2.4
A,PC_GDP,S13,P11_P12_P131,BE,2011,2.5
A,PC_GDP,S13,P11_P12_P131,BE,2012,2.6
A,PC_GDP,S13,P11_P12_P131,BE,2013,2.6
A,PC_GDP,S13,P11_P12_P131,BE,2014,3.0
A,PC_GDP,S13,P11_P12_P131,BE,2015,2.9
A,PC_GDP,S13,P11_P12_P131,BE,2016,3.2
A,PC_GDP,S13,P11_P12_P131,BE,2017,3.2
A,PC_GDP,S13,P11_P12_P131,BE,2018,3.2
A,PC_GDP,S13,P11_P12_P131,BE,2019,3.1
A,PC_GDP,S13,P11_P12_P131,BE,2020,3.1
A,PC_GDP,S13,P11_P12_P131,BE,2021,3.0
A,PC_GDP,S13,P11_P12_P131,BE,2022,3.1
A,PC_GDP,S13,P11_P12_P131,BE,2023,3.1
A,PC_GDP,S13,P11_P12_P131,BE,2024,3.2
A,PC_GDP,S13,P11_P12_P131,BE,2025,3.1
A,PC_GDP,S13,P11_P12_P131,BG,1995,0.9
A,PC_GDP,S13,P11_P12_P131,BG,1996,0.9
A,PC_GDP,S13,P11_P12_P131,BG,1997,1.8
A,PC_GDP,S13,P11_P12_P131,BG,1998,1.3
A,PC_GDP,S13,P11_P12_P131,BG,1999,5.2
A,PC_GDP,S13,P11_P12_P131,BG,2000,2.8
A,PC_GDP,S13,P11_P12_P131,BG,2001,2.9
A,PC_GDP,S13,P11_P12_P131,BG,2002,3.1
A,PC_GDP,S13,P11_P12_P131,BG,2003,2.7
A,PC_GDP,S13,P11_P12_P131,BG,2004,2.5
A,PC_GDP,S13,P11_P12_P131,BG,2005,2.9
A,PC_GDP,S13,P11_P12_P131,BG,2006,1.2
A,PC_GDP,S13,P11_P12_P131,BG,2007,2.7
A,PC_GDP,S13,P11_P12_P131,BG,2008,2.6
A,PC_GDP,S13,P11_P12_P131,BG,2009,2.9
A,PC_GDP,S13,P11_P12_P131,BG,2010,2.8
A,PC_GDP,S13,P11_P12_P131,BG,2011,2.9
A,PC_GDP,S13,P11_P12_P131,BG,2012,2.8
A,PC_GDP,S13,P11_P12_P131,BG,2013,2.8
A,PC_GDP,S13,P11_P12_P131,BG,2014,3.1
A,PC_GDP,S13,P11_P12_P131,BG,2015,3.2
A,PC_GDP,S13,P11_P12_P131,BG,2016,3.0
A,PC_GDP,S13,P11_P12_P131,BG,2017,3.4
A,PC_GDP,S13,P11_P12_P131,BG,2018,2.7
A,PC_GDP,S13,P11_P12_P131,BG,2019,2.6
A,PC_GDP,S13,P11_P12_P131,BG,2020,1.7
A,PC_GDP,S13,P11_P12_P131,BG,2021,2.3
A,PC_GDP,S13,P11_P12_P131,BG,2022,2.1
A,PC_GDP,S13,P11_P12_P131,BG,2023,2.1
A,PC_GDP,S13,P11_P12_P131,BG,2024,1.1
A,PC_GDP,S13,P11_P12_P131,BG,2025,1.2
A,PC_GDP,S13,P11_P12_P131,CH,1995,3.5
A,PC_GDP,S13,P11_P12_P131,CH,1996,3.5
A,PC_GDP,S13,P11_P12_P131,CH,1997,3.6
A,PC_GDP,S13,P11_P12_P131,CH,1998,3.6
A,PC_GDP,S13,P11_P12_P131,CH,1999,3.7
A,PC_GDP,S13,P11_P12_P131,CH,2000,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2001,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2002,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2003,3.7
A,PC_GDP,S13,P11_P12_P131,CH,2004,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2005,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2006,3.6
A,PC_GDP,S13,P11_P12_P131,CH,2007,3.5
A,PC_GDP,S13,P11_P12_P131,CH,2008,3.7
A,PC_GDP,S13,P11_P12_P131,CH,2009,3.8
A,PC_GDP,S13,P11_P12_P131,CH,2010,3.8
A,PC_GDP,S13,P11_P12_P131,CH,2011,3.8
A,PC_GDP,S13,P11_P12_P131,CH,2012,4.0
A,PC_GDP,S13,P11_P12_P131,CH,2013,4.1
A,PC_GDP,S13,P11_P12_P131,CH,2014,4.1
A,PC_GDP,S13,P11_P12_P131,CH,2015,4.2
A,PC_GDP,S13,P11_P12_P131,CH,2016,4.3
A,PC_GDP,S13,P11_P12_P131,CH,2017,4.4
A,PC_GDP,S13,P11_P12_P131,CH,2018,4.3
A,PC_GDP,S13,P11_P12_P131,CH,2019,4.3
A,PC_GDP,S13,P11_P12_P131,CH,2020,4.4
A,PC_GDP,S13,P11_P12_P131,CH,2021,4.3
A,PC_GDP,S13,P11_P12_P131,CH,2022,4.1
A,PC_GDP,S13,P11_P12_P131,CH,2023,4.3
A,PC_GDP,S13,P11_P12_P131,CH,2024,4.3
A,PC_GDP,S13,P11_P12_P131,CY,1995,2.3
A,PC_GDP,S13,P11_P12_P131,CY,1996,2.3
A,PC_GDP,S13,P11_P12_P131,CY,1997,2.4
A,PC_GDP,S13,P11_P12_P131,CY,1998,2.8
A,PC_GDP,S13,P11_P12_P131,CY,1999,2.8
A,PC_GDP,S13,P11_P12_P131,CY,2000,2.7
A,PC_GDP,S13,P11_P12_P131,CY,2001,2.7
