freq,unit,rskpovth,age,sex,geo,time,value
A,PC,TOTAL,TOTAL,T,AL,2017,9.2
A,PC,TOTAL,TOTAL,T,AL,2018,6.0
A,PC,TOTAL,TOTAL,T,AL,2019,5.5
A,PC,TOTAL,TOTAL,T,AL,2020,3.8
A,PC,TOTAL,TOTAL,T,AL,2021,3.3
A,PC,TOTAL,TOTAL,T,AL,2022,2.8
A,PC,TOTAL,TOTAL,T,AL,2023,2.1
A,PC,TOTAL,TOTAL,T,AT,2004,7.9
A,PC,TOTAL,TOTAL,T,AT,2005,4.6
A,PC,TOTAL,TOTAL,T,AT,2006,5.0
A,PC,TOTAL,TOTAL,T,AT,2007,5.4
A,PC,TOTAL,TOTAL,T,AT,2008,8.5
A,PC,TOTAL,TOTAL,T,AT,2009,8.0
A,PC,TOTAL,TOTAL,T,AT,2010,7.5
A,PC,TOTAL,TOTAL,T,AT,2011,7.8
A,PC,TOTAL,TOTAL,T,AT,2012,7.0
A,PC,TOTAL,TOTAL,T,AT,2013,7.2
A,PC,TOTAL,TOTAL,T,AT,2014,6.6
A,PC,TOTAL,TOTAL,T,AT,2015,6.4
A,PC,TOTAL,TOTAL,T,AT,2016,7.2
A,PC,TOTAL,TOTAL,T,AT,2017,7.1
A,PC,TOTAL,TOTAL,T,AT,2018,6.8
A,PC,TOTAL,TOTAL,T,AT,2019,7.0
A,PC,TOTAL,TOTAL,T,AT,2020,6.3
A,PC,TOTAL,TOTAL,T,AT,2021,6.1
A,PC,TOTAL,TOTAL,T,AT,2022,7.4
A,PC,TOTAL,TOTAL,T,AT,2023,6.0
A,PC,TOTAL,TOTAL,T,AT,2024,6.3
A,PC,TOTAL,TOTAL,T,AT,2025,6.1
A,PC,TOTAL,TOTAL,T,BE,2004,12.6
A,PC,TOTAL,TOTAL,T,BE,2005,8.6
A,PC,TOTAL,TOTAL,T,BE,2006,9.8
A,PC,TOTAL,TOTAL,T,BE,2007,10.1
A,PC,TOTAL,TOTAL,T,BE,2008,12.5
A,PC,TOTAL,TOTAL,T,BE,2009,8.7
A,PC,TOTAL,TOTAL,T,BE,2010,8.9
A,PC,TOTAL,TOTAL,T,BE,2011,10.6
A,PC,TOTAL,TOTAL,T,BE,2012,11.0
A,PC,TOTAL,TOTAL,T,BE,2013,9.6
A,PC,TOTAL,TOTAL,T,BE,2014,10.4
A,PC,TOTAL,TOTAL,T,BE,2015,9.4
A,PC,TOTAL,TOTAL,T,BE,2016,9.8
A,PC,TOTAL,TOTAL,T,BE,2017,9.4
A,PC,TOTAL,TOTAL,T,BE,2018,8.9
A,PC,TOTAL,TOTAL,T,BE,2019,8.4
A,PC,TOTAL,TOTAL,T,BE,2020,7.7
A,PC,TOTAL,TOTAL,T,BE,2021,7.6
A,PC,TOTAL,TOTAL,T,BE,2022,7.5
A,PC,TOTAL,TOTAL,T,BE,2023,7.8
A,PC,TOTAL,TOTAL,T,BE,2024,6.7
A,PC,TOTAL,TOTAL,T,BE,2025,6.7
A,PC,TOTAL,TOTAL,T,BG,2006,15.4
A,PC,TOTAL,TOTAL,T,BG,2007,21.2
A,PC,TOTAL,TOTAL,T,BG,2008,13.3
A,PC,TOTAL,TOTAL,T,BG,2009,7.0
A,PC,TOTAL,TOTAL,T,BG,2010,5.9
A,PC,TOTAL,TOTAL,T,BG,2011,8.7
A,PC,TOTAL,TOTAL,T,BG,2012,14.5
A,PC,TOTAL,TOTAL,T,BG,2013,14.3
A,PC,TOTAL,TOTAL,T,BG,2014,12.9
A,PC,TOTAL,TOTAL,T,BG,2015,14.8
A,PC,TOTAL,TOTAL,T,BG,2016,20.7
A,PC,TOTAL,TOTAL,T,BG,2017,18.9
A,PC,TOTAL,TOTAL,T,BG,2018,17.9
A,PC,TOTAL,TOTAL,T,BG,2019,16.0
A,PC,TOTAL,TOTAL,T,BG,2020,14.4
A,PC,TOTAL,TOTAL,T,BG,2021,11.6
A,PC,TOTAL,TOTAL,T,BG,2022,15.1
A,PC,TOTAL,TOTAL,T,BG,2023,11.1
A,PC,TOTAL,TOTAL,T,BG,2024,8.0
A,PC,TOTAL,TOTAL,T,BG,2025,6.9
A,PC,TOTAL,TOTAL,T,CH,2009,13.2
A,PC,TOTAL,TOTAL,T,CH,2010,14.1
A,PC,TOTAL,TOTAL,T,CH,2011,13.1
A,PC,TOTAL,TOTAL,T,CH,2012,12.1
A,PC,TOTAL,TOTAL,T,CH,2013,10.6
A,PC,TOTAL,TOTAL,T,CH,2014,11.7
A,PC,TOTAL,TOTAL,T,CH,2015,11.7
A,PC,TOTAL,TOTAL,T,CH,2016,12.0
A,PC,TOTAL,TOTAL,T,CH,2017,12.7
A,PC,TOTAL,TOTAL,T,CH,2018,12.8
A,PC,TOTAL,TOTAL,T,CH,2019,14.2
A,PC,TOTAL,TOTAL,T,CH,2020,13.6
A,PC,TOTAL,TOTAL,T,CH,2021,14.8
A,PC,TOTAL,TOTAL,T,CH,2022,13.4
A,PC,TOTAL,TOTAL,T,CH,2023,14.2
A,PC,TOTAL,TOTAL,T,CH,2024,15.3
A,PC,TOTAL,TOTAL,T,CY,2005,6.6
A,PC,TOTAL,TOTAL,T,CY,2006,3.0
A,PC,TOTAL,TOTAL,T,CY,2007,1.7
A,PC,TOTAL,TOTAL,T,CY,2008,1.8
A,PC,TOTAL,TOTAL,T,CY,2009,2.4
