freq,unit,rskpovth,age,sex,geo,time,value
A,PC,TOTAL,TOTAL,T,AL,2017,63.8
A,PC,TOTAL,TOTAL,T,AL,2018,62.9
A,PC,TOTAL,TOTAL,T,AL,2019,60.7
A,PC,TOTAL,TOTAL,T,AL,2020,58.1
A,PC,TOTAL,TOTAL,T,AL,2021,58.0
A,PC,TOTAL,TOTAL,T,AL,2022,57.4
A,PC,TOTAL,TOTAL,T,AL,2023,57.1
A,PC,TOTAL,TOTAL,T,AT,2003,8.6
A,PC,TOTAL,TOTAL,T,AT,2004,14.4
A,PC,TOTAL,TOTAL,T,AT,2005,15.0
A,PC,TOTAL,TOTAL,T,AT,2006,15.6
A,PC,TOTAL,TOTAL,T,AT,2007,15.2
A,PC,TOTAL,TOTAL,T,AT,2008,14.8
A,PC,TOTAL,TOTAL,T,AT,2009,13.3
A,PC,TOTAL,TOTAL,T,AT,2010,12.0
A,PC,TOTAL,TOTAL,T,AT,2011,12.3
A,PC,TOTAL,TOTAL,T,AT,2012,13.9
A,PC,TOTAL,TOTAL,T,AT,2013,14.7
A,PC,TOTAL,TOTAL,T,AT,2014,15.3
A,PC,TOTAL,TOTAL,T,AT,2015,15.0
A,PC,TOTAL,TOTAL,T,AT,2016,15.2
A,PC,TOTAL,TOTAL,T,AT,2017,15.1
A,PC,TOTAL,TOTAL,T,AT,2018,13.5
A,PC,TOTAL,TOTAL,T,AT,2019,15.1
A,PC,TOTAL,TOTAL,T,AT,2020,14.1
A,PC,TOTAL,TOTAL,T,AT,2021,14.3
A,PC,TOTAL,TOTAL,T,AT,2022,15.7
A,PC,TOTAL,TOTAL,T,AT,2023,14.5
A,PC,TOTAL,TOTAL,T,AT,2024,13.7
A,PC,TOTAL,TOTAL,T,AT,2025,14.2
A,PC,TOTAL,TOTAL,T,BE,2003,8.5
A,PC,TOTAL,TOTAL,T,BE,2004,4.4
A,PC,TOTAL,TOTAL,T,BE,2005,4.0
A,PC,TOTAL,TOTAL,T,BE,2006,3.6
A,PC,TOTAL,TOTAL,T,BE,2007,3.8
A,PC,TOTAL,TOTAL,T,BE,2008,4.1
A,PC,TOTAL,TOTAL,T,BE,2009,3.9
A,PC,TOTAL,TOTAL,T,BE,2010,4.2
A,PC,TOTAL,TOTAL,T,BE,2011,2.2
A,PC,TOTAL,TOTAL,T,BE,2012,1.6
A,PC,TOTAL,TOTAL,T,BE,2013,2.0
A,PC,TOTAL,TOTAL,T,BE,2014,2.0
A,PC,TOTAL,TOTAL,T,BE,2015,1.6
A,PC,TOTAL,TOTAL,T,BE,2016,3.5
A,PC,TOTAL,TOTAL,T,BE,2017,4.8
A,PC,TOTAL,TOTAL,T,BE,2018,5.7
A,PC,TOTAL,TOTAL,T,BE,2019,5.6
A,PC,TOTAL,TOTAL,T,BE,2020,5.8
A,PC,TOTAL,TOTAL,T,BE,2021,5.9
A,PC,TOTAL,TOTAL,T,BE,2022,6.0
A,PC,TOTAL,TOTAL,T,BE,2023,5.7
A,PC,TOTAL,TOTAL,T,BE,2024,6.5
A,PC,TOTAL,TOTAL,T,BE,2025,6.6
A,PC,TOTAL,TOTAL,T,BG,2006,48.2
A,PC,TOTAL,TOTAL,T,BG,2007,51.1
