ccaa_siu,vintage,km2_estudiado,cobertura_mun_pct,pct_urbano_consolidado,pct_urbanizable_delimitado,pct_urbanizable_no_delimitado,km2_urbanizable
Andalucía,2021,55382,49,2.0310992,1.22910036,0.46324183,937.2529516658
Aragón,2021,18193,33,0.91056122,0.34367916,0.36174734,128.338243145
"Asturias, Principado de",2021,10354,99,1.3529614,0.52150082,0.06557915,60.7862600938
"Balears, Illes",2021,4297,73,4.97331391,1.47566285,0.76731728,96.38085618609999
Canarias,2021,7305,92,4.19324212,2.02700198,0.92100088,215.351608923
Cantabria,2021,5207,98,3.27594392,0.88363808,0.24474558,58.754937176199995
Castilla y León,2021,66619,63,1.36077177,0.63179496,0.19694277,552.0967883487001
Castilla-La Mancha,2021,39113,33,1.09922119,1.13162145,9.704e-05,442.64905299369997
Cataluña,2021,32209,100,4.14825605,1.3181792,0.32412221,528.9688611469
Comunitat Valenciana,2021,10637,39,6.41655376,4.39836878,1.04505891,579.0174033853
Extremadura,2021,34708,82,0.63047982,0.3796781,0.01357008,136.4885783144
Galicia,2021,19001,68,4.96048598,0.76363659,1.72794412,473.42525070709996
"Madrid, Comunidad de",2021,8021,100,9.1945987,4.77249361,4.64867116,755.6716262017002
"Murcia, Región de",2021,11202,93,2.0266263,3.57089353,16.76772041,2278.3315335587995
"Navarra, Comunidad Foral de",2021,2831,21,2.92389899,1.92675106,0.29517294,62.90266844
País Vasco,2021,7229,100,3.3070819,0.60143895,0.15437212,54.6375822503
"Rioja, La",2021,1042,11,3.20228094,3.25136402,3.99704752,75.5284482468
Ceuta,2021,20,100,28.10393621,5.26199863,1.6968466,1.391769046
Melilla,2021,13,100,36.98769449,5.43651918,1.30304573,0.8761434383000001
Andalucía,2025,75826,71,1.61370092,0.94665419,0.34663969,980.6530174487999
Aragón,2025,28732,46,0.78263445,0.3176979,0.30203227,178.06087244439996
"Asturias, Principado de",2025,10353,99,1.35473723,0.52261789,0.06119267,60.441907276799995
"Balears, Illes",2025,4702,91,4.68168043,1.32195818,0.70772825,95.4358559386
Canarias,2025,7733,100,3.99188589,1.91081572,0.86763401,214.8575176209
Cantabria,2025,5211,98,3.34484942,0.87331844,0.25475527,58.7839210281
Castilla y León,2025,70554,66,1.32057166,0.59028961,0.05140848,452.7436704186
Castilla-La Mancha,2025,57280,58,0.93455825,0.88560755,0.00011831,507.343772608
Cataluña,2025,32206,100,4.15070184,1.29727227,0.32949357,523.9162064303999
Comunitat Valenciana,2025,16148,60,4.74316392,3.4023148,0.92367902,698.5614820536
Extremadura,2025,40554,95,0.61718584,0.34556817,0.01254615,145.2296813328
Galicia,2025,25683,88,3.91571067,0.63824157,1.27559681,491.5311111354
"Madrid, Comunidad de",2025,8019,100,9.30006205,4.88461999,4.02687246,714.6125795655
"Murcia, Región de",2025,11218,96,2.06106671,3.94557829,17.25340306,2378.101727843
"Navarra, Comunidad Foral de",2025,4188,30,2.33615345,1.44297523,0.2157714,69.4683088644
País Vasco,2025,7229,100,3.32444673,0.57715752,0.14778471,52.40607380670001
"Rioja, La",2025,1493,17,2.64920739,2.54885658,6.46884223,134.6342432333
Ceuta,2025,20,100,28.10178177,5.26215677,1.6969948,1.3918303140000001
Melilla,2025,13,100,36.98802595,5.43652479,1.30304383,0.8761439206
