freq,spdeps,unit,geo,time,value
A,TOTAL,PC_GDP,AL,2018,13.47
A,TOTAL,PC_GDP,AL,2019,13.62
A,TOTAL,PC_GDP,AL,2020,15.65
A,TOTAL,PC_GDP,AL,2021,14.74
A,TOTAL,PC_GDP,AL,2022,13.6
A,TOTAL,PC_GDP,AL,2023,12.85
A,TOTAL,PC_GDP,AT,1995,28.98
A,TOTAL,PC_GDP,AT,1996,29.01
A,TOTAL,PC_GDP,AT,1997,28.43
A,TOTAL,PC_GDP,AT,1998,28.11
A,TOTAL,PC_GDP,AT,1999,28.48
A,TOTAL,PC_GDP,AT,2000,28.06
A,TOTAL,PC_GDP,AT,2001,28.06
A,TOTAL,PC_GDP,AT,2002,28.41
A,TOTAL,PC_GDP,AT,2003,28.78
A,TOTAL,PC_GDP,AT,2004,28.49
A,TOTAL,PC_GDP,AT,2005,28.11
A,TOTAL,PC_GDP,AT,2006,27.69
A,TOTAL,PC_GDP,AT,2007,27.14
A,TOTAL,PC_GDP,AT,2008,27.71
A,TOTAL,PC_GDP,AT,2009,29.69
A,TOTAL,PC_GDP,AT,2010,29.76
A,TOTAL,PC_GDP,AT,2011,28.96
A,TOTAL,PC_GDP,AT,2012,29.29
A,TOTAL,PC_GDP,AT,2013,29.83
A,TOTAL,PC_GDP,AT,2014,30.0
A,TOTAL,PC_GDP,AT,2015,29.97
A,TOTAL,PC_GDP,AT,2016,29.91
A,TOTAL,PC_GDP,AT,2017,29.48
A,TOTAL,PC_GDP,AT,2018,29.21
A,TOTAL,PC_GDP,AT,2019,29.37
A,TOTAL,PC_GDP,AT,2020,34.08
A,TOTAL,PC_GDP,AT,2021,32.83
A,TOTAL,PC_GDP,AT,2022,30.34
A,TOTAL,PC_GDP,AT,2023,30.58
A,TOTAL,PC_GDP,AT,2024,32.69
A,TOTAL,PC_GDP,BA,2013,20.7
A,TOTAL,PC_GDP,BA,2014,20.93
A,TOTAL,PC_GDP,BA,2015,20.33
A,TOTAL,PC_GDP,BA,2016,20.8
A,TOTAL,PC_GDP,BA,2017,20.23
A,TOTAL,PC_GDP,BA,2018,19.74
A,TOTAL,PC_GDP,BA,2019,19.85
A,TOTAL,PC_GDP,BA,2020,22.31
A,TOTAL,PC_GDP,BA,2021,19.95
A,TOTAL,PC_GDP,BA,2022,18.79
A,TOTAL,PC_GDP,BA,2023,20.49
A,TOTAL,PC_GDP,BE,1995,27.0
A,TOTAL,PC_GDP,BE,1996,27.55
A,TOTAL,PC_GDP,BE,1997,26.74
A,TOTAL,PC_GDP,BE,1998,26.23
A,TOTAL,PC_GDP,BE,1999,25.97
A,TOTAL,PC_GDP,BE,2000,25.17
A,TOTAL,PC_GDP,BE,2001,25.99
A,TOTAL,PC_GDP,BE,2002,26.4
A,TOTAL,PC_GDP,BE,2003,27.15
A,TOTAL,PC_GDP,BE,2004,27.12
A,TOTAL,PC_GDP,BE,2005,26.95
A,TOTAL,PC_GDP,BE,2006,26.7
A,TOTAL,PC_GDP,BE,2007,26.33
A,TOTAL,PC_GDP,BE,2008,27.93
A,TOTAL,PC_GDP,BE,2009,30.08
A,TOTAL,PC_GDP,BE,2010,29.54
A,TOTAL,PC_GDP,BE,2011,29.71
A,TOTAL,PC_GDP,BE,2012,29.55
A,TOTAL,PC_GDP,BE,2013,29.9
A,TOTAL,PC_GDP,BE,2014,29.86
A,TOTAL,PC_GDP,BE,2015,29.91
A,TOTAL,PC_GDP,BE,2016,29.35
A,TOTAL,PC_GDP,BE,2017,28.95
A,TOTAL,PC_GDP,BE,2018,28.76
A,TOTAL,PC_GDP,BE,2019,28.63
A,TOTAL,PC_GDP,BE,2020,32.46
A,TOTAL,PC_GDP,BE,2021,30.12
A,TOTAL,PC_GDP,BE,2022,28.67
A,TOTAL,PC_GDP,BE,2023,28.92
A,TOTAL,PC_GDP,BG,2005,14.61
A,TOTAL,PC_GDP,BG,2006,13.78
A,TOTAL,PC_GDP,BG,2007,13.41
A,TOTAL,PC_GDP,BG,2008,14.72
A,TOTAL,PC_GDP,BG,2009,16.05
A,TOTAL,PC_GDP,BG,2010,16.98
A,TOTAL,PC_GDP,BG,2011,16.43
A,TOTAL,PC_GDP,BG,2012,16.46
A,TOTAL,PC_GDP,BG,2013,17.56
A,TOTAL,PC_GDP,BG,2014,18.39
A,TOTAL,PC_GDP,BG,2015,17.65
A,TOTAL,PC_GDP,BG,2016,17.33
A,TOTAL,PC_GDP,BG,2017,16.82
A,TOTAL,PC_GDP,BG,2018,16.9
A,TOTAL,PC_GDP,BG,2019,16.64
A,TOTAL,PC_GDP,BG,2020,18.62
A,TOTAL,PC_GDP,BG,2021,18.82
A,TOTAL,PC_GDP,BG,2022,18.65
A,TOTAL,PC_GDP,BG,2023,19.36
A,TOTAL,PC_GDP,BG,2024,20.27
A,TOTAL,PC_GDP,CH,1995,21.41
A,TOTAL,PC_GDP,CH,1996,22.09
A,TOTAL,PC_GDP,CH,1997,22.98
A,TOTAL,PC_GDP,CH,1998,23.03
