destination,year,migrant_stock
World,1990,153916063.0
World,1995,163176002.0
World,2000,174566152.0
World,2005,192788721.0
World,2010,221020392.0
World,2015,250042020.0
World,2020,275284032.0
World,2024,304021813.0
Sub-Saharan Africa,1990,13802710.0
Sub-Saharan Africa,1995,14578211.0
Sub-Saharan Africa,2000,13518102.0
Sub-Saharan Africa,2005,14849146.0
Sub-Saharan Africa,2010,15787016.0
Sub-Saharan Africa,2015,20399360.0
Sub-Saharan Africa,2020,22040895.0
Sub-Saharan Africa,2024,24306400.0
Northern Africa and Western Asia,1990,16863681.0
Northern Africa and Western Asia,1995,18573252.0
Northern Africa and Western Asia,2000,20033534.0
Northern Africa and Western Asia,2005,23016410.0
Northern Africa and Western Asia,2010,32028416.0
Northern Africa and Western Asia,2015,44083778.0
Northern Africa and Western Asia,2020,48992329.0
Northern Africa and Western Asia,2024,54085710.0
Central and Southern Asia,1990,25456471.0
Central and Southern Asia,1995,20140424.0
Central and Southern Asia,2000,18979217.0
Central and Southern Asia,2005,17615413.0
Central and Southern Asia,2010,18225935.0
Central and Southern Asia,2015,17681574.0
Central and Southern Asia,2020,17736883.0
Central and Southern Asia,2024,20369652.0
Eastern and South-Eastern Asia,1990,6755128.0
Eastern and South-Eastern Asia,1995,8203094.0
Eastern and South-Eastern Asia,2000,10530525.0
Eastern and South-Eastern Asia,2005,12702261.0
Eastern and South-Eastern Asia,2010,16051107.0
Eastern and South-Eastern Asia,2015,18869062.0
Eastern and South-Eastern Asia,2020,21161853.0
Eastern and South-Eastern Asia,2024,22588980.0
Latin America and the Caribbean,1990,7253323.0
Latin America and the Caribbean,1995,6728705.0
Latin America and the Caribbean,2000,6589509.0
Latin America and the Caribbean,2005,7111817.0
Latin America and the Caribbean,2010,8275866.0
Latin America and the Caribbean,2015,9109959.0
Latin America and the Caribbean,2020,14287765.0
Latin America and the Caribbean,2024,17510527.0
Oceania (excluding Australia and New Zealand),1990,258678.0
Oceania (excluding Australia and New Zealand),1995,280580.0
Oceania (excluding Australia and New Zealand),2000,296618.0
Oceania (excluding Australia and New Zealand),2005,306039.0
Oceania (excluding Australia and New Zealand),2010,298175.0
Oceania (excluding Australia and New Zealand),2015,302810.0
Oceania (excluding Australia and New Zealand),2020,313069.0
Oceania (excluding Australia and New Zealand),2024,321771.0
Australia/New Zealand,1990,4517870.0
Australia/New Zealand,1995,4810557.0
Australia/New Zealand,2000,5075813.0
Australia/New Zealand,2005,5735938.0
Australia/New Zealand,2010,6836784.0
Australia/New Zealand,2015,7865257.0
Australia/New Zealand,2020,8948750.0
Australia/New Zealand,2024,9579393.0
Europe and Northern America,1990,79008202.0
Europe and Northern America,1995,89861179.0
Europe and Northern America,2000,99542834.0
Europe and Northern America,2005,111451697.0
Europe and Northern America,2010,123517093.0
Europe and Northern America,2015,131730220.0
Europe and Northern America,2020,141802488.0
Europe and Northern America,2024,155259380.0
More developed regions,1990,84576547.0
More developed regions,1995,96002830.0
More developed regions,2000,106270516.0
More developed regions,2005,119164163.0
More developed regions,2010,132515657.0
More developed regions,2015,142172964.0
More developed regions,2020,154040280.0
More developed regions,2024,168248302.0
Less developed regions,1990,69339516.0
Less developed regions,1995,67173172.0
Less developed regions,2000,68295636.0
Less developed regions,2005,73624558.0
Less developed regions,2010,88504735.0
Less developed regions,2015,107869056.0
Less developed regions,2020,121243752.0
Less developed regions,2024,135773511.0
Least developed countries,1990,11422703.0
Least developed countries,1995,12034741.0
Least developed countries,2000,10421623.0
Least developed countries,2005,10101907.0
Least developed countries,2010,10060920.0
Least developed countries,2015,12993561.0
Least developed countries,2020,15973234.0
Least developed countries,2024,19619461.0
"Less developed regions, excluding least developed countries",1990,57916813.0
"Less developed regions, excluding least developed countries",1995,55138431.0
"Less developed regions, excluding least developed countries",2000,57874013.0
"Less developed regions, excluding least developed countries",2005,63522651.0
"Less developed regions, excluding least developed countries",2010,78443815.0
"Less developed regions, excluding least developed countries",2015,94875495.0
"Less developed regions, excluding least developed countries",2020,105270518.0
"Less developed regions, excluding least developed countries",2024,116154050.0
"Less developed regions, excluding China",1990,66331223.0
"Less developed regions, excluding China",1995,63647155.0
"Less developed regions, excluding China",2000,64214442.0
"Less developed regions, excluding China",2005,69222288.0
"Less developed regions, excluding China",2010,83808625.0
"Less developed regions, excluding China",2015,102589546.0
"Less developed regions, excluding China",2020,115407463.0
"Less developed regions, excluding China",2024,129508188.0
Land-locked Developing Countries (LLDC),1990,14076862.0
Land-locked Developing Countries (LLDC),1995,11932094.0
Land-locked Developing Countries (LLDC),2000,10884070.0
Land-locked Developing Countries (LLDC),2005,10682465.0
Land-locked Developing Countries (LLDC),2010,9776704.0
Land-locked Developing Countries (LLDC),2015,11758049.0
Land-locked Developing Countries (LLDC),2020,13062602.0
Land-locked Developing Countries (LLDC),2024,14973951.0
Small Island Developing States (SIDS),1990,2208579.0
Small Island Developing States (SIDS),1995,2621962.0
Small Island Developing States (SIDS),2000,3082560.0
Small Island Developing States (SIDS),2005,3341149.0
Small Island Developing States (SIDS),2010,4039607.0
Small Island Developing States (SIDS),2015,4603415.0
Small Island Developing States (SIDS),2020,4807366.0
Small Island Developing States (SIDS),2024,5308114.0
High-and-upper-middle-income countries,1990,106669906.0
High-and-upper-middle-income countries,1995,119813451.0
High-and-upper-middle-income countries,2000,133558378.0
High-and-upper-middle-income countries,2005,152602542.0
High-and-upper-middle-income countries,2010,177327524.0
High-and-upper-middle-income countries,2015,202226089.0
High-and-upper-middle-income countries,2020,224031424.0
High-and-upper-middle-income countries,2024,246110417.0
Low-and-Lower-middle-income countries,1990,46128434.0
Low-and-Lower-middle-income countries,1995,42239497.0
Low-and-Lower-middle-income countries,2000,39880176.0
Low-and-Lower-middle-income countries,2005,38984860.0
Low-and-Lower-middle-income countries,2010,42209231.0
Low-and-Lower-middle-income countries,2015,46273405.0
Low-and-Lower-middle-income countries,2020,49787870.0
Low-and-Lower-middle-income countries,2024,56502698.0
High-income countries,1990,76960458.0
High-income countries,1995,90343963.0
High-income countries,2000,103962143.0
High-income countries,2005,121605675.0
High-income countries,2010,143669847.0
High-income countries,2015,165526009.0
High-income countries,2020,181860213.0
High-income countries,2024,199081732.0
Low-and-middle-income countries,1990,75837882.0
Low-and-middle-income countries,1995,71708985.0
Low-and-middle-income countries,2000,69476411.0
Low-and-middle-income countries,2005,69981727.0
Low-and-middle-income countries,2010,75866908.0
Low-and-middle-income countries,2015,82973485.0
Low-and-middle-income countries,2020,91959081.0
Low-and-middle-income countries,2024,103531383.0
Middle-income countries,1990,67107616.0
Middle-income countries,1995,63470877.0
Middle-income countries,2000,62638038.0
Middle-income countries,2005,62931098.0
Middle-income countries,2010,67880999.0
Middle-income countries,2015,73463803.0
Middle-income countries,2020,80298012.0
Middle-income countries,2024,89147766.0
Upper-middle-income countries,1990,29709448.0
Upper-middle-income countries,1995,29469488.0
Upper-middle-income countries,2000,29596235.0
Upper-middle-income countries,2005,30996867.0
Upper-middle-income countries,2010,33657677.0
Upper-middle-income countries,2015,36700080.0
Upper-middle-income countries,2020,42171211.0
Upper-middle-income countries,2024,47028685.0
Lower-middle-income countries,1990,37398168.0
Lower-middle-income countries,1995,34001389.0
Lower-middle-income countries,2000,33041803.0
Lower-middle-income countries,2005,31934231.0
Lower-middle-income countries,2010,34223322.0
Lower-middle-income countries,2015,36763723.0
Lower-middle-income countries,2020,38126801.0
Lower-middle-income countries,2024,42119081.0
Low-income countries,1990,8730266.0
Low-income countries,1995,8238108.0
Low-income countries,2000,6838373.0
Low-income countries,2005,7050629.0
Low-income countries,2010,7985909.0
Low-income countries,2015,9509682.0
Low-income countries,2020,11661069.0
Low-income countries,2024,14383617.0
No income group available,1990,1051779.0
No income group available,1995,1048488.0
No income group available,2000,1044410.0
No income group available,2005,1112254.0
No income group available,2010,1388695.0
No income group available,2015,1451570.0
No income group available,2020,1374532.0
No income group available,2024,1319088.0
AFRICA,1990,16176915.0
AFRICA,1995,16653698.0
AFRICA,2000,15413140.0
AFRICA,2005,16602802.0
AFRICA,2010,17752216.0
AFRICA,2015,22683929.0
AFRICA,2020,25267356.0
AFRICA,2024,29180440.0
Eastern Africa,1990,6347780.0
Eastern Africa,1995,5361041.0
Eastern Africa,2000,5239557.0
Eastern Africa,2005,5141624.0
Eastern Africa,2010,4424112.0
Eastern Africa,2015,6304660.0
Eastern Africa,2020,7528179.0
Eastern Africa,2024,8302733.0
Burundi,1990,333110.0
Burundi,1995,254853.0
Burundi,2000,125628.0
Burundi,2005,192774.0
Burundi,2010,247321.0
Burundi,2015,298299.0
Burundi,2020,344767.0
Burundi,2024,387101.0
Comoros,1990,14079.0
Comoros,1995,13939.0
Comoros,2000,13799.0
Comoros,2005,13209.0
Comoros,2010,12618.0
Comoros,2015,12555.0
Comoros,2020,12496.0
