freq,age,unit,sex,geo,time,value
A,Y15-74,PC_ACT,T,AT,2009,5.7
A,Y15-74,PC_ACT,T,AT,2010,5.2
A,Y15-74,PC_ACT,T,AT,2011,4.9
A,Y15-74,PC_ACT,T,AT,2012,5.2
A,Y15-74,PC_ACT,T,AT,2013,5.7
A,Y15-74,PC_ACT,T,AT,2014,6.0
A,Y15-74,PC_ACT,T,AT,2015,6.1
A,Y15-74,PC_ACT,T,AT,2016,6.5
A,Y15-74,PC_ACT,T,AT,2017,5.9
A,Y15-74,PC_ACT,T,AT,2018,5.2
A,Y15-74,PC_ACT,T,AT,2019,4.8
A,Y15-74,PC_ACT,T,AT,2020,6.0
A,Y15-74,PC_ACT,T,AT,2021,6.2
A,Y15-74,PC_ACT,T,AT,2022,4.8
A,Y15-74,PC_ACT,T,AT,2023,5.1
A,Y15-74,PC_ACT,T,AT,2024,5.2
A,Y15-74,PC_ACT,T,AT,2025,5.7
A,Y15-74,PC_ACT,T,BA,2021,17.4
A,Y15-74,PC_ACT,T,BA,2022,15.4
A,Y15-74,PC_ACT,T,BA,2023,13.2
A,Y15-74,PC_ACT,T,BA,2024,12.6
A,Y15-74,PC_ACT,T,BA,2025,12.2
A,Y15-74,PC_ACT,T,BE,2009,8.0
A,Y15-74,PC_ACT,T,BE,2010,8.4
A,Y15-74,PC_ACT,T,BE,2011,7.2
A,Y15-74,PC_ACT,T,BE,2012,7.6
A,Y15-74,PC_ACT,T,BE,2013,8.6
A,Y15-74,PC_ACT,T,BE,2014,8.7
A,Y15-74,PC_ACT,T,BE,2015,8.7
A,Y15-74,PC_ACT,T,BE,2016,7.9
A,Y15-74,PC_ACT,T,BE,2017,7.2
A,Y15-74,PC_ACT,T,BE,2018,6.0
A,Y15-74,PC_ACT,T,BE,2019,5.5
A,Y15-74,PC_ACT,T,BE,2020,5.8
A,Y15-74,PC_ACT,T,BE,2021,6.3
A,Y15-74,PC_ACT,T,BE,2022,5.6
A,Y15-74,PC_ACT,T,BE,2023,5.5
A,Y15-74,PC_ACT,T,BE,2024,5.7
A,Y15-74,PC_ACT,T,BE,2025,6.2
A,Y15-74,PC_ACT,T,BG,2009,7.9
A,Y15-74,PC_ACT,T,BG,2010,11.3
A,Y15-74,PC_ACT,T,BG,2011,12.3
A,Y15-74,PC_ACT,T,BG,2012,13.3
A,Y15-74,PC_ACT,T,BG,2013,13.9
A,Y15-74,PC_ACT,T,BG,2014,12.4
A,Y15-74,PC_ACT,T,BG,2015,10.1
A,Y15-74,PC_ACT,T,BG,2016,8.6
A,Y15-74,PC_ACT,T,BG,2017,7.2
A,Y15-74,PC_ACT,T,BG,2018,6.2
A,Y15-74,PC_ACT,T,BG,2019,5.2
A,Y15-74,PC_ACT,T,BG,2020,6.1
A,Y15-74,PC_ACT,T,BG,2021,5.2
A,Y15-74,PC_ACT,T,BG,2022,4.2
A,Y15-74,PC_ACT,T,BG,2023,4.3
A,Y15-74,PC_ACT,T,BG,2024,4.2
A,Y15-74,PC_ACT,T,BG,2025,3.5
A,Y15-74,PC_ACT,T,CH,2010,4.8
A,Y15-74,PC_ACT,T,CH,2011,4.4
A,Y15-74,PC_ACT,T,CH,2012,4.5
A,Y15-74,PC_ACT,T,CH,2013,4.8
A,Y15-74,PC_ACT,T,CH,2014,4.9
A,Y15-74,PC_ACT,T,CH,2015,4.8
A,Y15-74,PC_ACT,T,CH,2016,5.0
A,Y15-74,PC_ACT,T,CH,2017,4.8
A,Y15-74,PC_ACT,T,CH,2018,4.7
A,Y15-74,PC_ACT,T,CH,2019,4.4
A,Y15-74,PC_ACT,T,CH,2020,4.8
A,Y15-74,PC_ACT,T,CH,2021,5.1
A,Y15-74,PC_ACT,T,CH,2022,4.1
A,Y15-74,PC_ACT,T,CH,2023,4.1
A,Y15-74,PC_ACT,T,CH,2024,4.4
A,Y15-74,PC_ACT,T,CH,2025,4.9
A,Y15-74,PC_ACT,T,CY,2009,5.4
A,Y15-74,PC_ACT,T,CY,2010,6.3
A,Y15-74,PC_ACT,T,CY,2011,7.9
A,Y15-74,PC_ACT,T,CY,2012,11.9
A,Y15-74,PC_ACT,T,CY,2013,15.9
A,Y15-74,PC_ACT,T,CY,2014,16.1
A,Y15-74,PC_ACT,T,CY,2015,15.0
A,Y15-74,PC_ACT,T,CY,2016,13.0
A,Y15-74,PC_ACT,T,CY,2017,11.1
A,Y15-74,PC_ACT,T,CY,2018,8.4
A,Y15-74,PC_ACT,T,CY,2019,7.2
A,Y15-74,PC_ACT,T,CY,2020,7.6
A,Y15-74,PC_ACT,T,CY,2021,7.2
A,Y15-74,PC_ACT,T,CY,2022,6.3
A,Y15-74,PC_ACT,T,CY,2023,5.8
A,Y15-74,PC_ACT,T,CY,2024,4.8
A,Y15-74,PC_ACT,T,CY,2025,4.4
A,Y15-74,PC_ACT,T,CZ,2009,6.7
A,Y15-74,PC_ACT,T,CZ,2010,7.3
A,Y15-74,PC_ACT,T,CZ,2011,6.7
A,Y15-74,PC_ACT,T,CZ,2012,7.0
A,Y15-74,PC_ACT,T,CZ,2013,7.0
A,Y15-74,PC_ACT,T,CZ,2014,6.1
A,Y15-74,PC_ACT,T,CZ,2015,5.1
A,Y15-74,PC_ACT,T,CZ,2016,4.0
A,Y15-74,PC_ACT,T,CZ,2017,2.9
A,Y15-74,PC_ACT,T,CZ,2018,2.2
A,Y15-74,PC_ACT,T,CZ,2019,2.0
A,Y15-74,PC_ACT,T,CZ,2020,2.6
A,Y15-74,PC_ACT,T,CZ,2021,2.8
A,Y15-74,PC_ACT,T,CZ,2022,2.2
A,Y15-74,PC_ACT,T,CZ,2023,2.6
A,Y15-74,PC_ACT,T,CZ,2024,2.6
A,Y15-74,PC_ACT,T,CZ,2025,2.8
A,Y15-74,PC_ACT,T,DE,2009,7.3
A,Y15-74,PC_ACT,T,DE,2010,6.6
A,Y15-74,PC_ACT,T,DE,2011,5.5
A,Y15-74,PC_ACT,T,DE,2012,5.1
A,Y15-74,PC_ACT,T,DE,2013,4.9
A,Y15-74,PC_ACT,T,DE,2014,4.7
A,Y15-74,PC_ACT,T,DE,2015,4.4
A,Y15-74,PC_ACT,T,DE,2016,3.9
A,Y15-74,PC_ACT,T,DE,2017,3.5
A,Y15-74,PC_ACT,T,DE,2018,3.2
A,Y15-74,PC_ACT,T,DE,2019,2.9
A,Y15-74,PC_ACT,T,DE,2020,3.6
A,Y15-74,PC_ACT,T,DE,2021,3.6
A,Y15-74,PC_ACT,T,DE,2022,3.1
A,Y15-74,PC_ACT,T,DE,2023,3.1
A,Y15-74,PC_ACT,T,DE,2024,3.5
A,Y15-74,PC_ACT,T,DE,2025,3.8
A,Y15-74,PC_ACT,T,DK,2009,6.4
A,Y15-74,PC_ACT,T,DK,2010,7.7
A,Y15-74,PC_ACT,T,DK,2011,7.8
A,Y15-74,PC_ACT,T,DK,2012,7.8
A,Y15-74,PC_ACT,T,DK,2013,7.4
A,Y15-74,PC_ACT,T,DK,2014,6.9
A,Y15-74,PC_ACT,T,DK,2015,6.3
A,Y15-74,PC_ACT,T,DK,2016,6.0
A,Y15-74,PC_ACT,T,DK,2017,5.8
A,Y15-74,PC_ACT,T,DK,2018,5.1
A,Y15-74,PC_ACT,T,DK,2019,5.0
A,Y15-74,PC_ACT,T,DK,2020,5.6
A,Y15-74,PC_ACT,T,DK,2021,5.1
A,Y15-74,PC_ACT,T,DK,2022,4.5
A,Y15-74,PC_ACT,T,DK,2023,5.1
A,Y15-74,PC_ACT,T,DK,2024,6.2
A,Y15-74,PC_ACT,T,DK,2025,6.4
A,Y15-74,PC_ACT,T,EA20,2009,9.7
A,Y15-74,PC_ACT,T,EA20,2010,10.3
A,Y15-74,PC_ACT,T,EA20,2011,10.3
A,Y15-74,PC_ACT,T,EA20,2012,11.5
A,Y15-74,PC_ACT,T,EA20,2013,12.2
A,Y15-74,PC_ACT,T,EA20,2014,11.7
A,Y15-74,PC_ACT,T,EA20,2015,11.0
A,Y15-74,PC_ACT,T,EA20,2016,10.1
A,Y15-74,PC_ACT,T,EA20,2017,9.1
A,Y15-74,PC_ACT,T,EA20,2018,8.2
A,Y15-74,PC_ACT,T,EA20,2019,7.6
A,Y15-74,PC_ACT,T,EA20,2020,8.0
A,Y15-74,PC_ACT,T,EA20,2021,7.8
A,Y15-74,PC_ACT,T,EA20,2022,6.8
A,Y15-74,PC_ACT,T,EA20,2023,6.6
A,Y15-74,PC_ACT,T,EA20,2024,6.4
A,Y15-74,PC_ACT,T,EA20,2025,6.4
A,Y15-74,PC_ACT,T,EA21,2009,9.6
A,Y15-74,PC_ACT,T,EA21,2010,10.3
A,Y15-74,PC_ACT,T,EA21,2011,10.3
A,Y15-74,PC_ACT,T,EA21,2012,11.6
A,Y15-74,PC_ACT,T,EA21,2013,12.2
A,Y15-74,PC_ACT,T,EA21,2014,11.8
A,Y15-74,PC_ACT,T,EA21,2015,11.0
A,Y15-74,PC_ACT,T,EA21,2016,10.1
A,Y15-74,PC_ACT,T,EA21,2017,9.1
A,Y15-74,PC_ACT,T,EA21,2018,8.2
A,Y15-74,PC_ACT,T,EA21,2019,7.6
A,Y15-74,PC_ACT,T,EA21,2020,7.9
A,Y15-74,PC_ACT,T,EA21,2021,7.7
A,Y15-74,PC_ACT,T,EA21,2022,6.7
A,Y15-74,PC_ACT,T,EA21,2023,6.5
A,Y15-74,PC_ACT,T,EA21,2024,6.4
A,Y15-74,PC_ACT,T,EA21,2025,6.4
A,Y15-74,PC_ACT,T,EE,2009,13.5
A,Y15-74,PC_ACT,T,EE,2010,16.6
A,Y15-74,PC_ACT,T,EE,2011,12.3
A,Y15-74,PC_ACT,T,EE,2012,9.9
A,Y15-74,PC_ACT,T,EE,2013,8.6
A,Y15-74,PC_ACT,T,EE,2014,7.3
A,Y15-74,PC_ACT,T,EE,2015,6.4
A,Y15-74,PC_ACT,T,EE,2016,6.8
A,Y15-74,PC_ACT,T,EE,2017,5.8
A,Y15-74,PC_ACT,T,EE,2018,5.4
A,Y15-74,PC_ACT,T,EE,2019,4.5
A,Y15-74,PC_ACT,T,EE,2020,6.9
A,Y15-74,PC_ACT,T,EE,2021,6.2
A,Y15-74,PC_ACT,T,EE,2022,5.6
A,Y15-74,PC_ACT,T,EE,2023,6.4
A,Y15-74,PC_ACT,T,EE,2024,7.6
A,Y15-74,PC_ACT,T,EE,2025,7.5
A,Y15-74,PC_ACT,T,EL,2009,9.8
A,Y15-74,PC_ACT,T,EL,2010,12.9
A,Y15-74,PC_ACT,T,EL,2011,18.1
A,Y15-74,PC_ACT,T,EL,2012,24.8
A,Y15-74,PC_ACT,T,EL,2013,27.8
A,Y15-74,PC_ACT,T,EL,2014,26.6
A,Y15-74,PC_ACT,T,EL,2015,25.0
A,Y15-74,PC_ACT,T,EL,2016,23.9
A,Y15-74,PC_ACT,T,EL,2017,21.8
A,Y15-74,PC_ACT,T,EL,2018,19.7
A,Y15-74,PC_ACT,T,EL,2019,17.9
A,Y15-74,PC_ACT,T,EL,2020,17.6
A,Y15-74,PC_ACT,T,EL,2021,14.7
A,Y15-74,PC_ACT,T,EL,2022,12.5
A,Y15-74,PC_ACT,T,EL,2023,11.1
A,Y15-74,PC_ACT,T,EL,2024,10.1
A,Y15-74,PC_ACT,T,EL,2025,8.9
A,Y15-74,PC_ACT,T,ES,2009,17.9
A,Y15-74,PC_ACT,T,ES,2010,19.9
A,Y15-74,PC_ACT,T,ES,2011,21.4
A,Y15-74,PC_ACT,T,ES,2012,24.8
A,Y15-74,PC_ACT,T,ES,2013,26.1
A,Y15-74,PC_ACT,T,ES,2014,24.5
A,Y15-74,PC_ACT,T,ES,2015,22.1
A,Y15-74,PC_ACT,T,ES,2016,19.6
A,Y15-74,PC_ACT,T,ES,2017,17.2
A,Y15-74,PC_ACT,T,ES,2018,15.3
A,Y15-74,PC_ACT,T,ES,2019,14.1
A,Y15-74,PC_ACT,T,ES,2020,15.5
A,Y15-74,PC_ACT,T,ES,2021,14.9
A,Y15-74,PC_ACT,T,ES,2022,13.0
A,Y15-74,PC_ACT,T,ES,2023,12.2
A,Y15-74,PC_ACT,T,ES,2024,11.4
A,Y15-74,PC_ACT,T,ES,2025,10.5
A,Y15-74,PC_ACT,T,EU27_2020,2009,9.3
A,Y15-74,PC_ACT,T,EU27_2020,2010,10.1
A,Y15-74,PC_ACT,T,EU27_2020,2011,10.1
A,Y15-74,PC_ACT,T,EU27_2020,2012,11.1
A,Y15-74,PC_ACT,T,EU27_2020,2013,11.6
A,Y15-74,PC_ACT,T,EU27_2020,2014,11.0
A,Y15-74,PC_ACT,T,EU27_2020,2015,10.2
A,Y15-74,PC_ACT,T,EU27_2020,2016,9.3
A,Y15-74,PC_ACT,T,EU27_2020,2017,8.3
A,Y15-74,PC_ACT,T,EU27_2020,2018,7.4
A,Y15-74,PC_ACT,T,EU27_2020,2019,6.8
A,Y15-74,PC_ACT,T,EU27_2020,2020,7.2
A,Y15-74,PC_ACT,T,EU27_2020,2021,7.1
A,Y15-74,PC_ACT,T,EU27_2020,2022,6.2
A,Y15-74,PC_ACT,T,EU27_2020,2023,6.1
A,Y15-74,PC_ACT,T,EU27_2020,2024,6.0
A,Y15-74,PC_ACT,T,EU27_2020,2025,6.0
A,Y15-74,PC_ACT,T,FI,2009,8.3
A,Y15-74,PC_ACT,T,FI,2010,8.6
A,Y15-74,PC_ACT,T,FI,2011,8.0
A,Y15-74,PC_ACT,T,FI,2012,7.9
A,Y15-74,PC_ACT,T,FI,2013,8.3
A,Y15-74,PC_ACT,T,FI,2014,8.7
A,Y15-74,PC_ACT,T,FI,2015,9.4
A,Y15-74,PC_ACT,T,FI,2016,8.9
A,Y15-74,PC_ACT,T,FI,2017,8.7
A,Y15-74,PC_ACT,T,FI,2018,7.5
A,Y15-74,PC_ACT,T,FI,2019,6.8
A,Y15-74,PC_ACT,T,FI,2020,7.7
A,Y15-74,PC_ACT,T,FI,2021,7.7
A,Y15-74,PC_ACT,T,FI,2022,6.8
A,Y15-74,PC_ACT,T,FI,2023,7.2
A,Y15-74,PC_ACT,T,FI,2024,8.4
A,Y15-74,PC_ACT,T,FI,2025,9.7
A,Y15-74,PC_ACT,T,FR,2003,8.5
A,Y15-74,PC_ACT,T,FR,2004,8.9
A,Y15-74,PC_ACT,T,FR,2005,8.9
A,Y15-74,PC_ACT,T,FR,2006,8.9
A,Y15-74,PC_ACT,T,FR,2007,8.0
A,Y15-74,PC_ACT,T,FR,2008,7.4
A,Y15-74,PC_ACT,T,FR,2009,9.1
A,Y15-74,PC_ACT,T,FR,2010,9.3
A,Y15-74,PC_ACT,T,FR,2011,9.2
A,Y15-74,PC_ACT,T,FR,2012,9.8
A,Y15-74,PC_ACT,T,FR,2013,10.3
A,Y15-74,PC_ACT,T,FR,2014,10.3
A,Y15-74,PC_ACT,T,FR,2015,10.3
A,Y15-74,PC_ACT,T,FR,2016,10.1
A,Y15-74,PC_ACT,T,FR,2017,9.4
A,Y15-74,PC_ACT,T,FR,2018,9.0
A,Y15-74,PC_ACT,T,FR,2019,8.4
A,Y15-74,PC_ACT,T,FR,2020,8.0
A,Y15-74,PC_ACT,T,FR,2021,7.9
A,Y15-74,PC_ACT,T,FR,2022,7.3
A,Y15-74,PC_ACT,T,FR,2023,7.3
A,Y15-74,PC_ACT,T,FR,2024,7.4
A,Y15-74,PC_ACT,T,FR,2025,7.7
A,Y15-74,PC_ACT,T,HR,2009,9.1
A,Y15-74,PC_ACT,T,HR,2010,11.7
A,Y15-74,PC_ACT,T,HR,2011,13.6
A,Y15-74,PC_ACT,T,HR,2012,16.1
A,Y15-74,PC_ACT,T,HR,2013,17.3
A,Y15-74,PC_ACT,T,HR,2014,17.3
A,Y15-74,PC_ACT,T,HR,2015,16.2
A,Y15-74,PC_ACT,T,HR,2016,13.0
A,Y15-74,PC_ACT,T,HR,2017,11.1
A,Y15-74,PC_ACT,T,HR,2018,8.3
A,Y15-74,PC_ACT,T,HR,2019,6.6
A,Y15-74,PC_ACT,T,HR,2020,7.4
A,Y15-74,PC_ACT,T,HR,2021,7.5
A,Y15-74,PC_ACT,T,HR,2022,6.8
A,Y15-74,PC_ACT,T,HR,2023,6.1
A,Y15-74,PC_ACT,T,HR,2024,5.0
A,Y15-74,PC_ACT,T,HR,2025,4.9
A,Y15-74,PC_ACT,T,HU,2009,9.7
A,Y15-74,PC_ACT,T,HU,2010,10.8
A,Y15-74,PC_ACT,T,HU,2011,10.7
A,Y15-74,PC_ACT,T,HU,2012,10.7
A,Y15-74,PC_ACT,T,HU,2013,9.8
A,Y15-74,PC_ACT,T,HU,2014,7.5
A,Y15-74,PC_ACT,T,HU,2015,6.6
A,Y15-74,PC_ACT,T,HU,2016,5.0
A,Y15-74,PC_ACT,T,HU,2017,4.0
A,Y15-74,PC_ACT,T,HU,2018,3.6
A,Y15-74,PC_ACT,T,HU,2019,3.3
A,Y15-74,PC_ACT,T,HU,2020,4.1
A,Y15-74,PC_ACT,T,HU,2021,4.0
A,Y15-74,PC_ACT,T,HU,2022,3.6
A,Y15-74,PC_ACT,T,HU,2023,4.1
A,Y15-74,PC_ACT,T,HU,2024,4.5
A,Y15-74,PC_ACT,T,HU,2025,4.4
A,Y15-74,PC_ACT,T,IE,2009,12.6
A,Y15-74,PC_ACT,T,IE,2010,14.6
A,Y15-74,PC_ACT,T,IE,2011,15.4
A,Y15-74,PC_ACT,T,IE,2012,15.5
A,Y15-74,PC_ACT,T,IE,2013,13.8
A,Y15-74,PC_ACT,T,IE,2014,11.9
A,Y15-74,PC_ACT,T,IE,2015,9.9
A,Y15-74,PC_ACT,T,IE,2016,8.4
A,Y15-74,PC_ACT,T,IE,2017,6.7
A,Y15-74,PC_ACT,T,IE,2018,5.8
A,Y15-74,PC_ACT,T,IE,2019,5.0
A,Y15-74,PC_ACT,T,IE,2020,5.9
A,Y15-74,PC_ACT,T,IE,2021,6.2
A,Y15-74,PC_ACT,T,IE,2022,4.5
A,Y15-74,PC_ACT,T,IE,2023,4.3
A,Y15-74,PC_ACT,T,IE,2024,4.3
A,Y15-74,PC_ACT,T,IE,2025,4.7
A,Y15-74,PC_ACT,T,IS,2009,7.2
A,Y15-74,PC_ACT,T,IS,2010,7.6
A,Y15-74,PC_ACT,T,IS,2011,7.0
A,Y15-74,PC_ACT,T,IS,2012,6.0
A,Y15-74,PC_ACT,T,IS,2013,5.4
A,Y15-74,PC_ACT,T,IS,2014,4.9
A,Y15-74,PC_ACT,T,IS,2015,4.0
A,Y15-74,PC_ACT,T,IS,2016,3.0
A,Y15-74,PC_ACT,T,IS,2017,2.7
A,Y15-74,PC_ACT,T,IS,2018,2.7
A,Y15-74,PC_ACT,T,IS,2019,3.5
A,Y15-74,PC_ACT,T,IS,2020,5.5
A,Y15-74,PC_ACT,T,IS,2021,6.1
A,Y15-74,PC_ACT,T,IS,2022,3.8
A,Y15-74,PC_ACT,T,IS,2023,3.5
A,Y15-74,PC_ACT,T,IS,2024,3.6
A,Y15-74,PC_ACT,T,IS,2025,4.5
A,Y15-74,PC_ACT,T,IT,2009,7.9
A,Y15-74,PC_ACT,T,IT,2010,8.5
A,Y15-74,PC_ACT,T,IT,2011,8.5
A,Y15-74,PC_ACT,T,IT,2012,10.9
A,Y15-74,PC_ACT,T,IT,2013,12.4
A,Y15-74,PC_ACT,T,IT,2014,12.9
A,Y15-74,PC_ACT,T,IT,2015,12.0
A,Y15-74,PC_ACT,T,IT,2016,11.7
A,Y15-74,PC_ACT,T,IT,2017,11.3
A,Y15-74,PC_ACT,T,IT,2018,10.6
A,Y15-74,PC_ACT,T,IT,2019,9.9
A,Y15-74,PC_ACT,T,IT,2020,9.3
A,Y15-74,PC_ACT,T,IT,2021,9.5
A,Y15-74,PC_ACT,T,IT,2022,8.1
A,Y15-74,PC_ACT,T,IT,2023,7.7
